Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
2003-06-09,Viet Nam,63.0,5.0,58.0
2003-06-10,Brazil,3.0,0.0,2.0
2003-06-10,Canada,229.0,32.0,131.0
2003-06-10,China,5328.0,343.0,4294.0
2003-06-10,Hong Kong SAR, China,1754.0,290.0,1368.0
2003-06-10,Macao SAR, China,1.0,0.0,1.0
2003-06-10,Taiwan, China,686.0,81.0,319.0
2003-06-10,Colombia,1.0,0.0,1.0
2003-06-10,Finland,1.0,0.0,1.0
2003-06-10,France,7.0,0.0,6.0
2003-06-10,Germany,10.0,0.0,9.0
2003-06-10,India,3.0,0.0,3.0
2003-06-10,Indonesia,2.0,0.0,2.0
2003-06-10,Italy,9.0,0.0,9.0
2003-06-10,Kuwait,1.0,0.0,1.0
2003-06-10,Malaysia,5.0,2.0,3.0
2003-06-10,Mongolia,9.0,0.0,9.0
2003-06-10,New Zealand,1.0,0.0,1.0
2003-06-10,Philippines,12.0,2.0,10.0
2003-06-10,Republic of Ireland,1.0,0.0,1.0
2003-06-10,Republic of Korea,3.0,0.0,3.0
2003-06-10,Romania,1.0,0.0,1.0
2003-06-10,Russian Federation,1.0,0.0,0.0
2003-06-10,Singapore,206.0,31.0,168.0
2003-06-10,South Africa,1.0,1.0,0.0
2003-06-10,Spain,1.0,0.0,1.0
2003-06-10,Sweden,3.0,0.0,3.0
2003-06-10,Switzerland,1.0,0.0,1.0
2003-06-10,Thailand,9.0,2.0,6.0
2003-06-10,United Kingdom,4.0,0.0,4.0
2003-06-10,United States,69.0,0.0,36.0
2003-06-10,Viet Nam,63.0,5.0,58.0
2003-06-11,Brazil,3.0,0.0,2.0
2003-06-11,Canada,230.0,32.0,134.0
2003-06-11,China,5329.0,343.0,4390.0
2003-06-11,Hong Kong SAR, China,1754.0,290.0,1368.0
2003-06-11,Macao SAR, China,1.0,0.0,1.0
2003-06-11,Taiwan, China,687.0,81.0,344.0
2003-06-11,Colombia,1.0,0.0,1.0
2003-06-11,Finland,1.0,0.0,1.0
2003-06-11,France,7.0,0.0,6.0
2003-06-11,Germany,10.0,0.0,9.0
2003-06-11,India,3.0,0.0,3.0
2003-06-11,Indonesia,2.0,0.0,2.0
2003-06-11,Italy,9.0,0.0,9.0
2003-06-11,Kuwait,1.0,0.0,1.0
2003-06-11,Malaysia,5.0,2.0,3.0
2003-06-11,Mongolia,9.0,0.0,9.0
2003-06-11,New Zealand,1.0,0.0,1.0
2003-06-11,Philippines,12.0,2.0,10.0
2003-06-11,Republic of Ireland,1.0,0.0,1.0
2003-06-11,Republic of Korea,3.0,0.0,3.0
2003-06-11,Romania,1.0,0.0,1.0
2003-06-11,Russian Federation,1.0,0.0,0.0
2003-06-11,Singapore,206.0,31.0,168.0
2003-06-11,South Africa,1.0,1.0,0.0
2003-06-11,Spain,1.0,0.0,1.0
2003-06-11,Sweden,3.0,0.0,3.0
2003-06-11,Switzerland,1.0,0.0,1.0
2003-06-11,Thailand,9.0,2.0,6.0
2003-06-11,United Kingdom,4.0,0.0,4.0
2003-06-11,United States,71.0,0.0,36.0
2003-06-11,Viet Nam,63.0,5.0,58.0
2003-06-12,Brazil,3.0,0.0,2.0
2003-06-12,Canada,238.0,32.0,141.0
2003-06-12,China,5328.0,343.0,4457.0
2003-06-12,Hong Kong SAR, China,1755.0,291.0,1377.0
2003-06-12,Macao SAR, China,1.0,0.0,1.0
2003-06-12,Taiwan, China,688.0,81.0,347.0
2003-06-12,Colombia,1.0,0.0,1.0
2003-06-12,Finland,1.0,0.0,1.0
2003-06-12,France,7.0,0.0,6.0
