Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
NaN,CROSS PLAINS BANK,COMMERCIAL BANK,STATE,CROSS PLAINS, TN,4/10/1936 ,FDIC,NaN,PAYOUT,32.0,50.0,NaN
NaN,HARDIN BANK,COMMERCIAL BANK,STATE,HARDIN, KY,4/18/1936 ,FDIC,NaN,PAYOUT,53.0,72.0,NaN
NaN,FARMERS & MERCHANTS BANK,COMMERCIAL BANK,STATE,REVILLO, SD,4/21/1936 ,FDIC,NaN,PAYOUT,89.0,128.0,NaN
NaN,NORBORNE TRUST COMPANY,COMMERCIAL BANK,STATE,NORBORNE, MO,4/22/1936 ,FDIC,NaN,ACQUISITION,121.0,NaN,NaN
NaN,GUARANTY BOND STATE BANK,COMMERCIAL BANK,STATE,MILES, TX,4/23/1936 ,FDIC,NaN,PAYOUT,103.0,202.0,NaN
NaN,GROWERS EXCHANGE BANK,COMMERCIAL BANK,STATE,ST. JOSEPH, MO,5/9/1936 ,FDIC,NaN,PAYOUT,43.0,53.0,NaN
NaN,FORD CITY STATE BANK,COMMERCIAL BANK,STATE,FORD CITY, MO,5/13/1936 ,FDIC,NaN,PAYOUT,50.0,62.0,NaN
NaN,FARMERS BANK OF NEW TRUXTON,COMMERCIAL BANK,STATE,NEW TRUXTON, MO,5/14/1936 ,FDIC,NaN,PAYOUT,53.0,71.0,NaN
NaN,KOSHKONONG STATE BANK,COMMERCIAL BANK,STATE,KOSHKONONG, MO,5/23/1936 ,FDIC,NaN,ACQUISITION,48.0,NaN,NaN
NaN,WEST MONROE STATE BANK,COMMERCIAL BANK,STATE,WEST MONROE, LA,5/23/1936 ,FDIC,NaN,PAYOUT,410.0,520.0,NaN
NaN,HOLTON STATE BANK,COMMERCIAL BANK,STATE,HOLTON, IN,5/28/1936 ,FDIC,NaN,PAYOUT,171.0,204.0,NaN
NaN,THE CHRISTIAN COUNTY BANK,COMMERCIAL BANK,STATE,OZARK, MO,6/5/1936 ,FDIC,NaN,PAYOUT,297.0,339.0,NaN
NaN,COMMUNITY BANK,COMMERCIAL BANK,STATE,SMITHTON, MO,6/5/1936 ,FDIC,NaN,PAYOUT,50.0,75.0,NaN
NaN,THE PEOPLES STATE BANK OF FLAT ROCK,COMMERCIAL BANK,STATE,FLAT ROCK, IL,6/17/1936 ,FDIC,NaN,ACQUISITION,61.0,NaN,NaN
NaN,CENTRAL BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,NEWARK, NJ,6/29/1936 ,FDIC,NaN,ACQUISITION,361.0,NaN,NaN
NaN,WALTON EQUITABLE BANK,COMMERCIAL BANK,STATE,WALTON, KY,7/3/1936 ,FDIC,NaN,ACQUISITION,235.0,NaN,NaN
NaN,FARMERS STATE BANK,COMMERCIAL BANK,STATE,DENSMORE, KS,7/10/1936 ,FDIC,NaN,PAYOUT,55.0,80.0,NaN
NaN,THE STATE BANK OF SARCOXIE,COMMERCIAL BANK,STATE,SARCOXIE, MO,7/11/1936 ,FDIC,NaN,ACQUISITION,99.0,NaN,NaN
NaN,D AURIA BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,NEWARK, NJ,7/15/1936 ,FDIC,NaN,PAYOUT,1118.0,1245.0,NaN
NaN,THE EAST HAMPTON BANK & TRUST CO.,COMMERCIAL BANK,STATE,EAST HAMPTON, CT,7/16/1936 ,FDIC,NaN,PAYOUT,1050.0,1233.0,NaN
NaN,BANK OF MAGNOLIA,COMMERCIAL BANK,STATE,MAGNOLIA, MO,8/14/1936 ,FDIC,NaN,PAYOUT,58.0,70.0,NaN
NaN,CUMBERLAND BANK,COMMERCIAL BANK,STATE,CUMBERLAND, IN,8/14/1936 ,FDIC,NaN,PAYOUT,71.0,87.0,NaN
NaN,DURHAM STATE BANK,COMMERCIAL BANK,STATE,DURHAM, MO,8/22/1936 ,FDIC,NaN,ACQUISITION,124.0,NaN,NaN
NaN,COMMERCIAL BANK OF STANBERRY,COMMERCIAL BANK,STATE,STANBERRY, MO,8/31/1936 ,FDIC,NaN,PAYOUT,128.0,173.0,NaN
NaN,THE WELLSVILLE BANK,COMMERCIAL BANK,STATE,WELLSVILLE, MO,9/12/1936 ,FDIC,NaN,PAYOUT,290.0,325.0,NaN
NaN,SECURITY BANK,COMMERCIAL BANK,STATE,KINGFISHER, OK,9/15/1936 ,FDIC,NaN,ACQUISITION,149.0,NaN,NaN
NaN,FARMERS STATE BANK,COMMERCIAL BANK,STATE,TINDALL, MO,9/17/1936 ,FDIC,NaN,PAYOUT,52.0,70.0,NaN
NaN,STOVER BANK,COMMERCIAL BANK,STATE,STOVER, MO,10/3/1936 ,FDIC,NaN,ACQUISITION,153.0,NaN,NaN
NaN,DESOTO BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,MANSFIELD, LA,10/9/1936 ,FDIC,NaN,PAYOUT,996.0,1169.0,NaN
