Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
6902.0,LIBERTY FEDERAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,NEW PORT RICHEY, FL,3/16/1989 ,RTC,32540.0,TRANSFER,91063.0,60102.0,35291.0
7243.0,FIRST FED. S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,SHREVEPORT, LA,3/16/1989 ,RTC,27631.0,PAYOUT,201160.0,196488.0,99402.0
7238.0,FIDELITY S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,PORT ARTHUR, TX,3/16/1989 ,RTC,27698.0,ACQUISITION,262333.0,312510.0,123052.0
6928.0,ACADIA SAVINGS & LOAN,SAVINGS ASSOCIATION,FEDERAL/STATE,CROWLEY, LA,3/16/1989 ,RTC,32554.0,TRANSFER,137710.0,89672.0,98792.0
7394.0,CONTINENTAL FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,OKLAHOMA CITY, OK,3/16/1989 ,RTC,28058.0,ACQUISITION,528350.0,645144.0,198949.0
7144.0,CHILLICOTHE FED. S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,CHILLICOTHE, IL,3/16/1989 ,RTC,29413.0,ACQUISITION,53947.0,51039.0,4375.0
7012.0,MADISON COUNTY FED. S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,GRANITE CITY, IL,3/16/1989 ,RTC,27762.0,TRANSFER,131364.0,132245.0,24395.0
2977.0,THE FARMERS & MERCHANTS STATE BANK,COMMERCIAL BANK,STATE,BALLINGER, TX,3/16/1989 ,FDIC,11893.0,ACQUISITION,22005.0,22534.0,2116.0
6992.0,FIRST FED. S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,EUNICE, LA,3/16/1989 ,RTC,31546.0,TRANSFER,16195.0,23545.0,5537.0
7047.0,LINCOLN S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,MIAMI, FL,3/16/1989 ,RTC,32035.0,TRANSFER,263358.0,260627.0,67673.0
7048.0,ROYAL PALM SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,WEST PALM BEACH, FL,3/16/1989 ,RTC,32160.0,TRANSFER,491035.0,563989.0,187947.0
7323.0,JASPER FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,JASPER, TX,3/16/1989 ,RTC,29267.0,PAYOUT,154546.0,135619.0,79975.0
7307.0,SABINE VALLEY S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,CENTER, TX,3/16/1989 ,RTC,31096.0,PAYOUT,29142.0,41055.0,10965.0
7195.0,FIRST FED. S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,NEW IBERIA, LA,3/16/1989 ,RTC,31079.0,TRANSFER,64430.0,64310.0,15820.0
7214.0,HOME SAVINGS FSLA,SAVINGS ASSOCIATION,FEDERAL/STATE,JOLIET, IL,3/16/1989 ,RTC,31066.0,ACQUISITION,138666.0,140570.0,11521.0
7340.0,SOUTHEAST TEXAS FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,WOODVILLE, TX,3/16/1989 ,RTC,31262.0,PAYOUT,27169.0,31198.0,8546.0
7147.0,JEFFERSON S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,BEAUMONT, TX,3/16/1989 ,RTC,31402.0,TRANSFER,125667.0,119085.0,85086.0
7133.0,ILLINOIS SAVINGS BANK,SAVINGS BANK,STATE,PEORIA, IL,3/16/1989 ,RTC,31355.0,ACQUISITION,67821.0,78018.0,4580.0
7086.0,MIDWESTERN SA,SAVINGS ASSOCIATION,FEDERAL/STATE,MACOMB, IL,3/16/1989 ,RTC,27829.0,ACQUISITION,101243.0,110707.0,24561.0
7157.0,COMMUNITY FED. S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,TAMPA, FL,3/16/1989 ,RTC,31548.0,PAYOUT,14438.0,10303.0,13294.0
2973.0,THE FARMERS STATE BANK, BOGUE,COMMERCIAL BANK,STATE,BOGUE, KS,3/16/1989 ,FDIC,15223.0,ACQUISITION,7962.0,8044.0,1685.0
2974.0,LIVINGSTON BANK,COMMERCIAL BANK,STATE,DENHAM SPRINGS, LA,3/16/1989 ,FDIC,15786.0,ACQUISITION,104264.0,106250.0,16487.0
6955.0,SKOKIE FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,SKOKIE, IL,3/16/1989 ,RTC,30935.0,ACQUISITION,769144.0,1004662.0,117327.0
7139.0,FIRST FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,BATON ROUGE, LA,3/16/1989 ,RTC,30907.0,TRANSFER,43409.0,39532.0,33673.0
7173.0,MERITBANC SAVINGS ASSOCIATION,SAVINGS ASSOCIATION,FEDERAL/STATE,HOUSTON, TX,3/16/1989 ,RTC,30780.0,ACQUISITION,322329.0,272134.0,226024.0
2976.0,ISLAND BANK,COMMERCIAL BANK,STATE,SOUTH PADRE ISLAND, TX,3/16/1989 ,FDIC,21850.0,ACQUISITION,17217.0,17538.0,6215.0
6991.0,HOME FS & LA OF CENTRALIA,SAVINGS ASSOCIATION,FEDERAL/STATE,CENTRALIA, IL,3/16/1989 ,RTC,28707.0,TRANSFER,48100.0,47627.0,3640.0
7186.0,FIRST FED. S & LA OF SEMINOLE,SAVINGS ASSOCIATION,FEDERAL/STATE,SEMINOLE, OK,3/16/1989 ,RTC,29128.0,TRANSFER,35362.0,33255.0,5523.0
7022.0,FINANCIAL SECURITY S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,DELRAY BEACH, FL,3/16/1989 ,RTC,32630.0,ACQUISITION,150437.0,142304.0,57846.0
7113.0,RUSK FED. S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,RUSK, TX,3/16/1989 ,RTC,29038.0,TRANSFER,47154.0,44556.0,24593.0
7237.0,MIDWEST HOME FSB,SAVINGS BANK,STATE,BELLEVILLE, IL,3/16/1989 ,RTC,27717.0,ACQUISITION,106123.0,123561.0,15646.0
2975.0,MERCHANTS MARINE BANK,COMMERCIAL BANK,STATE,PORT ISABEL, TX,3/16/1989 ,FDIC,18183.0,ACQUISITION,30355.0,30798.0,12155.0
2978.0,ENTERPRISE BANK OF FLORIDA,COMMERCIAL BANK,STATE,MIAMI LAKES, FL,3/17/1989 ,FDIC,26257.0,ACQUISITION,26309.0,28020.0,3613.0
2981.0,FIRST STATE BANK,COMMERCIAL BANK,STATE,ROGERS, TX,3/23/1989 ,FDIC,15903.0,ACQUISITION,9174.0,8962.0,2856.0
2979.0,FIRST BANK OF ROWLETT,COMMERCIAL BANK,STATE,ROWLETT, TX,3/23/1989 ,FDIC,21538.0,ACQUISITION,34788.0,35636.0,6945.0
2980.0,INDUSTRIAL BANK,COMMERCIAL BANK,STATE,HOUSTON, TX,3/23/1989 ,FDIC,16131.0,ACQUISITION,65314.0,64773.0,7524.0
2987.0,MBANK GREENVILLE, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,GREENVILLE, TX,3/28/1989 ,FDIC,1191.0,ACQUISITION,152701.0,153330.0,4857.0
2991.0,MBANK MARSHALL, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,MARSHALL, TX,3/28/1989 ,FDIC,3323.0,ACQUISITION,196957.0,210336.0,4998.0
2989.0,MBANK JEFFERSON COUNTY, NA,COMMERCIAL BANK,FEDERAL,PORT ARTHUR, TX,3/28/1989 ,FDIC,3393.0,ACQUISITION,307311.0,330935.0,16205.0
4000.0,MBANK ALAMO, NATIONAL ASSOCIATION,COMMERCIAL BANK,FEDERAL,SAN ANTONIO, TX,3/28/1989 ,FDIC,5509.0,ACQUISITION,708152.0,784855.0,82477.0
2996.0,MBANK SHERMAN, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,SHERMAN, TX,3/28/1989 ,FDIC,5528.0,ACQUISITION,271442.0,282027.0,3352.0
2998.0,MBANK THE WOODLANDS, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,THE WOODLANDS, TX,3/28/1989 ,FDIC,23160.0,ACQUISITION,155632.0,160119.0,6909.0
2988.0,MBANK HOUSTON, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,HOUSTON, TX,3/28/1989 ,FDIC,19456.0,ACQUISITION,2566889.0,3307498.0,731556.0
2992.0,MBANK MIDCITIES, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,ARLINGTON, TX,3/28/1989 ,FDIC,18571.0,ACQUISITION,331362.0,357997.0,6654.0
5962.0,MBANK ABILENE, NATIONAL ASSOCIATION,COMMERCIAL BANK,FEDERAL,ABILENE, TX,3/28/1989 ,FDIC,19019.0,TRANSFER,213188.0,199025.0,73254.0
2986.0,MBANK DENTON COUNTY, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,LEWISVILLE, TX,3/28/1989 ,FDIC,18790.0,ACQUISITION,212291.0,220122.0,1286.0
2993.0,MBANK ODESSA, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,ODESSA, TX,3/28/1989 ,FDIC,16254.0,ACQUISITION,298538.0,317623.0,7059.0
2994.0,MBANK ORANGE, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,ORANGE, TX,3/28/1989 ,FDIC,18144.0,ACQUISITION,144488.0,149828.0,4169.0
2990.0,MBANK LONGVIEW, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,LONGVIEW, TX,3/28/1989 ,FDIC,3309.0,ACQUISITION,254672.0,264994.0,11292.0
2995.0,MBANK ROUND ROCK, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,ROUND ROCK, TX,3/28/1989 ,FDIC,15342.0,ACQUISITION,162588.0,164598.0,17897.0
2982.0,MBANK AUSTIN, NATIONAL ASSOCIATION,COMMERCIAL BANK,FEDERAL,AUSTIN, TX,3/28/1989 ,FDIC,3083.0,ACQUISITION,560075.0,642018.0,87156.0
2983.0,MBANK BRENHAM, NATIONAL ASSOCIATION,COMMERCIAL BANK,FEDERAL,BRENHAM, TX,3/28/1989 ,FDIC,3112.0,ACQUISITION,132362.0,140264.0,5166.0
2984.0,MBANK CORSICANA, NATIONAL ASSOCIATION,COMMERCIAL BANK,FEDERAL,CORSICANA, TX,3/28/1989 ,FDIC,3154.0,ACQUISITION,160801.0,165084.0,900.0
2985.0,MBANK DALLAS, NATIONAL ASSOCIATION,COMMERCIAL BANK,FEDERAL,DALLAS, TX,3/28/1989 ,FDIC,3163.0,ACQUISITION,4033803.0,6556056.0,1610809.0
2999.0,MBANK FORT WORTH, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,FORT WORTH, TX,3/28/1989 ,FDIC,3201.0,ACQUISITION,624217.0,749114.0,153292.0
2997.0,MBANK WICHITA FALLS, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,WICHITA FALLS, TX,3/28/1989 ,FDIC,5585.0,ACQUISITION,450521.0,484828.0,15697.0
7124.0,BALDWIN COUNTY FED. SAVINGS BANK,SAVINGS BANK,STATE,ROBERTSDALE, AL,3/30/1989 ,RTC,28071.0,ACQUISITION,156816.0,171484.0,7328.0
4001.0,HARVARD BANK,COMMERCIAL BANK,STATE,TULSA, OK,3/30/1989 ,FDIC,22576.0,ACQUISITION,22822.0,23144.0,4034.0
6916.0,GREAT ATLANTIC SAVINGS BANK,SAVINGS BANK,STATE,MANTEO, NC,3/30/1989 ,RTC,32405.0,TRANSFER,123803.0,126807.0,48275.0
7010.0,BROADVIEW SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,CLEVELAND, OH,3/30/1989 ,RTC,28493.0,ACQUISITION,1136571.0,1778493.0,94678.0
7007.0,COMMUNITY FED. S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,NEWPORT NEWS, VA,3/30/1989 ,RTC,31884.0,ACQUISITION,10033.0,9421.0,1326.0
7169.0,CITY FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,BIRMINGHAM, AL,3/30/1989 ,RTC,30202.0,ACQUISITION,648197.0,711958.0,53289.0
7180.0,HERITAGE FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,MONROE, NC,3/30/1989 ,RTC,30613.0,ACQUISITION,254102.0,311668.0,49165.0
7160.0,MIDLAND BUCKEYE SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,ALLIANCE, OH,3/30/1989 ,RTC,29694.0,ACQUISITION,212267.0,218774.0,24858.0
7024.0,DURAND FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,DURAND, WI,3/30/1989 ,RTC,29306.0,TRANSFER,118954.0,106603.0,41838.0
5963.0,FIRST SERVICE BANK FOR SAVINGS,SAVINGS BANK,STATE,LEOMINSTER, MA,3/31/1989 ,FDIC,21973.0,TRANSFER,683356.0,880658.0,288210.0
5964.0,PREMIER BANK, A NATIONAL ASSOCIATION,COMMERCIAL BANK,FEDERAL,DALLAS, TX,3/31/1989 ,FDIC,25099.0,TRANSFER,35617.0,37064.0,16360.0
5965.0,INTERSTATE BANK OF COMMERCE,COMMERCIAL BANK,STATE,MIAMI, FL,3/31/1989 ,FDIC,26807.0,PAYOUT,6969.0,6406.0,1925.0
7119.0,GIBRALTAR SAVINGS, FA,SAVINGS ASSOCIATION,FEDERAL/STATE,SIMI VALLEY, CA,3/31/1989 ,RTC,31629.0,ACQUISITION,7575392.0,1.3382327E7,94595.0
7118.0,GIBRALTAR SAVINGS BANK, FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,SEATTLE, WA,3/31/1989 ,RTC,31392.0,ACQUISITION,1368547.0,1684381.0,59.0
7051.0,MURRAY SAVINGS ASSOCIATION,SAVINGS ASSOCIATION,FEDERAL/STATE,DALLAS, TX,4/5/1989 ,RTC,31256.0,ACQUISITION,1168399.0,1440640.0,384405.0
7148.0,GOLDEN CIRCLE SA,SAVINGS BANK,STATE,CORSICANA, TX,4/6/1989 ,RTC,32225.0,PAYOUT,18539.0,20520.0,4310.0
7001.0,ROYAL OAK S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,MANTECA, CA,4/6/1989 ,RTC,32132.0,TRANSFER,35528.0,34356.0,3103.0
6903.0,PARK CITIES SAVINGS ASSOCIATION,SAVINGS ASSOCIATION,FEDERAL/STATE,DALLAS, TX,4/6/1989 ,RTC,32279.0,TRANSFER,37040.0,43136.0,17023.0
6965.0,BEDFORD SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,BEDFORD, TX,4/6/1989 ,RTC,32278.0,ACQUISITION,102691.0,90784.0,75518.0
6913.0,AMERICAN FEDERAL SAVINGS BANK,SAVINGS BANK,STATE,AUSTIN, TX,4/6/1989 ,RTC,32268.0,TRANSFER,31689.0,33512.0,14136.0
6977.0,FIDELITY FSB,SAVINGS BANK,STATE,CORINTH, MS,4/6/1989 ,RTC,32259.0,ACQUISITION,135275.0,116410.0,96602.0
7036.0,FIRST OF KANSAS SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,HAYS, KS,4/6/1989 ,RTC,27777.0,TRANSFER,46245.0,53903.0,5970.0
7176.0,EQUITY FEDERAL SAVINGS BANK,SAVINGS BANK,STATE,DENVER, CO,4/6/1989 ,RTC,30705.0,PAYOUT,4999.0,4467.0,1906.0
7227.0,RESOURCE SA,SAVINGS ASSOCIATION,FEDERAL/STATE,DENISON, TX,4/6/1989 ,RTC,27638.0,PAYOUT,426296.0,616052.0,337549.0
7089.0,CASS FS & LA OF ST. LOUIS,SAVINGS ASSOCIATION,FEDERAL/STATE,FLORISSANT, MO,4/6/1989 ,RTC,29017.0,TRANSFER,65752.0,52439.0,12578.0
6924.0,UNIFIED SAVINGS FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,NORTHRIDGE, CA,4/6/1989 ,RTC,32506.0,PAYOUT,52295.0,35081.0,22633.0
4002.0,FIRST NATIONAL BANK OF NOCONA,COMMERCIAL BANK,FEDERAL,NOCONA, TX,4/6/1989 ,FDIC,3366.0,ACQUISITION,24092.0,23286.0,4703.0
6908.0,SIOUX VALLEY S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,CHEROKEE, IA,4/6/1989 ,RTC,30518.0,PAYOUT,90792.0,61788.0,41941.0
7210.0,CENTRAL TEXAS S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,WACO, TX,4/6/1989 ,RTC,30444.0,ACQUISITION,211337.0,216105.0,119282.0
7061.0,FIRST FS & LA OF ESTHERVILLE,SAVINGS ASSOCIATION,FEDERAL/STATE,ESTHERVILLE, IA,4/6/1989 ,RTC,29408.0,ACQUISITION,58862.0,60582.0,9682.0
7252.0,EXCEL BANC SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,LAREDO, TX,4/6/1989 ,RTC,30990.0,PAYOUT,158926.0,146706.0,69635.0
7014.0,FIRST FED. S & L OF SOUTHEAST MO.,SAVINGS ASSOCIATION,FEDERAL/STATE,CAPE GIRARDEAU, MO,4/6/1989 ,RTC,27775.0,ACQUISITION,332070.0,385144.0,33437.0
6911.0,PERPETUAL SAVINGS ASSOCIATION,SAVINGS ASSOCIATION,FEDERAL/STATE,SANTA ANA, CA,4/6/1989 ,RTC,32528.0,TRANSFER,28992.0,18736.0,12595.0
6912.0,CITY S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,WESTLAKE VILLAGE, CA,4/6/1989 ,RTC,32197.0,TRANSFER,34047.0,33332.0,2604.0
6958.0,CENTENNIAL SAVINGS BANK,SAVINGS BANK,STATE,GREENVILLE, TX,4/6/1989 ,RTC,27655.0,ACQUISITION,82680.0,105980.0,32178.0
6967.0,FINANCIAL FEDERAL SA,SAVINGS ASSOCIATION,FEDERAL/STATE,JOPLIN, MO,4/6/1989 ,RTC,29458.0,ACQUISITION,173078.0,161427.0,44820.0
7018.0,AMERICAN FS & LA OF COLORADO,SAVINGS ASSOCIATION,FEDERAL/STATE,COLORADO SPRINGS, CO,4/6/1989 ,RTC,29073.0,ACQUISITION,681014.0,720437.0,443513.0
6925.0,FIRST CALIFORNIA SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,ORANGE, CA,4/6/1989 ,RTC,32560.0,TRANSFER,194491.0,161360.0,73745.0
4003.0,ST. TAMMANY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,MANDEVILLE, LA,4/6/1989 ,FDIC,23389.0,ACQUISITION,44659.0,47115.0,5832.0
7106.0,REPUBLIC BANK FOR SAVINGS,SAVINGS BANK,STATE,JACKSON, MS,4/6/1989 ,RTC,31542.0,TRANSFER,85165.0,43367.0,73564.0
6994.0,STATE MUTUAL FED. S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,JACKSON, MS,4/6/1989 ,RTC,31252.0,ACQUISITION,9772.0,8656.0,4006.0
6966.0,HERITAGE BANC SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,DUNCANVILLE, TX,4/6/1989 ,RTC,31334.0,ACQUISITION,146382.0,177727.0,87062.0
7272.0,FOUNDERS FEDERAL S & L,SAVINGS ASSOCIATION,FEDERAL/STATE,LOS ANGELES, CA,4/6/1989 ,RTC,31697.0,TRANSFER,166509.0,134696.0,77724.0
7019.0,CITY FEDERAL S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,OAKLAND, CA,4/6/1989 ,RTC,31691.0,TRANSFER,27926.0,20309.0,11604.0
6980.0,FIRST FED. SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,EAST ALTON, IL,4/6/1989 ,RTC,28228.0,TRANSFER,55660.0,55556.0,7205.0
7192.0,CENTRAL S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,JACKSON, MS,4/6/1989 ,RTC,31831.0,TRANSFER,72912.0,52091.0,41027.0
7105.0,DELTA FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,DREW, MS,4/6/1989 ,RTC,31855.0,TRANSFER,13814.0,10280.0,8529.0
6969.0,LIBERTYVILLE FED. S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,LIBERTYVILLE, IL,4/6/1989 ,RTC,27663.0,ACQUISITION,95454.0,100959.0,8.0
7002.0,WASHINGTON S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,STOCKTON, CA,4/6/1989 ,RTC,32087.0,TRANSFER,68684.0,66747.0,6.0
7003.0,CABRILLO FEDERAL SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,SAN JOSE, CA,4/6/1989 ,RTC,32146.0,ACQUISITION,61915.0,71844.0,1567.0
6962.0,MERIDIAN SAVING ASSOCIATION,SAVINGS ASSOCIATION,FEDERAL/STATE,ARLINGTON, TX,4/6/1989 ,RTC,32048.0,TRANSFER,434862.0,48872.0,531288.0
7056.0,GATEWAY FEDERAL SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,OAKLAND, CA,4/6/1989 ,RTC,32059.0,ACQUISITION,126174.0,72701.0,81305.0
6987.0,ARROWHEAD PACIFIC FEDERAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,SAN BERNARDINO, CA,4/6/1989 ,RTC,32045.0,PAYOUT,88145.0,60227.0,35004.0
6941.0,INDEPENDENCE S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,VALLEJO, CA,4/6/1989 ,RTC,31766.0,TRANSFER,361620.0,440004.0,23391.0
4004.0,THE COMMONWEALTH BANK,COMMERCIAL BANK,STATE,BELLAIRE, TX,4/12/1989 ,FDIC,22151.0,ACQUISITION,57210.0,65781.0,6865.0
4005.0,ALLIED OKLAHOMA BANK, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,OKLAHOMA CITY, OK,4/13/1989 ,FDIC,19752.0,ACQUISITION,61001.0,58267.0,11179.0
7283.0,LINCOLN SAVINGS & LOAN,SAVINGS ASSOCIATION,FEDERAL/STATE,IRVINE, CA,4/14/1989 ,RTC,29642.0,ACQUISITION,4193981.0,4857204.0,3142552.0
4006.0,TRAVIS BANK AND TRUST,COMMERCIAL BANK,STATE,AUSTIN, TX,4/20/1989 ,FDIC,20053.0,ACQUISITION,52327.0,53860.0,13329.0
4007.0,FIRST STATE BANK,COMMERCIAL BANK,STATE,DEANVILLE, TX,4/20/1989 ,FDIC,17020.0,ACQUISITION,9349.0,9419.0,1267.0
4008.0,CONTINENTAL NATIONAL BANK,COMMERCIAL BANK,FEDERAL,SAN ANTONIO, TX,4/20/1989 ,FDIC,22099.0,ACQUISITION,12613.0,12204.0,3374.0
4009.0,ALLIANCE BANK,COMMERCIAL BANK,STATE,ANCHORAGE, AK,4/21/1989 ,FDIC,18462.0,ACQUISITION,797169.0,778973.0,75908.0
4011.0,BANK OF LAKEWOOD, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,LAKEWOOD, CO,4/27/1989 ,FDIC,23735.0,ACQUISITION,8342.0,9666.0,3412.0
6973.0,WESTCO SAVINGS BANK, FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,WILMINGTON, CA,4/27/1989 ,RTC,28508.0,TRANSFER,181399.0,188286.0,42586.0
7229.0,SOUTHWEST FEDERAL SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,LOS ANGELES, CA,4/27/1989 ,RTC,30262.0,ACQUISITION,791774.0,896825.0,74617.0
7196.0,METROPOLITAN FED. S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,DENVILLE, NJ,4/27/1989 ,RTC,30374.0,ACQUISITION,174853.0,168244.0,16.0
6945.0,SEABANK FED. SAVINGS BANK,SAVINGS BANK,STATE,MYRTLE BEACH, SC,4/27/1989 ,RTC,32231.0,ACQUISITION,33632.0,35353.0,5306.0
4010.0,SEMINOLE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,HOLLYWOOD, FL,4/27/1989 ,FDIC,25794.0,ACQUISITION,7648.0,6594.0,1241.0
4012.0,KATY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,KATY, TX,5/4/1989 ,FDIC,17436.0,ACQUISITION,55294.0,52033.0,17831.0
4014.0,GREATER TEXAS BANK LEANDER,COMMERCIAL BANK,STATE,LEANDER, TX,5/4/1989 ,FDIC,24657.0,ACQUISITION,22175.0,20561.0,11045.0
4013.0,FIRST NATIONAL BANK OF EAST BATON ROUGE,COMMERCIAL BANK,FEDERAL,BATON ROUGE, LA,5/4/1989 ,FDIC,24318.0,ACQUISITION,30497.0,28297.0,7588.0
4015.0,LEXINGTON STATE BANK,COMMERCIAL BANK,STATE,LEXINGTON, TX,5/11/1989 ,FDIC,11918.0,ACQUISITION,13907.0,13794.0,3073.0
4016.0,LEWIS COUNTY SAVINGS AND LOAN CO,COMMERCIAL BANK,STATE,WESTON, WV,5/12/1989 ,FDIC,26636.0,ACQUISITION,3925.0,3986.0,405.0
4017.0,THE FIRST NATIONAL BANK OF GORDON,COMMERCIAL BANK,FEDERAL,GORDON, TX,5/18/1989 ,FDIC,3223.0,ACQUISITION,11559.0,10864.0,1304.0
4018.0,SECURITY BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,WHARTON, TX,5/18/1989 ,FDIC,1220.0,ACQUISITION,37106.0,34808.0,9381.0
4019.0,FIRST NATIONAL BANK AT OSWEGO,COMMERCIAL BANK,FEDERAL,OSWEGO, KS,5/18/1989 ,FDIC,4749.0,ACQUISITION,23343.0,24023.0,1917.0
4020.0,THE BANK OF EDMOND, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,EDMOND, OK,5/18/1989 ,FDIC,25218.0,ACQUISITION,8525.0,8078.0,680.0
5967.0,GRAND CANYON STATE BANK,COMMERCIAL BANK,STATE,SCOTTSDALE, AZ,5/19/1989 ,FDIC,23753.0,TRANSFER,13246.0,14607.0,4370.0
5968.0,BANK OF AURORA,COMMERCIAL BANK,STATE,AURORA, CO,5/24/1989 ,FDIC,24917.0,PAYOUT,6578.0,6901.0,2468.0
4022.0,FIRST EASTERN BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,NEW ORLEANS, LA,5/24/1989 ,FDIC,24595.0,ACQUISITION,29215.0,29422.0,7676.0
4021.0,COMMERCE AND ENERGY BANK,COMMERCIAL BANK,STATE,LAFAYETTE, LA,5/24/1989 ,FDIC,23545.0,ACQUISITION,27111.0,29468.0,6666.0
4023.0,LIBERTY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,DALLAS, TX,5/25/1989 ,FDIC,23108.0,ACQUISITION,68277.0,67505.0,23284.0
4024.0,THE FIRST STATE BANK,COMMERCIAL BANK,STATE,FORGAN, OK,5/31/1989 ,FDIC,6012.0,ACQUISITION,11060.0,11698.0,365.0
5970.0,LAKE COUNTRY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,BURNET, TX,6/8/1989 ,FDIC,24542.0,TRANSFER,8360.0,7536.0,1654.0
5971.0,FIRST AMERICAN BANK,COMMERCIAL BANK,STATE,SAN ANTONIO, TX,6/8/1989 ,FDIC,26547.0,TRANSFER,13608.0,13286.0,3063.0
7021.0,HORIZON FINANCIAL, FA,SAVINGS ASSOCIATION,FEDERAL/STATE,SOUTHAMPTON, PA,6/8/1989 ,RTC,29830.0,ACQUISITION,1797508.0,2492405.0,305925.0
7382.0,CIVIC SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,PORTSMOUTH, OH,6/8/1989 ,RTC,28625.0,ACQUISITION,101253.0,98696.0,12886.0
5969.0,FULSHEAR STATE BANK,COMMERCIAL BANK,STATE,FULSHEAR, TX,6/8/1989 ,FDIC,23945.0,PAYOUT,10686.0,10697.0,2349.0
