realtime_end,date,realtime_start,value
2018-12-07,2008-08-01,2018-12-07,100366
2018-12-07,2008-09-01,2018-12-07,97303
2018-12-07,2008-10-01,2018-12-07,96609
2018-12-07,2008-11-01,2018-12-07,86093
2018-12-07,2008-12-01,2018-12-07,77112
2018-12-07,2009-01-01,2018-12-07,67301
2018-12-07,2009-02-01,2018-12-07,67030
2018-12-07,2009-03-01,2018-12-07,71985
2018-12-07,2009-04-01,2018-12-07,75043
2018-12-07,2009-05-01,2018-12-07,76661
2018-12-07,2009-06-01,2018-12-07,82089
2018-12-07,2009-07-01,2018-12-07,83885
2018-12-07,2009-08-01,2018-12-07,84426
2018-12-07,2009-09-01,2018-12-07,82037
2018-12-07,2009-10-01,2018-12-07,79952
2018-12-07,2009-11-01,2018-12-07,71527
2018-12-07,2009-12-01,2018-12-07,64608
2018-12-07,2010-01-01,2018-12-07,55362
2018-12-07,2010-02-01,2018-12-07,54986
2018-12-07,2010-03-01,2018-12-07,60990
2018-12-07,2010-04-01,2018-12-07,66565
2018-12-07,2010-05-01,2018-12-07,68903
2018-12-07,2010-06-01,2018-12-07,74806
2018-12-07,2010-07-01,2018-12-07,73918
2018-12-07,2010-08-01,2018-12-07,76554
2018-12-07,2010-09-01,2018-12-07,75818
2018-12-07,2010-10-01,2018-12-07,73386
2018-12-07,2010-11-01,2018-12-07,67318
2018-12-07,2010-12-01,2018-12-07,60648
2018-12-07,2011-01-01,2018-12-07,50973
2018-12-07,2011-02-01,2018-12-07,51017
2018-12-07,2011-03-01,2018-12-07,57148
2018-12-07,2011-04-01,2018-12-07,61590
2018-12-07,2011-05-01,2018-12-07,65430
2018-12-07,2011-06-01,2018-12-07,72495
2018-12-07,2011-07-01,2018-12-07,72253
2018-12-07,2011-08-01,2018-12-07,76986
2018-12-07,2011-09-01,2018-12-07,75871
2018-12-07,2011-10-01,2018-12-07,73783
2018-12-07,2011-11-01,2018-12-07,68203
2018-12-07,2011-12-01,2018-12-07,62582
2018-12-07,2012-01-01,2018-12-07,56608
2018-12-07,2012-02-01,2018-12-07,56994
2018-12-07,2012-03-01,2018-12-07,61803
2018-12-07,2012-04-01,2018-12-07,67002
2018-12-07,2012-05-01,2018-12-07,72228
2018-12-07,2012-06-01,2018-12-07,77580
2018-12-07,2012-07-01,2018-12-07,78305
2018-12-07,2012-08-01,2018-12-07,81152
2018-12-07,2012-09-01,2018-12-07,79404
2018-12-07,2012-10-01,2018-12-07,80287
2018-12-07,2012-11-01,2018-12-07,73071
2018-12-07,2012-12-01,2018-12-07,66022
2018-12-07,2013-01-01,2018-12-07,58821
2018-12-07,2013-02-01,2018-12-07,58898
2018-12-07,2013-03-01,2018-12-07,64190
2018-12-07,2013-04-01,2018-12-07,70601
2018-12-07,2013-05-01,2018-12-07,75775
2018-12-07,2013-06-01,2018-12-07,80997
2018-12-07,2013-07-01,2018-12-07,84346
2018-12-07,2013-08-01,2018-12-07,86776
2018-12-07,2013-09-01,2018-12-07,85825
2018-12-07,2013-10-01,2018-12-07,86551
2018-12-07,2013-11-01,2018-12-07,79695
2018-12-07,2013-12-01,2018-12-07,73876
2018-12-07,2014-01-01,2018-12-07,67391
2018-12-07,2014-02-01,2018-12-07,66916
2018-12-07,2014-03-01,2018-12-07,73899
2018-12-07,2014-04-01,2018-12-07,80749
2018-12-07,2014-05-01,2018-12-07,85599
2018-12-07,2014-06-01,2018-12-07,90712
2018-12-07,2014-07-01,2018-12-07,92585
2018-12-07,2014-08-01,2018-12-07,93261
2018-12-07,2014-09-01,2018-12-07,93193
2018-12-07,2014-10-01,2018-12-07,94888
2018-12-07,2014-11-01,2018-12-07,86262
2018-12-07,2014-12-01,2018-12-07,80174
2018-12-07,2015-01-01,2018-12-07,72124
2018-12-07,2015-02-01,2018-12-07,72862
2018-12-07,2015-03-01,2018-12-07,81867
2018-12-07,2015-04-01,2018-12-07,89457
2018-12-07,2015-05-01,2018-12-07,95890
2018-12-07,2015-06-01,2018-12-07,104275
2018-12-07,2015-07-01,2018-12-07,105018
2018-12-07,2015-08-01,2018-12-07,105830
2018-12-07,2015-09-01,2018-12-07,104823
2018-12-07,2015-10-01,2018-12-07,102145
2018-12-07,2015-11-01,2018-12-07,93367
2018-12-07,2015-12-01,2018-12-07,85989
2018-12-07,2016-01-01,2018-12-07,78769
2018-12-07,2016-02-01,2018-12-07,81119
2018-12-07,2016-03-01,2018-12-07,90456
2018-12-07,2016-04-01,2018-12-07,95044
2018-12-07,2016-05-01,2018-12-07,100821
2018-12-07,2016-06-01,2018-12-07,109054
2018-12-07,2016-07-01,2018-12-07,108957
2018-12-07,2016-08-01,2018-12-07,110832
2018-12-07,2016-09-01,2018-12-07,109963
2018-12-07,2016-10-01,2018-12-07,108816
2018-12-07,2016-11-01,2018-12-07,103580
2018-12-07,2016-12-01,2018-12-07,94402
2018-12-07,2017-01-01,2018-12-07,85197
2018-12-07,2017-02-01,2018-12-07,86184
2018-12-07,2017-03-01,2018-12-07,96501
2018-12-07,2017-04-01,2018-12-07,100925
2018-12-07,2017-05-01,2018-12-07,107848
2018-12-07,2017-06-01,2018-12-07,112983
2018-12-07,2017-07-01,2018-12-07,114029
2018-12-07,2017-08-01,2018-12-07,115070
2018-12-07,2017-09-01,2018-12-07,112515
2018-12-07,2017-10-01,2018-12-07,112306
2018-12-07,2017-11-01,2018-12-07,105707
2018-12-07,2017-12-01,2018-12-07,96734
2018-12-07,2018-01-01,2018-12-07,88504
2018-12-07,2018-02-01,2018-12-07,90888
2018-12-07,2018-03-01,2018-12-07,98867
2018-12-07,2018-04-01,2018-12-07,107210
2018-12-07,2018-05-01,2018-12-07,114797
2018-12-07,2018-06-01,2018-12-07,118720
2018-12-07,2018-07-01,2018-12-07,120897
2018-12-07,2018-08-01,2018-12-07,121262
2018-12-07,2018-09-01,2018-12-07,117898
2018-12-07,2018-10-01,2018-12-07,117333
