Unnamed: 0,price,brand,model,year,title_status,mileage,color,vin,lot,state,country,condition
964.0,26900.0,dodge,durango,2019.0,clean vehicle,16397.0,white,  1c4rdjdg2kc780335,1.67580494E8,arizona, usa,20 hours left
965.0,16900.0,dodge,caravan,2019.0,clean vehicle,16176.0,white,  2c4rdgeg7kr743175,1.67580498E8,arizona, usa,20 hours left
966.0,19500.0,dodge,caravan,2019.0,clean vehicle,1091.0,gray,  2c4rdgcg0kr798456,1.67580505E8,arizona, usa,20 hours left
967.0,15400.0,dodge,caravan,2019.0,clean vehicle,17472.0,black,  2c4rdgcg3kr747548,1.67580517E8,arizona, usa,20 hours left
968.0,2300.0,dodge,door,2012.0,clean vehicle,123882.0,white,  1c3cdzag7cn309641,1.6779116E8,texas, usa,7 hours left
969.0,17000.0,dodge,charger,2019.0,clean vehicle,10341.0,red,  2c3cdxbg0kh753132,1.67722603E8,california, usa,1 days left
970.0,34000.0,dodge,durango,2019.0,clean vehicle,19695.0,black,  1c4sdjet3kc625404,1.67600947E8,new jersey, usa,2 hours left
971.0,13700.0,dodge,journey,2017.0,clean vehicle,51041.0,black,  3c4pddgg5ht702827,1.67605371E8,pennsylvania, usa,1 days left
972.0,19100.0,dodge,challenger,2018.0,clean vehicle,22646.0,white,  2c3cdzag1jh288453,1.67792687E8,west virginia, usa,2 days left
973.0,11800.0,dodge,journey,2018.0,clean vehicle,18138.0,white,  3c4pdcab0jt444388,1.67792692E8,west virginia, usa,2 days left
974.0,27500.0,dodge,durango,2019.0,clean vehicle,23987.0,gray,  1c4rdjdg6kc701149,1.67724305E8,nevada, usa,6 hours left
975.0,26900.0,dodge,durango,2019.0,clean vehicle,17160.0,black,  1c4rdjdg6kc770276,1.67724309E8,nevada, usa,6 hours left
976.0,27100.0,dodge,durango,2019.0,clean vehicle,26929.0,white,  1c4rdjdgxkc770197,1.67724315E8,nevada, usa,6 hours left
977.0,27200.0,dodge,durango,2019.0,clean vehicle,25815.0,white,  1c4rdjdg5kc744770,1.67724371E8,nevada, usa,6 hours left
978.0,9000.0,dodge,caravan,2017.0,clean vehicle,81992.0,silver,  2c4rdgcg9hr818437,1.67607358E8,florida, usa,4 days left
979.0,22500.0,dodge,challenger,2019.0,clean vehicle,5000.0,gray,  2c3cdzag6kh668955,1.6772517E8,south carolina, usa,21 hours left
980.0,7700.0,dodge,door,2015.0,clean vehicle,62683.0,white,  1c3cdfcb9fd102064,1.6779303E8,west virginia, usa,2 days left
981.0,4500.0,dodge,van,2013.0,clean vehicle,107224.0,white,  2c4rdgbg6dr505681,1.6760984E8,florida, usa,4 days left
982.0,2200.0,dodge,door,2013.0,salvage insurance,184905.0,gray,  3c4pddbg6dt605945,1.6761118E8,illinois, usa,16 hours left
983.0,21500.0,dodge,charger,2019.0,clean vehicle,35153.0,black,  2c3cdxhg6kh611276,1.67611458E8,pennsylvania, usa,6 days left
984.0,18800.0,dodge,challenger,2019.0,clean vehicle,26474.0,orange,  2c3cdzag9kh617109,1.67611459E8,pennsylvania, usa,6 days left
985.0,21800.0,dodge,charger,2019.0,clean vehicle,30943.0,red,  2c3cdxhg0kh608762,1.6761146E8,pennsylvania, usa,6 days left
986.0,20300.0,dodge,challenger,2019.0,clean vehicle,17154.0,black,  2c3cdzgg1kh712965,1.67611462E8,pennsylvania, usa,6 days left
987.0,8200.0,dodge,van,2016.0,clean vehicle,79637.0,white,  2c4rdgcg4gr384748,1.67727312E8,south carolina, usa,21 hours left
988.0,19000.0,dodge,caravan,2019.0,clean vehicle,12123.0,red,  2c4rdgeg1kr664259,1.67611463E8,pennsylvania, usa,6 days left
989.0,8400.0,dodge,door,2016.0,clean vehicle,107822.0,blue,  2c3cdxhg4gh237287,1.67727324E8,south carolina, usa,21 hours left
990.0,19500.0,dodge,caravan,2019.0,clean vehicle,10221.0,blue,  2c4rdgeg2kr724727,1.67611466E8,pennsylvania, usa,6 days left
991.0,7000.0,dodge,door,2015.0,clean vehicle,95278.0,blue,  3c4pdcab4ft518015,1.67727515E8,south carolina, usa,21 hours left
992.0,19500.0,dodge,challenger,2019.0,clean vehicle,13457.0,gray,  2c3cdzag2kh656320,1.67611467E8,pennsylvania, usa,6 days left
993.0,8500.0,dodge,van,2014.0,clean vehicle,69936.0,blue,  2c4rdgbg3er453122,1.6779343E8,missouri, usa,21 hours left
994.0,20500.0,dodge,challenger,2019.0,clean vehicle,13520.0,gray,  2c3cdzgg0kh702489,1.67611468E8,pennsylvania, usa,6 days left
995.0,4900.0,dodge,door,2014.0,clean vehicle,96922.0,silver,  1c3cdfbb6ed862064,1.67727578E8,south carolina, usa,21 hours left
996.0,20800.0,dodge,door,2014.0,clean vehicle,72594.0,black,  1c4sdjct7ec971656,1.67793438E8,missouri, usa,21 hours left
997.0,28500.0,dodge,durango,2019.0,clean vehicle,17896.0,silver,  1c4rdjdg3kc827484,1.67611469E8,pennsylvania, usa,6 days left
998.0,21900.0,dodge,caravan,2019.0,clean vehicle,11088.0,silver,  2c4rdgegxkr786263,1.6761147E8,pennsylvania, usa,6 days left
999.0,15800.0,dodge,caravan,2019.0,clean vehicle,29567.0,black,  2c4rdgeg6kr623139,1.67796317E8,nevada, usa,2 days left
1000.0,33000.0,dodge,durango,2019.0,clean vehicle,15655.0,white,  1c4sdjct2kc683796,1.67730778E8,colorado, usa,16 hours left
1001.0,22700.0,dodge,challenger,2019.0,clean vehicle,26428.0,black,  2c3cdzbt4kh642012,1.67796319E8,nevada, usa,2 days left
1002.0,21900.0,dodge,charger,2019.0,clean vehicle,29003.0,white,  2c3cdxhg2kh585016,1.67611474E8,pennsylvania, usa,6 days left
1003.0,19300.0,dodge,charger,2019.0,clean vehicle,32229.0,red,  2c3cdxbg2kh644607,1.67611475E8,pennsylvania, usa,6 days left
1004.0,30700.0,dodge,durango,2019.0,clean vehicle,26503.0,black,  1c4sdjct0kc744790,1.67796327E8,nevada, usa,2 days left
1005.0,19300.0,dodge,challenger,2019.0,clean vehicle,15446.0,black,  2c3cdzag2kh679841,1.67611476E8,pennsylvania, usa,6 days left
1006.0,13750.0,dodge,caravan,2014.0,clean vehicle,128556.0,white,  2c7wdgbg1er432307,1.67733402E8,california, usa,5 hours left
1007.0,16400.0,dodge,caravan,2019.0,clean vehicle,23369.0,silver,  2c4rdgcg9kr696007,1.67796331E8,nevada, usa,2 days left
1008.0,19500.0,dodge,caravan,2019.0,clean vehicle,8767.0,black,  2c4rdgeg8kr695119,1.67611477E8,pennsylvania, usa,6 days left
1009.0,15100.0,dodge,caravan,2019.0,clean vehicle,48319.0,white,  2c4rdgeg2kr565983,1.67796338E8,nevada, usa,2 days left
1010.0,28500.0,dodge,durango,2019.0,clean vehicle,15275.0,black,  1c4rdjdg0kc622141,1.67611478E8,pennsylvania, usa,6 days left
1011.0,15300.0,dodge,caravan,2019.0,clean vehicle,33826.0,white,  2c4rdgcg2kr648283,1.67796618E8,nevada, usa,2 days left
1012.0,20300.0,dodge,challenger,2019.0,clean vehicle,16679.0,white,  2c3cdzgg3kh684649,1.67611479E8,pennsylvania, usa,6 days left
1013.0,22000.0,dodge,charger,2019.0,clean vehicle,26184.0,gray,  2c3cdxhg3kh630447,1.6761148E8,pennsylvania, usa,6 days left
1014.0,16700.0,dodge,journey,2019.0,clean vehicle,21203.0,gray,  3c4pddgg5kt779690,1.67796665E8,nevada, usa,2 days left
1015.0,19300.0,dodge,challenger,2019.0,clean vehicle,17870.0,black,  2c3cdzag6kh701727,1.67611481E8,pennsylvania, usa,6 days left
1016.0,34100.0,dodge,durango,2019.0,clean vehicle,17909.0,gray,  1c4sdjct3kc820776,1.67734876E8,michigan, usa,21 hours left
1017.0,14600.0,dodge,caravan,2019.0,clean vehicle,41126.0,silver,  2c4rdgcg5kr606318,1.67796677E8,nevada, usa,2 days left
1018.0,18200.0,dodge,caravan,2019.0,clean vehicle,14098.0,red,  2c4rdgcgxkr753573,1.67611636E8,pennsylvania, usa,6 days left
1019.0,33800.0,dodge,durango,2019.0,clean vehicle,15003.0,black,  1c4sdjct1kc817603,1.67734879E8,michigan, usa,21 hours left
1020.0,15900.0,dodge,journey,2019.0,clean vehicle,29105.0,black,  3c4pddgg3kt720539,1.67796678E8,nevada, usa,2 days left
1021.0,16500.0,dodge,caravan,2019.0,clean vehicle,34794.0,black,  2c4rdgeg9kr518336,1.67611637E8,pennsylvania, usa,6 days left
1022.0,29600.0,dodge,durango,2019.0,clean vehicle,20034.0,silver,  1c4rdjdg9kc722562,1.6773488E8,michigan, usa,21 hours left
1023.0,14100.0,dodge,caravan,2019.0,clean vehicle,46942.0,black,  2c4rdgcg1kr520021,1.67796679E8,nevada, usa,2 days left
1024.0,18200.0,dodge,caravan,2019.0,clean vehicle,14753.0,white,  2c4rdgcg3kr765807,1.67611639E8,pennsylvania, usa,6 days left
1025.0,18200.0,dodge,caravan,2019.0,clean vehicle,14359.0,black,  2c4rdgcg5kr749382,1.6761164E8,pennsylvania, usa,6 days left
1026.0,24300.0,dodge,charger,2019.0,clean vehicle,34922.0,black,  2c3cdxjg8kh573477,1.6773489E8,michigan, usa,21 hours left
1027.0,15400.0,dodge,journey,2019.0,clean vehicle,20944.0,white,  3c4pdcgg4kt815525,1.67796686E8,nevada, usa,2 days left
1028.0,19000.0,dodge,journey,2019.0,clean vehicle,9877.0,white,  3c4pddgg1kt858578,1.67611644E8,pennsylvania, usa,6 days left
1029.0,19000.0,dodge,journey,2019.0,clean vehicle,8949.0,black,  3c4pddgg8kt858576,1.67611647E8,pennsylvania, usa,6 days left
1030.0,27800.0,dodge,challenger,2017.0,clean vehicle,13627.0,gray,  2c3cdzbt8hh655998,1.67736227E8,georgia, usa,21 hours left
1031.0,18200.0,dodge,journey,2019.0,clean vehicle,18291.0,blue,  3c4pddgg9kt805269,1.67611653E8,pennsylvania, usa,6 days left
1032.0,15000.0,dodge,journey,2018.0,clean vehicle,38029.0,white,  3c4pdceg6jt516474,1.67612012E8,pennsylvania, usa,6 days left
1033.0,19200.0,dodge,caravan,2017.0,clean vehicle,32593.0,gray,  2c4rdgeg6hr575487,1.67736343E8,michigan, usa,21 hours left
1034.0,15500.0,dodge,caravan,2018.0,clean vehicle,37352.0,red,  2c4rdgeg8jr340109,1.67612017E8,pennsylvania, usa,6 days left
1035.0,24900.0,dodge,challenger,2017.0,clean vehicle,23030.0,green,  2c3cdzgg8hh584894,1.67736354E8,michigan, usa,21 hours left
