Year,Product,Origin,Destination / PADD,Mode of Transportation,Volume (m3),Volume (bbl),Value (CN$),Value (US$),Price (CN cents/L),Price (US cents/gallon)
1990,Propane,Alberta,PADD IV,Truck,83770.9,526902.20682,8045953.67,6907322.87891,9.604711,31.212485
1990,Propane,Alberta,PADD V,Railway,157339.7,989635.24506,15309440.82,13144432.34512,9.730183,31.62389
1990,Propane,Alberta,PADD V,Total,168582.5,1060350.2085,16383850.97,14067789.66875,9.718595,31.588217
1990,Propane,Alberta,PADD V,Truck,11242.8,70714.96344,1074410.15,923357.32363,9.556428,31.089021
1990,Propane,Alberta,Total,Railway,233345.2,1467694.63896,24440904.43,20970468.98177,10.47414,34.018958
1990,Propane,Alberta,Total,Total,329875.3,2074849.66194,33733957.53,28950105.94388,10.226275,33.220954
1990,Propane,Alberta,Total,Truck,96530.1,607155.02298,9293053.1,7979636.96211,9.627103,31.291914
1990,Propane,British Columbia,PADD IV,Railway,12038.6,75720.38628,1244291.94,1066886.39623,10.335852,33.547021
1990,Propane,British Columbia,PADD IV,Total,12118.6,76223.57028,1250315.94,1071921.14384,10.317329,33.482828
1990,Propane,British Columbia,PADD IV,Truck,80.0,503.184,6024.0,5034.74761,7.53,23.823165
1990,Propane,British Columbia,PADD V,Railway,125872.0,791709.7056,12762612.19,10937693.58823,10.139357,32.89337
1990,Propane,British Columbia,PADD V,Total,133401.2,839066.86776,13650418.99,11702706.95068,10.232605,33.207664
1990,Propane,British Columbia,PADD V,Truck,7529.2,47357.16216,887806.8,765013.36245,11.791515,38.462007
1990,Propane,British Columbia,Total,Railway,137910.6,867430.09188,14006904.13,12004579.98446,10.15651,32.950431
1990,Propane,British Columbia,Total,Total,145519.8,915290.43804,14900734.93,12774628.09452,10.239661,33.230581
1990,Propane,British Columbia,Total,Truck,7609.2,47860.34616,893830.8,770048.11006,11.746711,38.3081
1990,Propane,Manitoba,PADD II,Railway,130467.4,820613.85252,15867938.96,13633961.70553,12.162378,39.557771
1990,Propane,Manitoba,PADD II,Total,178924.5,1125399.3201,21375914.52,18356341.22534,11.94689,38.835426
1990,Propane,Manitoba,PADD II,Truck,48457.1,304785.46758,5507975.56,4722379.51981,11.366704,36.890559
1990,Propane,Manitoba,PADD IV,Railway,355.0,2232.879,42600.0,36368.01076,12.0,38.779568
1990,Propane,Manitoba,PADD IV,Total,1309.0,8233.3482,144317.0,124008.49136,11.02498,35.861093
1990,Propane,Manitoba,PADD IV,Truck,954.0,6000.4692,101717.0,87640.4806,10.662159,34.775081
1990,Propane,Manitoba,PADD V,Total,69.0,433.9962,8466.3,7299.70721,12.27,40.046825
1990,Propane,Manitoba,PADD V,Truck,69.0,433.9962,8466.3,7299.70721,12.27,40.046825
1990,Propane,Manitoba,Total,Railway,130822.4,822846.73152,15910538.96,13670329.71629,12.161937,39.555658
1990,Propane,Manitoba,Total,Total,180302.5,1134066.6645,21528697.82,18487649.42391,11.940321,38.814295
1990,Propane,Manitoba,Total,Truck,49480.1,311219.93298,5618158.86,4817319.70762,11.35438,36.854174
1990,Propane,New Brunswick,PADD I,Marine,6075.0,38210.535,944400.0,809040.1531,15.545679,50.412189
1990,Propane,New Brunswick,PADD I,Railway,120.0,754.776,8880.0,7629.81642,7.4,24.068255
1990,Propane,New Brunswick,PADD I,Total,6195.0,38965.311,953280.0,816669.96952,15.387893,49.901895
1990,Propane,New Brunswick,Other,Marine,456.0,2868.1488,122240.0,103664.86182,26.807017,86.055474
1990,Propane,New Brunswick,Other,Total,456.0,2868.1488,122240.0,103664.86182,26.807017,86.055474
1990,Propane,New Brunswick,Total,Marine,6531.0,41078.6838,1066640.0,912705.01492,16.331955,52.900833
1990,Propane,New Brunswick,Total,Railway,120.0,754.776,8880.0,7629.81642,7.4,24.068255
1990,Propane,New Brunswick,Total,Total,6651.0,41833.4598,1075520.0,920334.83134,16.170801,52.380624
1990,Propane,Northwest Territories,PADD V,Total,87.0,547.2126,28539.5,24271.35236,32.804022,105.60549
1990,Propane,Northwest Territories,PADD V,Truck,87.0,547.2126,28539.5,24271.35236,32.804022,105.60549
1990,Propane,Northwest Territories,Total,Total,87.0,547.2126,28539.5,24271.35236,32.804022,105.60549
1990,Propane,Northwest Territories,Total,Truck,87.0,547.2126,28539.5,24271.35236,32.804022,105.60549
1990,Propane,Ontario,PADD I,Railway,228992.3,1440315.76854,27665264.13,23695430.79945,12.081307,39.170172
1990,Propane,Ontario,PADD I,Total,324450.6,2040729.38388,40019257.09,34265314.09716,12.334468,39.977708
1990,Propane,Ontario,PADD I,Truck,95458.3,600413.61534,12353992.96,10569883.29771,12.941769,41.914882
