Food-Group-Name, Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Female,14 -18 Years,2277,14,21.23,±2.52,F,F,100 E,±21.33,175,±24.95,0.37,±0.05,F,F,1.57 E,±0.30,2.97,±0.39,151.44,±7.99,125,±12.21,250.8,±20.28,321.55,±28.46,2.64,±0.16,2.32,±0.25,5.1,±0.54,6.04,±0.44
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Female,19 - 30 Years,2017,16.6,25.98,±3.16,F,F,113,±11.90,178.26,±22.62,0.43,±0.06,F,F,1.8,±0.27,2.86,±0.34,156.73,±12.83,125,±6.93,250 E,±42.11,367.5 E,±90.68,2.57,±0.23,2.12,±0.12,4 E,±0.88,7.25 E,±1.91
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Female,31 - 50 Years,2755,17.8,26.99,±2.51,F,F,122.5,±7.25,200,±15.30,0.41,±0.04,F,F,1.86,±0.15,2.82,±0.34,151.5,±7.60,125,±8.05,245,±17.09,321.98,±41.41,2.31,±0.12,2.05,±0.12,4.26,±0.21,4.71,±0.21
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Female,51 -70 Years,3201,18.7,26.63,±1.97,F,F,122.5,±2.70,175,±8.45,0.4,±0.03,F,F,1.86,±0.12,2.73,±0.14,142.43,±5.26,125,±1.19,243,±11.11,250,±32.03,2.16,±0.08,1.94,±0.09,3.53,±0.18,4.38,±0.44
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Female,71 + Years ,2610,14.2,18.94,±2.20,F,F,100 E,±18.32,125.15,±7.67,0.29,±0.04,F,F,1.34,±0.21,1.98,±0.18,133.32,±9.04,122.5,±4.10,245,±17.57,284.76 E,±71.93,2.05,±0.15,1.77,±0.09,3.73,±0.39,4.54 E,±0.96
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Female,19 +  Years,10583,17.4,25.73,±1.28,F,F,120,±4.20,175,±10.82,0.4,±0.02,F,F,1.81,±0.07,2.68,±0.13,148.14,±4.18,125,±0.92,245,±1.44,321.98,±34.40,2.29,±0.07,1.99,±0.07,4.06,±0.15,4.71,±0.29
"YOGHURTS, LESS THAN 2% B.F.",15A,Both,All ages,33343,9.5,15.12,±1.04,F,F,F,F,122.5,±3.42,0.28,±0.02,F,F,F,F,2.01,±0.08,158.57,±9.17,122.5,±1.22,245,±3.20,321.98,±18.61,2.97,±0.15,2.08,±0.06,5.51,±0.39,8.16,±0.65
"YOGHURTS, LESS THAN 2% B.F.",15A,Both,0 - 5 Months,48,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
"YOGHURTS, LESS THAN 2% B.F.",15A,Both,6 - 11 Months,191,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
"YOGHURTS, LESS THAN 2% B.F.",15A,Both,1 Year,735,11.8,11.42 E,±2.42,F,F,F,F,100 E,±20.35,1.07 E,±0.24,F,F,F,F,9.8 E,±2.15,96.85,±10.80,91.88 E,±19.35,F,F,F,F,9.06,±1.10,8.58 E,±1.88,F,F,F,F
"YOGHURTS, LESS THAN 2% B.F.",15A,Both,2 - 3 Years,1453,11.1,13.13,±1.92,F,F,F,F,113.91,±7.79,0.9,±0.14,F,F,F,F,7.47,±0.66,117.85,±10.65,113,±7.20,204.87,±24.33,F,F,8.11,±0.77,6.91,±0.49,17.78 E,±3.06,F,F
"YOGHURTS, LESS THAN 2% B.F.",15A,Both,4 -8 Years,3238,9.8,13.09,±1.51,F,F,F,F,113,±5.93,0.58,±0.07,F,F,F,F,4.76,±0.50,133.23,±10.55,113,±3.25,241,±20.25,296.74 E,±57.64,5.94,±0.44,4.78,±0.34,11.32,±0.90,14.13 E,±3.01
"YOGHURTS, LESS THAN 2% B.F.",15A,Both,9 -13 Years,4060,8.3,11.53,±1.35,F,F,F,F,113,±11.57,0.27,±0.03,F,F,F,F,2.48,±0.34,138.55,±10.34,113,±4.61,214.37,±13.66,283.5,±28.20,3.22,±0.23,2.87,±0.17,5.14,±0.46,6.31,±0.90
"YOGHURTS, LESS THAN 2% B.F.",15A,Both,14 -18 Years,4565,6.9,12.68,±1.78,F,F,F,F,113 E,±20.09,0.21,±0.03,F,F,F,F,1.67 E,±0.36,182.57,±13.09,150,±19.66,321.55 E,±58.19,444.04,±64.41,2.97,±0.22,2.58,±0.25,6.04,±0.91,7.07,±0.78
"YOGHURTS, LESS THAN 2% B.F.",15A,Both,19 - 30 Years,3821,9.6,19.9 E,±5.34,F,F,F,F,125,±10.02,0.29 E,±0.08,F,F,F,F,2.02,±0.20,207.34 E,±52.33,125,±11.09,245 E,±44.85,F,F,3.04 E,±0.75,2.05,±0.16,3.97 E,±0.86,6.61 E,±2.18
"YOGHURTS, LESS THAN 2% B.F.",15A,Both,31 - 50 Years,5351,9.3,14.51,±1.27,F,F,F,F,122.5,±7.16,0.21,±0.02,F,F,F,F,1.8,±0.13,155.33,±7.97,125,±6.89,250,±17.32,321.98,±25.34,2.19,±0.10,1.86,±0.11,4.06,±0.27,4.65,±0.28
"YOGHURTS, LESS THAN 2% B.F.",15A,Both,51 -70 Years,5751,11.2,17.07,±1.37,F,F,F,F,125,±7.51,0.24,±0.02,F,F,F,F,1.98,±0.12,152.11,±7.27,122.69,±1.66,244.99,±8.06,315.25 E,±63.66,2.13,±0.10,1.83,±0.09,3.53,±0.23,4.82 E,±0.83
"YOGHURTS, LESS THAN 2% B.F.",15A,Both,71 + Years ,4130,7.6,10.25,±1.20,F,F,F,F,100,±14.64,0.15,±0.02,F,F,F,F,1.44,±0.20,134.58,±10.22,122.5,±4.71,254.65,±27.83,331.37 E,±62.82,2.01,±0.16,1.72,±0.10,3.85,±0.44,4.79 E,±0.90
"YOGHURTS, LESS THAN 2% B.F.",15A,Both,0 -18 years,14290,8.9,12.48,±0.80,F,F,F,F,113,±3.45,0.47,±0.04,F,F,F,F,3.26,±0.28,140.02,±5.48,113,±3.42,244.46,±10.22,321.55,±25.13,5.27,±0.28,3.69,±0.17,11.58,±0.88,14.18,±2.31
"YOGHURTS, LESS THAN 2% B.F.",15A,Both,19 +  Years,19053,9.7,15.91,±1.32,F,F,F,F,122.5,±2.09,0.23,±0.02,F,F,F,F,1.83,±0.08,163.68,±11.53,125,±1.50,245,±4.67,325,±24.10,2.34,±0.16,1.86,±0.06,3.87,±0.15,4.65,±0.49
"YOGHURTS, LESS THAN 2% B.F.",15A,Male,9 -13 Years,2080,8.6,11.69,±1.62,F,F,F,F,113,±13.34,0.27,±0.04,F,F,F,F,2.62,±0.42,136.42,±9.81,113.4,±5.62,240.2,±25.24,F,F,3.19,±0.21,2.95,±0.22,5.51,±0.61,F,F
"YOGHURTS, LESS THAN 2% B.F.",15A,Male,14 -18 Years,2288,4.6,10.12 E,±2.52,F,F,F,F,F,F,0.15 E,±0.04,F,F,F,F,F,F,220.99,±29.98,175,±25.66,444.04 E,±91.46,F,F,3.24,±0.49,2.58,±0.39,7.07 E,±1.82,F,F
"YOGHURTS, LESS THAN 2% B.F.",15A,Male,19 - 30 Years,1804,7.9,F,F,F,F,F,F,103.55 E,±20.01,F,F,F,F,F,F,1.33 E,±0.25,F,F,125,±16.38,F,F,F,F,F,F,1.59 E,±0.27,F,F,F,F
"YOGHURTS, LESS THAN 2% B.F.",15A,Male,31 - 50 Years,2596,6.7,11.41,±1.88,F,F,F,F,100 E,±27.96,0.14,±0.02,F,F,F,F,1.17 E,±0.36,169.6,±16.35,125,±16.05,283.5,±38.36,F,F,2.07,±0.20,1.66,±0.13,3.67 E,±0.68,F,F
"YOGHURTS, LESS THAN 2% B.F.",15A,Male,51 -70 Years,2550,7.9,13.26,±2.04,F,F,F,F,113,±13.57,0.16,±0.03,F,F,F,F,1.21,±0.14,168.46,±18.05,122.5,±10.10,F,F,F,F,2.03,±0.23,1.38,±0.16,3.6 E,±0.96,F,F
"YOGHURTS, LESS THAN 2% B.F.",15A,Male,71 + Years ,1520,4.4,6.19 E,±1.37,F,F,F,F,F,F,0.08 E,±0.02,F,F,F,F,F,F,139.67,±17.49,120.5,±16.35,F,F,F,F,1.87,±0.24,1.54,±0.18,F,F,F,F
"YOGHURTS, LESS THAN 2% B.F.",15A,Male,19 +  Years,8470,7.1,13.66 E,±2.51,F,F,F,F,100,±8.01,0.17 E,±0.04,F,F,F,F,1.21,±0.12,192.78,±31.13,125,±6.00,283.5,±29.88,F,F,2.44 E,±0.44,1.58,±0.09,3.67,±0.50,5.46 E,±1.35
"YOGHURTS, LESS THAN 2% B.F.",15A,Female,9 -13 Years,1980,8.1,11.35 E,±2.26,F,F,F,F,107.19 E,±25.87,0.26 E,±0.05,F,F,F,F,2.38 E,±0.52,140.94,±19.30,113,±9.09,214.37,±16.20,F,F,3.25,±0.43,2.8,±0.26,4.88,±0.64,F,F
"YOGHURTS, LESS THAN 2% B.F.",15A,Female,14 -18 Years,2277,9.4,15.36,±2.34,F,F,F,F,125 E,±24.04,0.27,±0.04,F,F,F,F,2.51 E,±0.47,162.99,±10.28,129.44,±21.33,290.93,±31.78,F,F,2.84,±0.20,2.58,±0.30,5.25,±0.66,F,F
"YOGHURTS, LESS THAN 2% B.F.",15A,Female,19 - 30 Years,2017,11.4,18.35,±2.38,F,F,75.32 E,±23.03,137.8 E,±27.02,0.29,±0.04,F,F,F,F,2.36,±0.26,161.53,±12.69,125,±18.83,245,±20.14,321.55 E,±63.11,2.59,±0.22,2.19,±0.16,3.99,±0.43,5.54 E,±1.52
"YOGHURTS, LESS THAN 2% B.F.",15A,Female,31 - 50 Years,2755,12,17.61,±1.80,F,F,F,F,129.44 E,±23.76,0.27,±0.03,F,F,1.18 E,±0.38,2.15,±0.13,147.3,±8.03,122.5,±7.97,245,±9.34,321.98,±33.86,2.26,±0.12,2.05,±0.12,4.06,±0.23,4.63,±0.24
"YOGHURTS, LESS THAN 2% B.F.",15A,Female,51 -70 Years,3201,14.4,20.72,±1.74,F,F,113,±9.57,137.8,±20.46,0.32,±0.03,F,F,1.53,±0.16,2.37,±0.16,143.54,±5.63,125,±1.84,243,±10.52,245,±28.23,2.18,±0.09,1.99,±0.11,3.53,±0.21,4.19,±0.58
"YOGHURTS, LESS THAN 2% B.F.",15A,Female,71 + Years ,2610,10,13.24,±1.96,F,F,F,F,122.5,±8.31,0.21,±0.03,F,F,F,F,1.77,±0.15,132.91,±12.45,122.5,±5.07,239.56 E,±40.66,336.86 E,±84.85,2.06,±0.20,1.77,±0.11,3.79,±0.57,4.97 E,±1.14
"YOGHURTS, LESS THAN 2% B.F.",15A,Female,19 +  Years,10583,12.3,18.09,±0.98,F,F,90.37 E,±15.16,135.1,±10.46,0.28,±0.02,F,F,1.22,±0.16,2.19,±0.08,147.46,±4.32,122.55,±1.41,245,±1.94,284.76,±33.59,2.28,±0.07,2.02,±0.07,3.95,±0.13,4.63,±0.26
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Both,All ages,33343,5.5,7.87,±0.63,F,F,F,F,F,F,0.18,±0.01,F,F,F,F,F,F,143.45,±7.70,122.5,±3.26,245,±9.10,350,±33.07,3.28,±0.13,2.33,±0.14,6.75,±0.57,10.23,±0.91
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Both,0 - 5 Months,48,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Both,6 - 11 Months,191,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Both,1 Year,735,18.7,15.35,±2.05,F,F,60,±7.51,113,±14.51,1.43,±0.20,F,F,5.56,±0.64,9.91,±1.45,81.89,±7.05,60,±5.74,141.75 E,±33.05,F,F,7.61,±0.68,5.71,±0.42,12.77 E,±3.69,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Both,2 - 3 Years,1453,15,17.07,±2.25,F,F,60,±7.47,120,±7.54,1.16,±0.15,F,F,3.92,±0.53,7.99,±0.91,113.98,±10.52,91.87 E,±18.23,200,±19.17,245,±33.79,7.76,±0.72,5.61,±0.78,14.35,±1.52,17.39,±2.73
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Both,4 -8 Years,3238,12.1,13.38,±1.30,F,F,51.78 E,±15.00,100,±10.27,0.61,±0.06,F,F,1.99 E,±0.58,4.65,±0.44,110.88,±7.45,80,±11.51,210.17,±23.76,300,±48.16,5.03,±0.35,3.83,±0.32,9.55,±1.15,13.82,±2.19
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Both,9 -13 Years,4060,6.6,7.65,±0.91,F,F,F,F,60 E,±10.94,0.19,±0.02,F,F,F,F,1.19 E,±0.32,116.15,±9.24,100,±13.32,229.67,±20.09,321.55 E,±53.83,2.83,±0.20,2.42,±0.27,5.76,±0.38,6.35 E,±1.08
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Both,14 -18 Years,4565,4.3,5.59,±0.81,F,F,F,F,F,F,0.09,±0.01,F,F,F,F,F,F,131.16,±9.08,113,±12.01,244.99,±20.81,F,F,2.17,±0.16,1.71,±0.19,3.87,±0.47,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Both,19 - 30 Years,3821,4.8,7.08 E,±1.35,F,F,F,F,F,F,0.11 E,±0.02,F,F,F,F,F,F,148.41,±18.41,125,±13.16,250 E,±78.35,F,F,2.38,±0.34,2.04,±0.33,F,F,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Both,31 - 50 Years,5351,5.5,10.22 E,±1.74,F,F,F,F,F,F,0.14 E,±0.02,F,F,F,F,F,F,184.62,±21.47,153.12,±15.43,321.55 E,±54.22,F,F,2.48,±0.26,1.95,±0.23,4.26,±0.46,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Both,51 -70 Years,5751,3.2,4.23,±0.61,F,F,F,F,F,F,0.06,±0.01,F,F,F,F,F,F,131.24,±9.65,125,±3.71,214.37,±14.71,F,F,1.88,±0.14,1.72,±0.15,3.17,±0.24,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Both,71 + Years ,4130,3.5,4.38 E,±0.82,F,F,F,F,F,F,0.06 E,±0.01,F,F,F,F,F,F,126.55,±9.10,122.5,±7.00,245,±17.80,F,F,1.84,±0.15,1.73,±0.11,3.65,±0.43,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Both,0 -18 years,14290,8.7,9.7,±0.54,F,F,F,F,61.3 E,±11.23,0.43,±0.03,F,F,F,F,3.06,±0.21,112.02,±4.17,95.33,±8.25,214.37,±8.57,250,±26.02,5,±0.22,3.58,±0.15,10.29,±0.63,14.33,±1.26
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Both,19 +  Years,19053,4.5,7.32,±0.80,F,F,F,F,F,F,0.1,±0.01,F,F,F,F,F,F,161.51,±11.73,129.44,±6.74,250,±32.86,367.5,±46.00,2.29,±0.15,1.86,±0.11,4.21,±0.34,4.94 E,±1.23
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Male,9 -13 Years,2080,6.7,8.28,±1.28,F,F,F,F,60 E,±15.80,0.21,±0.03,F,F,F,F,F,F,123.53,±13.85,100 E,±17.23,244.99,±31.96,F,F,3.06,±0.33,2.45,±0.38,6.35,±0.91,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Male,14 -18 Years,2288,3.9,5.32 E,±0.97,F,F,F,F,F,F,0.08 E,±0.02,F,F,F,F,F,F,136.01,±14.09,122.5 E,±21.23,F,F,F,F,2.1,±0.22,1.6 E,±0.33,F,F,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Male,19 - 30 Years,1804,4.2,6.53 E,±1.73,F,F,F,F,F,F,0.1 E,±0.03,F,F,F,F,F,F,154.79,±17.72,175,±24.90,F,F,F,F,2.24,±0.30,2.53 E,±0.58,F,F,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Male,31 - 50 Years,2596,5.2,11.06 E,±2.97,F,F,F,F,F,F,0.13 E,±0.04,F,F,F,F,F,F,213.69 E,±43.37,170.1,±16.62,F,F,F,F,2.57 E,±0.49,1.94,±0.29,F,F,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Male,51 -70 Years,2550,2,2.5 E,±0.46,F,F,F,F,F,F,0.03 E,±0.01,F,F,F,F,F,F,123.07,±11.95,122.5,±7.28,F,F,F,F,1.55,±0.16,1.48,±0.11,F,F,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Male,71 + Years ,1520,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Male,19 +  Years,8470,3.8,6.98 E,±1.33,F,F,F,F,F,F,0.09 E,±0.02,F,F,F,F,F,F,181.42,±24.53,153.12,±14.08,321.55 E,±60.12,416.17 E,±108.60,2.29,±0.28,1.94,±0.22,3.61 E,±0.76,4.94 E,±1.62
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Female,9 -13 Years,1980,6.5,6.98 E,±1.27,F,F,F,F,F,F,0.17,±0.03,F,F,F,F,F,F,108.09,±12.80,100 E,±19.20,214.37,±35.00,F,F,2.58,±0.25,2.35,±0.35,4.83,±0.58,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Female,14 -18 Years,2277,4.6,5.87 E,±1.25,F,F,F,F,F,F,0.1 E,±0.02,F,F,F,F,F,F,126.87,±12.82,107.19 E,±17.96,F,F,F,F,2.23,±0.25,1.71 E,±0.33,F,F,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Female,19 - 30 Years,2017,5.3,7.63 E,±2.09,F,F,F,F,F,F,0.13 E,±0.04,F,F,F,F,F,F,143.22 E,±30.51,113 E,±20.44,F,F,F,F,2.48 E,±0.58,1.69 E,±0.37,F,F,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Female,31 - 50 Years,2755,5.9,9.38 E,±1.85,F,F,F,F,F,F,0.14 E,±0.03,F,F,F,F,F,F,159.08,±15.40,137.8,±19.67,258.88 E,±49.53,F,F,2.4,±0.26,1.99 E,±0.34,4.42,±0.41,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Female,51 -70 Years,3201,4.4,5.91 E,±1.12,F,F,F,F,F,F,0.09 E,±0.02,F,F,F,F,F,F,134.88,±12.89,125,±9.83,214.37,±15.96,F,F,2.02,±0.19,1.9,±0.25,3.4,±0.26,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Female,71 + Years ,2610,4.4,5.7 E,±1.04,F,F,F,F,F,F,0.09 E,±0.02,F,F,F,F,F,F,130.19,±10.68,113.4,±7.36,245,±17.04,F,F,1.96,±0.18,1.77,±0.18,3.73,±0.48,F,F
"YOGHURTS, MORE THAN 2.1% B.F. ",15B,Female,19 +  Years,10583,5.2,7.64,±0.91,F,F,F,F,F,F,0.12,±0.01,F,F,F,F,F,F,147.27,±9.57,125,±3.96,245,±27.14,367.5 E,±66.64,2.29,±0.17,1.86,±0.14,4.22,±0.35,4.8 E,±1.19
