Date,Nb_Cas_Cumulatif,Nb_Nvx_Cas,Nb_Cas_Actifs,Nb_Deces_Cumulatif_Total,Nb_Deces_Cumulatif_CHCHSLD,Nb_Deces_Cumulatif_RPA,Nb_Deces_Cumulatif_DomInc,Nb_Deces_Cumulatif_Autre,Nb_Nvx_Deces_Total,Nb_Nvx_Deces_CHCHSLD,Nb_Nvx_Deces_RPA,Nb_Nvx_Deces_DomInc,Nb_Nvx_Deces_Autre
2021-01-30,261703,1233,15337,9945,5548,2062,1821,514,27,10,2,12,3
2021-01-31,262582,879,14796,9981,5560,2070,1836,515,36,12,8,15,1
2021-02-01,263556,974,14246,10004,5564,2075,1845,520,23,4,5,9,5
2021-02-02,264722,1166,14188,10036,5569,2088,1858,521,32,5,13,13,1
2021-02-03,265802,1080,14214,10072,5582,2093,1873,524,36,13,5,15,3
2021-02-04,266884,1082,13864,10107,5588,2103,1889,527,35,6,10,16,3
2021-02-05,268104,1220,13628,10134,5592,2112,1901,529,27,4,9,12,2
2021-02-06,269148,1044,13340,10159,5598,2121,1909,531,25,6,9,8,2
2021-02-07,269983,835,12906,10187,5604,2127,1922,534,28,6,6,13,3
2021-02-08,270760,777,12432,10205,5606,2133,1931,535,18,2,6,9,1
2021-02-09,271728,968,12351,10233,5612,2144,1942,535,28,6,11,11,0
2021-02-10,272890,1162,12311,10255,5617,2148,1953,537,22,5,4,11,2
2021-02-11,273904,1014,12123,10276,5620,2154,1964,538,21,3,6,11,1
2021-02-12,274926,1022,11998,10295,5623,2163,1970,539,19,3,9,6,1
2021-02-13,275759,833,11634,10308,5628,2164,1977,539,13,5,1,7,0
2021-02-14,276482,723,10625,10325,5634,2168,1984,539,17,6,4,7,0
2021-02-15,277153,671,10115,10340,5636,2171,1993,540,15,2,3,9,1
2021-02-16,277999,846,10082,10349,5638,2173,1998,540,9,2,2,5,0
2021-02-17,278783,784,9998,10364,5639,2178,2006,541,15,1,5,8,1
2021-02-18,279644,861,9675,10375,5639,2179,2016,541,11,0,1,10,0
2021-02-19,280420,776,9397,10390,5640,2183,2025,542,15,1,4,9,1
2021-02-20,281137,717,9055,10405,5641,2185,2036,543,15,1,2,11,1
2021-02-21,281953,816,8905,10417,5642,2189,2043,543,12,1,4,7,0
2021-02-22,282590,637,8548,10425,5642,2191,2049,543,8,0,2,6,0
2021-02-23,283421,831,8675,10439,5642,2198,2055,544,14,0,7,6,1
2021-02-24,284275,854,8803,10451,5644,2200,2062,545,12,2,2,7,1
2021-02-25,285086,811,8614,10454,5646,2200,2063,545,3,2,0,1,0
2021-02-26,285956,870,8692,10464,5648,2202,2069,545,10,2,2,6,0
2021-02-27,286662,706,8514,10473,5650,2204,2073,546,9,2,2,4,1
2021-02-28,287237,575,8276,10479,5651,2205,2076,547,6,1,1,3,1
2021-03-01,287822,585,8053,10489,5655,2207,2080,547,10,4,2,4,0
2021-03-02,288584,762,8028,10499,5657,2211,2083,548,10,2,4,3,1
2021-03-03,289270,686,8025,10509,5657,2218,2086,548,10,0,7,3,0
2021-03-04,290129,859,7942,10519,5658,2220,2093,548,10,1,2,7,0
2021-03-05,290833,704,7857,10528,5658,2224,2098,548,9,0,4,5,0
2021-03-06,291578,745,7803,10538,5660,2228,2102,548,10,2,4,4,0
2021-03-07,292189,611,7675,10544,5660,2230,2106,548,6,0,2,4,0
2021-03-08,292802,613,7474,10553,5661,2235,2109,548,9,1,5,3,0
2021-03-09,293598,796,7699,10561,5662,2237,2114,548,8,1,2,5,0
2021-03-10,294317,719,7831,10570,5663,2242,2117,548,9,1,5,3,0
2021-03-11,295072,755,7776,10581,5663,2246,2124,548,11,0,4,7,0
2021-03-12,295884,812,7840,10582,5663,2246,2125,548,1,0,0,1,0
2021-03-13,296544,660,7727,10590,5663,2248,2131,548,8,0,2,6,0
2021-03-14,297152,608,7591,10599,5663,2253,2135,548,9,0,5,4,0
2021-03-15,297725,573,7453,10611,5664,2257,2141,549,12,1,4,6,1
2021-03-16,298446,721,7560,10617,5665,2258,2145,549,6,1,1,4,0
2021-03-17,299174,728,7587,10622,5665,2259,2149,549,5,0,1,4,0
2021-03-18,299936,762,7563,10627,5665,2261,2152,549,5,0,2,3,0
2021-03-19,300743,807,7607,10630,5665,2263,2153,549,3,0,2,1,0
2021-03-20,301424,681,7532,10641,5668,2265,2159,549,11,3,2,6,0
2021-03-21,302089,665,7445,10649,5668,2269,2162,550,8,0,4,3,1
2021-03-22,302797,708,7447,10655,5668,2272,2165,550,6,0,3,3,0
2021-03-23,303562,765,7563,10658,5668,2272,2167,551,3,0,0,2,1
2021-03-24,304591,1029,7871,10665,5669,2272,2173,551,7,1,0,6,0
2021-03-25,305595,1004,8083,10673,5669,2274,2179,551,8,0,2,6,0
2021-03-26,306603,1008,8316,10679,5670,2275,2183,551,6,1,1,4,0
2021-03-27,307534,931,8526,10682,5670,2277,2184,551,3,0,2,1,0
2021-03-28,308360,826,8578,10687,5670,2278,2188,551,5,0,1,4,0
2021-03-29,309302,942,8762,10695,5670,2280,2193,552,8,0,2,5,1
2021-03-30,310300,998,9126,10703,5671,2282,2198,552,8,1,2,5,0
2021-03-31,311726,1426,9805,10707,5672,2282,2201,552,4,1,0,3,0
2021-04-01,313010,1284,10071,10715,5673,2282,2208,552,8,1,0,7,0
2021-04-02,314298,1288,10392,10720,5673,2283,2210,554,5,0,1,2,2
2021-04-03,315587,1289,10794,10725,5673,2284,2214,554,5,0,1,4,0
2021-04-04,316722,1135,10976,10732,5674,2285,2219,554,7,1,1,5,0
2021-04-05,317940,1218,11155,10738,5675,2287,2222,554,6,1,2,3,0
2021-04-06,319247,1307,11528,10743,5675,2287,2226,555,5,0,0,4,1
