Airport Code,Year,Month,Domestic Flights,International Flights,Total Flights
JFK,2002,Mar,13652,8349,22001
EWR,2003,Apr,26766,5272,32038
LGA,2015,Feb,22929,2025,24954
EWR,2005,Oct,29139,6258,35397
EWR,1999,Sep,30911,4798,35709
JFK,2015,Jan,18777,13135,31912
EWR,1999,Feb,28843,4080,32923
EWR,2015,Dec,26833,7734,34567
JFK,2015,Nov,20253,13202,33455
EWR,2000,Sep,30037,5329,35366
ACY,2015,Apr,901,3,904
JFK,2014,Sep,20651,14011,34662
LGA,2015,Sep,27241,2166,29407
JFK,2015,Mar,20189,13523,33712
JFK,2002,Feb,11688,7346,19034
LGA,2015,Jul,28744,2502,31246
EWR,2000,Dec,29645,4732,34377
EWR,1999,May,31165,4901,36066
JFK,2015,May,22016,14855,36871
EWR,2003,Jan,26385,5366,31751
JFK,2014,Jun,21846,15137,36983
ACY,2015,Jul,992,39,1031
ACY,2015,Aug,922,41,963
EWR,2000,Feb,29481,4504,33985
EWR,2001,May,32751,5293,38044
SWF,2015,Jun,597,0,597
LGA,2015,Apr,27880,2456,30336
JFK,2015,Oct,22111,14175,36286
EWR,2001,Feb,29291,4218,33509
JFK,2015,Dec,21740,14702,36442
EWR,2015,Jul,27470,8436,35906
JFK,2014,Oct,20935,13852,34787
EWR,1999,Jul,32028,5238,37266
SWF,2015,Feb,450,0,450
JFK,2001,Apr,14975,9776,24751
ACY,2015,Sep,725,8,733
JFK,2014,Feb,16225,11236,27461
LGA,2015,Mar,26986,2302,29288
EWR,1998,Jun,30809,4351,35160
LGA,2015,Aug,29032,2428,31460
EWR,1999,Jun,31454,4939,36393
EWR,2015,Sep,25449,7091,32540
EWR,1999,Apr,31871,4748,36619
EWR,2014,Sep,24380,7107,31487
EWR,2015,Jan,23141,7027,30168
EWR,2001,Jun,31384,5489,36873
JFK,2015,Jun,21936,15607,37543
EWR,2001,Jan,31583,4883,36466
EWR,2002,Dec,26939,5114,32053
EWR,2002,Jun,26820,5670,32490
SWF,2015,Apr,575,0,575
EWR,1998,Dec,32238,4385,36623
JFK,2001,Aug,16287,11342,27629
JFK,2004,Sep,16436,9736,26172
JFK,2001,May,16731,9947,26678
EWR,2015,May,26071,7582,33653
EWR,2001,Jul,32515,6296,38811
EWR,2000,Oct,31889,5040,36929
EWR,2004,Oct,30339,5945,36284
EWR,2015,Jun,26244,7645,33889
JFK,2015,Feb,17510,11652,29162
JFK,2015,Sep,21119,14509,35628
JFK,1999,Jun,17888,10241,28129
EWR,1999,Oct,32184,4837,37021
EWR,2000,Jan,28399,4642,33041
JFK,2000,Feb,15559,9135,24694
EWR,2004,Jun,29423,6172,35595
LGA,2015,May,27384,2595,29979
JFK,2015,Aug,23323,17086,40409
EWR,1998,Nov,30742,4219,34961
LGA,2015,Nov,26552,1932,28484
EWR,1999,Dec,32045,4500,36545
EWR,1999,Aug,33184,5368,38552
ACY,2015,May,964,16,980
EWR,2015,Feb,21203,6386,27589
EWR,2001,Apr,32303,5011,37314
LGA,2015,Jun,26808,2532,29340
EWR,1998,Jul,33250,4855,38105
ACY,2015,Feb,785,1,786
EWR,2001,Mar,31583,4924,36507
SWF,2015,Dec,583,0,583
ACY,2015,Oct,694,4,698
ACY,2015,Mar,907,3,910
EWR,2000,Nov,30180,4798,34978
SWF,2015,Oct,517,0,517
LGA,2014,Nov,26286,2315,28601
EWR,1999,Jan,28938,4447,33385
JFK,2002,Jan,12394,8014,20408
JFK,2004,Feb,13972,8068,22040
LGA,2015,Jan,25200,2176,27376
JFK,2001,Feb,13047,8724,21771
EWR,2014,Dec,25703,8024,33727
EWR,2001,Oct,27812,4734,32546
EWR,2000,Apr,30279,4851,35130
EWR,2015,Aug,27102,8322,35424
EWR,2006,Mar,31059,6829,37888
EWR,2015,Nov,26469,6880,33349
JFK,2015,Jul,23006,17077,40083
JFK,1998,Dec,16847,9728,26575
EWR,2000,Jun,29354,5287,34641
JFK,1999,Feb,14893,8132,23025
JFK,2015,Apr,21055,14203,35258
EWR,2000,Mar,32753,5055,37808
SWF,2015,Jan,481,1,482
EWR,1998,Mar,32516,4366,36882
ACY,2015,Jan,831,1,832
JFK,2004,Jul,17290,11174,28464
EWR,2014,Oct,25024,7329,32353
SWF,2015,Jul,608,4,612
ACY,2015,Jun,927,36,963
JFK,1999,Jan,15313,9453,24766
EWR,2000,Aug,31653,5672,37325
EWR,1998,Oct,32502,4556,37058
ACY,2015,Nov,744,0,744
EWR,2015,Oct,27294,7180,34474
JFK,1999,Nov,16532,9779,26311
LGA,2015,Oct,28360,2184,30544
EWR,1998,Aug,32505,4886,37391
EWR,2004,Jul,29568,6764,36332
JFK,2014,Nov,19389,13176,32565
EWR,1999,Nov,30571,4497,35068
EWR,2005,Apr,28988,6172,35160
SWF,2015,Aug,593,0,593
EWR,1999,Mar,32501,4654,37155
SWF,2015,Mar,485,2,487
SWF,2015,Sep,567,0,567
SWF,2015,May,617,4,621
EWR,2000,Jul,30542,5671,36213
EWR,2000,May,30393,5238,35631
EWR,2001,Aug,33570,6333,39903
SWF,2015,Nov,501,0,501
EWR,2003,Oct,29197,5558,34755
JFK,2002,Apr,13774,8314,22088
EWR,1998,Apr,32666,4473,37139
EWR,2015,Mar,25189,7652,32841
JFK,2001,Dec,11362,8328,19690
LGA,2015,Dec,26167,1862,28029
EWR,1998,Sep,30795,4275,35070
ACY,2015,Dec,759,1,760
JFK,2005,Apr,18079,9495,27574
JFK,2014,Dec,20601,14140,34741
