Airport Code,Year,Month,Domestic Flights,International Flights,Total Flights
JFK,1982,Jul,15145,7575,22720
ACY,2014,Jul,1038,4,1042
EWR,1977,Jan,10471,185,10656
LGA,2001,Jan,32162,1732,33894
EWR,1978,Apr,12076,263,12339
EWR,1985,Jun,27776,343,28119
EWR,1991,Jun,27298,1819,29117
LGA,1978,Oct,22992,0,22992
LGA,1999,May,26633,2074,28707
EWR,1980,Feb,12128,127,12255
LGA,2001,Mar,29317,1545,30862
LGA,2000,Oct,33114,1915,35029
EWR,1978,Jun,12153,315,12468
EWR,1977,May,10811,255,11066
LGA,1997,Aug,26313,2009,28322
EWR,2005,Nov,28918,5571,34489
LGA,1995,Aug,26147,2083,28230
JFK,1987,Dec,13814,7227,21041
LGA,2002,Oct,28582,1825,30407
LGA,1991,Nov,23919,1368,25287
EWR,1979,Feb,11395,201,11596
JFK,2006,Jul,20315,11940,32255
LGA,1987,Feb,25054,94,25148
JFK,1992,Apr,15829,7756,23585
EWR,2012,Mar,26908,8436,35344
EWR,2014,Nov,25454,7106,32560
SWF,2013,May,615,0,615
JFK,2005,Dec,18034,9807,27841
EWR,1992,Mar,30007,2086,32093
JFK,1991,Oct,11283,8039,19322
JFK,1996,Dec,17926,9418,27344
ACY,2014,Sep,845,5,850
EWR,2002,Apr,27271,5158,32429
JFK,2014,Apr,20041,13568,33609
LGA,1989,Nov,24766,1646,26412
EWR,2011,Apr,25024,8519,33543
SWF,2010,May,648,0,648
JFK,2008,Mar,23760,12392,36152
LGA,1986,Apr,26039,117,26156
EWR,2012,Jul,26103,8793,34896
LGA,2012,May,28893,2112,31005
EWR,2003,May,27625,5419,33044
LGA,1991,Jan,24115,1366,25481
JFK,1982,Jan,13911,5461,19372
EWR,1987,Oct,27525,339,27864
LGA,2000,May,27749,1934,29683
LGA,2010,Sep,27950,2089,30039
SWF,2008,Aug,1244,0,1244
LGA,1985,Mar,25512,56,25568
EWR,1993,Jul,34226,2639,36865
EWR,1985,Feb,25153,223,25376
JFK,1993,Mar,16513,7879,24392
EWR,2011,May,25494,8347,33841
EWR,2011,Jan,22068,7882,29950
SWF,2011,Mar,751,8,759
EWR,1984,Sep,25383,329,25712
SWF,2006,Oct,748,10,758
EWR,1988,Jan,25836,813,26649
SWF,2008,Sep,710,0,710
LGA,2013,Apr,28092,2726,30818
LGA,1997,Feb,24064,1786,25850
LGA,2002,Apr,27458,1527,28985
JFK,2010,Sep,20113,11967,32080
EWR,2006,Sep,27869,6845,34714
JFK,1980,Feb,13616,5789,19405
ACY,2014,Jan,777,0,777
LGA,1989,Mar,24386,1325,25711
EWR,1988,Jun,26898,866,27764
LGA,1994,Apr,24815,1546,26361
LGA,2014,Jul,27500,2702,30202
EWR,2012,Oct,23732,7215,30947
EWR,1997,Feb,31051,2905,33956
LGA,1988,Sep,25701,1295,26996
EWR,1990,Sep,27133,1967,29100
SWF,2006,Aug,810,3,813
LGA,1994,Feb,20400,1191,21591
LGA,1988,Nov,26060,1273,27333
LGA,1990,Sep,25462,1500,26962
LGA,1981,May,23551,0,23551
EWR,2013,Feb,22039,6997,29036
EWR,1991,Dec,28574,1801,30375
EWR,1984,Jun,24782,272,25054
JFK,1986,Mar,13484,6502,19986
EWR,2011,Dec,26391,8143,34534
SWF,2010,Sep,661,0,661
JFK,1997,Dec,18476,9800,28276
LGA,2011,Jul,28722,1851,30573
EWR,1991,Apr,26972,1635,28607
EWR,1977,Nov,10926,210,11136
SWF,2011,Jul,780,0,780
JFK,1985,Jun,14359,7737,22096
LGA,2006,Mar,31529,1916,33445
JFK,2009,Aug,23894,13400,37294
LGA,2006,May,31467,1910,33377
LGA,2004,Mar,30987,1734,32721
EWR,1990,Dec,27634,1765,29399
LGA,1983,Jul,24662,0,24662
JFK,1996,Apr,16686,9630,26316
LGA,1999,Feb,24323,1860,26183
EWR,1991,Jan,27436,1852,29288
JFK,1981,Feb,13982,5114,19096
LGA,1980,Jan,21288,0,21288
LGA,2012,Mar,29190,2080,31270
LGA,2014,Mar,27577,2738,30315
JFK,1979,Jul,15531,8174,23705
EWR,1986,Aug,32296,442,32738
EWR,1991,Mar,27885,1694,29579
LGA,1992,Feb,23346,1370,24716
LGA,1985,May,26190,62,26252
EWR,1981,Dec,12791,111,12902
EWR,1996,Aug,36419,3750,40169
SWF,2009,Apr,652,0,652
JFK,1984,Mar,14919,6037,20956
JFK,1988,Feb,12844,6875,19719
SWF,2011,Dec,790,0,790
JFK,1995,Oct,18424,9746,28170
LGA,1993,Jun,25057,1528,26585
EWR,2009,Jun,25827,7833,33660
JFK,1983,Oct,15496,6519,22015
JFK,1982,Nov,14354,5043,19397
JFK,1981,Mar,15509,5729,21238
JFK,1989,Jan,11653,7814,19467
LGA,2008,Feb,26725,1672,28397
LGA,1992,Jun,25573,1480,27053
JFK,1992,May,16673,8260,24933
EWR,2002,Nov,26568,4666,31234
JFK,2003,Apr,14152,7835,21987
SWF,2006,Apr,750,2,752
LGA,1991,May,24733,1479,26212
JFK,1997,Aug,19051,11174,30225
LGA,2004,Sep,29179,1911,31090
JFK,1981,Oct,13663,5841,19504
JFK,2000,Jul,17869,11536,29405
LGA,1996,Jul,24883,2041,26924
LGA,1982,Jun,21427,0,21427
JFK,1997,Apr,17175,9248,26423
LGA,2000,Sep,30148,1799,31947
LGA,1993,Sep,24962,1517,26479
LGA,1989,Oct,26333,1760,28093
SWF,2010,Feb,538,0,538
JFK,2000,Dec,15279,10073,25352
