OBJECTID,HouseGEOID,HouseName,ELANumAssessed_Calc,ELATotalMet_Calc,ELATotalNotMet_Calc,MATHNumAssessed_Calc,MATHTotalMet_Calc,MATHTotalNotMet_Calc,ELAPctMet_Calc,MATHPctMet_Calc,Shape__Area,Shape__Length
71,26071,State House District 71,973,492,481,971,470,501,0.505652620760534,0.484037075180227,0.134381249490616,2.1456073221764
72,26072,State House District 72,1356,740,616,1363,737,626,0.545722713864307,0.540719002201027,0.0469705577152126,1.23371495806541
73,26073,State House District 73,1360,822,538,1359,885,474,0.604411764705882,0.65121412803532,0.0681214713144982,1.71866050288408
74,26074,State House District 74,1252,655,597,1252,731,521,0.523162939297125,0.583865814696486,0.0626918165112329,1.58116856710947
75,26075,State House District 75,1010,233,777,1023,235,788,0.230693069306931,0.229716520039101,0.0049256089014306,0.534890318173453
76,26076,State House District 76,679,215,464,688,214,474,0.316642120765832,0.311046511627907,0.0080239492076543,1.2188319873614
77,26077,State House District 77,1141,506,635,1149,587,562,0.443470639789658,0.510879025239339,0.0174009766308245,0.68740163739634
78,26078,State House District 78,932,426,506,942,493,449,0.457081545064378,0.523354564755839,0.139547461339134,2.64411185968827
79,26079,State House District 79,909,347,562,912,419,493,0.381738173817382,0.459429824561404,0.0556302152149328,1.47857455908426
80,26080,State House District 80,791,458,333,791,487,304,0.579013906447535,0.615676359039191,0.208527776016126,2.10558250353442
81,26081,State House District 81,796,416,380,795,425,370,0.522613065326633,0.534591194968553,0.141813145800825,3.26794422090774
82,26082,State House District 82,643,334,309,645,324,321,0.519440124416796,0.502325581395349,0.189791907432436,1.80765401383661
83,26083,State House District 83,905,393,512,911,365,546,0.434254143646409,0.400658616904501,0.470418803518442,3.59634552952757
84,26084,State House District 84,724,316,408,723,333,390,0.43646408839779,0.460580912863071,0.883347717421657,4.66566430804578
85,26085,State House District 85,835,361,474,834,350,484,0.432335329341317,0.419664268585132,0.245815395315503,2.291638468895
86,26086,State House District 86,1062,641,421,1065,666,399,0.603578154425612,0.625352112676056,0.11242580592284,2.17914533733364
87,26087,State House District 87,936,499,437,936,516,420,0.533119658119658,0.551282051282051,0.289284460549879,3.34203485449357
88,26088,State House District 88,954,586,368,956,618,338,0.614255765199161,0.646443514644351,0.0617418371518852,1.25209670905525
89,26089,State House District 89,1029,690,339,1033,675,358,0.670553935860058,0.653436592449177,0.0707590779168186,1.38605210830345
90,26090,State House District 90,1168,692,476,1171,696,475,0.592465753424658,0.594363791631085,0.0323873673630715,1.01903429191948
91,26091,State House District 91,1066,519,547,1065,521,544,0.486866791744841,0.489201877934272,0.117922822510536,2.58494375768548
92,26092,State House District 92,897,266,631,898,271,627,0.29654403567447,0.301781737193764,0.0336168408198319,1.10346220345015
93,26093,State House District 93,498,264,234,497,291,206,0.530120481927711,0.585513078470825,0.286612703217543,2.62294088320529
94,26094,State House District 94,949,470,479,952,510,442,0.495258166491043,0.535714285714286,0.0953934993353869,2.30159672887607
95,26095,State House District 95,831,204,627,830,226,604,0.245487364620939,0.272289156626506,0.0479012764651543,1.21059079761967
96,26096,State House District 96,827,327,500,827,352,475,0.39540507859734,0.425634824667473,0.0694868881623734,1.22858533065054
97,26097,State House District 97,587,255,332,589,278,311,0.434412265758092,0.471986417657046,0.609336736603609,5.74547330632719
98,26098,State House District 98,893,470,423,899,470,429,0.526315789473684,0.522803114571746,0.130815513837661,2.05806443712326
99,26099,State House District 99,557,244,313,555,259,296,0.438061041292639,0.466666666666667,0.263954679445078,3.24006346842435
100,26100,State House District 100,629,191,438,631,219,412,0.303656597774245,0.347068145800317,0.792805640373899,4.86873846424938
101,26101,State House District 101,845,323,522,846,335,511,0.382248520710059,0.395981087470449,1.7383177373647,6.33211268503562
102,26102,State House District 102,926,383,543,930,441,489,0.413606911447084,0.474193548387097,0.405446899585968,4.26888088208455
103,26103,State House District 103,671,290,381,668,338,330,0.432190760059613,0.505988023952096,0.838622781127924,4.29090838201227
104,26104,State House District 104,979,517,462,978,532,446,0.528089887640449,0.543967280163599,0.176874453687105,2.09533785675959
105,26105,State House District 105,859,398,461,861,394,467,0.463329452852154,0.457607433217189,1.0824761502713,6.57304629697263
106,26106,State House District 106,639,272,367,644,293,351,0.42566510172144,0.454968944099379,2.5242156700383,8.32117655545163
107,26107,State House District 107,808,364,444,807,382,425,0.450495049504951,0.473358116480793,1.77181318349744,9.32990062151762
108,26108,State House District 108,734,348,386,733,361,372,0.474114441416894,0.492496589358799,1.22960710753114,6.56271934525646
109,26109,State House District 109,655,264,391,659,293,366,0.403053435114504,0.444613050075873,3.18847658390928,11.2211939369573
110,26110,State House District 110,705,379,326,707,407,300,0.53758865248227,0.575671852899576,4.67513091124965,12.1616408309818
