Geographic ID,Region,County,Route,Road,Milepoint,Latitude,Longitude,Location 1
5411,2,ONEIDA,920V,Prospect St,2.1854,43.32668693,-75.18383471,"(43.32668693, -75.18383471)"
12169,4,WYOMING,US20A,W Buffalo St,35.6276,42.74016578,-78.13904087,"(42.74016578, -78.13904087)"
21622,5,ERIE,NY324,Sheridan Dr,2.6164,42.98109746,-78.85874454,"(42.98109746, -78.85874454)"
5190,2,HERKIMER,NY171,S Litchfield St,5.5969,43.03847009,-75.07282344,"(43.03847009, -75.07282344)"
34832,10,SUFFOLK,NY25,Front St,96.2709,41.10232235,-72.36035477,"(41.10232235, -72.36035477)"
20444,5, , , ,0.0,42.08144329,-78.43005816,"(42.08144329, -78.43005816)"
23938,7,JEFFERSON,NY12E,State St,39.6352,44.23546565,-76.08540146,"(44.23546565, -76.08540146)"
40744,10,NASSAU,NY27,Sunrise Hwy,24.6648,40.66226746,-73.55438782,"(40.66226746, -73.55438782)"
16598,5, , , ,0.0,43.01774873,-78.87842291,"(43.01774873, -78.87842291)"
35995,10,NASSAU,NY25B,Hillside Ave,4.7225,40.75272021,-73.66143725,"(40.75272021, -73.66143725)"
34267,10,SUFFOLK,NY25,Middle Country Rd,58.8426,40.88444236,-72.93656961,"(40.88444236, -72.93656961)"
41783,11, , , ,0.0,40.73777327,-73.85195264,"(40.73777327, -73.85195264)"
1581,1,SCHENECTADY,914E,Veeder Ave,0.25,42.81035243,-73.93822616,"(42.81035243, -73.93822616)"
39196,10,SUFFOLK,NY112,Medford Ave,0.5384,40.77366003,-73.00750025,"(40.77366003, -73.00750025)"
5181,2,HERKIMER,922B,S Washington St,0.7,43.02596202,-74.98425282,"(43.02596202, -74.98425282)"
5235,2,ONEIDA,NY5,W Seneca St,256.3475,43.07588014,-75.59832103,"(43.07588014, -75.59832103)"
36940,10,NASSAU,NY24,Hempstead Tpke,13.2322,40.72545154,-73.51858552,"(40.72545154, -73.51858552)"
18273,5,NIAGARA,NY384,Rainbow Blvd,21.4041,43.0852902,-79.06151643,"(43.0852902, -79.06151643)"
6074,2, , , ,0.0,42.91514528,-75.37942568,"(42.91514528, -75.37942568)"
25730,7,ST LAWRENCE,NY68,Crescent St,1.782,44.69792414,-75.4950177,"(44.69792414, -75.4950177)"
34442,10,SUFFOLK,NY25,Route 25,91.159,41.06120133,-72.43481959,"(41.06120133, -72.43481959)"
9138,4,MONROE,NY31,Pittsford Palmyra Rd,89.726,43.07356947,-77.4587661,"(43.07356947, -77.4587661)"
7412,3,CORTLAND,NY281,N West St,4.9971,42.64479765,-76.18782251,"(42.64479765, -76.18782251)"
37086,10,SUFFOLK,NY27A,Montauk Hwy,4.8808,40.6804647,-73.35931139,"(40.6804647, -73.35931139)"
7052,3,ONONDAGA,US11,Brewerton Rd,101.8204,43.23816327,-76.14065442,"(43.23816327, -76.14065442)"
30830,8,DUTCHESS,US9,Albany Post Rd,71.5979,41.79140121,-73.93617119,"(41.79140121, -73.93617119)"
15387,5,ERIE,NY5,Erie Rd,53.3143,42.7029085,-78.97627481,"(42.7029085, -78.97627481)"
26179,8,WESTCHESTER,NY120,King St,14.5406,41.15903446,-73.77246263,"(41.15903446, -73.77246263)"
23694,6, , , ,0.0,42.15062931,-77.10678313,"(42.15062931, -77.10678313)"
31771,9,CHENANGO,NY41,Caswell St,15.0071,42.2310892,-75.52596954,"(42.2310892, -75.52596954)"
18183,5,NIAGARA,NY425,Lake St,23.3592,43.30842646,-78.8259341,"(43.30842646, -78.8259341)"
24595,7,FRANKLIN,US11,E Main St,265.1959,44.84902962,-74.29138235,"(44.84902962, -74.29138235)"
41941,11, , , ,0.0,40.85640558,-73.87151386,"(40.85640558, -73.87151386)"
11798,4,MONROE,NY104,Ridge Rd  W,81.3946,43.19676043,-77.63230219,"(43.19676043, -77.63230219)"
25634,7, , , ,0.0,44.44481128,-75.69636832,"(44.44481128, -75.69636832)"
16068,5,ERIE,US20,Broadway St,76.0674,42.90012697,-78.67612449,"(42.90012697, -78.67612449)"
19081,5,CHAUTAUQUA,NY5,Central Ave,37.1706,42.54557357,-79.17228682,"(42.54557357, -79.17228682)"
18171,5, , , ,0.0,43.31343346,-78.82612268,"(43.31343346, -78.82612268)"
16095,5,ERIE,US20,Broadway St,76.5306,42.89976396,-78.66749375,"(42.89976396, -78.66749375)"
39337,10,SUFFOLK,NY347,Nesconset Hwy,13.1453,40.91704012,-73.05420455,"(40.91704012, -73.05420455)"
5139,2,HERKIMER,NY28,COLUMBIAumbia St,137.5023,43.00461375,-75.00671914,"(43.00461375, -75.00671914)"
10329,4,MONROE,NY18,Latta Rd,79.3683,43.25366812,-77.73275934,"(43.25366812, -77.73275934)"
12548,4,WAYNE,NY14,Lawrence St,79.4131,43.06548084,-76.98903386,"(43.06548084, -76.98903386)"
18761,5,CATTARAUGUS,US219,Central Ave,15.0875,42.16990202,-78.69286282,"(42.16990202, -78.69286282)"
8721,4,ONTARIO,NY21,Cohocton St,49.9719,42.60740796,-77.40873802,"(42.60740796, -77.40873802)"
24820,7,ST LAWRENCE,US11,Main St,215.847,44.59572367,-75.16908314,"(44.59572367, -75.16908314)"
25986,8,WESTCHESTER,US1,E Boston Post Rd,15.7403,40.95373204,-73.72429514,"(40.95373204, -73.72429514)"
3248,1,RENSSELAER,NY7,Hoosick St,156.1163,42.73913365,-73.65894996,"(42.73913365, -73.65894996)"
8585,3,ONONDAGA,NY48,Syracuse St,4.0469,43.15166845,-76.32910083,"(43.15166845, -76.32910083)"
7856,3,OSWEGO,NY3,State Route 3,36.1159,43.56682686,-76.18745049,"(43.56682686, -76.18745049)"
22172,5,ERIE,NY277,Union Rd,16.6917,42.91264064,-78.75437359,"(42.91264064, -78.75437359)"
5378,2,ONEIDA,NY13,Main St,111.8778,43.19771031,-75.72883256,"(43.19771031, -75.72883256)"
