OBJECTID,ZCTA5CE10,GEOID10,CohortCount,GradCnt,GradRate,Shape__Area,Shape__Length
155.0,49030.0,2649030.0,12.0,6.0,0.5,1.34006531807227E9,278972.363536531
156.0,49082.0,2649082.0,91.0,79.0,0.8681319,2.44601063277063E9,356480.050204937
157.0,49092.0,2649092.0,17.0,14.0,0.8235294,1.57743576543921E9,257559.31354176
158.0,49252.0,2649252.0,26.0,20.0,0.7692308,1.09378816696167E9,192346.425269242
159.0,49112.0,2649112.0,199.0,179.0,0.8994975,1.26552368359631E9,214605.817640797
160.0,49705.0,2649705.0,27.0,18.0,0.6666667,2.13057990996484E9,359426.747612371
161.0,49765.0,2649765.0,39.0,36.0,0.9230769,7.32238457462109E9,606294.268809191
162.0,49715.0,2649715.0,34.0,31.0,0.9117647,5.98415113846484E9,494922.69362331
163.0,48906.0,2648906.0,197.0,140.0,0.7106599,9.35730658837402E8,196071.167409633
164.0,49802.0,2649802.0,136.0,127.0,0.9338235,2.36898140335938E8,93102.5341128184
165.0,48911.0,2648911.0,80.0,0.0,0.0,4.50062977293457E8,179099.630272835
166.0,48439.0,2648439.0,614.0,572.0,0.9315961,1.48802221082764E9,285096.041411076
167.0,48505.0,2648505.0,196.0,128.0,0.6530612,3.59922247670898E8,126036.020924177
168.0,48451.0,2648451.0,393.0,367.0,0.9338422,1.00873954706348E9,243278.859423389
169.0,48433.0,2648433.0,309.0,266.0,0.8608415,1.56457380899072E9,213389.282930693
170.0,48429.0,2648429.0,123.0,114.0,0.9268293,1.53064962021094E9,271278.88668094
171.0,48529.0,2648529.0,96.0,84.0,0.875,1.38031296115234E8,66789.2983971469
172.0,48509.0,2648509.0,69.0,47.0,0.6811594,2.48235330911133E8,65592.9968736343
173.0,48519.0,2648519.0,135.0,108.0,0.8,2.15502145928711E8,89720.4591040912
174.0,48880.0,2648880.0,78.0,74.0,0.948718,2.10731681674805E9,262970.077760747
175.0,49250.0,2649250.0,125.0,94.0,0.752,2.193408178745E9,245267.971515161
176.0,49242.0,2649242.0,112.0,99.0,0.8839286,2.59965230975867E9,415466.517951543
177.0,49930.0,2649930.0,69.0,62.0,0.8985507,1.50213955309375E9,276615.299250378
178.0,48754.0,2648754.0,21.0,18.0,0.8571429,1.02003855368555E9,235750.099667659
179.0,48842.0,2648842.0,418.0,353.0,0.8444976,5.08099472839355E8,162675.984692871
180.0,48872.0,2648872.0,134.0,124.0,0.9253731,1.61521862494482E9,330791.290186867
181.0,48881.0,2648881.0,83.0,72.0,0.8674699,1.57224603218652E9,276177.222467162
182.0,48838.0,2648838.0,272.0,230.0,0.8455882,2.68357616999121E9,422209.043816545
183.0,48739.0,2648739.0,27.0,25.0,0.9259259,2.74090083525879E9,399549.620551373
184.0,49310.0,2649310.0,62.0,56.0,0.9032258,2.49361799971484E9,342133.85577967
185.0,49048.0,2649048.0,173.0,101.0,0.583815,1.09432036559277E9,259789.543284266
186.0,49006.0,2649006.0,311.0,251.0,0.807074,1.81904409989502E8,110458.246021234
187.0,49097.0,2649097.0,197.0,174.0,0.8832487,2.15749185587329E9,302636.121092877
188.0,49508.0,2649508.0,585.0,500.0,0.8547009,3.36370573406738E8,126940.389037386
189.0,49301.0,2649301.0,205.0,200.0,0.9756098,1.61830601106982E9,286843.124986536
190.0,49655.0,2649655.0,102.0,90.0,0.8823529,2.55056128368359E9,337629.587857956
191.0,48003.0,2648003.0,137.0,125.0,0.9124088,9.22150394815918E8,140438.208520807
192.0,49256.0,2649256.0,35.0,34.0,0.9714286,1.64357627514722E9,282624.700293332
193.0,48169.0,2648169.0,321.0,275.0,0.8566978,1.75488369341187E9,280494.040876437
194.0,48178.0,2648178.0,493.0,455.0,0.9229209,1.46432113589771E9,301540.464731402
195.0,49868.0,2649868.0,40.0,40.0,1.0,2.0762355699375E10,854338.400228586
196.0,49781.0,2649781.0,57.0,54.0,0.9473684,2.81698203402734E9,526843.579824392
197.0,48062.0,2648062.0,132.0,120.0,0.9090909,1.10298862145557E9,173309.750227131
198.0,48036.0,2648036.0,14.0,0.0,0.0,2.38021430932129E8,160107.47033465
199.0,48312.0,2648312.0,380.0,317.0,0.8342105,3.15694214179688E8,93351.0680110429
