OBJECTID,GlobalID,GEO_ID,TotalPopulation,TotalInPoverty,PercentInPoverty,County_Tri
471,f5ad1981-2182-431b-a824-57de0a8f6777,48302,15388,996,6.47257603327268,Oakland
472,6d289cf2-ee0d-4e9e-b094-218d80593183,48304,16074,765,4.75923852183651,Oakland
473,f1584e59-bbd9-46af-8320-e0570c89a7c8,48348,22968,1790,7.793451758969,Oakland
474,50e1e032-ffd0-4d69-af33-475cc1e56b06,48346,22915,1741,7.59764346497927,Oakland
475,21262546-ed4a-4469-9f36-241caeba4bcd,48237,29587,5503,18.5993848649745,Oakland
476,094f1549-1e25-453a-a0af-1eea332cf40b,48025,14491,445,3.07087157546063,Oakland
477,618008b8-4110-4994-8bcf-825e6b48993a,48017,11814,950,8.04130692398849,Oakland
501,a2deb791-3480-44bb-81d8-c08fbb3ff302,48005,5334,208,3.89951256092988,Macomb
513,194e406f-dd01-4ec6-8455-00c091d90dc8,48211,5691,2770,48.6733438762959,Wayne
514,fb501aef-e6a5-41ca-b236-c3e1ae08c13e,48120,7203,2102,29.1822851589615,Wayne
515,da9058c7-e98a-49da-a912-c95cf2943363,48201,12196,6551,53.7143325680551,Wayne
516,6a14103a-3d83-4803-9053-76d574b38394,48127,36668,7287,19.8729137122286,Wayne
559,18bb1863-2495-490b-9527-d0ff35c7a1e8,48442,21183,1578,7.44936977765189,Oakland
585,4da90178-a657-4765-96d6-03e004b47eb8,48314,20647,2063,9.99176635830871,Macomb
586,c80ebd6d-94db-4950-88e8-fed0d344576d,48038,42028,3641,8.66327210431141,Macomb
587,aed7a6bf-29da-43f6-9ca2-0d5e7a090583,48026,14426,1438,9.96811312907251,Macomb
598,70b7c847-8111-4e4c-bfbb-c3a03abe4ae0,48386,17641,974,5.52122895527464,Oakland
599,8cbc9768-08d6-4149-98fc-b46164b5f584,48326,20487,2576,12.5738273051203,Oakland
600,62790942-67e2-448e-b4cb-b8464cf58e59,48390,23298,2017,8.65739548459095,Oakland
601,40f90eae-fbeb-45cf-83e3-d82bdf530ed0,48374,14789,731,4.94286293867063,Oakland
602,2f78f668-700a-47dc-b27b-e8547ee20a49,48377,15682,1523,9.71177145772223,Oakland
603,5003be75-f4e7-4f7a-b255-c79846684836,48342,17608,9050,51.3970922308042,Oakland
604,75524730-ca3a-450e-bad4-89f2b4d6a52f,48327,22859,2883,12.6121002668533,Oakland
605,d0548849-f326-4530-a74c-130564456edf,48367,4616,518,11.2218370883882,Oakland
622,52d1a085-dd50-49d5-83cd-9ab233b364ac,48204,26403,11523,43.6427678672878,Wayne
623,de78a79f-47ad-402d-9660-df28757a369b,48173,12602,952,7.55435645135693,Wayne
624,f7cf2a1f-966b-4d28-8a57-b829b2ab6b07,48141,24875,9203,36.9969849246231,Wayne
625,fe40d8bb-7c72-4593-b744-d860962b24e8,48229,9473,2826,29.8321545444949,Wayne
626,d5bb4252-82c0-4eac-9aeb-de6647d8074f,48184,17141,3562,20.7805845633277,Wayne
627,f9239d7c-7959-4dc6-b22c-6e4df59ef36e,48243,0,0,,Wayne
628,690f7a1a-35a3-4f43-90ed-c415163dd730,48186,35159,6422,18.2655934469126,Wayne
