Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
IL,"Apr 19 -  May 2, 2021",19,Statewide,Statewide,12821497,386,36.8,30.37,43.65,0.0,324,32.3,26.41,38.1,0.0,317,31.9,25.63,38.63,0.0,332,20.3,15.28,25.05,0.0,534,29.7,24.65,34.81,0.0,825,33.2,29.4,37.25,0.0,1359,31.5,28.46,34.79,0.0,4038772.0,3648998.0,4460599.0,True,False
IN,"Apr 15 - Apr 28, 2021",19,Statewide,Statewide,6637426,28,777.0,,,,456,31.1,24.93,37.05,0.0,176,16.4,8.68,25.29,0.0,168,18.3,9.8,28.07,0.0,212,16.8,10.68,23.93,0.0,616,32.0,24.72,39.16,0.0,828,24.5,19.65,29.16,0.0,1626169.0,1304254.0,1935473.0,True,False
KS,"Apr 12 - Apr 24, 2021",19,Statewide,Statewide,2908776,112,17.5,9.66,25.86,0.0,459,9.9,6.93,13.24,0.0,350,11.9,8.25,15.6,0.0,387,10.5,7.3,14.32,0.0,536,13.4,9.53,17.59,0.0,772,11.1,8.14,14.26,0.0,1308,12.3,9.85,14.83,0.0,357779.0,286514.0,431371.0,True,False
KY,"Apr 19 -  May 1, 2021",19,Statewide,Statewide,4440204,350,25.0,20.12,30.22,0.0,324,25.2,20.06,30.26,0.0,303,20.2,15.71,24.9,0.0,331,10.3,7.12,13.83,0.0,513,24.7,20.45,28.79,0.0,795,19.0,15.93,22.06,0.0,1308,21.8,19.28,24.48,0.0,967964.0,856071.0,1086962.0,True,False
LA,"Apr 16 -  May 1, 2021",19,Statewide,Statewide,4663616,310,16.1,10.41,21.9,0.0,324,12.2,8.04,16.28,0.0,322,14.0,10.05,18.79,0.0,325,12.4,7.47,18.07,0.0,523,12.6,9.5,15.84,0.0,758,14.4,10.87,17.84,0.0,1281,13.5,11.03,15.95,0.0,629588.0,514397.0,743847.0,True,False
MA,"Apr 19 -  May 2, 2021",19,Statewide,Statewide,6830193,185,11.7,6.82,16.48,0.0,369,9.2,6.08,12.38,0.0,365,10.4,7.15,14.18,0.0,362,10.7,7.42,13.76,0.0,526,10.2,7.38,12.97,0.0,755,10.2,8.03,12.51,0.0,1281,10.2,8.31,11.98,0.0,696680.0,567589.0,818257.0,True,False
MD,"Apr 15 - Apr 29, 2021",19,Statewide,Statewide,6003435,66,777.0,,,,273,43.1,37.66,49.54,0.0,293,15.1,10.71,19.25,0.0,274,6.6,3.86,9.57,0.0,431,38.5,32.9,44.05,0.0,475,18.3,14.08,22.61,0.0,906,28.1,24.38,31.39,0.0,1686965.0,1463637.0,1884478.0,True,False
ME,"Apr 18 -  May 1, 2021",19,Statewide,Statewide,1332813,41,777.0,,,,304,4.7,1.9,7.93,0.0,179,6.4,2.69,10.91,0.0,153,1.8,0.0,4.69,1.0,247,4.5,1.81,7.48,0.0,430,3.4,1.74,5.7,0.0,677,3.9,2.28,5.67,0.0,51980.0,30388.0,75570.0,True,True
MI,"Apr 19 -  May 2, 2021",19,Statewide,Statewide,9957488,88,37.5,26.94,47.32,0.0,377,29.8,24.61,34.66,0.0,365,20.2,15.79,24.25,0.0,377,12.9,9.3,16.46,0.0,448,27.5,21.97,32.87,0.0,759,26.0,22.09,29.87,0.0,1207,26.7,23.33,30.25,0.0,2658649.0,2323082.0,3012140.0,True,False
MN,"Apr 13 - Apr 29, 2021",19,Statewide,Statewide,5527358,134,13.4,6.25,21.28,0.0,512,11.5,8.14,14.69,0.0,326,11.3,7.24,15.76,0.0,323,10.8,7.4,14.97,0.0,543,13.0,9.5,16.83,0.0,752,10.6,7.73,13.55,0.0,1295,11.8,9.55,14.08,0.0,652228.0,527863.0,778252.0,True,False
