Month,Sort,Year,Page Views,Page Visits
February,2,2013,63103075,15416808
March,3,2013,67808429,16341618
April,4,2013,69582514,19896762
May,5,2013,62206641,16611651
June,6,2013,60623487,14654741
July,7,2013,60502032,22356508
August,8,2013,60934848,17731008
September,9,2013,75769735,19365408
October,10,2013,80138671,21399907
November,11,2013,75244044,20488049
December,12,2013,63527980,19718807
January,1,2014,80559009,19055049
February,2,2014,77595355,18620541
March,3,2014,84225073,20983540
April,4,2014,83951491,24100650
May,5,2014,81601834,
June,6,2014,73107873,
July,7,2014,76814806,
August,8,2014,84578136,
September,9,2014,95570138,
October,10,2014,143925415,
November,11,2014,88408415,
December,12,2014,77040666,
January,1,2015,84910793,
February,2,2015,84709063,
March,3,2015,85489321,
April,4,2015,83052580,
May,5,2015,72511474,
June,6,2015,73797639,
July,7,2015,76147057,
August,8,2015,79696254,
September,9,2015,87652029,
October,10,2015,87652029,
November,11,2015,93966584,
December,12,2015,84267847,
January,1,2016,109453661,
February,2,2016,122943253,40280306
March,3,2016,112285513,36412169
April,4,2016,120380510,33365044
May,5,2016,114678570,32832268
June,6,2016,105102248,30698060
July,7,2016,97128611,29211754
August,8,2016,109791194,33130748
September,9,2016,103315923,32652643
October,10,2016,100698261,32167111
November,11,2016,86941536,30227710
December,12,2016,67484306,27447284
January,1,2017,78551952,36690619
February,2,2017,76666751,35222601
March,3,2017,82576635,30162048
April,4,2017,71650769,25504003
May,5,2017,69614471,26125456
June,6,2017,66183568,23225056
July,7,2017,65108230,22217679
August,8,2017,66530831,23484194
September,9,2017,70907131,26287510
October,10,2017,78774412,30423066
November,11,2017,74962237,29138341
December,12,2017,63277568,24391767
January,1,2018,82831947,31803231
February,2,2018,74271998,28343343
March,3,2018,73858019,26481350
April,4,2018,75436005,26887971
May,5,2018,64251978,26319394
June,6,2018,52770008,22433883
July,7,2018,63791236,22714464
August,8,2018,76608854,24681990
September,9,2018,78959308,25728504
October,10,2018,93544158,30140161
November,11,2018,91474779,30713666
December,12,2018,71598145,25184670
January,1,2019,87535934,30690660
February,2,2019,86913634,30799585
March,3,2019,99595793,35005321
April,4,2019,104579921,36258918
May,5,2019,96984149,35149882
June,6,2019,88435925,30126184
July,7,2019,90107521,30140249
August,8,2019,93671807,30149216
September,9,2019,101691816,34312813
October,10,2019,111292015,36820099
November,11,2019,110680462,34535417
December,12,2019,95389650,29837832
January,1,2020,160606804,55760470
February,2,2020,259304581,92844648
March,3,2020,1075594920,464305872
April,4,2020,474161614,230632881
May,5,2020,308202224,145831976
June,6,2020,250867236,116694610
July,7,2020,310159256,150717264
August,8,2020,234636400,120994272
September,9,2020,202745131,105905121
October,10,2020,217881138,115075582
November,11,2020,230597388,126202594
December,12,2020,249334351,140495331
January,1,2021,292726716,159666819
February,2,2021,231261233,126798683
March,3,2021,301991892,167363251
April,4,2021,266845041,"150,598,231"
May,5,2021,224670626,"128,954,636"
June,6,2021,194919107,113661916
July,7,2021,231918770,136918019
August,8,2021,300187990,173556145
