State,Year,Month,Period,Indicator,Data Value
UTAH,2021.0,January,Monthly,Number of Live Births,3360.0
VERMONT,2021.0,January,Monthly,Number of Live Births,373.0
VIRGINIA,2021.0,January,Monthly,Number of Live Births,7326.0
WASHINGTON,2021.0,January,Monthly,Number of Live Births,6333.0
WEST VIRGINIA,2021.0,January,Monthly,Number of Live Births,1326.0
WISCONSIN,2021.0,January,Monthly,Number of Live Births,4538.0
WYOMING,2021.0,January,Monthly,Number of Live Births,445.0
PUERTO RICO,2021.0,January,Monthly,Number of Live Births,1386.0
ALABAMA,2021.0,February,Monthly,Number of Live Births,4363.0
ALASKA,2021.0,February,Monthly,Number of Live Births,660.0
ARIZONA,2021.0,February,Monthly,Number of Live Births,5545.0
ARKANSAS,2021.0,February,Monthly,Number of Live Births,2652.0
CALIFORNIA,2021.0,February,Monthly,Number of Live Births,29932.0
COLORADO,2021.0,February,Monthly,Number of Live Births,4773.0
CONNECTICUT,2021.0,February,Monthly,Number of Live Births,2532.0
DELAWARE,2021.0,February,Monthly,Number of Live Births,688.0
DISTRICT OF COLUMBIA,2021.0,February,Monthly,Number of Live Births,583.0
FLORIDA,2021.0,February,Monthly,Number of Live Births,16108.0
GEORGIA,2021.0,February,Monthly,Number of Live Births,9086.0
HAWAII,2021.0,February,Monthly,Number of Live Births,1111.0
IDAHO,2021.0,February,Monthly,Number of Live Births,1566.0
ILLINOIS,2021.0,February,Monthly,Number of Live Births,9619.0
INDIANA,2021.0,February,Monthly,Number of Live Births,5597.0
IOWA,2021.0,February,Monthly,Number of Live Births,2744.0
KANSAS,2021.0,February,Monthly,Number of Live Births,2580.0
KENTUCKY,2021.0,February,Monthly,Number of Live Births,3919.0
LOUISIANA,2021.0,February,Monthly,Number of Live Births,4373.0
MAINE,2021.0,February,Monthly,Number of Live Births,815.0
MARYLAND,2021.0,February,Monthly,Number of Live Births,4908.0
MASSACHUSETTS,2021.0,February,Monthly,Number of Live Births,4821.0
MICHIGAN,2021.0,February,Monthly,Number of Live Births,7576.0
MINNESOTA,2021.0,February,Monthly,Number of Live Births,4646.0
MISSISSIPPI,2021.0,February,Monthly,Number of Live Births,2628.0
MISSOURI,2021.0,February,Monthly,Number of Live Births,4931.0
MONTANA,2021.0,February,Monthly,Number of Live Births,825.0
NEBRASKA,2021.0,February,Monthly,Number of Live Births,1842.0
NEVADA,2021.0,February,Monthly,Number of Live Births,2444.0
NEW HAMPSHIRE,2021.0,February,Monthly,Number of Live Births,905.0
NEW JERSEY,2021.0,February,Monthly,Number of Live Births,7324.0
NEW MEXICO,2021.0,February,Monthly,Number of Live Births,1544.0
NEW YORK,2021.0,February,Monthly,Number of Live Births,15249.0
NORTH CAROLINA,2021.0,February,Monthly,Number of Live Births,8799.0
NORTH DAKOTA,2021.0,February,Monthly,Number of Live Births,764.0
OHIO,2021.0,February,Monthly,Number of Live Births,9692.0
OKLAHOMA,2021.0,February,Monthly,Number of Live Births,3487.0
OREGON,2021.0,February,Monthly,Number of Live Births,2896.0
PENNSYLVANIA,2021.0,February,Monthly,Number of Live Births,9618.0
RHODE ISLAND,2021.0,February,Monthly,Number of Live Births,694.0
SOUTH CAROLINA,2021.0,February,Monthly,Number of Live Births,4203.0
SOUTH DAKOTA,2021.0,February,Monthly,Number of Live Births,826.0
TENNESSEE,2021.0,February,Monthly,Number of Live Births,6019.0
TEXAS,2021.0,February,Monthly,Number of Live Births,26553.0
UTAH,2021.0,February,Monthly,Number of Live Births,3431.0
VERMONT,2021.0,February,Monthly,Number of Live Births,366.0
VIRGINIA,2021.0,February,Monthly,Number of Live Births,6957.0
WASHINGTON,2021.0,February,Monthly,Number of Live Births,6099.0
WEST VIRGINIA,2021.0,February,Monthly,Number of Live Births,1230.0
WISCONSIN,2021.0,February,Monthly,Number of Live Births,4433.0
WYOMING,2021.0,February,Monthly,Number of Live Births,448.0
PUERTO RICO,2021.0,February,Monthly,Number of Live Births,1172.0
ALABAMA,2021.0,March,Monthly,Number of Live Births,4732.0
ALASKA,2021.0,March,Monthly,Number of Live Births,794.0
ARIZONA,2021.0,March,Monthly,Number of Live Births,5968.0
ARKANSAS,2021.0,March,Monthly,Number of Live Births,3027.0
CALIFORNIA,2021.0,March,Monthly,Number of Live Births,34392.0
COLORADO,2021.0,March,Monthly,Number of Live Births,5275.0
CONNECTICUT,2021.0,March,Monthly,Number of Live Births,2985.0
DELAWARE,2021.0,March,Monthly,Number of Live Births,826.0
DISTRICT OF COLUMBIA,2021.0,March,Monthly,Number of Live Births,660.0
FLORIDA,2021.0,March,Monthly,Number of Live Births,17231.0
GEORGIA,2021.0,March,Monthly,Number of Live Births,10136.0
HAWAII,2021.0,March,Monthly,Number of Live Births,1389.0
IDAHO,2021.0,March,Monthly,Number of Live Births,1969.0
ILLINOIS,2021.0,March,Monthly,Number of Live Births,11247.0
INDIANA,2021.0,March,Monthly,Number of Live Births,6286.0
IOWA,2021.0,March,Monthly,Number of Live Births,3119.0
KANSAS,2021.0,March,Monthly,Number of Live Births,2947.0
KENTUCKY,2021.0,March,Monthly,Number of Live Births,4331.0
LOUISIANA,2021.0,March,Monthly,Number of Live Births,4846.0
MAINE,2021.0,March,Monthly,Number of Live Births,958.0
MARYLAND,2021.0,March,Monthly,Number of Live Births,5626.0
MASSACHUSETTS,2021.0,March,Monthly,Number of Live Births,5728.0
MICHIGAN,2021.0,March,Monthly,Number of Live Births,8518.0
MINNESOTA,2021.0,March,Monthly,Number of Live Births,5387.0
MISSISSIPPI,2021.0,March,Monthly,Number of Live Births,2916.0
MISSOURI,2021.0,March,Monthly,Number of Live Births,5815.0
MONTANA,2021.0,March,Monthly,Number of Live Births,966.0
NEBRASKA,2021.0,March,Monthly,Number of Live Births,2055.0
NEVADA,2021.0,March,Monthly,Number of Live Births,2732.0
NEW HAMPSHIRE,2021.0,March,Monthly,Number of Live Births,992.0
NEW JERSEY,2021.0,March,Monthly,Number of Live Births,8381.0
NEW MEXICO,2021.0,March,Monthly,Number of Live Births,1877.0
NEW YORK,2021.0,March,Monthly,Number of Live Births,17775.0
NORTH CAROLINA,2021.0,March,Monthly,Number of Live Births,9651.0
NORTH DAKOTA,2021.0,March,Monthly,Number of Live Births,905.0
OHIO,2021.0,March,Monthly,Number of Live Births,10747.0
OKLAHOMA,2021.0,March,Monthly,Number of Live Births,4028.0
OREGON,2021.0,March,Monthly,Number of Live Births,3375.0
