Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Rhode Island,05/31/2021,17280.0,17280.0
Vermont,05/31/2021,11070.0,11070.0
New Jersey,05/31/2021,132210.0,132210.0
New York,05/31/2021,167670.0,167670.0
New York City,05/31/2021,128070.0,128070.0
Puerto Rico,05/31/2021,52290.0,52290.0
U.S. Virgin Islands,05/31/2021,3240.0,3240.0
Delaware,05/31/2021,15210.0,15210.0
District of Columbia,05/31/2021,11520.0,11520.0
Maryland,05/31/2021,89370.0,89370.0
Pennsylvania,05/31/2021,170460.0,170460.0
Philadelphia,05/31/2021,24660.0,24660.0
Virginia,05/31/2021,126000.0,126000.0
West Virginia,05/31/2021,28800.0,28800.0
Alabama,05/31/2021,72090.0,72090.0
Florida,05/31/2021,314640.0,314640.0
Georgia,05/31/2021,149490.0,149490.0
Kentucky,05/31/2021,65880.0,65880.0
Mississippi,05/31/2021,44460.0,44460.0
North Carolina,05/31/2021,149940.0,149940.0
South Carolina,05/31/2021,74160.0,74160.0
Tennessee,05/31/2021,98820.0,98820.0
Chicago,05/31/2021,40770.0,40770.0
Illinois,05/31/2021,149490.0,149490.0
Indiana,05/31/2021,97200.0,97200.0
Michigan,05/31/2021,147870.0,147870.0
Minnesota,05/31/2021,81540.0,81540.0
Ohio,05/31/2021,172530.0,172530.0
Wisconsin,05/31/2021,85680.0,85680.0
Arkansas,05/31/2021,44460.0,44460.0
Louisiana,05/31/2021,69120.0,69120.0
New Mexico,05/31/2021,32490.0,32490.0
Oklahoma,05/31/2021,57600.0,57600.0
Texas,05/31/2021,393660.0,393660.0
Iowa,05/31/2021,46530.0,46530.0
Kansas,05/31/2021,42390.0,42390.0
Missouri,05/31/2021,89820.0,89820.0
Nebraska,05/31/2021,28800.0,28800.0
Colorado,05/31/2021,82710.0,82710.0
Montana,05/31/2021,16830.0,16830.0
North Dakota,05/31/2021,11520.0,11520.0
South Dakota,05/31/2021,13140.0,13140.0
Utah,05/31/2021,41220.0,41220.0
Wyoming,05/31/2021,9450.0,9450.0
Arizona,05/31/2021,102510.0,102510.0
California,05/31/2021,575640.0,575640.0
Hawaii,05/31/2021,22590.0,22590.0
Nevada,05/31/2021,42840.0,42840.0
American Samoa,05/31/2021,0.0,0.0
Guam,05/31/2021,0.0,0.0
Marshall Islands,05/31/2021,0.0,0.0
Micronesia,05/31/2021,0.0,0.0
Mariana Islands,05/31/2021,0.0,0.0
Palau,05/31/2021,0.0,0.0
Alaska,05/31/2021,16830.0,16830.0
Idaho,05/31/2021,25110.0,25110.0
Oregon,05/31/2021,62190.0,62190.0
Washington,05/31/2021,109170.0,109170.0
Federal Entities,05/31/2021,218790.0,218790.0
Connecticut,05/24/2021,54990.0,54990.0
Maine,05/24/2021,21060.0,21060.0
Massachusetts,05/24/2021,105300.0,105300.0
New Hampshire,05/24/2021,21060.0,21060.0
Rhode Island,05/24/2021,16380.0,16380.0
Vermont,05/24/2021,10530.0,10530.0
New Jersey,05/24/2021,132210.0,132210.0
New York,05/24/2021,168480.0,168480.0
New York City,05/24/2021,128700.0,128700.0
Puerto Rico,05/24/2021,52650.0,52650.0
U.S. Virgin Islands,05/24/2021,2340.0,2340.0
Delaware,05/24/2021,15210.0,15210.0
District of Columbia,05/24/2021,11700.0,11700.0
Maryland,05/24/2021,90090.0,90090.0
Pennsylvania,05/24/2021,170820.0,170820.0
Philadelphia,05/24/2021,24570.0,24570.0
Virginia,05/24/2021,126360.0,126360.0
West Virginia,05/24/2021,28080.0,28080.0
Alabama,05/24/2021,72540.0,72540.0
Florida,05/24/2021,314730.0,314730.0
Georgia,05/24/2021,149760.0,149760.0
Kentucky,05/24/2021,66690.0,66690.0
Mississippi,05/24/2021,44460.0,44460.0
North Carolina,05/24/2021,150930.0,150930.0
South Carolina,05/24/2021,74880.0,74880.0
Tennessee,05/24/2021,99450.0,99450.0
Chicago,05/24/2021,40950.0,40950.0
Illinois,05/24/2021,149760.0,149760.0
Indiana,05/24/2021,97110.0,97110.0
Michigan,05/24/2021,148590.0,148590.0
Minnesota,05/24/2021,81900.0,81900.0
Ohio,05/24/2021,173160.0,173160.0
Wisconsin,05/24/2021,86580.0,86580.0
Arkansas,05/24/2021,44460.0,44460.0
Louisiana,05/24/2021,69030.0,69030.0
New Mexico,05/24/2021,31590.0,31590.0
Oklahoma,05/24/2021,57330.0,57330.0
Texas,05/24/2021,394290.0,394290.0
Iowa,05/24/2021,46800.0,46800.0
Kansas,05/24/2021,42120.0,42120.0
Missouri,05/24/2021,90090.0,90090.0
Nebraska,05/24/2021,28080.0,28080.0
Colorado,05/24/2021,81900.0,81900.0
Montana,05/24/2021,16380.0,16380.0
North Dakota,05/24/2021,11700.0,11700.0
South Dakota,05/24/2021,12870.0,12870.0
Utah,05/24/2021,40950.0,40950.0
Wyoming,05/24/2021,9360.0,9360.0
Arizona,05/24/2021,102960.0,102960.0
California,05/24/2021,575640.0,575640.0
Hawaii,05/24/2021,22230.0,22230.0
Nevada,05/24/2021,43290.0,43290.0
American Samoa,05/24/2021,0.0,0.0
Guam,05/24/2021,0.0,0.0
Marshall Islands,05/24/2021,0.0,0.0
Micronesia,05/24/2021,0.0,0.0
Mariana Islands,05/24/2021,0.0,0.0
Palau,05/24/2021,0.0,0.0
Alaska,05/24/2021,16380.0,16380.0
Idaho,05/24/2021,24570.0,24570.0
Oregon,05/24/2021,62010.0,62010.0
