Société ,ID projet,ID Concours,Intitulé du projet,Année d'autorisation,Pays de réalisation,Région,EE/OMR,Produit Financier,Type d'intervention : ONG/PrPP/projets,Engagement brut (€),Montant Adaptation (€),Secteur Adaptation,Montant Atténuation (€),Secteur Atténuation
AFD,CGF1447,CGF144701,Espace Ebène,2020.0,GUYANE FRANCAIS,OCN,OM,Financements des entreprises et collectivités (bonifiés),Projet,1189500.0,0.0,,59475.0,Programmes d'efficacité énergétique
AFD,CGH1158,CGH115802,Projet de gestion agricole de l'eau au nord-ouest du Ghana,2020.0,GHANA,AFR,EE,Crédits et subventions délégués,Projet,39700000.0,27790000.0,"Agriculture durable, préservation de l'eau, des sols et de la biodiversité",0.0,
AFD,CGP1703,CGP170301,Financement du programme d'investissement du Département 2020,2020.0,GUADELOUPE,OCN,OM,Financements des entreprises et collectivités (bonifiés),Projet,10000000.0,900000.0,"Autre (santé, éducation, renforcement de capacités)",0.0,
AFD,CGP1706,CGP170602,Rénovation éclairage public Goyave,2020.0,GUADELOUPE,OCN,OM,Financements des entreprises et collectivités (non bonifiés),Projet,259350.0,0.0,,259350.0,Programmes d'efficacité énergétique
AFD,CHT1149,CHT114901,Appui à la riposte contre la COVID-19 et renforcement des capacités en biologie médicale,2020.0,HAITI,OCN,EE,Subventions (dont ONG),Projet,2250000.0,135000.0,"Autre (santé, éducation, renforcement de capacités)",405000.0,"Autre (déchets, assainissement, éducation, renforcement de capacités)"
AFD,CID1100,CID110001,Programme de renforcement de la résilience face aux catastrophes naturelles (PrPP DREAM: Disaster Risk Enhancement And Management programme).,2020.0,INDONESIE,ORE,EE,Prêts aux Etats (non bonifiés),Projet,100000000.0,77000000.0,"Prévention et gestion des risques climatiques (inondations, montée des eaux, systèmes d'alerte)",0.0,
AFD,CID1111,CID111101,Prêt de Politique Publique pour le renforcement de la résilience du système financier indonésien,2020.0,INDONESIE,ORE,EE,Prêts aux Etats (non bonifiés),PrPP,100000000.0,13900000.0,"Prévention et gestion des risques climatiques (inondations, montée des eaux, systèmes d'alerte)",2800000.0,Programmes d'efficacité énergétique
AFD,CIN1145,CIN114501,Prêt de politique publique au secteur de la protection sociale dans le cadre de la réponde à l'épidémie de Covid-19 en Inde,2020.0,INDE,ORE,EE,Prêts aux Etats (non bonifiés),Projet,200000000.0,4000000.0,"Autre (santé, éducation, renforcement de capacités)",0.0,
AFD,CLA1128,CLA112801,Projet de gestion durable des micro-bassin versants au nord Laos (SWAN Laos),2020.0,LAOS,ORE,EE,Subventions (dont ONG),Projet,4500000.0,4500000.0,Gestion de la ressource en eau,0.0,
AFD,CMA1298,CMA129802,Convergence et résilience des territoires - FEC 2,2020.0,MAROC,AFR,EE,Subventions (dont ONG),Projet,3500000.0,700000.0,"Intermédiation financière (eau, agriculture, infrastructure)",700000.0,"Intermédiation financière (ENR, Efficacité energétique, agriculture)"
AFD,CMF1012,CMF101201,Terres de Légendes,2020.0,ST-MARTIN (PF),OCN,OM,Financements des entreprises et collectivités (non bonifiés),Projet,11000000.0,0.0,,990000.0,Programmes d'efficacité énergétique
AFD,CML1465,CML146504,Ligne de crédit contre les effets du COVID.,2020.0,MALI,AFR,EE,Crédits et subventions délégués,Projet,250000.0,25000.0,"Intermédiation financière (eau, agriculture, infrastructure)",75000.0,"Intermédiation financière (ENR, Efficacité energétique, agriculture)"
AFD,CML1478,CML147802,Sécurité et Développement au Nord et Centre Mali - Phase 3,2020.0,MALI,AFR,EE,Subventions (dont ONG),Projet,3000000.0,750000.0,"Autre (santé, éducation, renforcement de capacités)",0.0,
AFD,CMR1224,CMR122402,Projet d'appui au dispositif national de protection sociale adaptative en Mauritanie,2020.0,MAURITANIE,AFR,EE,Subventions (dont ONG),Projet,5000000.0,2500000.0,"Autre (santé, éducation, renforcement de capacités)",0.0,
AFD,CMU1089,CMU108903,Prêt de contingence Covid et Adaptation au CC Maurice,2020.0,MAURICE,OCN,EE,Prêts aux Etats (non bonifiés),Projet,300000000.0,99000000.0,"Prévention et gestion des risques climatiques (inondations, montée des eaux, systèmes d'alerte)",48000000.0,"Autre (déchets, assainissement, éducation, renforcement de capacités)"
AFD,CMX1074,CMX107401,Ligne de crédit axée sur la vulnérabilité au changement climatique et la marginalisation socio-économique.,2020.0,MEXIQUE,AML,EE,Financements des entreprises et collectivités (non bonifiés),Projet,81712698.1533,40856349.0767,"Agriculture durable, préservation de l'eau, des sols et de la biodiversité",0.0,
AFD,CMZ1161,CMZ116101,Résilience des écosystèmes de mangrove et réduction du risque de catastrophe naturelle au Mozambique.,2020.0,MOZAMBIQUE,AFR,EE,Subventions (dont ONG),Projet,1900000.0,950000.0,"Agriculture durable, préservation de l'eau, des sols et de la biodiversité",950000.0,Agriculture durable et préservation des ressources naturelles
AFD,CNC2149,CNC214903,Programme Energies renouvelables 2020 en Nouvelle-Calédonie,2020.0,NLLE CALEDONIE,OCN,OM,Financements des entreprises et collectivités (non bonifiés),Projet,5000000.0,0.0,,5000000.0,"Autre (déchets, assainissement, éducation, renforcement de capacités)"
AFD,CNC2158,CNC215803,Financement partiel du budget d'investissement 2020 de la province Sud,2020.0,NLLE CALEDONIE,OCN,OM,Financements des entreprises et collectivités (bonifiés),Projet,3259000.0,65180.0,"Résilience des villes, des batiments et des infrastructures",97770.0,Programmes d'efficacité énergétique
AFD,CNE1224,CNE122401,Appui à la mise en œuvre du Plan de transition du secteur_x000D_ de l'éducation et de la formation du Niger_x000D_,2020.0,NIGER,AFR,EE,Crédits et subventions délégués,Projet,71700850.0,7170085.0,"Autre (santé, éducation, renforcement de capacités)",0.0,
AFD,CPF1530,CPF153003,Financement partiel du budget d'investissement 2020 de la Polynésie française,2020.0,POLYNESIE,OCN,OM,Financements des entreprises et collectivités (bonifiés),Projet,5000000.0,50000.0,"Agriculture durable, préservation de l'eau, des sols et de la biodiversité",0.0,
AFD,CPK1047,CPK104701,Développement urbain et touristique du Fort de Lahore et de ses abords,2020.0,PAKISTAN,ORE,EE,Prêts aux Etats (bonifiés),Projet,22000000.0,11660000.0,Gestion de la ressource en eau,0.0,
AFD,CPS1216,CPS121601,Contribution au projet « Gaza Central Desalination Plant and Associated Works Program (GCDP & AWP) » à travers le fonds fiduciaires BM pour les travaux associés_x000D_,2020.0,TERR.AUTO.PALES,ORE,EE,Subventions (dont ONG),Projet,4400000.0,4180000.0,Gestion de la ressource en eau,0.0,
AFD,CPS1253,CPS125301,Financement complémentaire au « Municipal Development Programme » du MDLF pour soutenir les collectivités locales dans leur réponse aux effets de la pandémie COVID19,2020.0,TERR.AUTO.PALES,ORE,EE,Subventions (dont ONG),Projet,10500000.0,420000.0,"Prévention et gestion des risques climatiques (inondations, montée des eaux, systèmes d'alerte)",0.0,
AFD,CRE1735,CRE173506,EHPAD du TAMPON + IMS CI,2020.0,REUNION,OCN,OM,Financements des entreprises et collectivités (non bonifiés),Projet,440000.0,44000.0,"Résilience des villes, des batiments et des infrastructures",44000.0,Programmes d'efficacité énergétique
AFD,CRE1819,CRE181901,Financement partiel des investissements du Budget Principal 2020 du Conseil Départemental de La Réunion.,2020.0,REUNION,OCN,OM,Financements des entreprises et collectivités (non bonifiés),Projet,19000000.0,190000.0,"Résilience des villes, des batiments et des infrastructures",950000.0,Programmes d'efficacité énergétique
AFD,CRE1819,CRE181902,Financement partiel des investissements du Budget Principal 2020 du Conseil Départemental de La Réunion.,2020.0,REUNION,OCN,OM,Financements des entreprises et collectivités (non bonifiés),Projet,15000000.0,150000.0,"Résilience des villes, des batiments et des infrastructures",750000.0,Programmes d'efficacité énergétique
AFD,CRE1838,CRE183803,Financement des dépenses d'investissements du budget principal et eau potable.,2020.0,REUNION,OCN,OM,Financements des entreprises et collectivités (bonifiés),Projet,3400000.0,544000.0,Gestion de la ressource en eau,306000.0,"Autre (déchets, assainissement, éducation, renforcement de capacités)"
