empty,Id Loi,Id SIRP,Libellé,Unité/Type,2020,2019,2018,Valeur 2017,Valeur 2016,Valeur 2015,Valeur 2014,Valeur 2013,Valeur 2012
EAU ET ASSAINISSEMENT,,EE6,Nb pers amélior. qual. syst. ass,Nb de pers.,,,,213250.0,,,,,
EAU ET ASSAINISSEMENT,,EE76,Nombre de personnes bénéficiant d'un service d’assainissement géré en toute sécurité,Nb de personnes,506301.0,1067725.0,421000.0,,,,,,
EAU ET ASSAINISSEMENT,,EE57,Nb commerçants install marché financés par AFD,Nb commerçants,,,,250.0,,,,,
EAU ET ASSAINISSEMENT,,EE61,Nb pers sensibilisées hygiène,Nb de pers,2076590.0,1422818.0,667975.0,275890.0,,,,,
EDUCATION,Loi 05,EE63,Nb enfants scolarisés au primaire et au collège,Nb de pers. / an,,,,812452.0,857838.080267,1330000.0,830000.0,481000.0,665904.0
EDUCATION,Loi 05,EE69,Nb enfants achevant le primaire,Nb élèves / an,1116139.0,1172328.0,536082.387864,436155.0,481682.474345,820000.0,461000.0,258300.0,365000.0
EDUCATION,,EE28,Nb garçons scol. techn & prof,Nb élèves,1865.0,1276.0,0.0,0.0,,,,,
EMPLOI,,EE115,"Nombre d’entreprises bénéficiaires d’appuis au recrutement, à l’amélioration de la qualité des emplois ou à la prise en compte du genre.",Nb de pers.,661.0,407.0,,,,,,,
EMPLOI,,EE180,Nb ETP directs créés ou maintenus - privé/public,Nb ETP,549003.0,,,,,,,,
EMPLOI,,EE182,Nb ETP directs pérennes - phase Opération et maint,Nb ETP,0.0,,,,,,,,
EMPLOI,,EE183,Nb ETP directs crées-progra accompagnement à l'emp,Nb ETP,0.0,,,,,,,,
ENERGIE,Loi 04,EE16,Nb pers raccordées électricité,Nb de pers.,,,,365000.0,20000.0,75700.0,65000.0,1500.0,80000.0
ENERGIE,,EE19,Energie économisée,GWh / an,2466.8,144.99,1555.0,33.0,,,,,
ENVIRONNEMENT GESTION DES RESSOURCES NATURELLES,,EE49,Pop résidant sur zone projet mise en gestion raisonnée,Nb de pers.,,,616000.0,335000.0,,,,,
ENVIRONNEMENT GESTION DES RESSOURCES NATURELLES,,EE51,Surface aires protégées,Hectares,,,3204915.04,1668950.0,,,,,
ENVIRONNEMENT GESTION DES RESSOURCES NATURELLES,,EE97,"Superficies bénéficiant de pgme de conservation, restauration ou gestion durable de la biodiversité type 2 (gestion durable de territoires non cultivés, non aires protégées mais mais obj de renouvellement et conservation de la diversité du vivant)",TYPE 2,,,3689626.0,8541.0,808000.0,10800000.0,6000000.0,7400000.0,19000000.0
FORMATION PROFESSIONNELLE,Loi 05,EE64,Nb jeunes accueil. ds dispo. de form. prof. Init.,Nb de pers. / an,,,,142368.0,114000.0,142000.0,131000.0,99900.0,101064.0
FORMATION PROFESSIONNELLE,,EE29,Nb pers avec formation prof.,Nb élèves,89067.0,123690.0,49399.0,643.0,,,,,
FORMATION PROFESSIONNELLE,,EE178,Nb formateurs et tuteurs formés,Nb d'individus,508.0,,,,,,,,
SANTE,,EE34,Nb d'accouchements assistés,Nb de pers.,198500.0,263365.0,223097.0,0.0,,,,,
SANTE,,EE81,Nombre de personnes bénéficiant d’une meilleure protection sociale,Nb de personnes,4672528.0,7089342.0,1724216.0,,,,,,
SANTE,Loi 13,EE68,Nombre de projets ayant un objectif nutritionnel,"Marqueur 0, 1, 2",17.0,10.0,38.0,,,,,,
SECTEUR BANCAIRE,Loi 07,EE37,Investissements accompagnés,Euros,4714878433.0,5092677813.0,1622767876.4,1136498032.71,2000000000.0,1259000000.0,907236000.0,451008400.0,614658104.0
SYSTEMES FINANCIERS,,EE109,Nombre d’acteurs financiers bénéficiant d’un financement de l’AFD,Nbre entreprises,137.0,108.0,,,,,,,
TRANSPORT,,EE12,Nb usagers pôles de transport,Nb usagers / an,320000.0,18919818.0,805569.0,1010000.0,,,,,
"AGRICULTURE, DÉVELOPPEMENT RURAL, RESSOURCES NATURELLES, BIODIVERSITÉ",Loi 01,EE159,Nombre d'EFA dont les performances économiques ont été améliorées,Nb EFA,337179.0,380604.0,,,,,,,
"AGRICULTURE, DÉVELOPPEMENT RURAL, RESSOURCES NATURELLES, BIODIVERSITÉ",,EE170,Nombre d’institutions locales de gestion du territoire ayant bénéficié d’un appui,Nb institutions,703.0,673.0,,,,,,,
"AGRICULTURE, DÉVELOPPEMENT RURAL, RESSOURCES NATURELLES, BIODIVERSITÉ",,EE172,Nombre de personnes ayant bénéficié d'une action sensible à la nutrition,Nb de pers.,2000.0,90000.0,,,,,,,
"AGRICULTURE, DÉVELOPPEMENT RURAL, RESSOURCES NATURELLES, BIODIVERSITÉ",,EE173,dont Nb de femmes ayant bénéficié d'une action sensible à la nutrition,Nb de pers.,1000.0,5000.0,,,,,,,
DEVELOPPEMENT RURAL,,EE46,Pop concernée par les programmes de dvpt local,Nb de pers.,,,1635000.0,50000.0,,,,,
DEVELOPPEMENT URBAIN,Loi 06,EE54,Nb d'hab amélioré ou sécurisé,Nb de pers.,,,,110300.0,550000.0,384000.0,1135000.0,1056400.0,56700.0
EAU ET ASSAINISSEMENT,,EE78,Nombre de personnes bénéficiant d'un service élémentaire d’assainissement,Nb de personnes,1672259.0,740640.0,16000.0,,,,,,
EAU ET ASSAINISSEMENT,,EE55,Nb pers serv déchets solides,Nb de pers.,,,,450000.0,,,,,
EAU ET ASSAINISSEMENT,,EE9,Economies d'eau potable,m3 / an,27374846.0,14223334.0,6660717.0,15000000.0,,,,,
EDUCATION,,EE24,Nb garçons scol. niv. primaire,Nb élèves,852266.0,860651.0,417687.306497,0.0,,,,,
EDUCATION,,EE27,Nb filles scol. techn & prof,Nb élèves,369.0,235.0,0.0,0.0,,,,,
EDUCATION,,EE21,Nb de filles non redoublantes achevant le cycle primaire,Nb élèves / an,10849.0,10644.0,,,,,,,
EMPLOI,,EE112,Nombre d’individus accompagnés dans leurs démarches de création d’entreprise ou d’auto-emploi,Nb de pers.,1096.0,1059.0,,,,,,,
ENERGIE,,EE17,Nb pers amélior. serv. élect.,Nb de pers.,7447732.0,7747880.0,7138844.0,9824727.0,,,,,
ENERGIE,,EE195,Surface rénovée ou construite de bâtiment efficace,m2,0.0,,,,,,,,
ENSEIGNEMENT SUPERIEUR,,EE701,Nb bénéf de formations professionnalisantes,Nb individus,447.0,,,,,,,,
ENSEIGNEMENT SUPERIEUR,,EE703,Nb acteurs enseign. sup français impliqués partena,Nb acteurs,7.0,,,,,,,,
ENVIRONNEMENT GESTION DES RESSOURCES NATURELLES,,EE50,Surf avec gest rais ress nat,Hectares,,,448259.04,2521353.0,,,,,
ENVIRONNEMENT GESTION DES RESSOURCES NATURELLES,,EE52,Pop gest dur ress halieutiques,Nb de pers.,,,171242.41,165000.0,,,,,
Industries Culturelles et créatives,,EE713,"Nb infra cult. crées, réhabilitées, soutenues",Nb infrastructures,0.0,,,,,,,,
NUMERIQUE,,EE85,Nombre de personnes  ayant gagné un accès à une liaison internet haut débit,Nb de personnes,0.0,0.0,0.0,,,,,,
SANTE,,EE32,Nb pers utilisant serv santé,Nb de pers. / an,15027054.0,13504829.0,10021600.0,0.0,,,,,
SECTEUR BANCAIRE,,EE40,Nb ent. soutenues démarche RSE,Nb entreprises,,,35537.0,8.0,,,,,
SYSTEMES FINANCIERS,,EE87,Nombre de bénéficiaires d’un service financier local,Nb pers.,1447788.0,1910317.8,,,,,,,
TRANSPORT,,EE15,Lgeur voies terrestres,Kilomètres,2578.59,2490.45,287.46,1696.2,,,,,
TRANSPORT,,EE108,Nombre de personnes bénéficiant d’un accès amélioré à un transport durable non urbain,Nb de personnes,0.0,16000000.0,,,,,,,
