ID projet,Titre ,Secteur CICID,Agence,Bénéficaire,Pays,Région,Latitude,Longitude,Lien vers fiche de performance,Commentaires,Autorisation de publication,point_geographique
CNE1105,projet d'appui à l'élevage dans le département de Zinder,Agriculture et sécurité alimentaire,AGENCE DE NIAMEY,REPUBLIQUE DU NIGER,NIGER,Afrique Sub-saharienne,13.512668,2.0,https://www.afd.fr/sites/afd/files/2020-01-03-37-32/resume-evaluation-projet-securisation-systemes-pastoraux-PSSP-region-zinder-CNE-1105.pdf,,OUI,"13.512668,2.0"
CNE1138,Appui à la sécurité alimentaire au Niger,Agriculture et sécurité alimentaire,AGENCE DE NIAMEY,REPUBLIQUE DU NIGER,NIGER,Afrique Sub-saharienne,13.512668,2.0,https://www.afd.fr/sites/afd/files/2019-04-09-43-19/CNE1138-resume-evaluation-niger-securite-alimentaire.pdf,,OUI,"13.512668,2.0"
CCD1061,"Projet d'appui à l'éducation primaire dans les trois provinces de Bas-Congo, de Kinshasa et du Bandundu",Education,AGENCE DE KINSHASA,REPUBLIQUE DEMOCRATIQUE DU CONGO,REPUBLIQUE DEMOCRATIQUE DU CONGO,Afrique Sub-saharienne,-4.320836,15.29866,https://www.afd.fr/sites/afd/files/2019-04-09-25-00/CCD1061-resume-evaluation-RDC-education-de-base.pdf,,OUI,"-4.320836,15.29866"
CSN6007,Programme d'appui aux communautés rurales de la vallée du fleuve Sénégal pour favoriser l'investissement et le partenariat public/privé,Agriculture et sécurité alimentaire,AGENCE DE DAKAR,REPUBLIQUE DU SENEGAL,SENEGAL,Afrique Sub-saharienne,14.0,-17.4396603,https://www.afd.fr/sites/afd/files/2019-04-04-43-11/CSN6007-resume-evaluation-senegal-developpement-agricole.pdf,,OUI,"14.0,-17.4396603"
CTZ1006,Small Towns Water Supply and Sanitation Project,Eau et assainissement,AGENCE DE DAR ES SALAAM,REPUBLIQUE UNIE DE TANZANIE,TANZANIE,Afrique Sub-saharienne,-1.274359,36.0,https://www.afd.fr/sites/afd/files/2019-12-02-33-47/evaluation-summary-small-towns-water%20supply-sanitation-project-STWSSP-tanzania-CTZ1006.pdf,,OUI,"-1.274359,36.0"
CTG3004,Projet d’appui à la sécurité transfusionnelle et de lutte contre le VIH /sida,Santé et lutte contre le sida,AGENCE DE LOME,REPUBLIQUE DU TOGO,TOGO,Afrique Sub-saharienne,6.1267204,1.2169797,https://www.afd.fr/sites/afd/files/2020-01-03-03-01/resume-evaluation-projet-appui-securite-transfusionnelle-et-lutte-contre-VIH-sida-togo-CTG%203004.pdf,,OUI,"6.1267204,1.2169797"
CTG3002,Programme environnement urbain à Lomé,Infrastructures et développement urbain,AGENCE DE LOME,REPUBLIQUE DU TOGO,TOGO,Afrique Sub-saharienne,6.1267204,1.2169797,https://www.afd.fr/sites/afd/files/2019-04-09-45-55/CTG3002-resume-evaluation-togo-assainissement-solide-et-pluvial.pdf,,OUI,"6.1267204,1.2169797"
CTN6002,Programme national de réhabilitation des quartiers populaires (PRNQP 3),Infrastructures et développement urbain,AGENCE DE TUNIS,REPUBLIQUE TUNISIENNE,TUNISIE,Méditerranée,36.0,10.16596,https://www.afd.fr/sites/afd/files/2018-04-04-00-17/fiche-performance-programme-national-rehabilitation-quartiers-populaires-tunisie.pdf,,OUI,"36.0,10.16596"
CTN6004,Evaluation Quatrième programme de mise à niveau des entreprises (PME ),Secteur productif,AGENCE DE TUNIS,REPUBLIQUE TUNISIENNE,TUNISIE,Méditerranée,36.0,10.16596,https://www.afd.fr/fr/ressources/resume-devaluation-quatrieme-ligne-de-credit-de-restructuration-financiere-lcrf-des-pme-en-tunisie,,OUI,"36.0,10.16596"
CTR1026/1045/1057,Soutien au développement durable dans le secteur forestier,Environnement et ressources naturelles,AGENCE D'ISTANBUL,REPUBLIQUE DE TURQUIE,TURQUIE,Méditerranée,41.081686,29.015962,https://www.afd.fr/sites/afd/files/2019-04-09-49-04/CTR1026-1045-1057-evaluation-summary-turkey-forestry.pdf,,-,"41.081686,29.015962"
CVN1074,Développement du système d’infrastructures hydrauliques de la province de Son La,Agriculture et sécurité alimentaire,AGENCE D'HANOI,REPUBLIQUE SOCIALISTE DU VIETNAM,VIET-NAM,Asie,21.0,105.8432883,https://www.afd.fr/sites/afd/files/2018-12-05-50-53/fiche-performance-projet-irrigation-province-son-la-vietnam.pdf,,OUI,"21.0,105.8432883"
CVN1078,Third line of credit and accompanying measures to Vietnam Bank for Agricultural and Rural Development (VBARD),Secteur Productif,AGENCE D'HANOI,REPUBLIQUE SOCIALISTE DU VIETNAM,VIET-NAM,Asie,21.0,105.8432883,,,OUI,"21.0,105.8432883"
