DfE code,School Name,Type,Financial year,I01,I02,I03,I04,I05,I06,I07,I08a,I08b,I09,I10,I11,I12,I13,I15,I16,I17,I18,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28a,E28b,E29,E30,E31,E32,CI01,CI03, CI04,DeMinimis,CE01,CE02,CE03,CE04,OB01,OB02,OB03,B01,B02,B03,B05,B06
3001,Christ Church Pellon C of E VC Primary School,Primary,2019/20,964539.72,0,19484.49,0,163840.0,0.0,45520.88,896.58,4556.9,8923.0,7951.75,5166.18,1556.05,0.0,0,0.0,0.0,38907.0,525801.64,945.22,270516.97,35516.51,63281.63,47648.16,17476.79,4217.7,4571.69,5438.84,2659.12,7255.45,3321.19,6844.05,3193.67,14201.06,14361.75,4306.58,45226.85,19559.86,0.0,4330.69,7160.31,0.0,20510.69,12504.0,8115.0,82429.26,0.0,560.0,4000.0,0.0,0.0,6070.0,0.0,4000.0,1,0.0,0.0,0.0,0.0,101371.61,0.0,14449.75,25387.87,101371.61,24519.75,0.0,0.0
2076,Cliffe Hill community primary school,Primary,2019/20,988533.77,0,44762.02,0,115332.01,2000.0,6114.6,0.0,2851.62,6799.1,0.0,3556.94,8301.15,3334.14,0,0.0,0.0,38480.0,539817.04,0.0,293233.98,55651.53,49098.06,39417.91,3595.92,3638.06,5027.38,9490.86,7390.13,12098.96,6132.04,4808.4,1186.44,26631.8,30492.0,10782.96,65351.96,14039.64,0.0,11178.78,9923.28,0.0,24453.13,29598.77,23218.9,15039.76,0.0,0.0,0.0,0.0,0.0,51675.0,0.0,0.0,1,0.0,29104.71,0.0,149.99,130649.83,0.0,36455.03,0.0,59417.49,58875.33,0.0,0.0
2059,Colden J and I School,Primary,2019/20,412620.29,0,11023.58,0,19479.99,0.0,1203.65,4222.96,0.0,10170.24,6861.49,0.0,9503.99,1428.91,0,0.0,0.0,30912.0,221777.46,5532.06,53986.37,29647.05,31844.05,6353.92,11955.05,12428.59,2986.0,4563.75,1701.17,8302.27,0.0,949.65,3017.09,7441.12,4582.69,8264.12,25031.75,7390.15,0.0,1161.58,4874.3,0.0,20951.89,15656.0,5779.09,12928.39,0.0,1980.0,7500.0,0.0,0.0,4855.0,0.0,7500.0,1,3558.95,0.0,1480.15,2372.5,39161.52,0.0,-36970.86,28003.06,0.0,5472.54,-37500.0,0.0
2006,Copley primary school,Primary,2019/20,941267.09,0,30972.52,0,36579.99,0.0,49230.26,0.0,6556.0,23865.72,3988.65,6056.06,0.0,1950.0,0,0.0,0.0,63140.0,485227.82,55256.06,193583.48,38807.6,59374.75,49275.38,33083.12,3618.64,6806.87,8719.98,5132.95,9636.54,1944.14,5336.21,1738.62,14905.31,31500.0,3773.28,29885.56,22103.98,0.0,6655.52,9889.64,396.39,33909.86,13459.12,30533.65,10564.7,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,0.0,6164.93,10589.66,0.0,112943.82,0.0,7898.5,111430.94,0.0,1143.91,0.0,0.0
2069,Cornholme Junior Infant and Nursery,Primary,2019/20,880120.63,0,16167.91,0,94020.0,0.0,12428.54,0.0,24757.27,19379.9,13736.83,9533.48,3074.0,0.0,0,0.0,0.0,39628.0,507495.08,2854.13,216436.62,31146.99,56574.95,50799.27,49782.33,5055.42,2741.36,10338.36,5853.42,11488.07,0.0,992.28,2807.32,16756.27,13502.5,6597.31,51622.48,2617.0,0.0,9696.46,9015.74,0.0,28147.05,5510.02,660.6,21448.53,0.0,1980.0,7500.0,0.0,0.0,6426.0,0.0,7500.0,1,0.0,6400.0,0.0,0.0,85679.06,0.0,-25500.75,0.0,69106.06,-63000.0,45025.25,0.0
2087,Cross Lane Primary School,Primary,2019/20,1378949.03,0,22415.17,0,147480.0,18000.0,70879.86,0.0,39715.57,22429.61,14240.81,8647.0,2955.5,1705.47,0,0.0,0.0,54730.0,752488.08,2211.46,311577.19,51393.02,78252.39,60988.86,32555.36,5366.92,21914.85,12817.56,8437.85,17639.47,3367.09,3756.42,8362.32,17144.77,22261.27,4771.86,62901.31,37052.72,0.0,9563.87,11368.61,12081.28,34251.42,65874.43,57441.08,50991.45,0.0,0.0,0.0,0.0,0.0,7450.0,0.0,0.0,1,0.0,0.0,0.0,0.0,105976.07,0.0,27970.22,131291.18,0.0,35420.22,0.0,0.0
3318,"Elland CE (VA) J, I and N School",Primary,2019/20,910858.55,0,15180.83,0,137810.0,0.0,0.0,0.0,295.06,17095.83,5916.41,4221.45,0.0,5752.39,0,0.0,0.0,39793.0,426372.7,167.64,283025.1,48447.17,50826.28,46771.75,11907.4,0.0,9887.97,7581.7,5902.82,29946.43,0.0,2794.92,2253.84,20497.57,3250.8,2036.4,46449.48,9089.3,0.0,6004.36,10007.27,0.0,29582.22,3457.0,30597.5,10510.25,0.0,0.0,10197.3,0.0,0.0,0.0,0.0,10197.3,1,0.0,10197.3,0.0,0.0,85519.0,0.0,0.0,114877.35,0.0,0.0,0.0,0.0
2003,Ferney Lee Primary School,Primary,2019/20,965339.31,0,40136.75,0,114779.99,0.0,90080.56,960.0,16341.78,8089.96,7652.91,0.0,1163.5,5452.39,0,0.0,0.0,40115.0,466940.67,0.0,404835.09,69143.91,43562.3,21107.68,37029.56,4453.99,974.8,5749.86,0.0,1303.43,1276.4,2065.93,3445.82,19422.27,42854.03,9982.02,38297.8,5979.89,0.0,9602.54,19218.26,1777.06,33717.81,0.0,13689.0,21462.75,0.0,0.0,925.69,0.0,0.0,6196.0,0.0,925.69,1,0.0,0.0,0.0,11880.0,7987.7,0.0,4757.31,19281.29,0.0,-1.0,0.0,0.0
3319,Hebden Royd CE (VA) Primary school,Primary,2019/20,530159.82,0,6032.67,0,29340.0,0.0,0.0,10087.25,3100.14,8817.62,7727.03,1127.25,305.0,1041.95,0,0.0,0.0,34331.0,310996.2,5028.26,103276.21,23821.69,15641.49,11038.79,21501.96,0.0,2200.3,6837.78,2196.55,5814.35,4515.0,2784.73,4271.31,7714.54,1638.0,5084.41,26276.55,7186.2,0.0,3125.21,5493.52,0.0,25000.0,25981.94,14351.97,21933.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,136377.24,35434.5,63226.18,104736.37,0.0,0.0,63226.18,35434.5
2058,"Heptonstall J, I and N school",Primary,2019/20,427570.04,0,0.0,0,17800.01,0.0,0.0,20572.31,0.0,5603.05,569.2,7002.66,7716.05,2228.86,0,0.0,0.0,28720.0,294217.07,0.0,61627.07,16622.53,27305.51,8039.61,4801.54,5562.2,1631.0,4795.6,1157.37,3147.21,1397.0,2900.22,1527.14,12496.14,17847.85,4092.8,17241.8,5372.5,0.0,1648.16,6173.21,0.0,20051.79,432.0,1912.0,9433.02,0.0,0.0,0.0,0.0,0.0,5086.0,0.0,0.0,1,0.0,3958.0,0.0,4000.21,19953.23,0.0,9743.88,6303.07,0.0,6871.67,0.0,0.0
