DfENumber,SchoolName,Year,NetCapacity
8164500,Archbishop Holgate's CE,2005,814
8163229,Archbishop of York's CE Junior,2005,200
8162431,Badger Hill Primary,2005,150
8162386,Bishopthorpe Infant,2005,153
8164227,Burnholme Community College,2005,600
8162024,Burton Green Primary,2005,239
8164003,Canon Lee,2005,902
8162003,Carr Infant,2005,204
8162002,Carr Junior,2005,321
8162018,Clifton Green Primary,2005,330
8162253,Clifton Without Junior,2005,280
8162013,Copmanthorpe Primary,2005,388
8162006,Derwent Infant,2005,120
8162005,Derwent Junior,2005,120
8162007,Dringhouses Primary,2005,315
8163151,Dunnington CE Primary,2005,210
8163152,Elvington CE Primary,2005,157
8163400,English Martyrs' RC Primary,2005,210
8162008,Fishergate Primary,2005,210
8164153,Fulford Secondary,2005,1351
8162009,Haxby Road Primary,2005,420
8162241,Headlands Primary,2005,265
8162001,Hempland Primary,2005,420
8163302,Heworth CE Primary,2005,128
8162028,Hob Moor Community Primary,2005,314
8162180,Huntington Primary,2005,420
8164063,Huntington Secondary,2005,1489
8164508,Joseph Rowntree,2005,1287
8162011,Knavesmire Primary,2005,243
8162428,Lakeside Primary,2005,360
8163158,Lord Deramore's Primary,2005,210
8164228,Lowfield,2005,700
8164602,Manor CE Secondary,2005,639
8164229,Millthorpe Secondary,2005,1024
8163159,Naburn CE Primary,2005,83
8163901,New Earswick Primary,2005,333
8164226,Oaklands,2005,923
8162176,Osbaldwick Primary,2005,210
8163404,Our Lady's RC Primary,2005,210
8162012,Park Grove Primary,2005,240
8162029,Poppleton Ousebank Primary,2005,420
8162014,Poppleton Road Primary,2005,455
8162058,Ralph Butterfield Primary,2005,315
8162201,Rawcliffe Infant & Nursery,2005,239
8163212,Robert Wilkinson Primary,2005,591
8162349,Rufforth Primary,2005,60
8162016,Scarcroft Primary,2005,304
8162169,Skelton Primary,2005,140
8163401,St Aelred's RC Primary,2005,267
8163002,St Barnabas' CE Primary,2005,150
8163402,St George's RC Primary,2005,196
8163305,St Lawrence's CE Primary,2005,210
8163222,St Mary's CE Primary,2005,105
8163156,St Oswald's CE Primary,2005,312
8163003,St Paul's CE Primary,2005,175
8163403,St Wilfrid's RC Primary,2005,267
8162227,Stockton on the Forest Primary,2005,87
8162429,Tang Hall Primary,2005,277
8162017,Westfield Primary,2005,689
8163380,Wheldrake with Thorganby CE Primary,2005,204
8162240,Wigginton Primary,2005,250
8162027,Woodthorpe Primary,2005,508
8162015,Yearsley Grove Primary,2005,360
8162000,Acomb Primary,2006,262
8164702,All Saints' RC,2006,1207
8164500,Archbishop Holgate's CE,2006,810
8163229,Archbishop of York's CE Junior,2006,210
8162431,Badger Hill Primary,2006,150
8162386,Bishopthorpe Infant,2006,170
8164227,Burnholme Community College,2006,600
8162024,Burton Green Primary,2006,239
8164003,Canon Lee,2006,905
8162003,Carr Infant,2006,175
8162002,Carr Junior,2006,258
8162018,Clifton Green Primary,2006,360
8162253,Clifton Without Junior,2006,287
8162013,Copmanthorpe Primary,2006,388
8162006,Derwent Infant,2006,120
8162005,Derwent Junior,2006,150
8162007,Dringhouses Primary,2006,315
8163151,Dunnington CE Primary,2006,210
8163152,Elvington CE Primary,2006,157
8163400,English Martyrs' RC Primary,2006,210
8162008,Fishergate Primary,2006,210
8164153,Fulford Secondary,2006,1277
8162009,Haxby Road Primary,2006,378
8162241,Headlands Primary,2006,259
8162001,Hempland Primary,2006,420
8163302,Heworth CE Primary,2006,128
8162028,Hob Moor Community Primary,2006,270
8162180,Huntington Primary,2006,420
8164063,Huntington Secondary,2006,1487
8164508,Joseph Rowntree,2006,1321
8162011,Knavesmire Primary,2006,262
8162428,Lakeside Primary,2006,360
8163158,Lord Deramore's Primary,2006,210
8164602,Manor CE Secondary,2006,639
8164229,Millthorpe Secondary,2006,1056
8163159,Naburn CE Primary,2006,83
8163901,New Earswick Primary,2006,299
8162176,Osbaldwick Primary,2006,210
8163404,Our Lady's RC Primary,2006,210
8162012,Park Grove Primary,2006,266
8162029,Poppleton Ousebank Primary,2006,420
8162014,Poppleton Road Primary,2006,420
8162058,Ralph Butterfield Primary,2006,315
8162201,Rawcliffe Infant & Nursery,2006,240
8163212,Robert Wilkinson Primary,2006,591
8162349,Rufforth Primary,2006,60
8162016,Scarcroft Primary,2006,300
8162169,Skelton Primary,2006,140
8163401,St Aelred's RC Primary,2006,237
8163002,St Barnabas' CE Primary,2006,150
8163402,St George's RC Primary,2006,196
8163305,St Lawrence's CE Primary,2006,210
8163222,St Mary's CE Primary,2006,105
8163156,St Oswald's CE Primary,2006,331
8163003,St Paul's CE Primary,2006,175
8163403,St Wilfrid's RC Primary,2006,267
8162227,Stockton on the Forest Primary,2006,80
8162429,Tang Hall Primary,2006,202
8162017,Westfield Primary,2006,663
8163380,Wheldrake with Thorganby CE Primary,2006,210
8162240,Wigginton Primary,2006,250
8162027,Woodthorpe Primary,2006,444
8162015,Yearsley Grove Primary,2006,360
8162000,Acomb Primary,2007,243
8164702,All Saints' RC,2007,1207
8164500,Archbishop Holgate's CE,2007,810
8163229,Archbishop of York's CE Junior,2007,240
