Number and types of applications by all account customers,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jul-21,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
LONDON & QUADRANT HOUSING TRUST,0,0,0,0,0,0,0,0,0,251,192,443
LONDON & QUADRANT HOUSING TRUST,0,1,0,48,0,0,0,0,0,65,26,140
LONDON & REGIONAL PROPERTIES LTD,0,0,0,0,0,0,0,0,0,3,0,3
LONDON & SOUTH EAST VALUERS LTD,0,0,0,0,0,0,0,0,0,1,2,3
LONDON & WESTERN HOLDINGS PLC,0,0,0,0,0,0,0,0,0,13,0,13
LONDON AND CITY CAPITAL LTD,0,0,0,0,0,0,0,0,0,307,0,307
LONDON AND DISTRICT HOUSING LTD,0,0,0,0,0,0,0,0,0,22,1,23
LONDON BOROUGH CAMDEN,0,0,0,2,2,0,0,0,5,128,15,152
LONDON BOROUGH OF BARKING & DAGENHAM,0,0,0,5,8,0,0,0,0,67,5,85
LONDON BOROUGH OF BARNET,0,0,0,0,0,0,0,0,0,99,0,99
LONDON BOROUGH OF BARNET,0,0,0,0,0,0,0,0,0,2,0,2
LONDON BOROUGH OF BRENT,0,0,0,0,0,0,0,0,0,4,0,4
LONDON BOROUGH OF BRENT,0,0,0,0,0,0,0,0,0,328,0,328
LONDON BOROUGH OF BRENT,0,0,0,0,0,0,0,0,0,5,0,5
LONDON BOROUGH OF BRENT,0,0,0,6,2,0,0,0,0,60,8,76
LONDON BOROUGH OF BRENT,0,0,0,0,0,0,0,0,0,1,0,1
LONDON BOROUGH OF BRENT,0,0,0,0,0,0,0,0,0,35,0,35
LONDON BOROUGH OF BRENT,0,0,0,0,0,0,0,0,0,14,0,14
LONDON BOROUGH OF BRENT,0,0,0,5,1,0,0,0,8,313,16,343
LONDON BOROUGH OF BRENT,0,0,0,0,0,0,0,0,0,55,0,55
LONDON BOROUGH OF BROMLEY,0,0,0,2,1,0,0,0,0,143,8,154
LONDON BOROUGH OF EALING,0,0,0,0,0,0,0,0,0,74,0,74
LONDON BOROUGH OF EALING,0,0,0,0,0,0,0,0,0,14,0,14
LONDON BOROUGH OF EALING,0,0,0,0,0,0,0,0,0,23,10,33
LONDON BOROUGH OF EALING,0,0,0,0,0,0,0,0,0,6,0,6
LONDON BOROUGH OF ENFIELD,0,0,0,4,0,0,0,0,0,188,1,193
LONDON BOROUGH OF ENFIELD,0,0,0,0,0,0,0,0,0,20,16,36
LONDON BOROUGH OF ENFIELD,0,0,0,0,0,0,0,0,2,5,1,8
LONDON BOROUGH OF ENFIELD,0,0,0,12,5,0,0,0,2,55,8,82
LONDON BOROUGH OF ENFIELD,0,0,0,0,0,0,0,0,0,190,0,190
LONDON BOROUGH OF ENFIELD,0,0,0,0,1,0,0,0,0,2,0,3
LONDON BOROUGH OF ENFIELD,0,0,0,0,0,0,0,0,0,5,0,5
LONDON BOROUGH OF ENFIELD,0,0,0,0,0,0,0,0,0,9,0,9
LONDON BOROUGH OF ENFIELD,0,0,0,0,0,0,0,0,0,8,13,21
LONDON BOROUGH OF ENFIELD,0,0,0,0,0,0,0,0,0,9,3,12
LONDON BOROUGH OF ENFIELD,0,2,0,1,0,0,0,0,4,114,15,136
LONDON BOROUGH OF HACKNEY,0,0,0,0,0,0,0,0,0,41,4,45
LONDON BOROUGH OF HACKNEY,0,0,0,0,0,0,0,0,0,6,0,6
LONDON BOROUGH OF HACKNEY,0,0,0,0,0,0,0,0,0,67,63,130
LONDON BOROUGH OF HACKNEY,0,7,0,5,1,0,0,0,3,81,6,103
LONDON BOROUGH OF HACKNEY,0,0,0,0,0,0,0,0,0,20,0,20
LONDON BOROUGH OF HACKNEY (ICT),0,0,0,0,0,0,0,0,0,31,0,31
LONDON BOROUGH OF HAVERING,0,0,0,0,0,0,0,0,0,62,8,70
LONDON BOROUGH OF HAVERING,0,0,0,0,0,0,0,0,0,158,0,158
LONDON BOROUGH OF HAVERING,0,0,0,3,0,0,0,0,0,38,10,51
LONDON BOROUGH OF HAVERING,0,0,0,0,0,0,0,0,0,17,0,17
LONDON BOROUGH OF HAVERING,0,0,0,0,0,0,0,0,0,29,0,29
LONDON BOROUGH OF HAVERING,0,0,0,0,0,0,0,0,0,10,3,13
LONDON BOROUGH OF HILLINGDON,0,0,0,0,0,0,0,0,0,2,0,2
LONDON BOROUGH OF HILLINGDON,0,0,0,0,0,0,0,0,0,17,10,27
LONDON BOROUGH OF HILLINGDON,0,0,0,0,0,0,0,0,0,14,0,14
LONDON BOROUGH OF HILLINGDON,0,0,0,0,0,0,0,0,0,53,0,53
LONDON BOROUGH OF HILLINGDON,0,0,0,0,0,0,0,0,0,53,0,53
LONDON BOROUGH OF HILLINGDON,0,0,0,0,0,0,0,0,0,2,0,2
LONDON BOROUGH OF HILLINGDON,0,0,0,0,0,0,0,0,0,0,3,3
LONDON BOROUGH OF HILLINGDON,0,0,0,0,0,0,0,0,0,30,0,30
LONDON BOROUGH OF HILLINGDON,0,0,0,0,0,0,0,0,0,3,0,3
LONDON BOROUGH OF HILLINGDON,0,0,0,2,1,0,0,0,0,45,13,61
LONDON BOROUGH OF HILLINGDON,0,0,0,0,0,0,0,0,0,4,6,10
LONDON BOROUGH OF HILLINGDON,0,0,0,0,0,0,0,0,0,48,0,48
LONDON BOROUGH OF HOUNSLOW,0,0,0,0,0,0,0,0,0,270,171,441
LONDON BOROUGH OF LAMBETH,0,0,0,0,0,0,0,0,0,93,8,101
LONDON BOROUGH OF LAMBETH,0,0,0,0,0,0,0,0,0,1,1,2
LONDON BOROUGH OF LAMBETH,0,0,0,0,0,0,0,0,0,23,0,23
LONDON BOROUGH OF LAMBETH,0,0,0,0,0,0,0,0,0,4,0,4
LONDON BOROUGH OF LAMBETH,0,0,0,0,0,0,0,0,0,6,0,6
LONDON BOROUGH OF LAMBETH,0,0,0,0,0,0,0,0,0,13,0,13
LONDON BOROUGH OF LEWISHAM,0,0,0,3,1,0,0,0,0,42,6,52
LONDON BOROUGH OF LEWISHAM,0,0,0,3,0,0,0,0,0,0,0,3
LONDON BOROUGH OF LEWISHAM,0,0,0,0,0,0,0,0,0,6,0,6
LONDON BOROUGH OF LEWISHAM,0,0,0,0,0,0,0,0,0,28,0,28
LONDON BOROUGH OF LEWISHAM,0,0,0,0,0,0,0,0,0,32,0,32
LONDON BOROUGH OF LEWISHAM,0,0,0,0,0,0,0,0,0,7,0,7
LONDON BOROUGH OF MERTON,0,0,0,38,10,0,0,0,10,212,72,342
LONDON BOROUGH OF MERTON,0,0,0,0,0,0,0,0,0,8,0,8
LONDON BOROUGH OF MERTON,0,0,0,0,0,0,0,0,0,28,0,28
LONDON BOROUGH OF MERTON,0,0,0,0,0,0,0,0,0,2,0,2
LONDON BOROUGH OF MERTON,0,0,0,0,0,0,0,0,0,22,0,22
LONDON BOROUGH OF REDBRIDGE,0,0,0,0,0,0,0,0,0,19,6,25
LONDON BOROUGH OF SOUTHWARK,0,0,0,0,0,0,0,0,0,2,0,2
LONDON BOROUGH OF SOUTHWARK,0,0,0,1,0,0,0,0,1,65,23,90
LONDON BOROUGH OF SOUTHWARK,0,0,0,0,0,0,0,0,0,7,1,8
LONDON BOROUGH OF SUTTON,0,0,0,0,0,0,0,0,0,14,0,14
LONDON BOROUGH OF SUTTON,0,0,0,0,0,0,0,0,0,14,0,14
LONDON BOROUGH OF TOWER HAMLETS,0,0,0,4,1,2,0,0,2,321,7,337
LONDON BOROUGH OF WALTHAM FOREST,19,0,0,2,3,0,0,0,23,1153,31,1231
LONDON BRIDGE ESTATES LIMITED,0,0,0,0,0,0,0,0,0,16,16,32
LONDON BUILDING CONTROL LTD,0,0,0,0,0,0,0,0,0,471,0,471
LONDON COPORATE LEGAL LIMITED,0,3,0,17,9,0,0,0,0,10,3,42
LONDON DIOCESAN FUND,0,0,0,0,0,0,0,0,0,9,7,16
LONDON FIRE & EMERGENCY PLAN AUTH,0,0,0,0,0,0,0,0,0,5,0,5
LONDON FIRE BRIGADE,0,0,0,0,0,0,0,0,0,2,0,2
LONDON LAW CHAMBERS LTD,0,0,0,1,0,0,0,0,0,7,2,10
LONDON LEGACY DEVELOPMENT CORP,0,0,0,0,0,0,0,0,0,3,1,4
LONDON MUTUAL CREDIT UNION,0,0,0,0,0,0,0,0,0,10,0,10
LONDON PROPERTY HOLDINGS LTD,0,0,0,0,0,0,0,0,0,6,2,8
LONDON PROPERTY INVESTMENTS LTD,0,0,0,0,0,0,0,0,0,1,0,1
LONDON RESIDENTIAL MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,11,6,17
LONDON ROAD GROUP LTD,0,0,0,0,0,0,0,0,0,4,0,4
LONDON'S SURVEYORS & VALUERS LTD,0,0,0,0,0,0,0,0,0,94,0,94
LONDONIUM CHAMBER LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
LONGDEN AND COOK,0,0,0,0,0,0,0,0,0,10,1,11
LONGDEN WALKER & RENNEY,1,0,1,21,22,1,3,0,0,97,21,167
LONGESPEE & CO,0,0,0,3,3,0,0,0,0,18,4,28
LONGFORDS,0,0,1,34,12,0,1,0,0,53,13,114
LONGHURST GROUP LTD,0,0,0,0,0,0,0,0,0,1,0,1
LONGHURST GROUP LTD,0,0,0,0,0,0,0,0,0,24,46,70
LONGLAND STANSFIELD & KEEBLE,0,0,0,0,0,0,0,0,1,6,3,10
LONGLEAT,0,0,0,0,0,0,0,0,0,2,1,3
LONGMORES SOLICITORS,1,9,4,42,22,0,1,0,12,203,71,365
LONIC LTD,0,0,0,0,0,0,0,0,0,3,0,3
LOOSEMORES,0,1,3,22,18,0,2,0,1,51,31,129
LORDS SOLICITORS LLP,0,1,0,1,1,0,0,0,0,1,0,4
LORIMERS,0,0,0,1,2,0,1,0,0,20,8,32
LOUGHBOROUGH BUILDING SOCIETY,0,0,0,23,0,0,0,0,0,0,0,23
LOUGHBOROUGH UNIVERSITY,0,0,0,0,0,0,0,0,0,3,1,4
LOUIS KENNEDY SOLICITORS,0,0,0,0,2,0,0,0,0,9,0,11
LOUISE GREER LLB,1,0,0,19,15,0,0,0,0,41,20,96
LOVA SOLICITORS LTD,0,0,0,0,0,0,0,0,0,3,0,3
LOVATT & CO,0,0,0,0,0,0,0,0,0,1,1,2
LOVATT & NOTT LIMITED,0,0,0,0,0,0,0,0,0,1,0,1
LOVE FOR PROPERTY LIMITED,0,0,0,0,0,0,0,0,0,26,0,26
LOVE YOUR BLOCK LTD,0,0,0,0,0,0,0,0,0,8,2,10
LOVEITTS,0,0,0,0,0,0,0,0,0,2,5,7
LOVELL CHOHAN SOLS LTD,0,0,0,5,0,0,0,0,0,12,1,18
LOVELL CONSULTING LTD,0,0,0,0,0,0,0,0,0,41,0,41
LOVELL PARTNERSHIPS LIMITED,0,0,0,0,0,0,0,0,0,34,1,35
LOVELL SON AND PITFIELD,0,0,0,1,0,0,0,0,0,18,9,28
LOVELLE BACONS,0,0,0,0,0,0,0,0,0,5,2,7
LOVETTS,0,0,0,1,0,0,0,0,0,20,0,21
LOVETTS SOLICITORS,0,1,0,15,9,0,1,0,1,26,9,62
LOVEWELL BLAKE LLP,0,0,0,0,0,0,0,0,0,1,2,3
LOW CARBON LIMITED,0,0,0,0,0,0,0,0,0,7,0,7
LOWE LEGAL SERVICES,0,0,1,6,3,0,0,0,2,19,5,36
LOWELL SOLICITORS LIMITED,0,0,0,280,0,0,0,0,0,58,2,340
LOWES SOLICITORS,0,0,0,1,0,0,0,0,0,4,0,5
LOWICK MCKAY,1,1,1,66,74,0,5,0,1,108,24,281
LOWRY CAPITAL LTD,0,0,0,0,0,0,0,0,0,37,1,38
LOXLEY SOLICITORS LIMITED,3,0,2,62,26,2,15,0,8,224,62,404
LOXTON LAND LTD,0,0,0,0,0,0,0,0,0,8,0,8
LOYNTON & CO SOLICITORS LTD,0,1,0,26,17,0,2,0,1,45,13,105
LPC LIVING LTD,0,0,0,0,0,0,0,0,0,4,0,4
LPE GROUP,0,0,0,0,0,0,0,0,0,5,0,5
LPG DIRECT PROPERTIES LIMITED,0,0,0,0,0,0,0,0,0,2,0,2
LPS SOLICITORS LTD,0,0,0,0,0,0,0,0,0,3,0,3
LSC FINANCE LTD,0,0,0,0,0,0,0,0,0,23,1,24
LSC PROPERTY HOLDINGS LIMITED,0,0,0,0,1,0,0,0,1,0,0,2
LSC PROPERTY SEARCHES LTD,0,0,0,0,0,0,0,0,8,0,0,8
LSGA SOLICITORS,0,1,0,3,0,0,0,0,0,0,0,4
LU OLIPHANT SOLICITORS,0,2,0,17,1,0,0,0,0,13,5,38
LUCAS & WYLLYS,1,0,1,46,0,0,0,0,5,6,1,60
LUCAS LAW SOLICITORS,0,0,0,19,10,0,2,0,1,31,18,81
LUCAS LEE LIMITED,0,0,0,0,0,0,0,0,0,0,1,1
LUCEMI LLP,0,0,0,0,0,0,0,0,0,18,4,22
LUCID PROPERTY LTD,0,0,0,0,0,0,0,0,0,1,0,1
LUDLOW LANE SOLICITORS LTD,0,0,0,3,4,0,0,0,0,12,5,24
LUFF BROOK CARTER,1,0,0,6,2,0,1,0,1,19,8,38
LUMINE LAW LTD,0,0,0,1,4,0,0,0,0,2,2,9
LUMINUS GROUP LIMITED,0,0,0,0,0,0,0,0,0,12,11,23
LUNA LAW LIMITED,0,0,0,12,3,0,1,0,0,13,4,33
LUND BENNETT LAW LLP,0,0,0,1,0,0,0,0,0,4,2,7
LUNDYS,3,0,2,23,10,0,5,0,2,77,24,146
LUNN GROVES,0,0,0,3,0,0,0,0,0,24,2,29
LUPTON FAWCETT DENISON TILL,0,2,2,59,33,0,7,0,8,277,72,460
LUROT BRAND LTD,0,0,0,0,0,0,0,0,0,8,0,8
LUSCOMBE GRAY LTD,0,0,0,0,0,0,0,0,0,24,3,27
LUSCOMBE MAYE LLP,0,0,0,0,0,0,0,0,0,14,0,14
LUTON BOROUGH COUNCIL,0,0,0,2,1,0,0,0,1,96,14,114
LUTTONS DUNFORD SOLICITORS,0,2,8,17,4,0,34,0,0,17,10,92
LUX LAW,1,1,2,25,22,0,2,0,1,37,20,111
LUXURY LEISURE,0,0,0,0,0,0,0,0,0,27,9,36
LWC DRINKS LIMITED,0,0,0,0,0,0,0,0,0,619,0,619
LYNCH HALL & HORNBY,0,7,2,44,14,0,5,0,1,126,66,265
LYNN MURRAY,0,0,2,26,16,0,7,0,0,63,26,140
LYNNE THORNTON,1,0,0,20,6,0,0,0,1,46,6,80
LYNWOOD SOLICITORS,0,0,0,5,3,0,0,0,0,5,1,14
LYONS,0,0,2,21,8,0,2,0,1,36,16,86
LYONS & COMPANY,0,1,0,14,5,0,1,0,0,68,29,118
LYONS BOWE SOLICITORS,2,2,3,104,1,0,1,0,8,4,4,129
LYONS DAVIDSON,1,0,0,34,3,0,0,0,1,144,46,229
LYONS WILSON SOLICITORS,0,0,1,7,3,0,2,0,0,1,4,18
LYTHAM ST ANNE'S PROPERTY LIMITED,0,0,0,0,0,0,0,0,0,11,1,12
M & A DOOCEY CIVIL ENGINEERING LTD,0,0,0,0,0,0,0,0,0,3,0,3
M & K SOLICITORS,0,0,0,5,2,0,0,0,0,12,2,21
M & M SOLICITORS,0,0,0,2,3,0,0,0,0,8,0,13
M & S SOLICITORS (LEICESTER),0,0,0,7,0,0,0,0,0,27,1,35
M A LAWYERS LTD,0,0,1,8,1,0,1,0,1,21,17,50
M ALLEN TRADING AS ELGARS,0,0,0,0,0,0,0,0,0,6,0,6
M B LAWYERS,0,0,0,1,1,0,0,0,0,21,10,33
M BENEDIKT LTD,0,0,0,0,0,0,0,0,0,5,0,5
M C HULLAH LICENSED CONVEYANCER,3,1,11,37,36,0,18,0,0,67,33,206
M E WILLIAMS CHARTERED SURVEYORS,0,0,0,0,0,0,0,0,0,13,3,16
M H LAW SOLICITORS,0,0,0,0,0,0,0,0,0,3,2,5
M I BANKS,0,0,0,2,1,0,0,0,0,6,2,11
M J DARBY & CO,1,0,0,11,15,0,1,0,1,25,13,67
M J GLEESON GROUP PLC,0,0,0,0,0,0,0,0,0,78,13,91
M J GLEESON GROUP PLC,0,0,0,0,0,0,0,0,0,274,4,278
M J QUINN INTEGRATED SERVICES LIMI,0,0,0,0,0,0,0,0,0,135,0,135
M J STAPLES PROPERTY MANAGEMENT (H,0,0,0,0,0,0,0,0,0,1,1,2
M P MORAN & SONS LTD,0,0,0,0,0,0,0,0,0,41,0,41
M PATTERSON & CO PROP LAWYERS LTD,0,0,0,16,13,0,2,0,1,47,16,95
M PENDER,0,0,0,1,0,0,0,0,1,9,6,17
M R SOLICITORS LLP,0,3,0,1,1,0,0,0,0,5,0,10
M R TIMMS & CO,1,0,0,10,0,0,0,0,0,1,0,12
M SCOTT PROPERTIES LIMITED,0,0,0,0,0,0,0,0,0,6,0,6
M T G SOLICITORS,0,0,0,3,5,0,0,0,2,24,4,38
M.C.I. DEVELOPMENTS LIMITED,0,0,0,3,0,0,0,0,1,34,3,41
M.J.K.A PROPERTIES LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
M&H LEGAL LTD,0,0,0,2,5,0,0,0,0,15,6,28
M&S LAW LTD,0,0,0,2,3,0,0,0,1,18,9,33
M3 PROPERTY LIMITED,0,0,0,0,0,0,0,0,0,1,0,1
MA SOLICITORS,0,1,0,4,0,0,0,0,0,1,0,6
MAC ESTATES,0,0,0,0,0,0,0,0,0,6,0,6
MAC TECH GROUP LTD,0,0,0,0,0,0,0,0,0,1774,0,1774
MACASKILLS (J MAGNUS MACASKILL),0,0,1,16,18,0,2,0,2,34,17,90
MACBRYDE HOMES LTD,0,0,0,0,0,0,0,0,0,7,0,7
MACDONALD CHAPMAN,0,0,0,0,0,0,0,0,0,1,3,4
MACDONALD OATES LLP,1,3,2,27,8,0,4,0,3,87,39,174
MACDONALDBEGEMAN LIMITED,0,0,0,0,0,0,0,0,0,10,1,11
MACEY & COMPANY,0,0,0,0,0,0,0,0,0,3,0,3
MACFARLANES LLP,0,2,0,74,31,0,0,0,30,390,75,602
MACHINS,4,4,2,91,50,0,6,0,8,175,92,432
MACINTYRE HUDSON LLP,0,0,0,2,0,0,0,0,0,182,3,187
MACINTYRE LAW LIMITED,0,1,1,9,6,1,2,0,1,3,2,26
MACKARNESS & LUNT,1,9,0,26,14,0,5,0,1,53,26,135
MACKENZIE & CO SOLICITORS,0,0,0,0,0,0,0,0,0,3,0,3
MACKENZIE DILLON SOLICITORS,1,0,0,0,1,0,0,0,0,6,0,8
MACKENZIE JONES SOLICITORS LTD,1,3,3,56,35,0,9,0,2,73,38,220
MACKENZIE SMITH PROPERTIES LTD,0,0,0,0,0,0,0,0,0,12,8,20
MACKENZIE SPENCER LIMITED,0,0,0,0,0,0,0,0,0,5,3,8
MACKRELL,0,0,0,27,10,0,2,0,0,39,22,100
MACKRELL AND THOMAS LIMITED,0,0,0,2,9,0,1,0,2,63,18,95
MACKRELL TURNER GARRETT,0,4,0,31,1,0,1,0,1,73,33,144
MACKS,1,1,3,24,24,0,3,0,3,62,35,156
MACLACHLAN SOLICITORS,1,0,3,35,5,0,3,0,2,50,21,120
MACLAREN WARNER,1,1,4,49,53,0,6,0,7,94,45,260
MACMARSHALLS LTD,0,0,0,0,0,0,0,0,0,45,1,46
Macmillans,1,1,2,16,10,0,3,0,10,26,16,85
MACNAMARA KING,1,0,0,1,0,0,0,0,0,0,0,2
MACOB WESTGATE LIMITED,0,0,0,0,0,0,0,0,0,2,0,2
MACROBERTS LLP,0,0,0,3,1,0,0,0,0,9,1,14
MACRORY WARD,0,1,0,6,3,0,1,0,2,26,5,44
MADDOCKS CLARKE SOLICITORS,0,0,0,2,5,0,0,0,1,66,6,80
MADDOX CAPITAL PARTNERS LIMITED,0,0,0,0,0,0,0,0,0,6,1,7
MADDOX LEGAL LIMITED,0,0,0,0,0,0,0,0,0,9,1,10
MADGE LLOYD & GIBSON,2,1,1,19,10,0,2,0,8,67,20,130
MAFFEY & BRENTNALL,1,0,0,4,4,0,0,0,0,7,3,19
MAG SOLICITORS LIMITED,0,0,0,14,0,0,0,0,0,11,3,28
MAGDALENE HAYWOOD T/A KEYSTONE LAW,1,16,4,134,51,5,19,0,14,414,167,825
MAGENTA LIVING,0,0,0,0,0,0,0,0,0,1,0,1
MAGNA HOUSING LIMITED,0,0,0,0,0,0,0,0,0,28,35,63
MAGRI DEVELOPMENTS LIMITED,0,0,0,0,0,0,0,0,0,9,21,30
MAHANY & CO,0,3,0,14,4,0,2,0,0,49,19,91
MAHER & CO,1,4,0,21,0,0,0,0,0,4,1,31
MAIDENWAY LIMITED,0,0,0,0,0,0,0,0,0,11,0,11
MAIDSTONE BOROUGH COUNCIL,0,0,0,3,0,0,0,0,0,7,1,11
MAIDSTONE BOROUGH COUNCIL,0,0,0,0,0,0,0,0,0,141,0,141
MAIDSTONE BOROUGH COUNCIL,0,0,0,0,0,0,0,0,0,4,0,4
MAIDSTONE BOROUGH COUNCIL,0,0,0,1,0,0,0,0,0,6,2,9
MAINSTAY GROUP LIMITED,0,0,0,0,0,0,0,0,0,112,102,214
MAIR WILLIAMS,1,0,0,2,2,0,1,0,0,15,0,21
MAISON MERSEYSIDE LIMITED,0,0,0,0,0,0,0,0,0,1,0,1
MAITLANDS ACORN PROFESSIONAL LTD,0,0,0,0,0,0,0,0,0,49,0,49
MAJESTIC SOLICITORS LTD,0,0,0,1,3,0,2,0,0,10,1,17
MAJID MALIK,0,0,0,4,3,0,0,0,0,10,4,21
MAJOR FAMILY LAW LIMITED,0,0,0,2,0,0,0,0,0,20,0,22
MAJORLAW LIMITED,0,0,0,9,9,0,0,0,0,16,6,40
MAK SOLICITORS & NOTARY PUBLIC LLP,0,0,0,0,0,0,0,0,0,1,0,1
MAKAN INVESTMENTS LTD,0,0,0,0,0,0,0,0,0,8,0,8
MAKE UR MOVE LIMITED,0,0,0,0,0,0,0,0,0,21,0,21
MAKI ONLINE SERVICES LIMITED,0,0,0,0,0,0,0,0,0,101,23,124
MAKKA SOLICITORS LTD,0,0,0,1,1,0,0,0,0,3,0,5
MALCOLM & CO SOLICITORS LLP,0,0,0,1,0,0,0,0,0,2,1,4
MALCOLM C FOY & CO LIMITED,2,2,12,62,52,0,77,0,5,96,49,357
MALCOLM HOLLIS LLP,0,0,0,0,0,0,0,0,0,31,2,33
MALCOLM MARTIN,0,0,0,0,0,0,0,0,0,13,4,17
MALDON DISTRICT COUNCIL,0,0,0,0,0,0,0,0,0,5,0,5
MALEKIN LAW,0,1,3,13,36,0,6,0,0,11,13,83
MALIK LEGAL SOLICITORS LTD,0,0,0,0,0,0,0,0,0,2,1,3
MALLARD VEHICLE FINANCE LTD,0,0,0,0,0,0,0,0,0,1,0,1
MALLORY LAND LTD,0,0,0,0,0,0,0,0,0,0,1,1
MALVERN HILLS DISTRICT COUNCIL,1,0,0,0,0,0,0,0,0,11,6,18
MANAGED EXIT LIMITED,0,0,0,0,0,0,0,0,0,197,134,331
MANAGEMENT COMPANY SERVICES LTD,0,0,0,0,0,0,0,0,0,4,0,4
MANAGING ESTATES LIMITED,0,0,0,0,0,0,0,0,0,8,2,10
MANAK,0,0,7,73,35,1,21,0,1,85,38,261
MANCHESTER AIRPORT PLC,0,0,0,0,0,0,0,0,0,15,1,16
MANCHESTER BUILDING SOCIETY,0,0,0,42,8,0,0,0,0,5,0,55
MANCHESTER CITY COUNCIL,0,0,0,18,5,9,3,0,20,452,118,625
MANCHESTER METROPOLITAN UNIVERSITY,0,0,0,0,0,0,0,0,0,5,2,7
MANCHESTERS,0,0,0,9,1,0,2,0,2,24,10,48
MANCINI LEGAL,1,2,0,54,18,0,1,0,0,85,20,181
MANDER CRUICKSHANK,2,4,0,28,0,0,0,0,0,0,1,35
Mander Hadley & Co,2,0,2,47,38,0,8,0,2,115,48,262
MANDERS LAW LIMITED,0,0,0,1,0,0,0,0,0,6,0,7
MANDEVILLE ESTATES LIMITED,0,0,0,0,0,0,0,0,0,2,2,4
MANDLA BHOMRA & CO,0,0,0,0,0,0,0,0,0,2,1,3
MANDY PETERS SOLICITORS,0,0,0,0,0,0,0,0,0,5,2,7
MANHIRE LLP,0,0,0,0,0,0,0,0,0,7,0,7
MANIS,0,0,0,3,1,0,0,0,0,4,1,9
MANISURES LTD,0,0,0,0,0,0,0,0,0,7,6,13
MANN & CO SOLICITORS,0,0,1,17,9,0,0,0,0,32,11,70
MANN & COMPANY (KETTERING),0,0,0,18,11,0,1,0,0,16,4,50
MANN JENKINS,0,0,0,4,10,0,3,0,0,18,6,41
MANN SMITH LIMITED,0,0,0,0,0,0,0,0,0,39,0,39
MANNERS PIMBLETT SOLICITORS,0,0,0,25,0,0,0,0,0,4,0,29
MANNING STAINTON SURVEYORS LTD,0,0,0,0,0,0,0,0,0,12,0,12
MANOLETE PARTNERS PLC,0,0,0,13,0,0,0,0,0,282,12,307
MANOR SOLICITORS,0,0,0,0,0,0,0,0,0,3,2,5
MANSFIELD DISTRICT COUNCIL,0,0,0,0,0,0,0,0,0,3,0,3
MANSFIELD DISTRICT COUNCIL,0,0,0,0,0,0,0,0,0,11,0,11
MANSFIELD DISTRICT COUNCIL,0,0,0,0,0,0,0,0,0,29,0,29
MANSFIELD DISTRICT COUNCIL,0,0,0,0,0,0,0,0,0,9,0,9
MANTILLA & STONERWOOD,0,1,0,17,9,0,1,0,0,3,1,32
MANTINS SOLICITORS,0,1,1,13,6,0,0,0,4,34,26,85
MANTRA CONSULTANCY & CAPITAL LTD,0,0,0,0,0,0,0,0,0,105,12,117
MANUEL SWADEN,0,1,0,12,2,0,0,0,0,18,13,46
MAPLES SOLICITORS LLP,3,0,0,15,13,0,7,0,4,78,23,143
MAPLES TEESDALE,0,2,0,20,19,0,1,0,2,157,39,240
MAPLESTONES,1,0,0,7,0,0,0,0,0,11,1,20
MAPLETOFT & CO SOLS,0,0,0,2,0,0,0,0,0,2,1,5
MARC ROBERT WHITE & CO,0,0,0,5,0,0,0,0,2,1,1,9
MARCH & BLOOM LAW LIMITED,0,0,0,2,4,0,0,0,0,15,0,21
MARCHAND PETIT,0,0,0,0,0,0,0,0,0,1,0,1
MARCHANT HARRIES & CO,5,0,2,29,9,0,0,0,1,11,3,60
MARCHES LAW,0,0,3,6,0,0,2,0,0,0,0,11
MARCUS BAUM,2,6,6,152,626,0,67,0,3,285,158,1305
MARGARET M FRAME & CO,0,1,1,16,3,0,0,0,2,19,10,52
MARGARET REYNOLDS,0,1,1,5,0,0,0,0,0,10,0,17
MARGETTS & RITCHIE,0,0,1,15,5,0,2,0,0,10,3,36
MARGRAVES SOLICITORS,0,0,2,6,6,0,2,0,0,43,13,72
MARINA DEVELOPMENTS LIMITED,0,0,0,0,0,0,0,0,0,0,2,2
MARIO MONTANA LIMITED,0,0,1,3,2,0,0,0,0,25,7,38
MARK ABBOTT SOLICITORS,0,0,0,1,0,0,0,0,0,6,0,7
MARK APPLEYARD LIMITED,0,1,0,0,0,0,0,0,0,1,0,2
MARK BARRY T/A TITLE SEARCH UK,0,0,0,0,0,0,0,0,0,4,0,4
MARK COOK,1,0,2,28,0,0,0,0,0,4,1,36
MARK FERGUSON LIMITED,0,0,0,0,0,0,0,0,0,10,0,10
MARK GRASSAM SOLICITORS,0,0,0,6,0,0,0,0,1,16,4,27
MARK HARRINGTON,0,0,0,0,0,0,0,0,0,7,0,7
MARK HOLT & CO LIMITED,0,0,0,0,0,0,0,0,0,10,0,10
MARK JONES & PARTNERS,0,0,0,0,0,0,0,0,0,10,0,10
