CODE,TREE,LOCALITY,SPECIES,LATITUDE,LONGITUDE,ALTITUDE,COUNTRY,ORIGIN,STAND,EXTRACTION #,HAPLOTYPE,Colour
P4-132,1.0,Duncliffe Wood,Quercus robur,50.997,-2.257,152.0,England,autochthonus,Forest,DFF2,8,Yellow
P4-132,2.0,Duncliffe Wood,Quercus robur,50.997,-2.257,152.0,England,autochthonus,Forest,DFF3,8,Yellow
P4-132,3.0,Duncliffe Wood,Quercus robur,50.997,-2.257,152.0,England,autochthonus,Forest,DFF4,9,Orange
P4-132,4.0,Duncliffe Wood,Quercus robur,50.997,-2.257,152.0,England,autochthonus,Forest,DFF5,8,Yellow
P4-132,5.0,Duncliffe Wood,Quercus robur,50.997,-2.257,152.0,England,autochthonus,Forest,DFF6,8,Yellow
P4-133,1.0,Epping Forest,Quercus robur,51.662,0.053,91.0,England,autochthonus,Forest,PPF1,8,Yellow
P4-133,2.0,Epping Forest,Quercus robur,51.662,0.053,91.0,England,autochthonus,Forest,PPF2,8,Yellow
P4-133,3.0,Epping Forest,Quercus robur,51.662,0.053,91.0,England,autochthonus,Forest,PPF9,9,Orange
P4-133,4.0,Epping Forest,Quercus robur,51.662,0.053,91.0,England,autochthonus,Forest,PPF4,8,Yellow
P4-133,5.0,Epping Forest,Quercus robur,51.662,0.053,91.0,England,autochthonus,Forest,PPF5,8,Yellow
P4-134,1.0,Stour Wood,Quercus robur,51.934,1.187,15.0,England,autochthonus,Forest,STU7,10,White
P4-134,2.0,Stour Wood,Quercus robur,51.934,1.187,15.0,England,autochthonus,Forest,STU2,10,White
P4-134,3.0,Stour Wood,Quercus robur,51.934,1.187,15.0,England,autochthonus,Forest,STU8,10,White
P4-134,4.0,Stour Wood,Intermediate,51.934,1.187,15.0,England,autochthonus,Forest,STU6,10,White
P4-134,5.0,Stour Wood,Quercus robur,51.934,1.187,15.0,England,autochthonus,Forest,STU10,10,White
P4-135,1.0,Crab Wood,Quercus robur,51.058,-1.386,137.0,England,autochthonus,Forest,CRB1,8,Yellow
P4-135,2.0,Crab Wood,Quercus robur,51.058,-1.386,137.0,England,autochthonus,Forest,CRB2,8,Yellow
P4-135,3.0,Crab Wood,Quercus robur,51.058,-1.386,137.0,England,autochthonus,Forest,CRB3,8,Yellow
P4-135,4.0,Crab Wood,Quercus robur,51.058,-1.386,137.0,England,autochthonus,Forest,CRB4,8,Yellow
P4-135,5.0,Crab Wood,Quercus robur,51.058,-1.386,137.0,England,autochthonus,Forest,CRB5,8,Yellow
P4-136,1.0,Royden Wood,Quercus robur,50.801,-1.56,30.0,England,autochthonus,Forest,RYN3,8,Yellow
P4-136,2.0,Royden Wood,Quercus robur,50.801,-1.56,30.0,England,autochthonus,Forest,RYN2,8,Yellow
P4-136,3.0,Royden Wood,Quercus robur,50.801,-1.56,30.0,England,autochthonus,Forest,RYN8,8,Yellow
P4-136,4.0,Royden Wood,Quercus robur,50.801,-1.56,30.0,England,autochthonus,Forest,RYN10,8,Yellow
P4-136,5.0,Royden Wood,Quercus robur,50.801,-1.56,30.0,England,autochthonus,Forest,RYN9,8,Yellow
P4-137,1.0,Harewood Forest,Quercus robur,51.189,-1.428,76.0,England,autochthonus,Forest,HWO6,8,Yellow
P4-137,2.0,Harewood Forest,Quercus robur,51.189,-1.428,76.0,England,autochthonus,Forest,HWO7,8,Yellow
P4-137,3.0,Harewood Forest,Quercus robur,51.189,-1.428,76.0,England,autochthonus,Forest,HWO8,8,Yellow
P4-137,4.0,Harewood Forest,Quercus robur,51.189,-1.428,76.0,England,autochthonus,Forest,HWO4,8,Yellow
P4-137,5.0,Harewood Forest,Quercus robur,51.189,-1.428,76.0,England,autochthonus,Forest,HWO10,8,Yellow
P4-138,1.0,Asham Wood,Quercus robur,51.212,-2.415,183.0,England,autochthonus,Forest,AAM1,9,Orange
P4-138,2.0,Asham Wood,Quercus robur,51.212,-2.415,183.0,England,autochthonus,Forest,AAM2,8,Yellow
P4-138,3.0,Asham Wood,Quercus robur,51.212,-2.415,183.0,England,autochthonus,Forest,AAM3,9,Orange
P4-138,4.0,Asham Wood,Quercus robur,51.212,-2.415,183.0,England,autochthonus,Forest,AAM4,9,Orange
P4-138,5.0,Asham Wood,Intermediate,51.212,-2.415,183.0,England,autochthonus,Forest,AAM7,9,Orange
P4-139,1.0,Green Lane Woods(Wilts),Quercus robur,51.318,-2.165,46.0,England,autochthonus,Forest,GEE10,9,Orange
P4-139,2.0,Green Lane Woods(Wilts),intermediate,51.318,-2.165,46.0,England,autochthonus,Forest,GEE2,9,Orange
P4-139,3.0,Green Lane Woods(Wilts),Quercus robur,51.318,-2.165,46.0,England,autochthonus,Forest,GEE4,9,Orange
P4-139,4.0,Green Lane Woods(Wilts),Quercus robur,51.318,-2.165,46.0,England,autochthonus,Forest,GEE5,9,Orange
P4-139,5.0,Green Lane Woods(Wilts),Quercus robur,51.318,-2.165,46.0,England,autochthonus,Forest,GEE6,9,Orange
P4-140,1.0,Ebhor Gorge,Quercus robur,51.229,-2.688,152.0,England,autochthonus,Forest,EBH1,9,Orange
P4-140,2.0,Ebhor Gorge,Quercus robur,51.229,-2.688,152.0,England,autochthonus,Forest,EBH2,9,Orange
