Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Turkeys,Conditions,Hepatitis,2020-12,Wales,706.0,40668.0,2.0,1.736
Turkeys,Conditions,Joint Lesions,2020-10,England,12.0,776338.0,13.0,0.002
Turkeys,Conditions,Joint Lesions,2020-10,England,51.0,776338.0,13.0,0.007
Turkeys,Conditions,Joint Lesions,2020-11,England,88.0,2458105.0,20.0,0.004
Turkeys,Conditions,Joint Lesions,2020-11,England,17.0,2458105.0,20.0,0.001
Turkeys,Conditions,Joint Lesions,2020-12,England,24.0,1948336.0,21.0,0.001
Turkeys,Conditions,Joint Lesions,2020-12,England,179.0,1948336.0,21.0,0.009
Turkeys,Conditions,Joint Lesions,2020-10,Wales,1.0,5334.0,2.0,0.019
Turkeys,Conditions,Joint Lesions,2020-11,Wales,47.0,106911.0,2.0,0.044
Turkeys,Conditions,Joint Lesions,2020-11,Wales,2.0,106911.0,2.0,0.002
Turkeys,Conditions,Machine Damage,2020-10,England,4.0,776338.0,13.0,0.001
Turkeys,Conditions,Machine Damage,2020-10,England,40.0,776338.0,13.0,0.005
Turkeys,Conditions,Machine Damage,2020-11,England,49.0,2458105.0,20.0,0.002
Turkeys,Conditions,Machine Damage,2020-11,England,271.0,2458105.0,20.0,0.011
Turkeys,Conditions,Machine Damage,2020-12,England,68.0,1948336.0,21.0,0.003
Turkeys,Conditions,Machine Damage,2020-12,England,695.0,1948336.0,21.0,0.036
Turkeys,Conditions,Machine Damage,2020-10,Wales,7.0,5334.0,2.0,0.131
Turkeys,Conditions,Machine Damage,2020-11,Wales,3.0,106911.0,2.0,0.003
Turkeys,Conditions,Machine Damage,2020-11,Wales,5.0,106911.0,2.0,0.005
Turkeys,Conditions,Machine Damage,2020-12,Wales,23.0,40668.0,2.0,0.057
Turkeys,Conditions,Other Factory (poor plucking, product requirement),2020-10,England,115.0,776338.0,13.0,0.015
Turkeys,Conditions,Other Factory (poor plucking, product requirement),2020-11,England,212.0,2458105.0,20.0,0.009
Turkeys,Conditions,Other Factory (poor plucking, product requirement),2020-11,England,9.0,2458105.0,20.0,0.0
Turkeys,Conditions,Other Factory (poor plucking, product requirement),2020-12,England,15.0,1948336.0,21.0,0.001
Turkeys,Conditions,Other Factory (poor plucking, product requirement),2020-12,England,78.0,1948336.0,21.0,0.004
Turkeys,Conditions,Other Factory (poor plucking, product requirement),2020-11,Wales,65.0,106911.0,2.0,0.061
Turkeys,Conditions,Other Factory (poor plucking, product requirement),2020-11,Wales,1.0,106911.0,2.0,0.001
Turkeys,Conditions,Other Factory (poor plucking, product requirement),2020-12,Wales,1.0,40668.0,2.0,0.002
Turkeys,Conditions,Other Farm (Jaundice, Oregon, White Muscle,Congen),2020-10,England,24.0,776338.0,13.0,0.003
Turkeys,Conditions,Other Farm (Jaundice, Oregon, White Muscle,Congen),2020-11,England,4006.0,2458105.0,20.0,0.163
Turkeys,Conditions,Other Farm (Jaundice, Oregon, White Muscle,Congen),2020-12,England,16.0,1948336.0,21.0,0.001
Turkeys,Conditions,Other Farm (Jaundice, Oregon, White Muscle,Congen),2020-12,England,3.0,1948336.0,21.0,0.0
Turkeys,Conditions,Other Farm (Jaundice, Oregon, White Muscle,Congen),2020-11,Wales,1.0,106911.0,2.0,0.001
Turkeys,Conditions,Overscald,2020-10,England,339.0,776338.0,13.0,0.044
Turkeys,Conditions,Overscald,2020-11,England,1313.0,2458105.0,20.0,0.053
Turkeys,Conditions,Overscald,2020-11,England,4.0,2458105.0,20.0,0.0
Turkeys,Conditions,Overscald,2020-12,England,431.0,1948336.0,21.0,0.022
Turkeys,Conditions,Pericarditis,2020-10,England,2020.0,776338.0,13.0,0.26
Turkeys,Conditions,Pericarditis,2020-10,England,190.0,776338.0,13.0,0.024
Turkeys,Conditions,Pericarditis,2020-11,England,3189.0,2458105.0,20.0,0.13
Turkeys,Conditions,Pericarditis,2020-11,England,314.0,2458105.0,20.0,0.013
Turkeys,Conditions,Pericarditis,2020-12,England,262.0,1948336.0,21.0,0.013
Turkeys,Conditions,Pericarditis,2020-12,England,2305.0,1948336.0,21.0,0.118
Turkeys,Conditions,Pericarditis,2020-10,Wales,256.0,5334.0,2.0,4.799
Turkeys,Conditions,Pericarditis,2020-11,Wales,4504.0,106911.0,2.0,4.213
