met type,date,mean/sum,min,max,%complete,comments
Air Temperature,29/12/2009,-0.8,-2.4,0.5,100,
Air Temperature,30/12/2009,0.4,-0.3,1.2,100,
Air Temperature,31/12/2009,-1.4,-2.9,-0.5,100,
Air Temperature,01/01/2010,-1.49,-2.9,0.0,100,
Air Temperature,02/01/2010,-2.25,-3.9,0.0,100,
Air Temperature,03/01/2010,-2.95,-6.8,0.3,100,
Air Temperature,04/01/2010,-5.71,-9.7,-2.0,100,
Air Temperature,05/01/2010,-2.06,-3.6,-1.3,100,
Air Temperature,06/01/2010,-2.55,-7.4,-1.3,100,
Air Temperature,07/01/2010,-5.86,-9.1,-2.4,100,
Air Temperature,08/01/2010,-5.34,-10.0,-1.1,100,
Air Temperature,09/01/2010,-3.62,-5.3,-1.8,100,
Air Temperature,10/01/2010,0.32,-2.1,1.8,100,
Air Temperature,11/01/2010,0.66,0.3,1.2,100,
Air Temperature,12/01/2010,0.37,0.0,0.8,100,
Air Temperature,13/01/2010,-0.91,-1.4,0.0,100,
Air Temperature,14/01/2010,-0.93,-2.5,0.6,100,
Air Temperature,15/01/2010,1.58,-3.3,5.2,100,
Air Temperature,16/01/2010,2.82,1.7,4.5,100,
Air Temperature,17/01/2010,2.99,2.0,3.8,100,
Air Temperature,18/01/2010,3.88,-0.8,5.7,100,
Air Temperature,19/01/2010,-0.05,-2.1,1.6,100,
Air Temperature,20/01/2010,0.79,0.3,1.4,100,
Air Temperature,21/01/2010,0.93,0.2,2.6,100,
Air Temperature,22/01/2010,1.7,0.3,3.5,100,
Air Temperature,23/01/2010,1.7,-0.6,2.7,100,
Air Temperature,24/01/2010,0.53,0.1,1.2,100,
Air Temperature,25/01/2010,0.09,-0.4,1.0,100,
Air Temperature,26/01/2010,0.23,-0.5,1.1,100,
Air Temperature,27/01/2010,3.43,1.4,6.2,100,
Air Temperature,28/01/2010,2.11,0.0,3.5,100,
Air Temperature,29/01/2010,-0.04,-2.7,2.9,100,
Air Temperature,30/01/2010,-1.7,-4.5,1.7,100,
Air Temperature,31/01/2010,-2.09,-5.1,2.0,100,
Air Temperature,01/02/2010,-0.99,-5.1,2.5,100,
Air Temperature,02/02/2010,0.55,-3.3,3.2,100,
Air Temperature,03/02/2010,-2.82,-6.5,0.2,100,
Air Temperature,04/02/2010,1.72,-1.2,5.0,100,
Air Temperature,05/02/2010,2.73,1.0,3.7,100,
Air Temperature,06/02/2010,0.44,-2.1,4.3,100,
Air Temperature,07/02/2010,2.13,0.9,3.0,100,
Air Temperature,08/02/2010,0.56,-0.5,1.9,100,
Air Temperature,09/02/2010,0.57,-0.4,2.2,100,
Air Temperature,10/02/2010,-0.65,-4.7,1.6,100,
Air Temperature,11/02/2010,-2.08,-6.7,3.1,100,
