met type,date,mean/sum,min,max,%complete,comments
Air Temperature,07/01/2010,-2.14,-5.4,2.7,100,
Air Temperature,08/01/2010,-2.1,-4.2,0.0,100,
Air Temperature,09/01/2010,-2.12,-3.8,-0.6,100,
Air Temperature,10/01/2010,1.08,-2.3,2.7,100,
Air Temperature,11/01/2010,1.74,0.9,2.6,100,
Air Temperature,12/01/2010,1.67,0.1,2.8,100,
Air Temperature,13/01/2010,1.91,0.5,4.2,100,
Air Temperature,14/01/2010,3.69,1.3,7.0,100,
Air Temperature,15/01/2010,6.84,3.7,9.0,100,
Air Temperature,16/01/2010,6.81,5.4,8.4,100,
Air Temperature,17/01/2010,6.36,5.0,8.3,100,
Air Temperature,18/01/2010,7.27,5.8,7.9,100,
Air Temperature,19/01/2010,5.63,4.7,7.1,100,
Air Temperature,20/01/2010,3.1,2.4,5.4,100,
Air Temperature,21/01/2010,4.71,2.1,9.1,100,
Air Temperature,22/01/2010,8.8,4.9,10.7,100,
Air Temperature,23/01/2010,5.31,3.5,8.2,100,
Air Temperature,24/01/2010,5.04,4.2,6.4,100,
Air Temperature,25/01/2010,4.61,3.5,6.4,100,
Air Temperature,26/01/2010,3.59,2.9,4.8,100,
Air Temperature,27/01/2010,6.11,1.8,12.9,100,
Air Temperature,28/01/2010,7.45,6.7,8.2,100,
Air Temperature,29/01/2010,5.43,1.4,8.9,100,
Air Temperature,30/01/2010,1.72,-2.1,6.4,100,
Air Temperature,31/01/2010,3.34,2.3,4.2,100,
Air Temperature,01/02/2010,5.46,4.4,7.5,100,
Air Temperature,02/02/2010,8.32,6.1,10.2,100,
Air Temperature,03/02/2010,6.98,5.3,9.9,100,
Air Temperature,04/02/2010,8.87,7.2,10.6,100,
Air Temperature,05/02/2010,7.32,6.1,10.4,100,
Air Temperature,06/02/2010,7.1,5.0,11.6,100,
Air Temperature,07/02/2010,3.23,1.2,5.4,100,
Air Temperature,08/02/2010,3.17,1.1,4.7,100,
Air Temperature,09/02/2010,4.0,1.0,7.2,100,
Air Temperature,10/02/2010,4.54,1.1,9.3,100,
Air Temperature,11/02/2010,3.32,0.5,8.8,100,
Air Temperature,12/02/2010,6.97,3.7,10.3,100,
Air Temperature,13/02/2010,5.52,3.6,7.4,100,
Air Temperature,14/02/2010,6.29,3.4,10.5,100,
Air Temperature,15/02/2010,6.5,5.3,7.5,100,
Air Temperature,16/02/2010,4.9,3.6,7.4,100,
Air Temperature,17/02/2010,3.36,-0.8,4.5,100,
Air Temperature,18/02/2010,3.98,3.3,4.5,100,
Air Temperature,19/02/2010,3.15,0.6,5.4,100,
Air Temperature,20/02/2010,4.82,2.6,8.7,100,
Air Temperature,21/02/2010,5.0,3.2,7.6,100,
Air Temperature,22/02/2010,3.59,0.8,5.5,100,
Air Temperature,23/02/2010,3.34,2.2,4.8,100,
Air Temperature,24/02/2010,7.54,5.4,10.3,100,
Air Temperature,25/02/2010,6.25,4.2,8.2,100,
Air Temperature,26/02/2010,4.68,3.0,7.2,100,
Air Temperature,27/02/2010,5.4,3.5,8.0,100,
Air Temperature,28/02/2010,4.47,3.8,5.4,100,
Air Temperature,01/03/2010,6.64,3.9,11.3,100,
Air Temperature,02/03/2010,6.5,3.5,9.9,100,
Air Temperature,03/03/2010,4.75,3.0,6.1,100,
Air Temperature,04/03/2010,3.83,1.8,7.9,100,
Air Temperature,05/03/2010,4.62,0.7,7.7,100,
Air Temperature,06/03/2010,6.01,2.4,8.4,100,
Air Temperature,07/03/2010,0.7,-3.5,4.8,100,
Air Temperature,08/03/2010,1.74,-2.3,6.4,100,
Air Temperature,09/03/2010,4.15,0.9,7.8,100,
Air Temperature,10/03/2010,4.3,2.9,6.2,100,
Air Temperature,11/03/2010,3.41,0.6,8.2,100,
Air Temperature,12/03/2010,4.68,2.2,8.1,100,
Air Temperature,13/03/2010,3.92,1.4,5.3,100,
Air Temperature,14/03/2010,5.09,3.8,7.3,100,
Air Temperature,15/03/2010,4.8,2.1,8.9,100,
Air Temperature,16/03/2010,4.94,1.9,9.1,100,
Air Temperature,17/03/2010,7.17,5.3,8.5,100,
Air Temperature,18/03/2010,8.36,7.3,10.6,100,
Air Temperature,19/03/2010,7.42,5.4,9.6,100,
Air Temperature,20/03/2010,8.0,4.4,9.9,100,
Air Temperature,21/03/2010,6.28,2.0,9.6,100,
