Week_end,Indicator,High_industry,Value
2020-02-16,Weekly earnings - upper quartile - 20 days,Total,1424.5
2020-02-16,Weekly earnings - upper quartile - 20 days,A Primary,1257.69
2020-02-16,Weekly earnings - upper quartile - 20 days,B Goods Producing,1489.7
2020-02-16,Weekly earnings - upper quartile - 20 days,C Services,1421.0
2020-02-16,Weekly earnings - upper quartile - 20 days,Z No Match,777.0
2020-02-16,Weekly earnings - lower quartile - 20 days,Total,645.84
2020-02-16,Weekly earnings - lower quartile - 20 days,A Primary,610.2
2020-02-16,Weekly earnings - lower quartile - 20 days,B Goods Producing,866.6
2020-02-16,Weekly earnings - lower quartile - 20 days,C Services,594.21
2020-02-16,Weekly earnings - lower quartile - 20 days,Z No Match,253.13
2020-02-23,Number of paid jobs - 20 days,Total,1917030.0
2020-02-23,Number of paid jobs - 20 days,A Primary,85580.0
2020-02-23,Number of paid jobs - 20 days,B Goods Producing,355290.0
2020-02-23,Number of paid jobs - 20 days,C Services,1450350.0
2020-02-23,Number of paid jobs - 20 days,Z No Match,25820.0
2020-02-23,Weekly earnings - median - 20 days,Total,1000.0
2020-02-23,Weekly earnings - median - 20 days,A Primary,940.0
2020-02-23,Weekly earnings - median - 20 days,B Goods Producing,1140.0
2020-02-23,Weekly earnings - median - 20 days,C Services,969.05
2020-02-23,Weekly earnings - median - 20 days,Z No Match,388.62
2020-02-23,Weekly earnings - upper quartile - 20 days,Total,1426.14
2020-02-23,Weekly earnings - upper quartile - 20 days,A Primary,1257.69
2020-02-23,Weekly earnings - upper quartile - 20 days,B Goods Producing,1485.2
2020-02-23,Weekly earnings - upper quartile - 20 days,C Services,1425.5
2020-02-23,Weekly earnings - upper quartile - 20 days,Z No Match,672.65
2020-02-23,Weekly earnings - lower quartile - 20 days,Total,640.0
2020-02-23,Weekly earnings - lower quartile - 20 days,A Primary,597.25
2020-02-23,Weekly earnings - lower quartile - 20 days,B Goods Producing,864.63
2020-02-23,Weekly earnings - lower quartile - 20 days,C Services,592.45
2020-02-23,Weekly earnings - lower quartile - 20 days,Z No Match,225.0
2020-03-01,Number of paid jobs - 20 days,Total,1965200.0
2020-03-01,Number of paid jobs - 20 days,A Primary,85200.0
2020-03-01,Number of paid jobs - 20 days,B Goods Producing,359410.0
2020-03-01,Number of paid jobs - 20 days,C Services,1491540.0
2020-03-01,Number of paid jobs - 20 days,Z No Match,29040.0
2020-03-01,Weekly earnings - median - 20 days,Total,1000.0
2020-03-01,Weekly earnings - median - 20 days,A Primary,961.54
2020-03-01,Weekly earnings - median - 20 days,B Goods Producing,1144.56
2020-03-01,Weekly earnings - median - 20 days,C Services,969.23
2020-03-01,Weekly earnings - median - 20 days,Z No Match,523.86
2020-03-01,Weekly earnings - upper quartile - 20 days,Total,1430.0
2020-03-01,Weekly earnings - upper quartile - 20 days,A Primary,1273.64
2020-03-01,Weekly earnings - upper quartile - 20 days,B Goods Producing,1490.93
2020-03-01,Weekly earnings - upper quartile - 20 days,C Services,1429.28
2020-03-01,Weekly earnings - upper quartile - 20 days,Z No Match,810.0
2020-03-01,Weekly earnings - lower quartile - 20 days,Total,641.63
2020-03-01,Weekly earnings - lower quartile - 20 days,A Primary,627.0
2020-03-01,Weekly earnings - lower quartile - 20 days,B Goods Producing,867.43
2020-03-01,Weekly earnings - lower quartile - 20 days,C Services,589.75
2020-03-01,Weekly earnings - lower quartile - 20 days,Z No Match,288.01
2020-03-08,Number of paid jobs - 20 days,Total,1958880.0
2020-03-08,Number of paid jobs - 20 days,A Primary,84930.0
2020-03-08,Number of paid jobs - 20 days,B Goods Producing,358870.0
2020-03-08,Number of paid jobs - 20 days,C Services,1483350.0
2020-03-08,Number of paid jobs - 20 days,Z No Match,31720.0
2020-03-08,Weekly earnings - median - 20 days,Total,1000.0
2020-03-08,Weekly earnings - median - 20 days,A Primary,961.53
2020-03-08,Weekly earnings - median - 20 days,B Goods Producing,1138.47
2020-03-08,Weekly earnings - median - 20 days,C Services,965.0
2020-03-08,Weekly earnings - median - 20 days,Z No Match,326.65
2020-03-08,Weekly earnings - upper quartile - 20 days,Total,1424.69
2020-03-08,Weekly earnings - upper quartile - 20 days,A Primary,1271.43
2020-03-08,Weekly earnings - upper quartile - 20 days,B Goods Producing,1484.14
2020-03-08,Weekly earnings - upper quartile - 20 days,C Services,1425.8
2020-03-08,Weekly earnings - upper quartile - 20 days,Z No Match,721.22
2020-03-08,Weekly earnings - lower quartile - 20 days,Total,632.59
2020-03-08,Weekly earnings - lower quartile - 20 days,A Primary,629.32
2020-03-08,Weekly earnings - lower quartile - 20 days,B Goods Producing,865.38
2020-03-08,Weekly earnings - lower quartile - 20 days,C Services,581.88
2020-03-08,Weekly earnings - lower quartile - 20 days,Z No Match,138.0
2020-03-15,Number of paid jobs - 20 days,Total,1945710.0
2020-03-15,Number of paid jobs - 20 days,A Primary,84950.0
2020-03-15,Number of paid jobs - 20 days,B Goods Producing,358640.0
2020-03-15,Number of paid jobs - 20 days,C Services,1475720.0
2020-03-15,Number of paid jobs - 20 days,Z No Match,26400.0
2020-03-15,Weekly earnings - median - 20 days,Total,1000.0
2020-03-15,Weekly earnings - median - 20 days,A Primary,959.76
2020-03-15,Weekly earnings - median - 20 days,B Goods Producing,1134.0
2020-03-15,Weekly earnings - median - 20 days,C Services,975.0
2020-03-15,Weekly earnings - median - 20 days,Z No Match,371.7
2020-03-15,Weekly earnings - upper quartile - 20 days,Total,1434.5
2020-03-15,Weekly earnings - upper quartile - 20 days,A Primary,1263.14
2020-03-15,Weekly earnings - upper quartile - 20 days,B Goods Producing,1485.97
2020-03-15,Weekly earnings - upper quartile - 20 days,C Services,1438.0
2020-03-15,Weekly earnings - upper quartile - 20 days,Z No Match,708.0
2020-03-15,Weekly earnings - lower quartile - 20 days,Total,636.61
2020-03-15,Weekly earnings - lower quartile - 20 days,A Primary,615.0
2020-03-15,Weekly earnings - lower quartile - 20 days,B Goods Producing,855.0
2020-03-15,Weekly earnings - lower quartile - 20 days,C Services,591.06
2020-03-15,Weekly earnings - lower quartile - 20 days,Z No Match,179.69
2020-03-22,Number of paid jobs - 20 days,Total,1963670.0
2020-03-22,Number of paid jobs - 20 days,A Primary,84540.0
2020-03-22,Number of paid jobs - 20 days,B Goods Producing,358580.0
2020-03-22,Number of paid jobs - 20 days,C Services,1477630.0
2020-03-22,Number of paid jobs - 20 days,Z No Match,42920.0
2020-03-22,Weekly earnings - median - 20 days,Total,990.0
2020-03-22,Weekly earnings - median - 20 days,A Primary,950.0
2020-03-22,Weekly earnings - median - 20 days,B Goods Producing,1128.13
2020-03-22,Weekly earnings - median - 20 days,C Services,961.54
2020-03-22,Weekly earnings - median - 20 days,Z No Match,485.49
2020-03-22,Weekly earnings - upper quartile - 20 days,Total,1412.2
2020-03-22,Weekly earnings - upper quartile - 20 days,A Primary,1260.0
2020-03-22,Weekly earnings - upper quartile - 20 days,B Goods Producing,1477.79
2020-03-22,Weekly earnings - upper quartile - 20 days,C Services,1417.0
2020-03-22,Weekly earnings - upper quartile - 20 days,Z No Match,729.45
2020-03-22,Weekly earnings - lower quartile - 20 days,Total,622.24
2020-03-22,Weekly earnings - lower quartile - 20 days,A Primary,600.0
2020-03-22,Weekly earnings - lower quartile - 20 days,B Goods Producing,856.43
2020-03-22,Weekly earnings - lower quartile - 20 days,C Services,583.45
2020-03-22,Weekly earnings - lower quartile - 20 days,Z No Match,269.21
2020-03-29,Number of paid jobs - 20 days,Total,1929730.0
2020-03-29,Number of paid jobs - 20 days,A Primary,81910.0
2020-03-29,Number of paid jobs - 20 days,B Goods Producing,353890.0
2020-03-29,Number of paid jobs - 20 days,C Services,1446190.0
2020-03-29,Number of paid jobs - 20 days,Z No Match,47740.0
2020-03-29,Weekly earnings - median - 20 days,Total,942.31
2020-03-29,Weekly earnings - median - 20 days,A Primary,925.71
2020-03-29,Weekly earnings - median - 20 days,B Goods Producing,1002.47
2020-03-29,Weekly earnings - median - 20 days,C Services,940.0
2020-03-29,Weekly earnings - median - 20 days,Z No Match,293.02
2020-03-29,Weekly earnings - upper quartile - 20 days,Total,1363.4
2020-03-29,Weekly earnings - upper quartile - 20 days,A Primary,1228.29
2020-03-29,Weekly earnings - upper quartile - 20 days,B Goods Producing,1333.93
2020-03-29,Weekly earnings - upper quartile - 20 days,C Services,1405.25
2020-03-29,Weekly earnings - upper quartile - 20 days,Z No Match,566.4
2020-03-29,Weekly earnings - lower quartile - 20 days,Total,585.8
2020-03-29,Weekly earnings - lower quartile - 20 days,A Primary,585.0
2020-03-29,Weekly earnings - lower quartile - 20 days,B Goods Producing,760.0
2020-03-29,Weekly earnings - lower quartile - 20 days,C Services,582.04
2020-03-29,Weekly earnings - lower quartile - 20 days,Z No Match,153.77
2020-04-05,Number of paid jobs - 20 days,Total,1886590.0
2020-04-05,Number of paid jobs - 20 days,A Primary,79070.0
2020-04-05,Number of paid jobs - 20 days,B Goods Producing,341100.0
2020-04-05,Number of paid jobs - 20 days,C Services,1421520.0
2020-04-05,Number of paid jobs - 20 days,Z No Match,44900.0
2020-04-05,Weekly earnings - median - 20 days,Total,916.82
2020-04-05,Weekly earnings - median - 20 days,A Primary,950.4
2020-04-05,Weekly earnings - median - 20 days,B Goods Producing,943.94
2020-04-05,Weekly earnings - median - 20 days,C Services,920.25
2020-04-05,Weekly earnings - median - 20 days,Z No Match,496.12
2020-04-05,Weekly earnings - upper quartile - 20 days,Total,1346.15
2020-04-05,Weekly earnings - upper quartile - 20 days,A Primary,1245.04
2020-04-05,Weekly earnings - upper quartile - 20 days,B Goods Producing,1269.33
2020-04-05,Weekly earnings - upper quartile - 20 days,C Services,1398.04
2020-04-05,Weekly earnings - upper quartile - 20 days,Z No Match,722.93
2020-04-05,Weekly earnings - lower quartile - 20 days,Total,585.8
2020-04-05,Weekly earnings - lower quartile - 20 days,A Primary,605.51
2020-04-05,Weekly earnings - lower quartile - 20 days,B Goods Producing,700.0
2020-04-05,Weekly earnings - lower quartile - 20 days,C Services,585.6
2020-04-05,Weekly earnings - lower quartile - 20 days,Z No Match,323.66
2020-04-12,Number of paid jobs - 20 days,Total,1837170.0
2020-04-12,Number of paid jobs - 20 days,A Primary,76700.0
2020-04-12,Number of paid jobs - 20 days,B Goods Producing,342270.0
2020-04-12,Number of paid jobs - 20 days,C Services,1384600.0
2020-04-12,Number of paid jobs - 20 days,Z No Match,33600.0
2020-04-12,Weekly earnings - median - 20 days,Total,920.0
2020-04-12,Weekly earnings - median - 20 days,A Primary,966.34
2020-04-12,Weekly earnings - median - 20 days,B Goods Producing,946.16
2020-04-12,Weekly earnings - median - 20 days,C Services,920.0
2020-04-12,Weekly earnings - median - 20 days,Z No Match,300.0
2020-04-12,Weekly earnings - upper quartile - 20 days,Total,1346.15
2020-04-12,Weekly earnings - upper quartile - 20 days,A Primary,1254.0
2020-04-12,Weekly earnings - upper quartile - 20 days,B Goods Producing,1278.7
2020-04-12,Weekly earnings - upper quartile - 20 days,C Services,1384.62
2020-04-12,Weekly earnings - upper quartile - 20 days,Z No Match,585.8
2020-04-12,Weekly earnings - lower quartile - 20 days,Total,585.8
2020-04-12,Weekly earnings - lower quartile - 20 days,A Primary,634.62
2020-04-12,Weekly earnings - lower quartile - 20 days,B Goods Producing,704.0
2020-04-12,Weekly earnings - lower quartile - 20 days,C Services,585.8
2020-04-12,Weekly earnings - lower quartile - 20 days,Z No Match,129.53
2020-04-19,Number of paid jobs - 20 days,Total,1808110.0
2020-04-19,Number of paid jobs - 20 days,A Primary,76340.0
2020-04-19,Number of paid jobs - 20 days,B Goods Producing,338280.0
2020-04-19,Number of paid jobs - 20 days,C Services,1367960.0
2020-04-19,Number of paid jobs - 20 days,Z No Match,25530.0
2020-04-19,Weekly earnings - median - 20 days,Total,911.05
2020-04-19,Weekly earnings - median - 20 days,A Primary,945.9
2020-04-19,Weekly earnings - median - 20 days,B Goods Producing,936.4
2020-04-19,Weekly earnings - median - 20 days,C Services,906.57
2020-04-19,Weekly earnings - median - 20 days,Z No Match,585.8
2020-04-19,Weekly earnings - upper quartile - 20 days,Total,1334.68
2020-04-19,Weekly earnings - upper quartile - 20 days,A Primary,1215.1
2020-04-19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1266.0
2020-04-19,Weekly earnings - upper quartile - 20 days,C Services,1369.0
2020-04-19,Weekly earnings - upper quartile - 20 days,Z No Match,855.75
2020-04-19,Weekly earnings - lower quartile - 20 days,Total,585.8
2020-04-19,Weekly earnings - lower quartile - 20 days,A Primary,625.42
2020-04-19,Weekly earnings - lower quartile - 20 days,B Goods Producing,698.38
2020-04-19,Weekly earnings - lower quartile - 20 days,C Services,585.8
2020-04-19,Weekly earnings - lower quartile - 20 days,Z No Match,350.0
2020-04-26,Number of paid jobs - 20 days,Total,1784420.0
2020-04-26,Number of paid jobs - 20 days,A Primary,78010.0
2020-04-26,Number of paid jobs - 20 days,B Goods Producing,334000.0
2020-04-26,Number of paid jobs - 20 days,C Services,1346940.0
2020-04-26,Number of paid jobs - 20 days,Z No Match,25460.0
2020-04-26,Weekly earnings - median - 20 days,Total,905.85
2020-04-26,Weekly earnings - median - 20 days,A Primary,957.82
2020-04-26,Weekly earnings - median - 20 days,B Goods Producing,928.0
2020-04-26,Weekly earnings - median - 20 days,C Services,903.51
2020-04-26,Weekly earnings - median - 20 days,Z No Match,306.18
2020-04-26,Weekly earnings - upper quartile - 20 days,Total,1334.5
2020-04-26,Weekly earnings - upper quartile - 20 days,A Primary,1233.85
2020-04-26,Weekly earnings - upper quartile - 20 days,B Goods Producing,1250.79
2020-04-26,Weekly earnings - upper quartile - 20 days,C Services,1375.0
2020-04-26,Weekly earnings - upper quartile - 20 days,Z No Match,687.96
2020-04-26,Weekly earnings - lower quartile - 20 days,Total,585.8
2020-04-26,Weekly earnings - lower quartile - 20 days,A Primary,626.58
2020-04-26,Weekly earnings - lower quartile - 20 days,B Goods Producing,685.42
2020-04-26,Weekly earnings - lower quartile - 20 days,C Services,585.61
2020-04-26,Weekly earnings - lower quartile - 20 days,Z No Match,117.18
2020-05-03,Number of paid jobs - 20 days,Total,1851600.0
2020-05-03,Number of paid jobs - 20 days,A Primary,78970.0
2020-05-03,Number of paid jobs - 20 days,B Goods Producing,336510.0
2020-05-03,Number of paid jobs - 20 days,C Services,1398740.0
2020-05-03,Number of paid jobs - 20 days,Z No Match,37380.0
2020-05-03,Weekly earnings - median - 20 days,Total,929.42
2020-05-03,Weekly earnings - median - 20 days,A Primary,960.0
2020-05-03,Weekly earnings - median - 20 days,B Goods Producing,1032.45
2020-05-03,Weekly earnings - median - 20 days,C Services,905.79
2020-05-03,Weekly earnings - median - 20 days,Z No Match,564.01
2020-05-03,Weekly earnings - upper quartile - 20 days,Total,1346.21
2020-05-03,Weekly earnings - upper quartile - 20 days,A Primary,1250.0
2020-05-03,Weekly earnings - upper quartile - 20 days,B Goods Producing,1362.5
2020-05-03,Weekly earnings - upper quartile - 20 days,C Services,1363.3
2020-05-03,Weekly earnings - upper quartile - 20 days,Z No Match,829.04
2020-05-03,Weekly earnings - lower quartile - 20 days,Total,585.8
2020-05-03,Weekly earnings - lower quartile - 20 days,A Primary,632.63
2020-05-03,Weekly earnings - lower quartile - 20 days,B Goods Producing,775.2
2020-05-03,Weekly earnings - lower quartile - 20 days,C Services,585.0
2020-05-03,Weekly earnings - lower quartile - 20 days,Z No Match,258.92
2020-05-10,Number of paid jobs - 20 days,Total,1928080.0
2020-05-10,Number of paid jobs - 20 days,A Primary,80290.0
2020-05-10,Number of paid jobs - 20 days,B Goods Producing,354500.0
2020-05-10,Number of paid jobs - 20 days,C Services,1462970.0
2020-05-10,Number of paid jobs - 20 days,Z No Match,30320.0
2020-05-10,Weekly earnings - median - 20 days,Total,960.0
2020-05-10,Weekly earnings - median - 20 days,A Primary,934.62
2020-05-10,Weekly earnings - median - 20 days,B Goods Producing,1079.03
2020-05-10,Weekly earnings - median - 20 days,C Services,926.15
2020-05-10,Weekly earnings - median - 20 days,Z No Match,566.4
2020-05-10,Weekly earnings - upper quartile - 20 days,Total,1384.62
2020-05-10,Weekly earnings - upper quartile - 20 days,A Primary,1250.0
2020-05-10,Weekly earnings - upper quartile - 20 days,B Goods Producing,1419.0
2020-05-10,Weekly earnings - upper quartile - 20 days,C Services,1394.23
2020-05-10,Weekly earnings - upper quartile - 20 days,Z No Match,805.61
2020-05-10,Weekly earnings - lower quartile - 20 days,Total,585.8
2020-05-10,Weekly earnings - lower quartile - 20 days,A Primary,615.38
2020-05-10,Weekly earnings - lower quartile - 20 days,B Goods Producing,810.75
2020-05-10,Weekly earnings - lower quartile - 20 days,C Services,585.8
2020-05-10,Weekly earnings - lower quartile - 20 days,Z No Match,289.77
2020-05-17,Number of paid jobs - 20 days,Total,1937220.0
2020-05-17,Number of paid jobs - 20 days,A Primary,80420.0
2020-05-17,Number of paid jobs - 20 days,B Goods Producing,354750.0
2020-05-17,Number of paid jobs - 20 days,C Services,1463200.0
2020-05-17,Number of paid jobs - 20 days,Z No Match,38850.0
2020-05-17,Weekly earnings - median - 20 days,Total,961.54
2020-05-17,Weekly earnings - median - 20 days,A Primary,932.75
2020-05-17,Weekly earnings - median - 20 days,B Goods Producing,1091.03
2020-05-17,Weekly earnings - median - 20 days,C Services,937.69
2020-05-17,Weekly earnings - median - 20 days,Z No Match,495.85
2020-05-17,Weekly earnings - upper quartile - 20 days,Total,1390.77
2020-05-17,Weekly earnings - upper quartile - 20 days,A Primary,1247.42
2020-05-17,Weekly earnings - upper quartile - 20 days,B Goods Producing,1431.0
2020-05-17,Weekly earnings - upper quartile - 20 days,C Services,1401.5
2020-05-17,Weekly earnings - upper quartile - 20 days,Z No Match,752.07
2020-05-17,Weekly earnings - lower quartile - 20 days,Total,591.0
2020-05-17,Weekly earnings - lower quartile - 20 days,A Primary,614.64
2020-05-17,Weekly earnings - lower quartile - 20 days,B Goods Producing,829.5
2020-05-17,Weekly earnings - lower quartile - 20 days,C Services,585.8
2020-05-17,Weekly earnings - lower quartile - 20 days,Z No Match,280.0
2020-05-24,Number of paid jobs - 20 days,Total,1946440.0
2020-05-24,Number of paid jobs - 20 days,A Primary,80800.0
2020-05-24,Number of paid jobs - 20 days,B Goods Producing,355340.0
2020-05-24,Number of paid jobs - 20 days,C Services,1465060.0
2020-05-24,Number of paid jobs - 20 days,Z No Match,45250.0
2020-05-24,Weekly earnings - median - 20 days,Total,971.15
2020-05-24,Weekly earnings - median - 20 days,A Primary,954.29
2020-05-24,Weekly earnings - median - 20 days,B Goods Producing,1100.0
2020-05-24,Weekly earnings - median - 20 days,C Services,946.19
2020-05-24,Weekly earnings - median - 20 days,Z No Match,604.51
2020-05-24,Weekly earnings - upper quartile - 20 days,Total,1392.0
2020-05-24,Weekly earnings - upper quartile - 20 days,A Primary,1259.6
2020-05-24,Weekly earnings - upper quartile - 20 days,B Goods Producing,1440.75
2020-05-24,Weekly earnings - upper quartile - 20 days,C Services,1400.0
2020-05-24,Weekly earnings - upper quartile - 20 days,Z No Match,891.83
2020-05-24,Weekly earnings - lower quartile - 20 days,Total,606.38
2020-05-24,Weekly earnings - lower quartile - 20 days,A Primary,636.24
2020-05-24,Weekly earnings - lower quartile - 20 days,B Goods Producing,840.0
2020-05-24,Weekly earnings - lower quartile - 20 days,C Services,585.8
2020-05-24,Weekly earnings - lower quartile - 20 days,Z No Match,393.05
2020-05-31,Number of paid jobs - 20 days,Total,1948410.0
2020-05-31,Number of paid jobs - 20 days,A Primary,80750.0
2020-05-31,Number of paid jobs - 20 days,B Goods Producing,355740.0
2020-05-31,Number of paid jobs - 20 days,C Services,1465920.0
2020-05-31,Number of paid jobs - 20 days,Z No Match,46010.0
2020-05-31,Weekly earnings - median - 20 days,Total,976.0
2020-05-31,Weekly earnings - median - 20 days,A Primary,935.0
2020-05-31,Weekly earnings - median - 20 days,B Goods Producing,1092.92
2020-05-31,Weekly earnings - median - 20 days,C Services,955.5
2020-05-31,Weekly earnings - median - 20 days,Z No Match,641.43
2020-05-31,Weekly earnings - upper quartile - 20 days,Total,1394.23
2020-05-31,Weekly earnings - upper quartile - 20 days,A Primary,1253.85
2020-05-31,Weekly earnings - upper quartile - 20 days,B Goods Producing,1428.13
2020-05-31,Weekly earnings - upper quartile - 20 days,C Services,1405.99
2020-05-31,Weekly earnings - upper quartile - 20 days,Z No Match,929.41
2020-05-31,Weekly earnings - lower quartile - 20 days,Total,616.5
2020-05-31,Weekly earnings - lower quartile - 20 days,A Primary,620.88
2020-05-31,Weekly earnings - lower quartile - 20 days,B Goods Producing,840.0
2020-05-31,Weekly earnings - lower quartile - 20 days,C Services,585.8
2020-05-31,Weekly earnings - lower quartile - 20 days,Z No Match,400.16
2020-06-07,Number of paid jobs - 20 days,Total,1951300.0
2020-06-07,Number of paid jobs - 20 days,A Primary,80020.0
2020-06-07,Number of paid jobs - 20 days,B Goods Producing,355760.0
2020-06-07,Number of paid jobs - 20 days,C Services,1470860.0
2020-06-07,Number of paid jobs - 20 days,Z No Match,44650.0
2020-06-07,Weekly earnings - median - 20 days,Total,990.0
2020-06-07,Weekly earnings - median - 20 days,A Primary,949.05
2020-06-07,Weekly earnings - median - 20 days,B Goods Producing,1106.25
2020-06-07,Weekly earnings - median - 20 days,C Services,964.5
2020-06-07,Weekly earnings - median - 20 days,Z No Match,632.66
2020-06-07,Weekly earnings - upper quartile - 20 days,Total,1406.65
2020-06-07,Weekly earnings - upper quartile - 20 days,A Primary,1256.27
2020-06-07,Weekly earnings - upper quartile - 20 days,B Goods Producing,1442.7
2020-06-07,Weekly earnings - upper quartile - 20 days,C Services,1421.7
2020-06-07,Weekly earnings - upper quartile - 20 days,Z No Match,920.34
2020-06-07,Weekly earnings - lower quartile - 20 days,Total,623.39
2020-06-07,Weekly earnings - lower quartile - 20 days,A Primary,623.58
2020-06-07,Weekly earnings - lower quartile - 20 days,B Goods Producing,843.32
2020-06-07,Weekly earnings - lower quartile - 20 days,C Services,585.8
2020-06-07,Weekly earnings - lower quartile - 20 days,Z No Match,396.58
2020-06-14,Number of paid jobs - 20 days,Total,1948400.0
2020-06-14,Number of paid jobs - 20 days,A Primary,79140.0
2020-06-14,Number of paid jobs - 20 days,B Goods Producing,354670.0
2020-06-14,Number of paid jobs - 20 days,C Services,1469420.0
2020-06-14,Number of paid jobs - 20 days,Z No Match,45160.0
2020-06-14,Weekly earnings - median - 20 days,Total,989.22
2020-06-14,Weekly earnings - median - 20 days,A Primary,959.17
2020-06-14,Weekly earnings - median - 20 days,B Goods Producing,1115.38
2020-06-14,Weekly earnings - median - 20 days,C Services,961.54
2020-06-14,Weekly earnings - median - 20 days,Z No Match,637.35
2020-06-14,Weekly earnings - upper quartile - 20 days,Total,1411.79
2020-06-14,Weekly earnings - upper quartile - 20 days,A Primary,1262.02
2020-06-14,Weekly earnings - upper quartile - 20 days,B Goods Producing,1456.31
2020-06-14,Weekly earnings - upper quartile - 20 days,C Services,1423.2
2020-06-14,Weekly earnings - upper quartile - 20 days,Z No Match,923.08
2020-06-14,Weekly earnings - lower quartile - 20 days,Total,624.0
2020-06-14,Weekly earnings - lower quartile - 20 days,A Primary,650.89
2020-06-14,Weekly earnings - lower quartile - 20 days,B Goods Producing,850.0
2020-06-14,Weekly earnings - lower quartile - 20 days,C Services,585.8
2020-06-14,Weekly earnings - lower quartile - 20 days,Z No Match,396.48
2020-06-21,Number of paid jobs - 20 days,Total,1937140.0
2020-06-21,Number of paid jobs - 20 days,A Primary,78400.0
2020-06-21,Number of paid jobs - 20 days,B Goods Producing,351800.0
2020-06-21,Number of paid jobs - 20 days,C Services,1461120.0
2020-06-21,Number of paid jobs - 20 days,Z No Match,45820.0
2020-06-21,Weekly earnings - median - 20 days,Total,989.01
2020-06-21,Weekly earnings - median - 20 days,A Primary,936.0
2020-06-21,Weekly earnings - median - 20 days,B Goods Producing,1105.0
2020-06-21,Weekly earnings - median - 20 days,C Services,964.46
2020-06-21,Weekly earnings - median - 20 days,Z No Match,633.81
2020-06-21,Weekly earnings - upper quartile - 20 days,Total,1412.5
2020-06-21,Weekly earnings - upper quartile - 20 days,A Primary,1253.85
2020-06-21,Weekly earnings - upper quartile - 20 days,B Goods Producing,1442.31
2020-06-21,Weekly earnings - upper quartile - 20 days,C Services,1430.94
2020-06-21,Weekly earnings - upper quartile - 20 days,Z No Match,922.06
2020-06-21,Weekly earnings - lower quartile - 20 days,Total,624.0
2020-06-21,Weekly earnings - lower quartile - 20 days,A Primary,607.95
2020-06-21,Weekly earnings - lower quartile - 20 days,B Goods Producing,841.99
2020-06-21,Weekly earnings - lower quartile - 20 days,C Services,585.8
2020-06-21,Weekly earnings - lower quartile - 20 days,Z No Match,393.58
2020-06-28,Number of paid jobs - 20 days,Total,1927330.0
2020-06-28,Number of paid jobs - 20 days,A Primary,77640.0
2020-06-28,Number of paid jobs - 20 days,B Goods Producing,349720.0
2020-06-28,Number of paid jobs - 20 days,C Services,1453430.0
2020-06-28,Number of paid jobs - 20 days,Z No Match,46540.0
2020-06-28,Weekly earnings - median - 20 days,Total,998.0
2020-06-28,Weekly earnings - median - 20 days,A Primary,940.5
2020-06-28,Weekly earnings - median - 20 days,B Goods Producing,1112.0
2020-06-28,Weekly earnings - median - 20 days,C Services,975.0
2020-06-28,Weekly earnings - median - 20 days,Z No Match,635.8
2020-06-28,Weekly earnings - upper quartile - 20 days,Total,1423.0
2020-06-28,Weekly earnings - upper quartile - 20 days,A Primary,1253.85
2020-06-28,Weekly earnings - upper quartile - 20 days,B Goods Producing,1453.75
2020-06-28,Weekly earnings - upper quartile - 20 days,C Services,1440.18
2020-06-28,Weekly earnings - upper quartile - 20 days,Z No Match,923.3
2020-06-28,Weekly earnings - lower quartile - 20 days,Total,634.05
2020-06-28,Weekly earnings - lower quartile - 20 days,A Primary,612.5
2020-06-28,Weekly earnings - lower quartile - 20 days,B Goods Producing,846.36
2020-06-28,Weekly earnings - lower quartile - 20 days,C Services,592.07
2020-06-28,Weekly earnings - lower quartile - 20 days,Z No Match,394.64
2020-07-05,Number of paid jobs - 20 days,Total,1924270.0
2020-07-05,Number of paid jobs - 20 days,A Primary,78020.0
2020-07-05,Number of paid jobs - 20 days,B Goods Producing,350280.0
2020-07-05,Number of paid jobs - 20 days,C Services,1448320.0
2020-07-05,Number of paid jobs - 20 days,Z No Match,47640.0
2020-07-05,Weekly earnings - median - 20 days,Total,999.09
2020-07-05,Weekly earnings - median - 20 days,A Primary,952.01
2020-07-05,Weekly earnings - median - 20 days,B Goods Producing,1116.0
2020-07-05,Weekly earnings - median - 20 days,C Services,973.35
2020-07-05,Weekly earnings - median - 20 days,Z No Match,638.21
2020-07-05,Weekly earnings - upper quartile - 20 days,Total,1424.8
2020-07-05,Weekly earnings - upper quartile - 20 days,A Primary,1251.92
2020-07-05,Weekly earnings - upper quartile - 20 days,B Goods Producing,1460.74
2020-07-05,Weekly earnings - upper quartile - 20 days,C Services,1442.0
2020-07-05,Weekly earnings - upper quartile - 20 days,Z No Match,928.76
2020-07-05,Weekly earnings - lower quartile - 20 days,Total,630.0
2020-07-05,Weekly earnings - lower quartile - 20 days,A Primary,633.21
2020-07-05,Weekly earnings - lower quartile - 20 days,B Goods Producing,851.85
2020-07-05,Weekly earnings - lower quartile - 20 days,C Services,585.8
2020-07-05,Weekly earnings - lower quartile - 20 days,Z No Match,389.25
2020-07-12,Number of paid jobs - 20 days,Total,1919450.0
2020-07-12,Number of paid jobs - 20 days,A Primary,78600.0
2020-07-12,Number of paid jobs - 20 days,B Goods Producing,350210.0
2020-07-12,Number of paid jobs - 20 days,C Services,1444620.0
2020-07-12,Number of paid jobs - 20 days,Z No Match,46020.0
2020-07-12,Weekly earnings - median - 20 days,Total,1000.0
