SER_REF,TIME_REF,DATA_VAL,STATUS,UNITS,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Unnamed: 10
CPIM.SE1041F,2021.07,1560.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2021.08,1545.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE2041F,2006.11,1000.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Wellington,Actual rentals for housing,Flow,?
CPIM.SE2041F,2006.12,969.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Wellington,Actual rentals for housing,Flow,?
CPIM.SE2041F,2007.01,1010.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Wellington,Actual rentals for housing,Flow,?
CPIM.SE2041F,2007.02,1062.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Wellington,Actual rentals for housing,Flow,?
CPIM.SE2041F,2007.03,1021.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Wellington,Actual rentals for housing,Flow,?
CPIM.SE2041F,2007.04,1018.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Wellington,Actual rentals for housing,Flow,?
CPIM.SE2041F,2007.05,1033.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Wellington,Actual rentals for housing,Flow,?
CPIM.SE2041F,2007.06,1021.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Wellington,Actual rentals for housing,Flow,?
CPIM.SE2041F,2007.07,1053.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Wellington,Actual rentals for housing,Flow,?
CPIM.SE2041F,2007.08,1033.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Wellington,Actual rentals for housing,Flow,?
