period,status,sex,age,population
2010-03-31,F,female,85-89,29490.0
2010-03-31,F,female,90+,15470.0
2010-03-31,F,female,median,37.61
2010-03-31,F,female,total,2219970.0
2010-06-30,F,female,0-14,442400.0
2010-06-30,F,female,0-4,152980.0
2010-06-30,F,female,10-14,147410.0
2010-06-30,F,female,15-19,156270.0
2010-06-30,F,female,15-39,746500.0
2010-06-30,F,female,20-24,149320.0
2010-06-30,F,female,25-29,140550.0
2010-06-30,F,female,30-34,139890.0
2010-06-30,F,female,35-39,160420.0
2010-06-30,F,female,40-44,163980.0
2010-06-30,F,female,40-64,727100.0
2010-06-30,F,female,45-49,167320.0
2010-06-30,F,female,5-9,142000.0
2010-06-30,F,female,50-54,149500.0
2010-06-30,F,female,55-59,128780.0
2010-06-30,F,female,60-64,117520.0
2010-06-30,F,female,65-69,90080.0
2010-06-30,F,female,65+,307000.0
2010-06-30,F,female,70-74,70740.0
2010-06-30,F,female,75-79,55620.0
2010-06-30,F,female,80-84,45190.0
2010-06-30,F,female,85-89,29640.0
2010-06-30,F,female,90+,15750.0
2010-06-30,F,female,median,37.7
2010-06-30,F,female,total,2222940.0
2010-09-30,F,female,0-14,443100.0
2010-09-30,F,female,0-4,153780.0
2010-09-30,F,female,10-14,147410.0
2010-09-30,F,female,15-19,156290.0
2010-09-30,F,female,15-39,746800.0
2010-09-30,F,female,20-24,150630.0
2010-09-30,F,female,25-29,140780.0
2010-09-30,F,female,30-34,139860.0
2010-09-30,F,female,35-39,159230.0
2010-09-30,F,female,40-44,164440.0
2010-09-30,F,female,40-64,730400.0
2010-09-30,F,female,45-49,167230.0
2010-09-30,F,female,5-9,141880.0
2010-09-30,F,female,50-54,150670.0
2010-09-30,F,female,55-59,129690.0
2010-09-30,F,female,60-64,118350.0
2010-09-30,F,female,65-69,90610.0
2010-09-30,F,female,65+,309000.0
2010-09-30,F,female,70-74,72060.0
2010-09-30,F,female,75-79,55500.0
2010-09-30,F,female,80-84,45330.0
2010-09-30,F,female,85-89,29580.0
2010-09-30,F,female,90+,15940.0
2010-09-30,F,female,median,37.76
2010-09-30,F,female,total,2229280.0
2010-12-31,F,female,0-14,443400.0
2010-12-31,F,female,0-4,154280.0
2010-12-31,F,female,10-14,147360.0
2010-12-31,F,female,15-19,155330.0
2010-12-31,F,female,15-39,746300.0
2010-12-31,F,female,20-24,151650.0
2010-12-31,F,female,25-29,141370.0
2010-12-31,F,female,30-34,140370.0
2010-12-31,F,female,35-39,157570.0
2010-12-31,F,female,40-44,164860.0
2010-12-31,F,female,40-64,733900.0
2010-12-31,F,female,45-49,166920.0
2010-12-31,F,female,5-9,141740.0
2010-12-31,F,female,50-54,152010.0
2010-12-31,F,female,55-59,130300.0
2010-12-31,F,female,60-64,119770.0
2010-12-31,F,female,65-69,91090.0
2010-12-31,F,female,65+,311200.0
2010-12-31,F,female,70-74,73170.0
2010-12-31,F,female,75-79,55590.0
2010-12-31,F,female,80-84,45560.0
2010-12-31,F,female,85-89,29600.0
2010-12-31,F,female,90+,16180.0
2010-12-31,F,female,median,37.83
2010-12-31,F,female,total,2234710.0
2011-03-31,F,female,0-14,443800.0
2011-03-31,F,female,0-4,154520.0
2011-03-31,F,female,10-14,147460.0
2011-03-31,F,female,15-19,155040.0
2011-03-31,F,female,15-39,745600.0
2011-03-31,F,female,20-24,152690.0
2011-03-31,F,female,25-29,141280.0
2011-03-31,F,female,30-34,140460.0
2011-03-31,F,female,35-39,156110.0
2011-03-31,F,female,40-44,165470.0
2011-03-31,F,female,40-64,736800.0
2011-03-31,F,female,45-49,166460.0
2011-03-31,F,female,5-9,141820.0
2011-03-31,F,female,50-54,152840.0
2011-03-31,F,female,55-59,131370.0
2011-03-31,F,female,60-64,120680.0
2011-03-31,F,female,65-69,91590.0
2011-03-31,F,female,65+,313000.0
2011-03-31,F,female,70-74,73900.0
2011-03-31,F,female,75-79,55650.0
2011-03-31,F,female,80-84,45730.0
2011-03-31,F,female,85-89,29840.0
2011-03-31,F,female,90+,16320.0
2011-03-31,F,female,median,37.89
2011-03-31,F,female,total,2239210.0
2011-06-30,F,female,0-14,444000.0
2011-06-30,F,female,0-4,154440.0
2011-06-30,F,female,10-14,147470.0
2011-06-30,F,female,15-19,154220.0
2011-06-30,F,female,15-39,742500.0
2011-06-30,F,female,20-24,152740.0
2011-06-30,F,female,25-29,140800.0
2011-06-30,F,female,30-34,140000.0
2011-06-30,F,female,35-39,154710.0
2011-06-30,F,female,40-44,165930.0
2011-06-30,F,female,40-64,739000.0
2011-06-30,F,female,45-49,165720.0
2011-06-30,F,female,5-9,142060.0
2011-06-30,F,female,50-54,153890.0
2011-06-30,F,female,55-59,132270.0
2011-06-30,F,female,60-64,121240.0
2011-06-30,F,female,65-69,92280.0
2011-06-30,F,female,65+,314900.0
2011-06-30,F,female,70-74,74730.0
2011-06-30,F,female,75-79,55800.0
2011-06-30,F,female,80-84,45730.0
2011-06-30,F,female,85-89,29960.0
2011-06-30,F,female,90+,16430.0
2011-06-30,F,female,median,37.99
2011-06-30,F,female,total,2240430.0
2011-09-30,F,female,0-14,443900.0
2011-09-30,F,female,0-4,154660.0
2011-09-30,F,female,10-14,147220.0
2011-09-30,F,female,15-19,154160.0
2011-09-30,F,female,15-39,742100.0
2011-09-30,F,female,20-24,153790.0
2011-09-30,F,female,25-29,140960.0
2011-09-30,F,female,30-34,140060.0
2011-09-30,F,female,35-39,153110.0
2011-09-30,F,female,40-44,166380.0
2011-09-30,F,female,40-64,741400.0
