date,estimate_type,tenure,private_dwellings
31 Mar 1991,as at,total,1301700.0
30 Jun 1991,as at,total,1307000.0
30 Sep 1991,as at,total,1310700.0
31 Dec 1991,as at,total,1314500.0
31 Mar 1992,as at,total,1318600.0
30 Jun 1992,as at,total,1322900.0
30 Sep 1992,as at,total,1326600.0
31 Dec 1992,as at,total,1330600.0
31 Mar 1993,as at,total,1334500.0
30 Jun 1993,as at,total,1339000.0
30 Sep 1993,as at,total,1342800.0
31 Dec 1993,as at,total,1347000.0
31 Mar 1994,as at,total,1351500.0
30 Jun 1994,as at,total,1356000.0
30 Sep 1994,as at,total,1360400.0
31 Dec 1994,as at,total,1365400.0
31 Mar 1995,as at,total,1371100.0
30 Jun 1995,as at,total,1376900.0
30 Sep 1995,as at,total,1381900.0
31 Dec 1995,as at,total,1386500.0
31 Mar 1996,as at,total,1391200.0
30 Jun 1996,as at,total,1396800.0
30 Sep 1996,as at,total,1402500.0
31 Dec 1996,as at,total,1408600.0
31 Mar 1997,as at,total,1414100.0
30 Jun 1997,as at,total,1419900.0
30 Sep 1997,as at,total,1425200.0
31 Dec 1997,as at,total,1431500.0
31 Mar 1998,as at,total,1438700.0
30 Jun 1998,as at,total,1445300.0
30 Sep 1998,as at,total,1451100.0
31 Dec 1998,as at,total,1456000.0
31 Mar 1999,as at,total,1460900.0
30 Jun 1999,as at,total,1466300.0
30 Sep 1999,as at,total,1472100.0
31 Dec 1999,as at,total,1478900.0
31 Mar 2000,as at,total,1486600.0
30 Jun 2000,as at,total,1493000.0
30 Sep 2000,as at,total,1498300.0
31 Dec 2000,as at,total,1503400.0
31 Mar 2001,as at,total,1508600.0
30 Jun 2001,as at,total,1512800.0
30 Sep 2001,as at,total,1517000.0
31 Dec 2001,as at,total,1521800.0
31 Mar 2002,as at,total,1526800.0
30 Jun 2002,as at,total,1532000.0
30 Sep 2002,as at,total,1536900.0
31 Dec 2002,as at,total,1542800.0
31 Mar 2003,as at,total,1549600.0
30 Jun 2003,as at,total,1557400.0
30 Sep 2003,as at,total,1563300.0
31 Dec 2003,as at,total,1569900.0
31 Mar 2004,as at,total,1577700.0
30 Jun 2004,as at,total,1585300.0
30 Sep 2004,as at,total,1593000.0
31 Dec 2004,as at,total,1600900.0
31 Mar 2005,as at,total,1607400.0
30 Jun 2005,as at,total,1614600.0
30 Sep 2005,as at,total,1621200.0
31 Dec 2005,as at,total,1626500.0
31 Mar 2006,as at,total,1632600.0
30 Jun 2006,as at,total,1638400.0
30 Sep 2006,as at,total,1644000.0
31 Dec 2006,as at,total,1649200.0
31 Mar 2007,as at,total,1655400.0
30 Jun 2007,as at,total,1661100.0
30 Sep 2007,as at,total,1666500.0
31 Dec 2007,as at,total,1672400.0
31 Mar 2008,as at,total,1678200.0
30 Jun 2008,as at,total,1683500.0
30 Sep 2008,as at,total,1688000.0
31 Dec 2008,as at,total,1692700.0
31 Mar 2009,as at,total,1696600.0
30 Jun 2009,as at,total,1699600.0
30 Sep 2009,as at,total,1702200.0
31 Dec 2009,as at,total,1705100.0
31 Mar 2010,as at,total,1708500.0
30 Jun 2010,as at,total,1712200.0
30 Sep 2010,as at,total,1715600.0
31 Dec 2010,as at,total,1719300.0
31 Mar 2011,as at,total,1722700.0
30 Jun 2011,as at,total,1725900.0
30 Sep 2011,as at,total,1728400.0
31 Dec 2011,as at,total,1731100.0
31 Mar 2012,as at,total,1734500.0
30 Jun 2012,as at,total,1737800.0
30 Sep 2012,as at,total,1741200.0
31 Dec 2012,as at,total,1744600.0
31 Mar 2013,as at,total,1749400.0
30 Jun 2013,as at,total,1753300.0
30 Sep 2013,as at,total,1757000.0
31 Dec 2013,as at,total,1761400.0
31 Mar 2014,as at,total,1766000.0
30 Jun 2014,as at,total,1771100.0
30 Sep 2014,as at,total,1775700.0
31 Dec 2014,as at,total,1780800.0
31 Mar 2015,as at,total,1786100.0
30 Jun 2015,as at,total,1791800.0
30 Sep 2015,as at,total,1796600.0
31 Dec 2015,as at,total,1801900.0
31 Mar 2016,as at,total,1808000.0
30 Jun 2016,as at,total,1814500.0
30 Sep 2016,as at,total,1819800.0
31 Dec 2016,as at,total,1826200.0
31 Mar 2017,as at,total,1833100.0
30 Jun 2017,as at,total,1839600.0
30 Sep 2017,as at,total,1845400.0
31 Dec 2017,as at,total,1851600.0
31 Mar 2018,as at,total,1858200.0
30 Jun 2018,as at,total,1866100.0
30 Sep 2018,as at,total,1873300.0
31 Dec 2018,as at,total,1879900.0
31 Mar 2019,as at,total,1888100.0
30 Jun 2019,as at,total,1895700.0
30 Sep 2019,as at,total,1903400.0
31 Dec 2019,as at,total,1911400.0
31 Mar 2020,as at,total,1919800.0
30 Jun 2020,as at,total,1928900.0
30 Sep 2020,as at,total,1937600.0
31 Dec 2020,as at,total,1945600.0
31 Mar 2021,as at,total,1954000.0
30 Jun 2021,as at,total,1963200.0
31 Mar 1991,as at,owner_occupied,960300.0
30 Jun 1991,as at,owner_occupied,962100.0
30 Sep 1991,as at,owner_occupied,962700.0
31 Dec 1991,as at,owner_occupied,963500.0
31 Mar 1992,as at,owner_occupied,964500.0
30 Jun 1992,as at,owner_occupied,965500.0
30 Sep 1992,as at,owner_occupied,966100.0
31 Dec 1992,as at,owner_occupied,966900.0
31 Mar 1993,as at,owner_occupied,967700.0
30 Jun 1993,as at,owner_occupied,968900.0
30 Sep 1993,as at,owner_occupied,969500.0
31 Dec 1993,as at,owner_occupied,970400.0
31 Mar 1994,as at,owner_occupied,971600.0
30 Jun 1994,as at,owner_occupied,972700.0
30 Sep 1994,as at,owner_occupied,973700.0
31 Dec 1994,as at,owner_occupied,975200.0
31 Mar 1995,as at,owner_occupied,977100.0
30 Jun 1995,as at,owner_occupied,979100.0
30 Sep 1995,as at,owner_occupied,980400.0
31 Dec 1995,as at,owner_occupied,981500.0
31 Mar 1996,as at,owner_occupied,982700.0
30 Jun 1996,as at,owner_occupied,984700.0
30 Sep 1996,as at,owner_occupied,986700.0
31 Dec 1996,as at,owner_occupied,988900.0
31 Mar 1997,as at,owner_occupied,990800.0
30 Jun 1997,as at,owner_occupied,992900.0
30 Sep 1997,as at,owner_occupied,994500.0
31 Dec 1997,as at,owner_occupied,996800.0
31 Mar 1998,as at,owner_occupied,999900.0
30 Jun 1998,as at,owner_occupied,1002400.0
30 Sep 1998,as at,owner_occupied,1004300.0
31 Dec 1998,as at,owner_occupied,1005600.0
31 Mar 1999,as at,owner_occupied,1006900.0
30 Jun 1999,as at,owner_occupied,1008500.0
30 Sep 1999,as at,owner_occupied,1010400.0
31 Dec 1999,as at,owner_occupied,1013000.0
31 Mar 2000,as at,owner_occupied,1016100.0
30 Jun 2000,as at,owner_occupied,1018300.0
30 Sep 2000,as at,owner_occupied,1019800.0
31 Dec 2000,as at,owner_occupied,1021100.0
31 Mar 2001,as at,owner_occupied,1022900.0
30 Jun 2001,as at,owner_occupied,1025100.0
30 Sep 2001,as at,owner_occupied,1027200.0
31 Dec 2001,as at,owner_occupied,1029600.0
31 Mar 2002,as at,owner_occupied,1032300.0
30 Jun 2002,as at,owner_occupied,1035100.0
30 Sep 2002,as at,owner_occupied,1037700.0
31 Dec 2002,as at,owner_occupied,1040900.0
31 Mar 2003,as at,owner_occupied,1044800.0
30 Jun 2003,as at,owner_occupied,1049300.0
30 Sep 2003,as at,owner_occupied,1052500.0
31 Dec 2003,as at,owner_occupied,1056200.0
31 Mar 2004,as at,owner_occupied,1060700.0
30 Jun 2004,as at,owner_occupied,1065000.0
30 Sep 2004,as at,owner_occupied,1069400.0
31 Dec 2004,as at,owner_occupied,1074000.0
31 Mar 2005,as at,owner_occupied,1077600.0
30 Jun 2005,as at,owner_occupied,1081600.0
30 Sep 2005,as at,owner_occupied,1085300.0
31 Dec 2005,as at,owner_occupied,1088100.0
31 Mar 2006,as at,owner_occupied,1091200.0
30 Jun 2006,as at,owner_occupied,1093900.0
30 Sep 2006,as at,owner_occupied,1096400.0
31 Dec 2006,as at,owner_occupied,1098600.0
31 Mar 2007,as at,owner_occupied,1101500.0
30 Jun 2007,as at,owner_occupied,1104000.0
30 Sep 2007,as at,owner_occupied,1106400.0
31 Dec 2007,as at,owner_occupied,1109000.0
31 Mar 2008,as at,owner_occupied,1111600.0
30 Jun 2008,as at,owner_occupied,1113800.0
30 Sep 2008,as at,owner_occupied,1115500.0
31 Dec 2008,as at,owner_occupied,1117400.0
31 Mar 2009,as at,owner_occupied,1118600.0
30 Jun 2009,as at,owner_occupied,1119400.0
30 Sep 2009,as at,owner_occupied,1119800.0
31 Dec 2009,as at,owner_occupied,1120400.0
31 Mar 2010,as at,owner_occupied,1121300.0
30 Jun 2010,as at,owner_occupied,1122500.0
30 Sep 2010,as at,owner_occupied,1123500.0
31 Dec 2010,as at,owner_occupied,1124500.0
31 Mar 2011,as at,owner_occupied,1125500.0
30 Jun 2011,as at,owner_occupied,1126300.0
30 Sep 2011,as at,owner_occupied,1126600.0
31 Dec 2011,as at,owner_occupied,1127000.0
31 Mar 2012,as at,owner_occupied,1128000.0
30 Jun 2012,as at,owner_occupied,1128800.0
30 Sep 2012,as at,owner_occupied,1129700.0
31 Dec 2012,as at,owner_occupied,1130600.0
31 Mar 2013,as at,owner_occupied,1132700.0
30 Jun 2013,as at,owner_occupied,1135100.0
30 Sep 2013,as at,owner_occupied,1137200.0
31 Dec 2013,as at,owner_occupied,1139900.0
31 Mar 2014,as at,owner_occupied,1142700.0
30 Jun 2014,as at,owner_occupied,1145900.0
30 Sep 2014,as at,owner_occupied,1148600.0
31 Dec 2014,as at,owner_occupied,1151800.0
31 Mar 2015,as at,owner_occupied,1155000.0
30 Jun 2015,as at,owner_occupied,1158500.0
30 Sep 2015,as at,owner_occupied,1161400.0
31 Dec 2015,as at,owner_occupied,1164600.0
31 Mar 2016,as at,owner_occupied,1168400.0
30 Jun 2016,as at,owner_occupied,1172400.0
30 Sep 2016,as at,owner_occupied,1175600.0
31 Dec 2016,as at,owner_occupied,1179600.0
31 Mar 2017,as at,owner_occupied,1183800.0
30 Jun 2017,as at,owner_occupied,1187800.0
30 Sep 2017,as at,owner_occupied,1191400.0
31 Dec 2017,as at,owner_occupied,1195200.0
31 Mar 2018,as at,owner_occupied,1199300.0
30 Jun 2018,as at,owner_occupied,1204400.0
30 Sep 2018,as at,owner_occupied,1209100.0
31 Dec 2018,as at,owner_occupied,1213400.0
31 Mar 2019,as at,owner_occupied,1218600.0
30 Jun 2019,as at,owner_occupied,1223500.0
30 Sep 2019,as at,owner_occupied,1228500.0
31 Dec 2019,as at,owner_occupied,1233600.0
31 Mar 2020,as at,owner_occupied,1239100.0
30 Jun 2020,as at,owner_occupied,1245000.0
30 Sep 2020,as at,owner_occupied,1250600.0
31 Dec 2020,as at,owner_occupied,1255800.0
31 Mar 2021,as at,owner_occupied,1261200.0
30 Jun 2021,as at,owner_occupied,1267100.0
31 Mar 1991,as at,rented,298500.0
30 Jun 1991,as at,rented,301300.0
30 Sep 1991,as at,rented,303700.0
31 Dec 1991,as at,rented,306300.0
31 Mar 1992,as at,rented,308800.0
30 Jun 1992,as at,rented,311400.0
30 Sep 1992,as at,rented,314000.0
31 Dec 1992,as at,rented,316500.0
31 Mar 1993,as at,rented,319100.0
30 Jun 1993,as at,rented,321800.0
30 Sep 1993,as at,rented,324400.0
31 Dec 1993,as at,rented,327100.0
31 Mar 1994,as at,rented,329800.0
30 Jun 1994,as at,rented,332600.0
30 Sep 1994,as at,rented,335300.0
31 Dec 1994,as at,rented,338300.0
31 Mar 1995,as at,rented,341300.0
30 Jun 1995,as at,rented,344500.0
30 Sep 1995,as at,rented,347400.0
31 Dec 1995,as at,rented,350300.0
31 Mar 1996,as at,rented,353400.0
30 Jun 1996,as at,rented,357400.0
30 Sep 1996,as at,rented,361500.0
31 Dec 1996,as at,rented,365700.0
31 Mar 1997,as at,rented,369700.0
30 Jun 1997,as at,rented,373800.0
30 Sep 1997,as at,rented,377900.0
31 Dec 1997,as at,rented,382200.0
31 Mar 1998,as at,rented,386800.0
30 Jun 1998,as at,rented,391200.0
30 Sep 1998,as at,rented,395500.0
31 Dec 1998,as at,rented,399600.0
31 Mar 1999,as at,rented,403600.0
30 Jun 1999,as at,rented,407800.0
30 Sep 1999,as at,rented,412100.0
31 Dec 1999,as at,rented,416800.0
31 Mar 2000,as at,rented,421700.0
30 Jun 2000,as at,rented,426300.0
30 Sep 2000,as at,rented,430600.0
31 Dec 2000,as at,rented,434900.0
31 Mar 2001,as at,rented,438300.0
30 Jun 2001,as at,rented,439400.0
30 Sep 2001,as at,rented,440500.0
31 Dec 2001,as at,rented,441700.0
31 Mar 2002,as at,rented,443000.0
30 Jun 2002,as at,rented,444400.0
30 Sep 2002,as at,rented,445700.0
31 Dec 2002,as at,rented,447200.0
31 Mar 2003,as at,rented,449100.0
30 Jun 2003,as at,rented,451200.0
30 Sep 2003,as at,rented,452800.0
31 Dec 2003,as at,rented,454500.0
31 Mar 2004,as at,rented,456600.0
30 Jun 2004,as at,rented,458700.0
30 Sep 2004,as at,rented,460800.0
31 Dec 2004,as at,rented,462900.0
31 Mar 2005,as at,rented,464600.0
30 Jun 2005,as at,rented,466600.0
30 Sep 2005,as at,rented,468300.0
31 Dec 2005,as at,rented,469700.0
31 Mar 2006,as at,rented,471800.0
30 Jun 2006,as at,rented,475000.0
30 Sep 2006,as at,rented,478200.0
31 Dec 2006,as at,rented,481200.0
31 Mar 2007,as at,rented,484600.0
30 Jun 2007,as at,rented,487800.0
30 Sep 2007,as at,rented,491000.0
31 Dec 2007,as at,rented,494300.0
31 Mar 2008,as at,rented,497600.0
30 Jun 2008,as at,rented,500700.0
30 Sep 2008,as at,rented,503700.0
31 Dec 2008,as at,rented,506700.0
31 Mar 2009,as at,rented,509400.0
30 Jun 2009,as at,rented,511900.0
30 Sep 2009,as at,rented,514300.0
31 Dec 2009,as at,rented,516800.0
31 Mar 2010,as at,rented,519400.0
30 Jun 2010,as at,rented,522100.0
30 Sep 2010,as at,rented,524800.0
31 Dec 2010,as at,rented,527500.0
31 Mar 2011,as at,rented,530200.0
30 Jun 2011,as at,rented,532800.0
30 Sep 2011,as at,rented,535200.0
31 Dec 2011,as at,rented,537700.0
31 Mar 2012,as at,rented,540400.0
30 Jun 2012,as at,rented,543000.0
30 Sep 2012,as at,rented,545700.0
31 Dec 2012,as at,rented,548400.0
31 Mar 2013,as at,rented,551200.0
30 Jun 2013,as at,rented,552900.0
30 Sep 2013,as at,rented,554500.0
31 Dec 2013,as at,rented,556400.0
31 Mar 2014,as at,rented,558300.0
30 Jun 2014,as at,rented,560400.0
30 Sep 2014,as at,rented,562300.0
31 Dec 2014,as at,rented,564400.0
31 Mar 2015,as at,rented,566600.0
30 Jun 2015,as at,rented,568800.0
30 Sep 2015,as at,rented,570800.0
31 Dec 2015,as at,rented,573000.0
31 Mar 2016,as at,rented,575400.0
30 Jun 2016,as at,rented,578000.0
30 Sep 2016,as at,rented,580100.0
31 Dec 2016,as at,rented,582700.0
31 Mar 2017,as at,rented,585300.0
30 Jun 2017,as at,rented,587900.0
30 Sep 2017,as at,rented,590300.0
31 Dec 2017,as at,rented,592700.0
31 Mar 2018,as at,rented,595200.0
30 Jun 2018,as at,rented,597700.0
30 Sep 2018,as at,rented,600000.0
31 Dec 2018,as at,rented,602200.0
31 Mar 2019,as at,rented,604800.0
30 Jun 2019,as at,rented,607200.0
30 Sep 2019,as at,rented,609700.0
31 Dec 2019,as at,rented,612200.0
31 Mar 2020,as at,rented,614900.0
30 Jun 2020,as at,rented,617800.0
30 Sep 2020,as at,rented,620600.0
31 Dec 2020,as at,rented,623200.0
31 Mar 2021,as at,rented,625900.0
30 Jun 2021,as at,rented,628800.0
31 Mar 1991,as at,free,43000.0
30 Jun 1991,as at,free,43600.0
30 Sep 1991,as at,free,44200.0
31 Dec 1991,as at,free,44800.0
31 Mar 1992,as at,free,45300.0
30 Jun 1992,as at,free,45900.0
30 Sep 1992,as at,free,46500.0
31 Dec 1992,as at,free,47100.0
31 Mar 1993,as at,free,47700.0
30 Jun 1993,as at,free,48300.0
30 Sep 1993,as at,free,48900.0
31 Dec 1993,as at,free,49500.0
31 Mar 1994,as at,free,50100.0
30 Jun 1994,as at,free,50700.0
30 Sep 1994,as at,free,51400.0
31 Dec 1994,as at,free,52000.0
31 Mar 1995,as at,free,52700.0
30 Jun 1995,as at,free,53400.0
30 Sep 1995,as at,free,54000.0
31 Dec 1995,as at,free,54700.0
31 Mar 1996,as at,free,55000.0
30 Jun 1996,as at,free,54700.0
30 Sep 1996,as at,free,54300.0
31 Dec 1996,as at,free,53900.0
31 Mar 1997,as at,free,53600.0
30 Jun 1997,as at,free,53200.0
30 Sep 1997,as at,free,52800.0
31 Dec 1997,as at,free,52400.0
31 Mar 1998,as at,free,52100.0
30 Jun 1998,as at,free,51700.0
30 Sep 1998,as at,free,51300.0
31 Dec 1998,as at,free,50900.0
31 Mar 1999,as at,free,50400.0
30 Jun 1999,as at,free,50000.0
30 Sep 1999,as at,free,49600.0
31 Dec 1999,as at,free,49200.0
31 Mar 2000,as at,free,48800.0
30 Jun 2000,as at,free,48400.0
30 Sep 2000,as at,free,47900.0
31 Dec 2000,as at,free,47400.0
31 Mar 2001,as at,free,47400.0
30 Jun 2001,as at,free,48400.0
30 Sep 2001,as at,free,49400.0
31 Dec 2001,as at,free,50400.0
31 Mar 2002,as at,free,51400.0
30 Jun 2002,as at,free,52500.0
30 Sep 2002,as at,free,53500.0
31 Dec 2002,as at,free,54600.0
31 Mar 2003,as at,free,55700.0
30 Jun 2003,as at,free,56900.0
30 Sep 2003,as at,free,58000.0
31 Dec 2003,as at,free,59200.0
31 Mar 2004,as at,free,60400.0
30 Jun 2004,as at,free,61500.0
30 Sep 2004,as at,free,62800.0
31 Dec 2004,as at,free,64000.0
31 Mar 2005,as at,free,65200.0
30 Jun 2005,as at,free,66400.0
30 Sep 2005,as at,free,67600.0
31 Dec 2005,as at,free,68700.0
31 Mar 2006,as at,free,69600.0
30 Jun 2006,as at,free,69500.0
30 Sep 2006,as at,free,69400.0
31 Dec 2006,as at,free,69400.0
31 Mar 2007,as at,free,69300.0
30 Jun 2007,as at,free,69200.0
30 Sep 2007,as at,free,69200.0
31 Dec 2007,as at,free,69100.0
31 Mar 2008,as at,free,69000.0
30 Jun 2008,as at,free,68900.0
30 Sep 2008,as at,free,68800.0
31 Dec 2008,as at,free,68700.0
31 Mar 2009,as at,free,68500.0
30 Jun 2009,as at,free,68300.0
30 Sep 2009,as at,free,68100.0
31 Dec 2009,as at,free,67900.0
31 Mar 2010,as at,free,67700.0
30 Jun 2010,as at,free,67600.0
30 Sep 2010,as at,free,67400.0
31 Dec 2010,as at,free,67200.0
31 Mar 2011,as at,free,67000.0
30 Jun 2011,as at,free,66800.0
30 Sep 2011,as at,free,66600.0
31 Dec 2011,as at,free,66400.0
31 Mar 2012,as at,free,66200.0
30 Jun 2012,as at,free,66000.0
30 Sep 2012,as at,free,65800.0
31 Dec 2012,as at,free,65600.0
31 Mar 2013,as at,free,65500.0
30 Jun 2013,as at,free,65300.0
30 Sep 2013,as at,free,65200.0
31 Dec 2013,as at,free,65100.0
31 Mar 2014,as at,free,65000.0
30 Jun 2014,as at,free,64900.0
30 Sep 2014,as at,free,64700.0
31 Dec 2014,as at,free,64600.0
31 Mar 2015,as at,free,64600.0
30 Jun 2015,as at,free,64500.0
30 Sep 2015,as at,free,64400.0
31 Dec 2015,as at,free,64300.0
31 Mar 2016,as at,free,64200.0
30 Jun 2016,as at,free,64100.0
30 Sep 2016,as at,free,64000.0
31 Dec 2016,as at,free,64000.0
31 Mar 2017,as at,free,63900.0
30 Jun 2017,as at,free,63800.0
30 Sep 2017,as at,free,63700.0
31 Dec 2017,as at,free,63700.0
31 Mar 2018,as at,free,63700.0
30 Jun 2018,as at,free,63900.0
30 Sep 2018,as at,free,64200.0
31 Dec 2018,as at,free,64400.0
31 Mar 2019,as at,free,64700.0
30 Jun 2019,as at,free,65000.0
30 Sep 2019,as at,free,65200.0
31 Dec 2019,as at,free,65500.0
31 Mar 2020,as at,free,65800.0
30 Jun 2020,as at,free,66100.0
30 Sep 2020,as at,free,66400.0
31 Dec 2020,as at,free,66700.0
31 Mar 2021,as at,free,67000.0
30 Jun 2021,as at,free,67300.0
31 Mar 1991,mean year ended,total,
30 Jun 1991,mean year ended,total,
30 Sep 1991,mean year ended,total,
31 Dec 1991,mean year ended,total,
31 Mar 1992,mean year ended,total,1310600.0
30 Jun 1992,mean year ended,total,1314700.0
30 Sep 1992,mean year ended,total,1318700.0
31 Dec 1992,mean year ended,total,1322700.0
31 Mar 1993,mean year ended,total,1326600.0
30 Jun 1993,mean year ended,total,1330600.0
30 Sep 1993,mean year ended,total,1334700.0
31 Dec 1993,mean year ended,total,1338800.0
31 Mar 1994,mean year ended,total,1342900.0
30 Jun 1994,mean year ended,total,1347200.0
30 Sep 1994,mean year ended,total,1351500.0
31 Dec 1994,mean year ended,total,1356000.0
31 Mar 1995,mean year ended,total,1360800.0
30 Jun 1995,mean year ended,total,1365800.0
30 Sep 1995,mean year ended,total,1371100.0
31 Dec 1995,mean year ended,total,1376500.0
31 Mar 1996,mean year ended,total,1381600.0
30 Jun 1996,mean year ended,total,1386600.0
30 Sep 1996,mean year ended,total,1391700.0
31 Dec 1996,mean year ended,total,1397000.0
31 Mar 1997,mean year ended,total,1402600.0
30 Jun 1997,mean year ended,total,1408400.0
30 Sep 1997,mean year ended,total,1414100.0
31 Dec 1997,mean year ended,total,1419800.0
31 Mar 1998,mean year ended,total,1425800.0
30 Jun 1998,mean year ended,total,1432000.0
30 Sep 1998,mean year ended,total,1438400.0
31 Dec 1998,mean year ended,total,1444700.0
31 Mar 1999,mean year ended,total,1450600.0
30 Jun 1999,mean year ended,total,1456000.0
30 Sep 1999,mean year ended,total,1461200.0
31 Dec 1999,mean year ended,total,1466700.0
31 Mar 2000,mean year ended,total,1472800.0
30 Jun 2000,mean year ended,total,1479300.0
30 Sep 2000,mean year ended,total,1485900.0
31 Dec 2000,mean year ended,total,1492300.0
31 Mar 2001,mean year ended,total,1498100.0
30 Jun 2001,mean year ended,total,1503300.0
30 Sep 2001,mean year ended,total,1508100.0
31 Dec 2001,mean year ended,total,1512800.0
31 Mar 2002,mean year ended,total,1517300.0
30 Jun 2002,mean year ended,total,1522000.0
30 Sep 2002,mean year ended,total,1526900.0
31 Dec 2002,mean year ended,total,1532000.0
31 Mar 2003,mean year ended,total,1537500.0
30 Jun 2003,mean year ended,total,1543500.0
30 Sep 2003,mean year ended,total,1550000.0
31 Dec 2003,mean year ended,total,1556600.0
31 Mar 2004,mean year ended,total,1563500.0
30 Jun 2004,mean year ended,total,1570500.0
30 Sep 2004,mean year ended,total,1577700.0
31 Dec 2004,mean year ended,total,1585300.0
31 Mar 2005,mean year ended,total,1592900.0
30 Jun 2005,mean year ended,total,1600300.0
30 Sep 2005,mean year ended,total,1607500.0
31 Dec 2005,mean year ended,total,1614200.0
31 Mar 2006,mean year ended,total,1620600.0
30 Jun 2006,mean year ended,total,1626700.0
30 Sep 2006,mean year ended,total,1632500.0
31 Dec 2006,mean year ended,total,1638200.0
31 Mar 2007,mean year ended,total,1643900.0
30 Jun 2007,mean year ended,total,1649600.0
30 Sep 2007,mean year ended,total,1655200.0
31 Dec 2007,mean year ended,total,1660900.0
31 Mar 2008,mean year ended,total,1666700.0
30 Jun 2008,mean year ended,total,1672300.0
30 Sep 2008,mean year ended,total,1677800.0
31 Dec 2008,mean year ended,total,1683000.0
31 Mar 2009,mean year ended,total,1687900.0
30 Jun 2009,mean year ended,total,1692200.0
30 Sep 2009,mean year ended,total,1696000.0
31 Dec 2009,mean year ended,total,1699300.0
31 Mar 2010,mean year ended,total,1702400.0
30 Jun 2010,mean year ended,total,1705400.0
30 Sep 2010,mean year ended,total,1708700.0
31 Dec 2010,mean year ended,total,1712100.0
31 Mar 2011,mean year ended,total,1715700.0
30 Jun 2011,mean year ended,total,1719200.0
30 Sep 2011,mean year ended,total,1722500.0
31 Dec 2011,mean year ended,total,1725500.0
31 Mar 2012,mean year ended,total,1728500.0
30 Jun 2012,mean year ended,total,1731500.0
30 Sep 2012,mean year ended,total,1734600.0
31 Dec 2012,mean year ended,total,1737800.0
31 Mar 2013,mean year ended,total,1741400.0
30 Jun 2013,mean year ended,total,1745200.0
30 Sep 2013,mean year ended,total,1749100.0
31 Dec 2013,mean year ended,total,1753200.0
31 Mar 2014,mean year ended,total,1757300.0
30 Jun 2014,mean year ended,total,1761600.0
30 Sep 2014,mean year ended,total,1766200.0
31 Dec 2014,mean year ended,total,1771000.0
31 Mar 2015,mean year ended,total,1775900.0
30 Jun 2015,mean year ended,total,1781000.0
30 Sep 2015,mean year ended,total,1786200.0
31 Dec 2015,mean year ended,total,1791500.0
31 Mar 2016,mean year ended,total,1796800.0
30 Jun 2016,mean year ended,total,1802400.0
30 Sep 2016,mean year ended,total,1808100.0
31 Dec 2016,mean year ended,total,1814100.0
31 Mar 2017,mean year ended,total,1820300.0
30 Jun 2017,mean year ended,total,1826500.0
30 Sep 2017,mean year ended,total,1832900.0
31 Dec 2017,mean year ended,total,1839300.0
31 Mar 2018,mean year ended,total,1845600.0
30 Jun 2018,mean year ended,total,1852000.0
30 Sep 2018,mean year ended,total,1858800.0
31 Dec 2018,mean year ended,total,1865800.0
31 Mar 2019,mean year ended,total,1873100.0
30 Jun 2019,mean year ended,total,1880600.0
30 Sep 2019,mean year ended,total,1888000.0
31 Dec 2019,mean year ended,total,1895700.0
31 Mar 2020,mean year ended,total,1903600.0
30 Jun 2020,mean year ended,total,1911700.0
30 Sep 2020,mean year ended,total,1920100.0
31 Dec 2020,mean year ended,total,1928700.0
31 Mar 2021,mean year ended,total,1937200.0
30 Jun 2021,mean year ended,total,1945800.0
31 Mar 1991,mean year ended,owner_occupied,
30 Jun 1991,mean year ended,owner_occupied,
30 Sep 1991,mean year ended,owner_occupied,
31 Dec 1991,mean year ended,owner_occupied,
31 Mar 1992,mean year ended,owner_occupied,962700.0
30 Jun 1992,mean year ended,owner_occupied,963600.0
30 Sep 1992,mean year ended,owner_occupied,964500.0
31 Dec 1992,mean year ended,owner_occupied,965300.0
31 Mar 1993,mean year ended,owner_occupied,966200.0
30 Jun 1993,mean year ended,owner_occupied,967000.0
30 Sep 1993,mean year ended,owner_occupied,967800.0
31 Dec 1993,mean year ended,owner_occupied,968700.0
31 Mar 1994,mean year ended,owner_occupied,969600.0
30 Jun 1994,mean year ended,owner_occupied,970600.0
30 Sep 1994,mean year ended,owner_occupied,971600.0
31 Dec 1994,mean year ended,owner_occupied,972700.0
31 Mar 1995,mean year ended,owner_occupied,974000.0
30 Jun 1995,mean year ended,owner_occupied,975500.0
30 Sep 1995,mean year ended,owner_occupied,977100.0
31 Dec 1995,mean year ended,owner_occupied,978700.0
31 Mar 1996,mean year ended,owner_occupied,980200.0
30 Jun 1996,mean year ended,owner_occupied,981700.0
30 Sep 1996,mean year ended,owner_occupied,983100.0
31 Dec 1996,mean year ended,owner_occupied,984800.0
31 Mar 1997,mean year ended,owner_occupied,986800.0
30 Jun 1997,mean year ended,owner_occupied,988800.0
30 Sep 1997,mean year ended,owner_occupied,990800.0
31 Dec 1997,mean year ended,owner_occupied,992800.0
31 Mar 1998,mean year ended,owner_occupied,994900.0
30 Jun 1998,mean year ended,owner_occupied,997200.0
30 Sep 1998,mean year ended,owner_occupied,999600.0
31 Dec 1998,mean year ended,owner_occupied,1001900.0
31 Mar 1999,mean year ended,owner_occupied,1003900.0
30 Jun 1999,mean year ended,owner_occupied,1005600.0
30 Sep 1999,mean year ended,owner_occupied,1007100.0
31 Dec 1999,mean year ended,owner_occupied,1008800.0
