year,resource,variable,units,magnitude,source,data_value,flag
2010.0,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2010.0,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,85598.0,R
2010.0,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,5504.0,R
2010.0,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5466.0,R
2010.0,Coal,Generation,Gigawatt hours,Actual,MBIE,3109.0,F
2010.0,Gas,Generation,Gigawatt hours,Actual,MBIE,8449.0,F
2010.0,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1929148.0,R
2010.0,Geothermal,Generation,Gigawatt hours,Actual,MBIE,4671.0,F
2010.0,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.11,F
2010.0,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1749010.0,R
2010.0,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,180138.0,R
2010.0,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,115749.0,R
2010.0,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9991724.0,R
2010.0,Hydro,Generation,Gigawatt hours,Actual,MBIE,24194.0,F
2010.0,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.57,F
2010.0,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9310094.0,R
2010.0,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,681631.0,R
2010.0,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,599503.0,R
2010.0,Oil,Generation,Gigawatt hours,Actual,MBIE,9.0,F
2010.0,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,1.2811765E7,R
2010.0,Renewable,Generation,Gigawatt hours,Actual,MBIE,31022.0,F
2010.0,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.73,F
2010.0,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,1.1733864E7,R
2010.0,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,1077901.0,R
2010.0,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,768706.0,R
2010.0,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.73,F
2010.0,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1492.0,R
2010.0,Solar,Generation,Gigawatt hours,Actual,MBIE,4.0,F
2010.0,Solar,Gigawatt hours,Number,Proportion,MBIE,0.0,F
2010.0,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1440.0,R
2010.0,Solar,Other changes,Dollars,Thousands,Environmental Accounts,53.0,R
2010.0,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,90.0,R
2010.0,Total generation,Generation,Gigawatt hours,Actual,MBIE,42641.0,F
2010.0,Total generation,Prices,Number,Average,Electricity Authority,52.0,F
2010.0,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1056625.0,R
2010.0,Waste heat,Generation,Gigawatt hours,Actual,MBIE,51.0,F
2010.0,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,650783.0,R
2010.0,Wind,Generation,Gigawatt hours,Actual,MBIE,1576.0,F
2010.0,Wind,Gigawatt hours,Number,Proportion,MBIE,0.04,F
2010.0,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,454009.0,R
2010.0,Wind,Other changes,Dollars,Thousands,Environmental Accounts,196774.0,R
2010.0,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,39047.0,R
2010.0,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,147515.0,R
2010.0,Wood,Generation,Gigawatt hours,Actual,MBIE,357.0,F
2010.0,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2010.0,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,133713.0,R
2010.0,Wood,Other changes,Dollars,Thousands,Environmental Accounts,13801.0,R
2010.0,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,8851.0,R
2011.0,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,82598.0,R
2011.0,Biogas,Generation,Gigawatt hours,Actual,MBIE,215.0,F
2011.0,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.0,F
2011.0,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,91103.0,R
2011.0,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-8505.0,R
2011.0,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,4956.0,R
2011.0,Coal,Generation,Gigawatt hours,Actual,MBIE,1635.0,F
2011.0,Gas,Generation,Gigawatt hours,Actual,MBIE,8853.0,R
2011.0,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2215070.0,R
2011.0,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5772.0,R
2011.0,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.13,F
