countrycode,countryname,year,SH_UHC_NOP1_CG,SH_UHC_NOP1_TO,SH_UHC_NOP1_ZG,SH_UHC_NOP1_ZS,SH_UHC_NOP2_CG,SH_UHC_NOP2_TO,SH_UHC_NOP2_ZG,SH_UHC_NOP2_ZS,SH_UHC_OOPC_10_TO,SH_UHC_OOPC_10_ZS,SH_UHC_OOPC_25_TO,SH_UHC_OOPC_25_ZS,SH_UHC_SRVS_CV_XD
ARG,Argentina,2004.0,0.0010624000569805,95000.0,0.0559099987149238,0.2443799972534179,0.0062955999746918,241000.0,0.2030799984931945,0.6234635710716248,6546000.0,16.90258026123047,1822000.0,4.703559875488281,NaN
ARM,Armenia,2010.0,0.0016056000022217,17000.0,0.0844999998807907,0.5755782127380371,0.0111547000706195,44000.0,0.3598299920558929,1.5122239589691162,159000.0,5.513268947601318,49000.0,1.719552993774414,NaN
ARM,Armenia,2011.0,0.0019988999702036,10000.0,0.1052000001072883,0.3384005129337311,0.0196959991008043,79000.0,0.6353499889373779,2.7539730072021484,368000.0,12.795639991760254,96000.0,3.321784019470215,NaN
ARM,Armenia,2012.0,0.0011794000165537,13000.0,0.0620700009167194,0.4570192098617553,0.0172128994017839,73000.0,0.5552499890327454,2.532179117202759,400000.0,13.896780014038086,129000.0,4.48320198059082,NaN
ARM,Armenia,2013.0,0.0018401000415906,14000.0,0.096850000321865,0.4853144884109497,0.0182722993195056,74000.0,0.5894299745559692,2.5732290744781494,464000.0,16.051219940185547,141000.0,4.871321201324463,NaN
AUS,Australia,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816000.0,3.705749988555908,110000.0,0.5007200241088867,NaN
AUT,Austria,1999.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,345000.0,4.310737133026123,53000.0,0.6576635241508484,NaN
AZE,Azerbaijan,2002.0,0.0,0.0,0.0,0.0,3.283999976702E-4,9000.0,0.010590000078082,0.1050648018717765,570000.0,6.9732160568237305,98000.0,1.1943949460983276,NaN
AZE,Azerbaijan,2003.0,0.0,0.0,0.0,0.0,4.620999970939E-4,6000.0,0.0149100003764033,0.07065349817276,576000.0,6.991310119628906,99000.0,1.1981459856033323,NaN
AZE,Azerbaijan,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634000.0,7.6282958984375,95000.0,1.1458740234375,NaN
