Région,Portail,Type,Date,Nombre dannonces
BRETAGNE,SE LOGER,VENTE,2018-04,37976.0
BRETAGNE,SE LOGER,VENTE,2018-05,37372.0
BRETAGNE,SE LOGER,VENTE,2018-06,38113.0
BRETAGNE,BIEN ICI,VENTE,2018-04,22227.0
BRETAGNE,BIEN ICI,VENTE,2018-05,21400.0
BRETAGNE,BIEN ICI,VENTE,2018-06,20858.0
BRETAGNE,A VENDRE A LOUER,VENTE,2018-04,43240.0
BRETAGNE,A VENDRE A LOUER,VENTE,2018-05,42703.0
BRETAGNE,A VENDRE A LOUER,VENTE,2018-06,43890.0
BRETAGNE,BELLES DEMEURES,VENTE,2018-04,902.0
BRETAGNE,BELLES DEMEURES,VENTE,2018-05,908.0
BRETAGNE,BELLES DEMEURES,VENTE,2018-06,895.0
BRETAGNE,PROPRIETES LE FIGARO,VENTE,2018-04,1282.0
BRETAGNE,PROPRIETES LE FIGARO,VENTE,2018-05,1274.0
BRETAGNE,PROPRIETES LE FIGARO,VENTE,2018-06,1288.0
BRETAGNE,LUX RESIDENCE,VENTE,2018-04,408.0
BRETAGNE,LUX RESIDENCE,VENTE,2018-05,385.0
BRETAGNE,LUX RESIDENCE,VENTE,2018-06,375.0
CENTRE VAL DE LOIRE,LE FIGARO IMMO,VENTE,2018-04,32957.0
CENTRE VAL DE LOIRE,LE FIGARO IMMO,VENTE,2018-05,29459.0
CENTRE VAL DE LOIRE,LE FIGARO IMMO,VENTE,2018-06,29742.0
CENTRE VAL DE LOIRE,LE BON COIN,VENTE,2018-04,45983.0
CENTRE VAL DE LOIRE,LE BON COIN,VENTE,2018-05,45817.0
CENTRE VAL DE LOIRE,LE BON COIN,VENTE,2018-06,46523.0
CENTRE VAL DE LOIRE,LOGIC IMMO,VENTE,2018-04,29139.0
CENTRE VAL DE LOIRE,LOGIC IMMO,VENTE,2018-05,28806.0
CENTRE VAL DE LOIRE,LOGIC IMMO,VENTE,2018-06,29039.0
CENTRE VAL DE LOIRE,PARU VENDU,VENTE,2018-04,21189.0
CENTRE VAL DE LOIRE,PARU VENDU,VENTE,2018-05,21764.0
CENTRE VAL DE LOIRE,PARU VENDU,VENTE,2018-06,22269.0
CENTRE VAL DE LOIRE,SE LOGER,VENTE,2018-04,43723.0
CENTRE VAL DE LOIRE,SE LOGER,VENTE,2018-05,43034.0
CENTRE VAL DE LOIRE,SE LOGER,VENTE,2018-06,43473.0
CENTRE VAL DE LOIRE,BIEN ICI,VENTE,2018-04,19271.0
CENTRE VAL DE LOIRE,BIEN ICI,VENTE,2018-05,19185.0
CENTRE VAL DE LOIRE,BIEN ICI,VENTE,2018-06,19171.0
CENTRE VAL DE LOIRE,A VENDRE A LOUER,VENTE,2018-04,39702.0
CENTRE VAL DE LOIRE,A VENDRE A LOUER,VENTE,2018-05,39949.0
CENTRE VAL DE LOIRE,A VENDRE A LOUER,VENTE,2018-06,40891.0
CENTRE VAL DE LOIRE,BELLES DEMEURES,VENTE,2018-04,656.0
CENTRE VAL DE LOIRE,BELLES DEMEURES,VENTE,2018-05,649.0
CENTRE VAL DE LOIRE,BELLES DEMEURES,VENTE,2018-06,673.0
CENTRE VAL DE LOIRE,PROPRIETES LE FIGARO,VENTE,2018-04,1249.0
CENTRE VAL DE LOIRE,PROPRIETES LE FIGARO,VENTE,2018-05,1257.0
CENTRE VAL DE LOIRE,PROPRIETES LE FIGARO,VENTE,2018-06,1267.0
CENTRE VAL DE LOIRE,LUX RESIDENCE,VENTE,2018-04,412.0
CENTRE VAL DE LOIRE,LUX RESIDENCE,VENTE,2018-05,434.0
CENTRE VAL DE LOIRE,LUX RESIDENCE,VENTE,2018-06,449.0
CORSE,LE FIGARO IMMO,VENTE,2018-04,2202.0
CORSE,LE FIGARO IMMO,VENTE,2018-05,2267.0
CORSE,LE FIGARO IMMO,VENTE,2018-06,2325.0
CORSE,LE BON COIN,VENTE,2018-04,3186.0
CORSE,LE BON COIN,VENTE,2018-05,3225.0
CORSE,LE BON COIN,VENTE,2018-06,3324.0
CORSE,LOGIC IMMO,VENTE,2018-04,1707.0
CORSE,LOGIC IMMO,VENTE,2018-05,1749.0
CORSE,LOGIC IMMO,VENTE,2018-06,1802.0
CORSE,PARU VENDU,VENTE,2018-04,1388.0
CORSE,PARU VENDU,VENTE,2018-05,1430.0
CORSE,PARU VENDU,VENTE,2018-06,1452.0
CORSE,SE LOGER,VENTE,2018-04,3544.0
CORSE,SE LOGER,VENTE,2018-05,3675.0
CORSE,SE LOGER,VENTE,2018-06,3731.0
CORSE,BIEN ICI,VENTE,2018-04,2082.0
CORSE,BIEN ICI,VENTE,2018-05,2082.0
CORSE,BIEN ICI,VENTE,2018-06,2102.0
CORSE,A VENDRE A LOUER,VENTE,2018-04,2761.0
CORSE,A VENDRE A LOUER,VENTE,2018-05,2847.0
CORSE,A VENDRE A LOUER,VENTE,2018-06,3010.0
CORSE,BELLES DEMEURES,VENTE,2018-04,195.0
CORSE,BELLES DEMEURES,VENTE,2018-05,205.0
CORSE,BELLES DEMEURES,VENTE,2018-06,189.0
CORSE,PROPRIETES LE FIGARO,VENTE,2018-04,279.0
CORSE,PROPRIETES LE FIGARO,VENTE,2018-05,299.0
CORSE,PROPRIETES LE FIGARO,VENTE,2018-06,299.0
CORSE,LUX RESIDENCE,VENTE,2018-04,168.0
CORSE,LUX RESIDENCE,VENTE,2018-05,180.0
CORSE,LUX RESIDENCE,VENTE,2018-06,183.0
GRAND EST,LE FIGARO IMMO,VENTE,2018-04,15454.0
GRAND EST,LE FIGARO IMMO,VENTE,2018-05,14696.0
GRAND EST,LE FIGARO IMMO,VENTE,2018-06,15012.0
GRAND EST,LE BON COIN,VENTE,2018-04,54267.0
GRAND EST,LE BON COIN,VENTE,2018-05,54194.0
GRAND EST,LE BON COIN,VENTE,2018-06,55285.0
GRAND EST,LOGIC IMMO,VENTE,2018-04,32077.0
GRAND EST,LOGIC IMMO,VENTE,2018-05,31804.0
GRAND EST,LOGIC IMMO,VENTE,2018-06,32059.0
GRAND EST,PARU VENDU,VENTE,2018-04,18749.0
GRAND EST,PARU VENDU,VENTE,2018-05,19036.0
GRAND EST,PARU VENDU,VENTE,2018-06,19320.0
GRAND EST,SE LOGER,VENTE,2018-04,31042.0
GRAND EST,SE LOGER,VENTE,2018-05,30742.0
GRAND EST,SE LOGER,VENTE,2018-06,31322.0
GRAND EST,BIEN ICI,VENTE,2018-04,15285.0
GRAND EST,BIEN ICI,VENTE,2018-05,15205.0
GRAND EST,BIEN ICI,VENTE,2018-06,15177.0
GRAND EST,A VENDRE A LOUER,VENTE,2018-04,35482.0
GRAND EST,A VENDRE A LOUER,VENTE,2018-05,36068.0
GRAND EST,A VENDRE A LOUER,VENTE,2018-06,37170.0
GRAND EST,BELLES DEMEURES,VENTE,2018-04,190.0
GRAND EST,BELLES DEMEURES,VENTE,2018-05,185.0
GRAND EST,BELLES DEMEURES,VENTE,2018-06,178.0
GRAND EST,PROPRIETES LE FIGARO,VENTE,2018-04,254.0
GRAND EST,PROPRIETES LE FIGARO,VENTE,2018-05,242.0
GRAND EST,PROPRIETES LE FIGARO,VENTE,2018-06,260.0
GRAND EST,LUX RESIDENCE,VENTE,2018-04,186.0
GRAND EST,LUX RESIDENCE,VENTE,2018-05,194.0
GRAND EST,LUX RESIDENCE,VENTE,2018-06,190.0
HAUTS DE FRANCE,LE FIGARO IMMO,VENTE,2018-04,23651.0
HAUTS DE FRANCE,LE FIGARO IMMO,VENTE,2018-05,22164.0
HAUTS DE FRANCE,LE FIGARO IMMO,VENTE,2018-06,22542.0
HAUTS DE FRANCE,LE BON COIN,VENTE,2018-04,85444.0
HAUTS DE FRANCE,LE BON COIN,VENTE,2018-05,84261.0
HAUTS DE FRANCE,LE BON COIN,VENTE,2018-06,85043.0
HAUTS DE FRANCE,LOGIC IMMO,VENTE,2018-04,51104.0
HAUTS DE FRANCE,LOGIC IMMO,VENTE,2018-05,48850.0
HAUTS DE FRANCE,LOGIC IMMO,VENTE,2018-06,48722.0
HAUTS DE FRANCE,PARU VENDU,VENTE,2018-04,23140.0
HAUTS DE FRANCE,PARU VENDU,VENTE,2018-05,22738.0
HAUTS DE FRANCE,PARU VENDU,VENTE,2018-06,22718.0
HAUTS DE FRANCE,SE LOGER,VENTE,2018-04,54025.0
HAUTS DE FRANCE,SE LOGER,VENTE,2018-05,52176.0
HAUTS DE FRANCE,SE LOGER,VENTE,2018-06,51977.0
HAUTS DE FRANCE,BIEN ICI,VENTE,2018-04,24028.0
HAUTS DE FRANCE,BIEN ICI,VENTE,2018-05,23490.0
HAUTS DE FRANCE,BIEN ICI,VENTE,2018-06,23238.0
HAUTS DE FRANCE,A VENDRE A LOUER,VENTE,2018-04,61773.0
HAUTS DE FRANCE,A VENDRE A LOUER,VENTE,2018-05,61810.0
HAUTS DE FRANCE,A VENDRE A LOUER,VENTE,2018-06,63608.0
HAUTS DE FRANCE,BELLES DEMEURES,VENTE,2018-04,715.0
HAUTS DE FRANCE,BELLES DEMEURES,VENTE,2018-05,692.0
HAUTS DE FRANCE,BELLES DEMEURES,VENTE,2018-06,684.0
HAUTS DE FRANCE,PROPRIETES LE FIGARO,VENTE,2018-04,1320.0
HAUTS DE FRANCE,PROPRIETES LE FIGARO,VENTE,2018-05,1329.0
HAUTS DE FRANCE,PROPRIETES LE FIGARO,VENTE,2018-06,1341.0
HAUTS DE FRANCE,LUX RESIDENCE,VENTE,2018-04,447.0
HAUTS DE FRANCE,LUX RESIDENCE,VENTE,2018-05,441.0
HAUTS DE FRANCE,LUX RESIDENCE,VENTE,2018-06,451.0
NORMANDIE,LE FIGARO IMMO,VENTE,2018-04,21050.0
NORMANDIE,LE FIGARO IMMO,VENTE,2018-05,18749.0
NORMANDIE,LE FIGARO IMMO,VENTE,2018-06,19041.0
NORMANDIE,LE BON COIN,VENTE,2018-04,62996.0
NORMANDIE,LE BON COIN,VENTE,2018-05,61286.0
NORMANDIE,LE BON COIN,VENTE,2018-06,61155.0
NORMANDIE,LOGIC IMMO,VENTE,2018-04,49577.0
NORMANDIE,LOGIC IMMO,VENTE,2018-05,47743.0
NORMANDIE,LOGIC IMMO,VENTE,2018-06,47490.0
NORMANDIE,PARU VENDU,VENTE,2018-04,20055.0
NORMANDIE,PARU VENDU,VENTE,2018-05,19120.0
NORMANDIE,PARU VENDU,VENTE,2018-06,18863.0
NORMANDIE,SE LOGER,VENTE,2018-04,45150.0
NORMANDIE,SE LOGER,VENTE,2018-05,43754.0
NORMANDIE,SE LOGER,VENTE,2018-06,43529.0
NORMANDIE,BIEN ICI,VENTE,2018-04,26130.0
NORMANDIE,BIEN ICI,VENTE,2018-05,25546.0
NORMANDIE,BIEN ICI,VENTE,2018-06,25259.0
NORMANDIE,A VENDRE A LOUER,VENTE,2018-04,46779.0
NORMANDIE,A VENDRE A LOUER,VENTE,2018-05,46813.0
NORMANDIE,A VENDRE A LOUER,VENTE,2018-06,47684.0
NORMANDIE,BELLES DEMEURES,VENTE,2018-04,828.0
