annee,commune_code_insee,id_salle,nom,adresse,code_postal,commune,notation,libelle_notation,direction_artistique,personnel_administratif_technique,scene,loges,regie,site_internet,proprietaire,exploitant,jauge_debout,jauge_assis,jauge_PV,lat,long,accessibilite,hauteur_utile
2013,56035,C_56035100,Salle polyvalente,16 rue Saint Nicolas,56140,Caro,2,salle peu équipée,Non,Non,Podium,,,www.mairie-caro56.fr/,Commune,Commune,314,300,314,"47,86","-2,32193",Salle accessible aux personnes à mobilité réduite,"3,00m"
2013,56036,C_56036100,Salle des fêtes de Kergoff,Kergoff,56850,Caudan,5,salle de spectacle multifonctions,Non,Oui,Oui,"3 loges avec douche, WC et 2 lavabos",,www.caudan.fr,Commune,Commune,1175,900,1270 pour l'ensemble du bâtiment,"47,81","-3,35775",Salle accessible aux personnes à mobilité réduite,"3,30m"
2013,56038,C_56038100,Salle communale,23 rue Yves Rocher,56200,La Gacilly,1,salle non équipée,Non,Non,Oui,,,www.lachapellegaceline.fr,Commune,Commune,nc,nc,89,"47,79","-2,10748",Salle accessible aux personnes à mobilité réduite,"3,00m"
2013,56038,C_56038101,Salle de réunion,34 rue Yves Rocher,56200,La Gacilly,2,salle peu équipée,Non,Non,Non,,1 régie vitrée en fond de salle,www.lachapellegaceline.fr,Commune,Commune,89,60,89 pour l'ensemble du bâtiment,"47,79","-2,10748",Salle accessible aux personnes à mobilité réduite,"3,00m"
2013,56039,C_56039100,Salle polyvalente,Rue du Château d'eau,56500,La Chapelle-Neuve,2,salle peu équipée,Non,Non,Oui,1 local à jardin peut servir de loge,,www.lachapelleneuve56.fr,Commune,Commune,nc,nc,nc,"47,86","-2,93987",Salle accessible aux personnes à mobilité réduite,"2,30m"
2013,56041,C_56041100,Salle des fêtes,Rue de la Libération,56480,Cléguérec,4,salle de spectacle multifonctions,Non,Non,Oui,1 petite loge en fond de scène avec WC et lavabo,,www.cleguerec.fr,Commune,Commune,620,400,nc,"48,12","-3,06778",Salle accessible aux personnes à mobilité réduite,"3,30m"
2013,56043,C_56043100,Espace de service et d'animation,Rue Renan Le Cunff,56430,Concoret,2,salle peu équipée,Non,Non,Oui,"1 local peut servir de loge, accès à la scène par jardin",,,Commune,Commune,300,200,484 pour l'ensemble du bâtiment,"48,06","-2,205445",Salle accessible aux personnes à mobilité réduite,"2,65m"
2013,56044,C_56044100,Salle socioculturelle,Les pâtures du blin,56200,Cournon,5,salle de spectacle multifonctions,Non,Non,Oui,1 loge,1 régie accessible avec une échelle,,Commune,Commune,nc,nc,340,"47,75","-2,09922",Salle accessible aux personnes à mobilité réduite,"3,90m"
2013,56046,C_56046100,Espace Les Chênes,Rue du stade,56950,Crac'h,6,salle de spectacle,Non,Non,Oui,"2 loges avec WC , accès à la scène par côté cour",1 régie vitrée,www.crach.fr,Commune,Commune,nc,nc,820 pour l'ensemble du bâtiment,"47,62","-3,00564",Salle et scène accessibles au personnes à mobilité réduite,"3,85m"
2013,56047,C_56047100,Salle des fêtes,Rue Saint-Yves,56580,Crédin,3,salle peu équipée,Non,Non,Oui,,,www.credin.fr,Commune,Commune,393,360,393,"48,03","-2,76538",Salle accessible aux personnes à mobilité réduite,"3,50m"
2013,56047,C_56047101,Salle polyvalente,Rue Saint-Yves,56580,Crédin,1,salle non équipée,Non,Non,Non,,1 sonorisation intégrée avec 8 enceintes,www.credin.fr,Commune,Commune,nc,nc,nc,"48,03","-2,76538",Salle accessible aux personnes à mobilité réduite,"3,40m"
2013,56048,C_56048100,Salle polyvalente,Rue de la Résistance,56540,Le Croisty,2,salle peu équipée,Non,Non,Oui,,,www.le.croisty.free.fr/,Commune,Commune,250,180,nc,"48,07","-3,36188",Salle accessible aux personnes à mobilité réduite,"2,55m"
