Code,communes 2016,part des résidences principales - 2008,nb rés. principales construites avant 2004 - 2008,nb rés. principales construites avant 1949 - 2008,nb rés. princ. construites de 1949 à 1974 - 2008,nb rés. princ. construites de 1975 à 1989 - 2008,nb rés. princ. construites de 1990 à 2003 - 2008,part rés. princ. construites avant 2004 - 2008,part rés. princ. construites avant 1949 - 2008,part rés. princ. construites de 1949 à 1974 - 2008,part rés. princ. construites de 1975 à 1989 - 2008,part rés. princ. construites de 1990 à 2003 - 2008
4193,SAINT-PAUL-SUR-UBAYE,"31,2",100,67,13,15,5,98,"65,7","12,7","14,7","4,9"
4194,SAINT-PIERRE,"53,1",46,20,7,10,9,"90,2","39,2","13,7","19,6","17,6"
4195,SAINT-PONS,"57,7","288,00801","30,368192","63,67524","105,798861","88,165717","93,6","9,9","20,7","34,4","28,7"
4197,SAINTE-TULLE,"87,4",1261,286,448,292,235,"97,4","22,1","34,6","22,6","18,2"
4198,SAINT-VINCENT-LES-FORTS,41,"111,325301","54,072289","12,722892","23,325301","21,204819","98,1","47,7","11,2","20,6","18,7"
4199,SAINT-VINCENT-SUR-JABRON,55,"73,651523","47,917858","7,098942","10,648413","7,98631","92,2",60,"8,9","13,3",10
4200,SALIGNAC,"80,4",180,51,30,47,52,"86,1","24,4","14,4","22,5","24,9"
4201,SAUMANE,43,50,29,3,10,8,"96,2","55,8","5,8","19,2","15,4"
4202,SAUSSES,"42,9","53,538462","28,615385","8,307692",12,"4,615385","93,5",50,"14,5",21,"8,1"
4203,SELONNET,"26,4",172,31,33,72,36,93,"16,8","17,8","38,9","19,5"
4204,SENEZ,"50,6","85,602273","38,045455","12,681818","15,852273","19,022727",100,"44,4","14,8","18,5","22,2"
4205,SEYNE,"37,7","593,217126","187,436672","169,490608","156,529561","79,760286","95,7","30,2","27,3","25,2","12,9"
4206,SIGONCE,"60,5","171,832117","95,138686","23,29927","35,919708","17,474453","94,7","52,4","12,8","19,8","9,6"
4207,SIGOYER,57,"28,043478","15,891304","3,73913","3,73913","4,673913","88,2",50,"11,8","11,8","14,7"
4208,SIMIANE-LA-ROTONDE,"53,3","252,298357","131,590908","27,703349","62,332535","30,671565",97,"50,6","10,6",24,"11,8"
4209,SISTERON,"84,1",3362,870,1267,589,636,"97,7","25,3","36,8","17,1","18,5"
4210,SOLEILHAS,"20,7",46,13,7,16,10,92,26,14,32,20
4211,SOURRIBES,"74,4","77,445087","30,17341","18,104046","13,075145","16,092486","93,9","36,6",22,"15,9","19,5"
4214,TARTONNE,50,59,31,4,17,7,"93,7","49,2","6,3",27,"11,1"
4216,THEZE,"60,4","80,173267","22,326733","10,148515","19,282178","28,415842",94,"26,2","11,9","22,6","33,3"
4217,THOARD,"64,9","274,282624","119,937205","58,002419","48,1715","48,1715","96,9","42,4","20,5",17,17
4218,THORAME-BASSE,"23,9","98,98","52,52","17,17","11,11","18,18",100,"53,1","17,3","11,2","18,4"
4219,THORAME-HAUTE,"25,3",106,64,12,20,10,"90,6","54,7","10,3","17,1","8,5"
4220,LES THUILES,"45,8","144,565217","41,304348","41,304348","36,141304","25,815217","92,7","26,5","26,5","23,2","16,6"
4222,TURRIERS,"62,6","138,786335","46,615258","32,842568","40,258632","19,069878","93,6","31,4","22,1","27,1","12,9"
4224,UBRAYE,39,"53,509615","29,278846","6,057692","10,096154","8,076923",93,"50,9","10,5","17,5",14
4226,UVERNET-FOURS,"7,1","264,193093","44,040376","79,887194","82,910614","57,354909","98,9","16,5","29,9",31,"21,5"
4227,VACHERES,"48,8","129,393939","50,319865","25,673401","36,969697","16,430976","91,3","35,5","18,1","26,1","11,6"
4228,VALAVOIRE,"38,6",15,6,2,4,3,"88,2","35,3","11,8","23,5","17,6"
4229,VALBELLE,"62,4","99,875","49,9375","13,708333","17,625","18,604167","93,6","46,8","12,8","16,5","17,4"
4230,VALENSOLE,"73,4","1170,852884","470,82855","221,200583","282,49713","196,326622","90,5","36,4","17,1","21,8","15,2"
4231,VALERNES,"65,5",89,34,19,19,17,"93,7","35,8",20,20,"17,9"
4233,VAUMEILH,63,"103,910112","58,067416","4,074906","10,187266","31,580524","92,7","51,8","3,6","9,1","28,2"
4234,VENTEROL,"62,1","90,128514","47,823293","11,955823","11,955823","18,393574","89,1","47,3","11,8","11,8","18,2"
4235,VERDACHES,"24,1","25,684211","9,631579","5,350877","7,491228","3,210526",96,36,20,28,12
4236,VERGONS,"33,3","53,869418","20,328082","12,196849","12,196849","9,147637",100,"37,7","22,6","22,6",17
4237,LE VERNET,19,"54,292683","22,536585","10,243902","10,243902","11,268293","98,1","40,7","18,5","18,5","20,4"
