concept,motcle,champlexical
temps d’échange,temps d’échange,
tennis de table (cours/atelier),tennis de table,
théâtre amateur (cours/atelier),théâtre amateur,
théâtre d’improvisation (cours/atelier),théâtre d’improvisation,
think-tank,think-tank,
tir (cours/atelier),tir,
tir au pistolet (cours/atelier),tir au pistolet,
tournoi (pratique collective),tournoi,
triathlon (cours/atelier),triathlon,
validation des acquis (cours/atelier),validation des acquis,
vegane (cours/atelier),vegane,
veille déontologique et juridique (service),veille déontologique et juridique,
vélo (pratique collective),vélo,
vie au quotidien (cours/atelier),vie au quotidien,
violences familiales (service),violences familiales,
voile (cours/atelier),voile,
water-polo (pratique collective),water-polo,
accueil de jour,accueil de jour,
action caritative,action caritative,
activité physique (pratique collective),activité physique,
addictologie (service),addictologie,"addiction, dépendance, aide"
agrès (cours/atelier),agrès,"sport, gymnastique"
aide à l’autonomie (service),aide à l’autonomie,
aide à la préparation des examens (service),aide à la préparation des examens,
aménagement de logement ou de véhicule (service),aménagement de logement ou de véhicule,
animation (cours/atelier),animation,
animation (formation),animation,
arabe (cours/atelier),arabe,cours de langue étrangère
archéologie (cours/atelier),archéologie,"art et culture, fouille, nature"
art du bonsaï (cours/atelier),art du bonsaï,"nature, jardinage"
art martial chinois (cours/atelier),art martial chinois,"sport, bien-être"
art martial interne (cours/atelier),art martial interne,"sport, bien-être"
artisanat (cours/atelier),artisanat,"bijoux, broderie, céramique, ébénisterie, bois, ferronnerie, sculpture"
assistance au sans-abris,assistance au sans-abris,
atelier créatif (cours/atelier),atelier créatif,"arts plastiques, arts décoratifs"
bachata (danse) (cours/atelier),bachata (danse),danse
balade (pratique collective),balade,"nature, bien-être"
balboa (danse) (cours/atelier),balboa (danse),danse
basket (pratique collective),basket,"sport collectif, ballon, basketball, basket-ball"
beauté (cours/atelier),beauté,"bien-être, maquillage, coiffure"
bien-être (cours/atelier),bien-être,
blues (danse) (cours/atelier),blues (danse),danse
BNSSA (formation),BNSSA,secourisme
boxe thaïlandaise (pratique collective),boxe thaïlandaise,sport
BPREA (formation),BPREA,
broderie (cours/atelier),broderie,
cabaret (cours/atelier),cabaret,
changement climatique (cours/atelier),changement climatique,
chanson (cours/atelier),chanson,
charleston (danse) (cours/atelier),charleston (danse),
chocolat (cours/atelier),chocolat,
chœur (pratique collective),chœur,"musique, chant, voix, chorale, choeur"
chorale (pratique collective),chorale,"musique, chant, voix, chorale, choeur"
chorégraphie (cours/atelier),chorégraphie,danse
coaching (service),coaching,
coiffure (service),coiffure,
communication (cours/atelier),communication,
concours international,concours international,
conférences-débats,conférences-débats,
consultation médicale (service),consultation médicale,
conversation,conversation,
culture espagnole (cours/atelier),culture espagnole,
culture musicale (cours/atelier),culture musicale,
cyclotourisme (pratique collective),cyclotourisme,
danse de participation (cours/atelier),danse de participation,
danse orientale (cours/atelier),danse orientale,
déjeuner débat,déjeuner débat,
démocratie (cours/atelier),démocratie,
dîner d’échange,dîner d’échange,
douche (service),douche,
échange d’idées (cours/atelier),échange d’idées,
echecs (pratique collective),echecs,
écologie (cours/atelier),écologie,
éducation religieuse (cours/atelier),éducation religieuse,
encadrement (cours/atelier),encadrement,
entraide (service),entraide,
environnement (cours/atelier),environnement,
équilibre (cours/atelier),équilibre,
équitation (cours/atelier),équitation,
escrime (cours/atelier),escrime,
espéranto (cours/atelier),espéranto,
expression corporelle (cours/atelier),expression corporelle,
famille en difficulté (service),famille en difficulté,
filage de laine (cours/atelier),filage de laine,
formation musicale (cours/atelier),formation musicale,"musique, solfège"
futsal (pratique collective),futsal,"sport collectif, ballon, football, foot"
handball (pratique collective),handball,"sport collectif, ballon"
handisports (pratique collective),handisports,"handicap, sport collectif, sport"
harcèlement scolaire (service),harcèlement scolaire,
histoire (cours/atelier),histoire,
hygiène (cours/atelier),hygiène,
iaïdo (cours/atelier),iaïdo,art martial
interprétation (cours/atelier),interprétation,
jazz (danse) (cours/atelier),jazz (danse),danse
karaté (cours/atelier),karaté,art martial
