annee_mois_type_contrat_value
2015;2;NOMBRE DE MARIAGES;8
2015;2;CONTRAT DE MARIAGE;1
2015;4;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;10
2015;5;MENTIONS DE PACS;121
2015;8;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;5
2015;8;MENTIONS DE PACS;132
2015;8;MENTIONS DE DIVORCE;4
2015;9;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;11
2015;9;MENTIONS DE DIVORCE;8
2015;10;MENTIONS DE PACS;172
2015;10;MENTIONS DE DIVORCE;11
2015;10;CONTRAT DE MARIAGE;6
2015;12;NOMBRE DE MARIAGES;7
2015;12;AUTRES MENTIONS;419
2016;1;CONTRAT DE MARIAGE;3
2016;2;AUTRES MENTIONS;353
2016;2;CONTRAT DE MARIAGE;0
2016;3;MENTIONS DE DIVORCE;14
2016;5;NOMBRE DE MARIAGES;24
2016;8;MENTIONS DE PACS;217
2016;9;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;6
2016;10;MENTIONS DE DIVORCE;14
2016;11;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;9
2016;11;AUTRES MENTIONS;383
2016;12;MENTIONS DE PACS;240
2017;1;AUTRES MENTIONS;373
2017;2;MENTIONS DE DIVORCE;11
2017;4;AUTRES MENTIONS;434
2017;6;NOMBRE DE MARIAGES;18
2017;8;NOMBRE DE MARIAGES;23
2017;9;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;13
2017;11;MENTIONS DE DIVORCE;10
2018;1;AUTRES MENTIONS;398
2018;2;MENTIONS DE PACS;201
2018;2;NOMBRE DE MARIAGES;7
2018;3;MENTIONS DE DIVORCE;27
2018;4;MENTIONS DE PACS;193
2018;4;NOMBRE DE MARIAGES;18
2018;5;MENTIONS DE PACS;249
2018;5;NOMBRE DE MARIAGES;22
2018;5;AUTRES MENTIONS;481
2018;6;MENTIONS DE PACS;258
2018;7;MENTIONS DE DIVORCE;5
2018;7;AUTRES MENTIONS;566
2018;7;CONTRAT DE MARIAGE;4
2018;9;AUTRES MENTIONS;520
2018;10;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;4
2018;11;MENTIONS DE PACS;260
2018;11;AUTRES MENTIONS;436
2018;12;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;5
2018;12;CONTRAT DE MARIAGE;1
2019;2;MENTIONS DE DIVORCE;9
2019;2;NOMBRE DE MARIAGES;7
2019;3;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;11
2019;3;MENTIONS DE PACS;143
2019;3;MENTIONS DE DIVORCE;15
2019;3;AUTRES MENTIONS;366
2019;4;MENTIONS DE PACS;137
2019;6;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;11
2019;6;NOMBRE DE MARIAGES;29
2019;8;NOMBRE DE MARIAGES;40
2019;9;NOMBRE DE MARIAGES;20
2014;1;NOMBRE DE MARIAGES;5
2014;2;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;11
2014;4;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;13
2014;4;AUTRES MENTIONS;425
2014;4;CONTRAT DE MARIAGE;4
2014;5;MENTIONS DE DIVORCE;16
2014;5;NOMBRE DE MARIAGES;17
2014;5;CONTRAT DE MARIAGE;2
2014;6;MENTIONS DE PACS;258
2014;7;MENTIONS DE PACS;182
2014;8;NOMBRE DE MARIAGES;51
2014;8;AUTRES MENTIONS;503
2014;8;CONTRAT DE MARIAGE;13
2014;9;MENTIONS DE DIVORCE;5
2014;9;NOMBRE DE MARIAGES;5
2014;10;CONTRAT DE MARIAGE;2
2014;11;MENTIONS DE PACS;185
