Alias du bureau,Code du bureau,Nom de la circonscription,Nom du canton,Nom du lieu de vote,Nom de la commune (UGLE),Nombre d'électeurs,Nom du tour de scrutin,Emargements à 10:00,Emargements à 12:00,Emargements à 14:00,Emargements à 16:00,Emargements à 18:00,Emargements à 19:00,Nombre d'enveloppes et bulletins,Nombre de bulletins blancs,Nombre de bulletins nuls,Nombre de suffrages exprimés,Nombre d'enveloppes,Nombre de bulletins sans enveloppe,Nombre d'inscrits,Nombre d'émargements,Nombre de procurations,Nombre de centaines possibles,Voix pour M. BRANCHE  Romain et Mme. PELLOUX-GERVAIS Isabelle,Voix pour Mme. ROMERA Sophie et M. TROCME Benjamin,Voix pour Mme. DESPLANQUES Axelle et M. TISSOT Grégory,Voix pour Mme. CARRIERE Louve et M. COEUR Alain,Voix pour M. DUPONT-FERRIER Stéphane et Mme. SPINI ALIM Dominique,Voix pour Mme. POSTEL Sylviane et M. VIRETTE Jean-Louis,Voix pour M. CUCAROLLO Jérôme et Mme. KAZAZIAN-BALESTAS Eléonore,Voix pour Mme. PEREZ Kathy et M. PERIER François-Marie,Voix pour M. LAVAL Sylvain et Mme. SEGHIER Sabrina,Voix pour M. BILLOUET Simon et Mme. COUVENT Pauline,Voix pour Mme. HAMEDI Sandra et M. THIRIET Adam,Voix pour Mme. BACHA Néjia et M. EDWIGE Romain,Voix pour Mme. GAUVIN Valérie et M. OROSCO Damien,Voix pour Mme. DUPRE Christel et M. VIRONE Joseph,Voix pour Mme. GERMAIN Amandine et M. TCHETCHE Pierre Didier,Voix pour M. CHAPPET Clément et Mme. MANSOURI Hanane,Voix pour M. BIJU-DUVAL Bertrand et Mme. MOKONDJIMOBE Leila Angela
LUCIE AUBRAC 2ème bureau,52,38-01,Grenoble-3,LUCIE AUBRAC,Grenoble,1315,Grenoble Elections départementales 2021 Tour 1,94.0,94.0,252.0,305.0,383.0,406.0,447,9,2,436,447.0,0.0,1315,447,10.0,5,,,,,,,,,,230.0,140.0,14.0,52.0,,,,
HOCHE 1er bureau,53,38-01,Grenoble-3,HOCHE,Grenoble,1241,Grenoble Elections départementales 2021 Tour 1,106.0,106.0,247.0,285.0,353.0,384.0,415,11,5,399,415.0,0.0,1241,415,16.0,5,,,,,,,,,,181.0,153.0,11.0,54.0,,,,
HOCHE 2ème bureau,54,38-01,Grenoble-3,HOCHE,Grenoble,1217,Grenoble Elections départementales 2021 Tour 1,68.0,68.0,149.0,177.0,222.0,245.0,281,4,1,276,281.0,0.0,1217,281,7.0,3,,,,,,,,,,143.0,88.0,13.0,32.0,,,,
HOCHE 3ème bureau,55,38-01,Grenoble-3,HOCHE,Grenoble,1055,Grenoble Elections départementales 2021 Tour 1,100.0,100.0,218.0,269.0,346.0,362.0,394,14,5,375,394.0,0.0,1055,394,15.0,4,,,,,,,,,,184.0,116.0,13.0,62.0,,,,
CLEMENCEAU 1er bureau,56,38-01,Grenoble-3,CLEMENCEAU,Grenoble,692,Grenoble Elections départementales 2021 Tour 1,56.0,56.0,74.0,92.0,112.0,130.0,139,5,2,132,139.0,0.0,692,139,8.0,2,,,,,,,,,,69.0,38.0,4.0,21.0,,,,
CLEMENCEAU 2ème bureau,57,38-01,Grenoble-3,CLEMENCEAU,Grenoble,1088,Grenoble Elections départementales 2021 Tour 1,114.0,114.0,152.0,187.0,260.0,275.0,289,8,2,279,289.0,0.0,1088,289,11.0,3,,,,,,,,,,159.0,74.0,11.0,35.0,,,,
CLEMENCEAU 3ème bureau,58,38-01,Grenoble-3,CLEMENCEAU,Grenoble,935,Grenoble Elections départementales 2021 Tour 1,114.0,114.0,142.0,202.0,272.0,304.0,318,10,1,307,318.0,0.0,935,318,5.0,4,,,,,,,,,,192.0,59.0,15.0,41.0,,,,
CLEMENCEAU 4ème bureau,59,38-01,Grenoble-3,CLEMENCEAU,Grenoble,946,Grenoble Elections départementales 2021 Tour 1,130.0,130.0,170.0,235.0,305.0,341.0,360,17,7,336,360.0,0.0,946,360,9.0,4,,,,,,,,,,192.0,77.0,20.0,47.0,,,,
MENON 1er bureau HOTEL de VILLE,60,38-01,Grenoble-3,MENON,Grenoble,821,Grenoble Elections départementales 2021 Tour 1,113.0,113.0,150.0,183.0,255.0,307.0,323,8,8,307,323.0,0.0,821,323,13.0,4,,,,,,,,,,172.0,97.0,7.0,31.0,,,,
MENON 2ème bureau,61,38-01,Grenoble-3,MENON,Grenoble,1227,Grenoble Elections départementales 2021 Tour 1,200.0,200.0,262.0,331.0,401.0,456.0,481,23,7,451,481.0,0.0,1227,481,19.0,5,,,,,,,,,,205.0,175.0,14.0,57.0,,,,
ALPHONSE DAUDET 1er bureau,62,38-03,Grenoble-4,ALPHONSE DAUDET,Grenoble,1148,Grenoble Elections départementales 2021 Tour 1,127.0,127.0,150.0,172.0,217.0,224.0,228,6,3,219,228.0,0.0,1148,228,3.0,3,,,,,,,,,,,,,,54.0,90.0,44.0,31.0
