dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,1,2914.0,396.0,7932183.0,3.0,Guyane,N,Activités de services administratifs et de soutien
Fonds de solidarité,1,976.0,155.0,1782844.0,3.0,Guyane,P,Enseignement
Fonds de solidarité,1,947.0,244.0,1752564.0,3.0,Guyane,Q,Santé humaine et action sociale
Fonds de solidarité,1,1076.0,137.0,2737735.0,3.0,Guyane,R,Arts, spectacles et activités récréatives
Fonds de solidarité,1,1841.0,291.0,3432688.0,3.0,Guyane,S,Autres activités de services
Fonds de solidarité,1,7573.0,2213.0,2.378597E7,32.0,Hauts-de-France,A,Agriculture, sylviculture et pêche
Fonds de solidarité,1,6.0,3.0,8323.0,32.0,Hauts-de-France,B,Industries extractives
Fonds de solidarité,1,16875.0,4233.0,4.2019883E7,32.0,Hauts-de-France,C,Industrie manufacturière
Fonds de solidarité,1,89.0,17.0,285496.0,32.0,Hauts-de-France,D,Production et distribution d électricité, de gaz, de vapeur et d air conditionné
Fonds de solidarité,1,780.0,242.0,1106424.0,32.0,Hauts-de-France,E,Production et distribution d eau ; assainissement, gestion des déchets et dépollution
Fonds de solidarité,1,36647.0,13030.0,5.8884039E7,32.0,Hauts-de-France,F,Construction
Fonds de solidarité,1,94152.0,21119.0,2.70880586E8,32.0,Hauts-de-France,G,Commerce
Fonds de solidarité,1,35955.0,5285.0,7.7631299E7,32.0,Hauts-de-France,H,Transports et entreposage
Fonds de solidarité,1,119549.0,13430.0,6.95724885E8,32.0,Hauts-de-France,I,Hébergement et restauration
Fonds de solidarité,1,9196.0,1958.0,2.304451E7,32.0,Hauts-de-France,J,Information et communication
Fonds de solidarité,1,4194.0,964.0,8156773.0,32.0,Hauts-de-France,K,Activités financières et d assurance
Fonds de solidarité,1,11560.0,2740.0,2.4815717E7,32.0,Hauts-de-France,L,Activités immobilières
Fonds de solidarité,1,46504.0,9971.0,1.37780363E8,32.0,Hauts-de-France,M,Activités spécialisées, scientifiques et techniques
Fonds de solidarité,1,20536.0,4252.0,7.2133628E7,32.0,Hauts-de-France,N,Activités de services administratifs et de soutien
Fonds de solidarité,1,14.0,4.0,50571.0,32.0,Hauts-de-France,O,Administration publique
Fonds de solidarité,1,21700.0,4106.0,3.7036921E7,32.0,Hauts-de-France,P,Enseignement
Fonds de solidarité,1,26912.0,11389.0,3.7230171E7,32.0,Hauts-de-France,Q,Santé humaine et action sociale
Fonds de solidarité,1,42984.0,5288.0,1.38265617E8,32.0,Hauts-de-France,R,Arts, spectacles et activités récréatives
Fonds de solidarité,1,61724.0,14049.0,1.12777204E8,32.0,Hauts-de-France,S,Autres activités de services
Fonds de solidarité,1,2266.0,705.0,4711538.0,11.0,Île-de-France,A,Agriculture, sylviculture et pêche
Fonds de solidarité,1,48940.0,11012.0,1.44949551E8,11.0,Île-de-France,C,Industrie manufacturière
Fonds de solidarité,1,872.0,154.0,2191446.0,11.0,Île-de-France,D,Production et distribution d électricité, de gaz, de vapeur et d air conditionné
Fonds de solidarité,1,1603.0,423.0,2899915.0,11.0,Île-de-France,E,Production et distribution d eau ; assainissement, gestion des déchets et dépollution
Fonds de solidarité,1,100882.0,32143.0,1.88321701E8,11.0,Île-de-France,F,Construction
Fonds de solidarité,1,276551.0,57856.0,1.086225239E9,11.0,Île-de-France,G,Commerce
Fonds de solidarité,1,540913.0,60809.0,1.241336313E9,11.0,Île-de-France,H,Transports et entreposage
Fonds de solidarité,1,339455.0,37627.0,2.620877854E9,11.0,Île-de-France,I,Hébergement et restauration
Fonds de solidarité,1,109923.0,20162.0,3.89988553E8,11.0,Île-de-France,J,Information et communication
Fonds de solidarité,1,21255.0,4319.0,6.4550784E7,11.0,Île-de-France,K,Activités financières et d assurance
Fonds de solidarité,1,53499.0,11570.0,1.45477728E8,11.0,Île-de-France,L,Activités immobilières
Fonds de solidarité,1,346805.0,69514.0,9.42692483E8,11.0,Île-de-France,M,Activités spécialisées, scientifiques et techniques
Fonds de solidarité,1,117507.0,17743.0,6.5175516E8,11.0,Île-de-France,N,Activités de services administratifs et de soutien
Fonds de solidarité,1,17.0,6.0,28401.0,11.0,Île-de-France,O,Administration publique
Fonds de solidarité,1,94485.0,16440.0,1.67555039E8,11.0,Île-de-France,P,Enseignement
Fonds de solidarité,1,75246.0,28752.0,1.02543609E8,11.0,Île-de-France,Q,Santé humaine et action sociale
Fonds de solidarité,1,223407.0,29027.0,7.32067665E8,11.0,Île-de-France,R,Arts, spectacles et activités récréatives
