mission,programme,libelle_programme,action,libelle_action,t_categorie,valeur
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,9,Fonctionnement des établissements,T6,631906455
Justice,182,Protection judiciaire de la jeunesse,4,Formation (Ecole nationale de Protection judiciaire de la jeunesse),T6,15000
Sécurité civile,161,Intervention des services opérationnels,1,Participation de l'État à la lutte contre les feux de forêts,T5,2495439
Travail et emploi,103,Accompagnement des mutations économiques et développement de l'emploi,3,Développement de l'emploi,T6,696657055
Recherche et enseignement supérieur,190,"Recherche dans les domaines de l’énergie, du développement et de l'aménagement durables",11,Recherche dans le domaine des risques,T3,218823399
Défense,212,Soutien de la politique de la défense,1,Direction et pilotage,T2,53355662
Défense,212,Soutien de la politique de la défense,4,Politique immobilière,T5,598403044
Économie,220,Statistiques et études économiques,2,Information sur les entreprises et synthèses économiques,T3,3554544
Défense,212,Soutien de la politique de la défense,10,Restructurations,T6,34308749
Économie,305,Stratégie économique et fiscale,2,Développement international de l'économie française,T2,76567733
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,5,Enseignement professionnel sous statut scolaire,T6,0
Justice,182,Protection judiciaire de la jeunesse,4,Formation (Ecole nationale de Protection judiciaire de la jeunesse),T3,8752890
Défense,146,Équipement des forces,10,Protection et sauvegarde,T3,78512706
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,4,Contributions internationales,T2,0
Conseil et contrôle de l'État,165,Conseil d'État et autres juridictions administratives,6,Soutien,T3,100856337
Défense,212,Soutien de la politique de la défense,3,Gestion centrale et organismes extérieurs,T3,362601858
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,6,Soutien,T5,37021623
"Écologie, développement et aménagement durables",181,Prévention des risques,10,Prévention des risques naturels et hydrauliques,T7,35686
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,8,Actions sociales en faveur des élèves,T6,64646906
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,7,Établissements d'appui de la politique éducative,T2,0
"Solidarité, insertion et égalité des chances",137,Égalité entre les hommes et les femmes,5,Soutien du programme égalité entre les hommes et les femmes,T6,78857
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",1,Fonctions de pilotage et de contrôle,T3,23623867
Ville et logement,177,Prévention de l'exclusion et insertion des personnes vulnérables,4,Rapatriés,T3,0
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,6,Soutien,T3,104312660
Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,3,Système d'information et de communication,T3,44735309
Conseil et contrôle de l'État,165,Conseil d'État et autres juridictions administratives,3,Fonction juridictionnelle : Tribunaux administratifs,T3,16042152
Défense,146,Équipement des forces,9,Engagement et combat,T5,2342622924
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",23,"Personnels oeuvrant pour les politiques des programmes ""énergie, climat et après-mines""",T2,58480618
"Médias, livre et industries culturelles",180,Presse,2,Aides à la presse,T3,248768
Défense,212,Soutien de la politique de la défense,3,Gestion centrale et organismes extérieurs,T6,2556254
Économie,134,Développement des entreprises et de l'emploi,3,Actions en faveur des entreprises industrielles,T6,82767486
Sécurité civile,128,Coordination des moyens de secours,1,Préparation et gestion des crises,T5,1622869
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,1,Coordination du travail gouvernemental,T2,45879743
"Écologie, développement et aménagement durables",205,Sécurité et affaires maritimes,2,Gens de mer et enseignement maritime,T6,9389544
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,5,Action internationale,T4,0
Enseignement scolaire,230,Vie de l'élève,5,Accueil et service aux élèves,T2,37657098
"Agriculture, pêche, alimentation, forêt et affaires rurales",154,"Économie et développement durable de l'agriculture, de la pêche et des territoires",13,Appui au renouvellement et à la modernisation des exploitations agricoles,T3,100000
"Agriculture, pêche, alimentation, forêt et affaires rurales",215,Conduite et pilotage des politiques de l'agriculture,1,Moyens de l'administration centrale,T2,164008884
Culture,175,Patrimoines,5,Patrimoine écrit et documentaire,T3,0
Santé,204,"Prévention, sécurité sanitaire et offre de soins",13,Prévention des risques infectieux et des risques liés aux soins,T3,429268
Direction de l'action du Gouvernement,333,Moyens mutualisés des administrations déconcentrées,1,Fonctionnement courant des directions départementales interministérielles,T6,188062
Recherche et enseignement supérieur,187,Recherche dans le domaine de la gestion des milieux et des ressources,7,Grandes infrastructures de recherche,T3,51841000
Politique des territoires,112,Impulsion et coordination de la politique d'aménagement du territoire,2,Développement solidaire et équilibré des territoires,T6,177328119
Sécurité civile,161,Intervention des services opérationnels,4,Neutralisation des engins explosifs,T2,26811449
Défense,178,Préparation et emploi des forces,5,Logistique et soutien interarmées,T4,1775
"Immigration, asile et intégration",104,Intégration et accès à la nationalité française,11,Actions nationales d'accueil des étrangers primo arrivants et de formation linguistique,T3,13896316
"Anciens combattants, mémoire et liens avec la nation",167,Liens entre la nation et son armée,2,Politique de mémoire,T3,2077654
Défense,212,Soutien de la politique de la défense,10,Restructurations,T3,33729639
"Écologie, développement et aménagement durables",113,"Urbanisme, paysages, eau et biodiversité",1,"Urbanisme, aménagement et sites - planification",T6,49587471
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,6,Enseignement post-baccalauréat en lycée,T2,136029981
Enseignement scolaire,230,Vie de l'élève,6,Actions partenariales,T6,158132781
"Écologie, développement et aménagement durables",181,Prévention des risques,9,Contrôle de la sûreté nucléaire et de la radioprotection,T5,-3054494
Engagements financiers de l'État,168,Majoration de rentes,1,Participation de l'État aux majorations de rentes viagères,T6,194722957
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,5,Enseignement professionnel sous statut scolaire,T2,645540877
Recherche et enseignement supérieur,142,Enseignement supérieur et recherche agricoles,2,"Recherche, développement et transfert de technologie",T2,2150168
"Agriculture, pêche, alimentation, forêt et affaires rurales",215,Conduite et pilotage des politiques de l'agriculture,2,Évaluation de l'impact des politiques publiques et information économique,T6,936516
Défense,178,Préparation et emploi des forces,5,Logistique et soutien interarmées,T3,1128924426
Défense,146,Équipement des forces,7,Commandement et maîtrise de l'information,T6,876422
Défense,146,Équipement des forces,7,Commandement et maîtrise de l'information,T3,532504991
"Immigration, asile et intégration",104,Intégration et accès à la nationalité française,14,Naturalisation et accès à la nationalité,T5,0
Recherche et enseignement supérieur,192,Recherche et enseignement supérieur en matière économique et industrielle,2,Soutien et diffusion de l'innovation technologique,T3,48668443
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,1,Coordination de l'action diplomatique,T5,-9229
Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",2,Organisation des élections,T5,-25564
Administration générale et territoriale de l'État,307,Administration territoriale,5,"Animation du réseau, soutien au service des préfectures et gestion des Hauts-Commissariats et représentations de l'Etat à l'Outre-mer",T1,0
Défense,146,Équipement des forces,8,Projection - mobilité - soutien,T3,163890463
Justice,166,Justice judiciaire,3,Cassation,T6,-432210
"Sport, jeunesse et vie associative",219,Sport,3,Prévention par le sport et protection des sportifs,T3,639138
Justice,166,Justice judiciaire,3,Cassation,T3,14664564
Justice,310,Conduite et pilotage de la politique de la justice,4,Gestion de l'administration centrale,T5,138914
Politique des territoires,112,Impulsion et coordination de la politique d'aménagement du territoire,2,Développement solidaire et équilibré des territoires,T3,1161890
Recherche et enseignement supérieur,190,"Recherche dans les domaines de l’énergie, du développement et de l'aménagement durables",12,"Recherche dans le domaine des transports, de la construction et de l'aménagement",T6,21704829
Santé,183,Protection maladie,3,Fonds d'indemnisation des victimes de l'amiante,T6,47508500
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,8,"Recherche universitaire en physique, chimie et sciences pour l'ingénieur",T6,477490
Sécurité,176,Police nationale,6,"Commandement, ressources humaines et logistique",T6,5677348
"Anciens combattants, mémoire et liens avec la nation",158,Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale,1,Indemnisation des orphelins de la déportation et des victimes de spoliations du fait des législations antisémites en vigueur pendant l'Occupation,T2,1567674
Culture,175,Patrimoines,9,Patrimoine archéologique,T7,21000000
Défense,178,Préparation et emploi des forces,2,Préparation des forces terrestres,T6,10083153
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,1,Coordination du travail gouvernemental,T5,43381
Sécurité,152,Gendarmerie nationale,5,Exercice des missions militaires,T3,52381
"Agriculture, pêche, alimentation, forêt et affaires rurales",215,Conduite et pilotage des politiques de l'agriculture,1,Moyens de l'administration centrale,T3,32975259
Défense,212,Soutien de la politique de la défense,4,Politique immobilière,T3,599941839
Économie,220,Statistiques et études économiques,5,Soutien,T3,41724089
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,8,"Recherche universitaire en physique, chimie et sciences pour l'ingénieur",T2,75696165
Régimes sociaux et de retraite,197,Régimes de retraite et de sécurité sociale des marins,1,Pensions de retraite des marins,T6,806811319
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,10,Soutien,T2,32074146
"Écologie, développement et aménagement durables",159,Information géographique et cartographique,3,Pilotage de la politique d'information géographique,T6,56000
"Écologie, développement et aménagement durables",203,Infrastructures et services de transports,15,Stratégie et soutien,T6,2747604
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",7,"Personnels oeuvrant pour les politiques du programme ""Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer """,T6,0
Engagements financiers de l'État,114,Appels en garantie de l'État (crédits évaluatifs),5,Autres garanties,T6,461750209
Enseignement scolaire,141,Enseignement scolaire public du second degré,12,"Pilotage, administration et encadrement pédagogique",T3,6264644
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,7,Gestion financière du secteur public local hors fiscalité,T5,-934682
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,6,Soutien,T7,322
Administration générale et territoriale de l'État,307,Administration territoriale,1,Coordination de la sécurité des personnes et des biens,T3,20179155
Conseil et contrôle de l'État,165,Conseil d'État et autres juridictions administratives,1,Fonction juridictionnelle : Conseil d'État,T3,154357
"Agriculture, pêche, alimentation, forêt et affaires rurales",154,"Économie et développement durable de l'agriculture, de la pêche et des territoires",14,Gestion équilibrée et durable des territoires,T6,825416495
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,3,Prévention et gestion des risques sanitaires liés aux denrées alimentaires,T3,8503000
"Anciens combattants, mémoire et liens avec la nation",167,Liens entre la nation et son armée,1,Journée défense et citoyenneté,T5,44096
Conseil et contrôle de l'État,165,Conseil d'État et autres juridictions administratives,2,Fonction juridictionnelle : Cours administratives d'appel,T3,5011840
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,11,Stratégie et prospective,T3,6450536
Économie,134,Développement des entreprises et de l'emploi,2,"Moyens des politiques du tourisme et actions en faveur des PME, du commerce, de l'artisanat et des services et des professions libérales",T3,15635441
"Médias, livre et industries culturelles",334,Livre et industries culturelles,1,Livre et lecture,T3,212543372
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",2,"Statistiques, études et recherche",T5,-650
"Solidarité, insertion et égalité des chances",157,Handicap et dépendance,3,Ressources d'existence,T3,-2473843
"Agriculture, pêche, alimentation, forêt et affaires rurales",154,"Économie et développement durable de l'agriculture, de la pêche et des territoires",15,Moyens de mise en oeuvre des politiques publiques et gestion des interventions,T3,300076194
Culture,175,Patrimoines,9,Patrimoine archéologique,T6,12466874
Culture,224,Transmission des savoirs et démocratisation de la culture,1,Soutien aux établissements d'enseignement supérieur et insertion professionnelle,T3,145525819
"Écologie, développement et aménagement durables",205,Sécurité et affaires maritimes,4,Action interministérielle de la mer,T3,5364672
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,8,"Logistique, système d'information, immobilier",T6,14770044
Gestion des finances publiques et des ressources humaines,302,Facilitation et sécurisation des échanges,7,Perception des droits et taxes,T5,35470
Justice,166,Justice judiciaire,8,Support à l'accès au droit et à la justice,T3,0
Recherche et enseignement supérieur,172,Recherches scientifiques et technologiques pluridisciplinaires,2,Agence nationale de la recherche,T6,666659553
Ville et logement,147,Politique de la ville et Grand Paris,4,Rénovation urbaine et amélioration du cadre de vie,T3,0
Direction de l'action du Gouvernement,308,Protection des droits et libertés,4,Haute autorité de lutte contre les discriminations et pour l'égalité,T2,4483395
"Écologie, développement et aménagement durables",207,Sécurité et circulation routières,3,Éducation routière,T5,4121092
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,13,Diffusion des savoirs et musées,T2,30692498
Recherche et enseignement supérieur,231,Vie étudiante,2,Aides indirectes,T7,8121000
Remboursements et dégrèvements,200,Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs),13,Remboursements et dégrèvements liés à la gestion des produits de l'Etat,T3,1428893883
Santé,204,"Prévention, sécurité sanitaire et offre de soins",11,Pilotage de la politique de santé publique,T6,6989063
Culture,131,Création,1,"Soutien à la création, à la production et à la diffusion du spectacle vivant",T3,302588849
Culture,175,Patrimoines,2,Architecture,T6,10180511
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,2,Évaluation et contrôle,T2,82696176
Enseignement scolaire,230,Vie de l'élève,3,Accompagnement des élèves handicapés,T3,10903385
Aide publique au développement,110,Aide économique et financière au développement,1,Aide économique et financière multilatérale,T3,-224
Direction de l'action du Gouvernement,308,Protection des droits et libertés,7,Sécurité et protection des libertés,T2,840118
"Écologie, développement et aménagement durables",181,Prévention des risques,1,Prévention des risques technologiques et des pollutions,T3,51644599
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,6,Gestion des pensions,T6,300041
