mission,programme,libelle_programme,action,libelle_action,t_categorie,valeur
Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,3,Système d'information et de communication,T5,11191500
Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,4,Pilotage des ressources humaines,T5,972210
Défense,178,Préparation et emploi des forces,1,Planification  des moyens et conduite des opérations,T3,218263007
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,5,Administration territoriale,T3,148566
"Écologie, développement et aménagement durables",113,"Urbanisme, paysages, eau et biodiversité",2,Appui technique,T3,13447
"Écologie, développement et aménagement durables",170,Météorologie,1,Observation et prévision météorologiques,T3,173851307
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,1,Enseignement pré-élémentaire,T2,390581457
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,6,Politique des ressources humaines,T3,103147372
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,9,Recherche universitaire en physique nucléaire et des hautes énergies,T3,10334215
Sécurité civile,161,Intervention des services opérationnels,1,Participation de l'État à la lutte contre les feux de forêts,T3,50117174
"Solidarité, insertion et égalité des chances",137,Égalité entre les hommes et les femmes,2,Égalité professionnelle,T6,4157964
Direction de l'action du Gouvernement,333,Moyens mutualisés des administrations déconcentrées,2,Loyers et charges immobilières des administrations déconcentrées,T5,1106206
Engagements financiers de l'État,145,Épargne,2,Instruments de financement du logement,T6,2490052
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,8,Actions sociales en faveur des élèves,T2,0
"Anciens combattants, mémoire et liens avec la nation",167,Liens entre la nation et son armée,1,Journée défense et citoyenneté,T6,30800
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",1,"Stratégie, expertise et études en matière de développement durable",T7,12128
"Solidarité, insertion et égalité des chances",106,Actions en faveur des familles vulnérables,3,Protection des enfants et des familles,T3,12643991
"Sport, jeunesse et vie associative",219,Sport,4,Promotion des métiers du sport,T6,11431680
Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,6,Conseil juridique et traitement du contentieux,T3,120111999
Culture,224,Transmission des savoirs et démocratisation de la culture,4,Actions en faveur de l'accès à la culture,T3,3769292
Défense,212,Soutien de la politique de la défense,3,Gestion centrale et organismes extérieurs,T5,954617751
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,2,Coordination de la sécurité et de la défense,T3,124042653
"Écologie, développement et aménagement durables",159,Information géographique et cartographique,1,Production de l'information géographique,T6,0
Enseignement scolaire,143,Enseignement technique agricole,3,Aide sociale aux élèves (enseignement public et privé),T3,1574551
Gestion des finances publiques et des ressources humaines,309,Entretien des bâtiments de l'État,1,Entretien immobilier,T6,10366963
Justice,166,Justice judiciaire,7,Formation,T5,0
Gestion des finances publiques et des ressources humaines,221,Stratégie des finances publiques et modernisation de l'État,8,Régulation des jeux en ligne,T3,4943534
Recherche et enseignement supérieur,193,Recherche spatiale,4,Maîtrise de l'accès à l'espace,T3,138158275
Sécurité,176,Police nationale,3,Sécurité routière,T3,36038589
Relations avec les collectivités territoriales,119,Concours financiers aux communes et groupements de communes,1,Soutien aux projets des communes et groupements de communes,T5,-2077
Économie,134,Développement des entreprises et de l'emploi,2,"Moyens des politiques du tourisme et actions en faveur des PME, du commerce, de l'artisanat et des services et des professions libérales",T2,35685764
Justice,166,Justice judiciaire,1,Traitement et jugement des contentieux civils,T6,615
Pouvoirs publics,521,Sénat,2,Jardin du Luxembourg,T1,0
"Écologie, développement et aménagement durables",207,Sécurité et circulation routières,3,Éducation routière,T6,5440586
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",9,"Personnels oeuvrant pour les politiques du programme ""Sécurité et circulation routières""",T3,120
Enseignement scolaire,140,Enseignement scolaire public du premier degré,3,Besoins éducatifs particuliers,T2,1406967771
Pouvoirs publics,531,Conseil constitutionnel,1,Conseil constitutionnel,T1,11070000
Culture,175,Patrimoines,2,Architecture,T2,0
Conseil et contrôle de l'État,165,Conseil d'État et autres juridictions administratives,6,Soutien,T5,10018486
"Sport, jeunesse et vie associative",163,Jeunesse et vie associative,3,Promotion des actions en faveur de l’éducation populaire et des métiers de l'animation,T6,0
Ville et logement,135,Développement et amélioration de l'offre de logement,5,Soutien,T6,4559363
Recherche et enseignement supérieur,193,Recherche spatiale,1,Développement de la technologie spatiale au service de la science,T6,101588550
Régimes sociaux et de retraite,195,"Régimes de retraite des mines, de la SEITA et divers",1,Versements au fonds spécial de retraite de la caisse autonome nationale de sécurité sociale dans les mines,T6,1223014000
Culture,175,Patrimoines,2,Architecture,T3,21248611
"Écologie, développement et aménagement durables",205,Sécurité et affaires maritimes,1,Sécurité et sûreté maritimes,T6,3998451
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",6,Action européenne et internationale,T6,8574241
Économie,223,Tourisme,3,Politiques favorisant l'accès aux vacances,T6,1570066
Enseignement scolaire,230,Vie de l'élève,1,Vie scolaire et éducation à la responsabilité,T2,837681494
Gestion des finances publiques et des ressources humaines,218,Conduite et pilotage des politiques économique et financière,2,"Expertise, audit, évaluation et contrôle",T2,62152525
Recherche et enseignement supérieur,172,Recherches scientifiques et technologiques pluridisciplinaires,5,"Recherches scientifiques et technologiques en sciences de la vie, biotechnologies et santé",T3,1079627974
"Solidarité, insertion et égalité des chances",137,Égalité entre les hommes et les femmes,1,Accès des femmes aux responsabilités et à la prise de décision,T3,43469
Politique des territoires,112,Impulsion et coordination de la politique d'aménagement du territoire,1,Attractivité économique et compétitivité des territoires,T6,110949501
Justice,166,Justice judiciaire,2,Conduite de la politique pénale et jugement des affaires pénales,T7,0
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,10,Soutien,T5,3803215
"Écologie, développement et aménagement durables",203,Infrastructures et services de transports,14,"Soutien, régulation et contrôle dans les domaines des transports fluviaux, maritimes et aériens",T5,0
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,4,Enseignement général et technologique en lycée,T6,0
Gestion des finances publiques et des ressources humaines,218,Conduite et pilotage des politiques économique et financière,5,Prestations d'appui et support,T3,294681409
Pouvoirs publics,541,La chaîne parlementaire,1,La chaîne parlementaire - Assemblée nationale,T3,0
Relations avec les collectivités territoriales,120,Concours financiers aux départements,1,Aides à l'équipement des départements,T6,205917628
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,6,Soutien,T2,104374448
Défense,144,Environnement et prospective de la politique de défense,3,Recherche et exploitation du renseignement intéressant la sécurité de la France,T3,141675423
Direction de l'action du Gouvernement,308,Protection des droits et libertés,3,Conseil supérieur de l'audiovisuel,T5,155080
Travail et emploi,155,"Conception, gestion et évaluation des politiques de l'emploi et du travail",7,Fonds social européen - Assistance technique,T6,228891
Justice,310,Conduite et pilotage de la politique de la justice,9,Action informatique ministérielle,T5,9312211
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,1,Fiscalité des grandes entreprises,T3,17371156
Gestion des finances publiques et des ressources humaines,218,Conduite et pilotage des politiques économique et financière,5,Prestations d'appui et support,T5,3606367
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,5,Coopération de sécurité et de défense,T2,58994276
Action extérieure de l'État,185,Diplomatie culturelle et d'influence,1,Animation du réseau,T3,43770853
Culture,175,Patrimoines,8,Acquisition et enrichissement des collections publiques,T6,3287601
Défense,144,Environnement et prospective de la politique de défense,3,Recherche et exploitation du renseignement intéressant la sécurité de la France,T7,-3451
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,5,Elimination des farines et des coproduits animaux,T3,669
Aide publique au développement,209,Solidarité à l'égard des pays en développement,6,Aide humanitaire et alimentaire,T6,0
Culture,131,Création,2,"Soutien à la création, à la production et à la diffusion des arts plastiques",T6,38293692
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,8,Gestion des fonds déposés,T3,1341625
Justice,101,Accès au droit et à la justice,3,Aide aux victimes,T6,9880138
"Médias, livre et industries culturelles",334,Livre et industries culturelles,2,Industries culturelles,T6,35742306
Direction de l'action du Gouvernement,308,Protection des droits et libertés,6,Autres autorités indépendantes,T3,643399
Justice,101,Accès au droit et à la justice,1,Aide juridictionnelle,T6,341997268
Recherche et enseignement supérieur,193,Recherche spatiale,1,Développement de la technologie spatiale au service de la science,T3,73353004
Sécurité civile,161,Intervention des services opérationnels,4,Neutralisation des engins explosifs,T5,7327080
Défense,178,Préparation et emploi des forces,6,Surcoûts liés aux opérations extérieures,T5,513381
Enseignement scolaire,230,Vie de l'élève,2,Santé scolaire,T6,3563796
Relations avec les collectivités territoriales,122,Concours spécifiques et administration,2,Administration des relations avec les collectivités territoriales,T6,-9274
Santé,204,"Prévention, sécurité sanitaire et offre de soins",13,Prévention des risques infectieux et des risques liés aux soins,T6,6896874
Justice,166,Justice judiciaire,1,Traitement et jugement des contentieux civils,T2,830022046
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,14,Immobilier,T5,55019266
Santé,183,Protection maladie,4,Indemnisation des victimes du benfluorex,T6,5000000
Sécurité,176,Police nationale,6,"Commandement, ressources humaines et logistique",T3,398029394
"Sport, jeunesse et vie associative",163,Jeunesse et vie associative,2,Actions en faveur de la jeunesse et de l'éducation populaire,T5,-80
Défense,146,Équipement des forces,8,Projection - mobilité - soutien,T6,0
Gestion des finances publiques et des ressources humaines,218,Conduite et pilotage des politiques économique et financière,1,"Etat-major, médiation et politiques transversales",T5,2046392
Gestion des finances publiques et des ressources humaines,218,Conduite et pilotage des politiques économique et financière,5,Prestations d'appui et support,T7,1700
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,3,Prévention et gestion des risques sanitaires liés aux denrées alimentaires,T6,7384602
Enseignement scolaire,140,Enseignement scolaire public du premier degré,1,Enseignement pré-élémentaire,T2,4688438299
Enseignement scolaire,140,Enseignement scolaire public du premier degré,4,Formation des personnels enseignants,T5,0
"Agriculture, pêche, alimentation, forêt et affaires rurales",154,"Économie et développement durable de l'agriculture, de la pêche et des territoires",14,Gestion équilibrée et durable des territoires,T3,-2107545
Enseignement scolaire,230,Vie de l'élève,6,Actions partenariales,T3,877675
Gestion des finances publiques et des ressources humaines,302,Facilitation et sécurisation des échanges,2,Lutte contre la grande fraude douanière,T2,0
Sécurité,152,Gendarmerie nationale,4,"Commandement, ressources humaines et logistique",T3,1172350709
Défense,146,Équipement des forces,11,Préparation et conduite des opérations d'armement,T6,1721260
Défense,178,Préparation et emploi des forces,2,Préparation des forces terrestres,T7,57
Défense,178,Préparation et emploi des forces,6,Surcoûts liés aux opérations extérieures,T3,357923659
Justice,310,Conduite et pilotage de la politique de la justice,1,État major,T6,685440
Justice,310,Conduite et pilotage de la politique de la justice,4,Gestion de l'administration centrale,T6,169174
Justice,166,Justice judiciaire,8,Support à l'accès au droit et à la justice,T6,0
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,2,Action européenne,T3,1112362
Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,4,Pilotage des ressources humaines,T6,13991
Culture,224,Transmission des savoirs et démocratisation de la culture,2,Soutien à l'éducation artistique et culturelle,T6,30314029
"Solidarité, insertion et égalité des chances",137,Égalité entre les hommes et les femmes,3,Égalité en droit et en dignité,T3,1845423
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,10,"Recherche universitaire en sciences de la terre, de l'univers et de l'environnement",T6,5000
Sécurité civile,128,Coordination des moyens de secours,3,Soutien à la politique de sécurité civile,T6,37500
Travail et emploi,103,Accompagnement des mutations économiques et développement de l'emploi,1,Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi,T6,459775088
Recherche et enseignement supérieur,192,Recherche et enseignement supérieur en matière économique et industrielle,3,Soutien de la recherche industrielle stratégique,T3,0
Défense,178,Préparation et emploi des forces,1,Planification  des moyens et conduite des opérations,T6,97674888
Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,1,État-major,T6,26000
Administration générale et territoriale de l'État,307,Administration territoriale,2,"Garantie de l'identité et de la nationalité, délivrance de titres",T3,88190234
Direction de l'action du Gouvernement,308,Protection des droits et libertés,2,Commission nationale de l'informatique et des libertés,T3,11897462
Enseignement scolaire,141,Enseignement scolaire public du second degré,7,Aide à l'insertion professionnelle,T3,122419
Gestion des finances publiques et des ressources humaines,218,Conduite et pilotage des politiques économique et financière,2,"Expertise, audit, évaluation et contrôle",T6,10000
Gestion des finances publiques et des ressources humaines,218,Conduite et pilotage des politiques économique et financière,5,Prestations d'appui et support,T6,16397589
Justice,182,Protection judiciaire de la jeunesse,4,Formation (Ecole nationale de Protection judiciaire de la jeunesse),T5,190293
Relations avec les collectivités territoriales,120,Concours financiers aux départements,1,Aides à l'équipement des départements,T3,182165
Remboursements et dégrèvements,201,Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs),3,Taxe d'habitation,T6,3424976743
Santé,204,"Prévention, sécurité sanitaire et offre de soins",16,"Réponse aux alertes et gestion des urgences, des situations exceptionnelles et des crises sanitaires",T3,17701271
Conseil et contrôle de l'État,165,Conseil d'État et autres juridictions administratives,6,Soutien,T6,50000
Direction de l'action du Gouvernement,333,Moyens mutualisés des administrations déconcentrées,1,Fonctionnement courant des directions départementales interministérielles,T3,90103716
Justice,182,Protection judiciaire de la jeunesse,1,Mise en oeuvre des décisions judiciaires : mineurs délinquants,T2,322469190
Ville et logement,135,Développement et amélioration de l'offre de logement,5,Soutien,T3,11715827
Remboursements et dégrèvements,200,Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs),13,Remboursements et dégrèvements liés à la gestion des produits de l'Etat,T6,4776478100
Ville et logement,147,Politique de la ville et Grand Paris,5,Grand Paris,T6,5750000
Justice,166,Justice judiciaire,5,Enregistrement des décisions judiciaires,T7,0
Enseignement scolaire,140,Enseignement scolaire public du premier degré,2,Enseignement élémentaire,T3,15277945
Enseignement scolaire,141,Enseignement scolaire public du second degré,6,Besoins éducatifs particuliers,T3,221369
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,9,Soutien,T4,29
Défense,146,Équipement des forces,12,Parts étrangères et programmes civils,T5,-2067158
Conseil et contrôle de l'État,165,Conseil d'État et autres juridictions administratives,2,Fonction juridictionnelle : Cours administratives d'appel,T5,166238
Gestion des finances publiques et des ressources humaines,218,Conduite et pilotage des politiques économique et financière,4,Contribution au respect du droit et à la sécurité juridique,T2,14682129
"Immigration, asile et intégration",104,Intégration et accès à la nationalité française,15,Actions d'intégration des réfugiés,T3,636286
Aide publique au développement,110,Aide économique et financière au développement,2,Aide économique et financière bilatérale,T6,251594998
Défense,144,Environnement et prospective de la politique de défense,4,Maîtrise des capacités technologiques et industrielles,T5,7920469
Défense,178,Préparation et emploi des forces,6,Surcoûts liés aux opérations extérieures,T7,3024
"Écologie, développement et aménagement durables",207,Sécurité et circulation routières,2,Démarches interministérielles et communication,T6,3725085
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,4,Enseignement général et technologique en lycée,T2,1435477906
Outre-mer,123,Conditions de vie outre-mer,2,Aménagement  du territoire,T6,196868427
Justice,101,Accès au droit et à la justice,2,Développement de l'accès au droit et du réseau judiciaire de proximité,T6,4812624
Justice,107,Administration pénitentiaire,4,Soutien et formation,T2,188746393
Pouvoirs publics,533,Cour de justice de la République,1,Cour de justice de la République,T3,0
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,7,"Recherche universitaire en mathématiques, sciences et techniques de l'information et de la communication, micro et nanotechnologies",T3,315077626
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,10,"Recherche universitaire en sciences de la terre, de l'univers et de l'environnement",T3,132068127
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",6,"Soutien des politiques sanitaires, sociales, du sport de la jeunesse et de la vie associative",T7,0
Justice,166,Justice judiciaire,4,Conseil supérieur de la magistrature,T4,0
Justice,310,Conduite et pilotage de la politique de la justice,1,État major,T2,8204959
Direction de l'action du Gouvernement,308,Protection des droits et libertés,7,Sécurité et protection des libertés,T3,208703
Économie,305,Stratégie économique et fiscale,3,Elaboration de la législation fiscale,T2,13426311
Enseignement scolaire,141,Enseignement scolaire public du second degré,3,Enseignement professionnel sous statut scolaire,T6,14368573
Économie,134,Développement des entreprises et de l'emploi,3,Actions en faveur des entreprises industrielles,T2,62977886
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,8,"Logistique, système d'information, immobilier",T1,0
"Médias, livre et industries culturelles",180,Presse,3,Livre et lecture,T3,0
"Agriculture, pêche, alimentation, forêt et affaires rurales",215,Conduite et pilotage des politiques de l'agriculture,1,Moyens de l'administration centrale,T6,581612
Défense,144,Environnement et prospective de la politique de défense,1,Analyse stratégique,T2,49117
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,11,Recherche universitaire en sciences de l'homme et de la société,T3,814263185
Aide publique au développement,209,Solidarité à l'égard des pays en développement,5,Coopération multilatérale,T2,0
Conseil et contrôle de l'État,164,Cour des comptes et autres juridictions financières,4,Soutien aux activités des juridictions financières,T2,23556855
Défense,178,Préparation et emploi des forces,2,Préparation des forces terrestres,T3,1474934536
Défense,178,Préparation et emploi des forces,4,Préparation des forces aériennes,T6,2112810
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,3,Communication,T6,10000
Sécurité,152,Gendarmerie nationale,3,Missions de police judiciaire et concours à la justice,T2,1632422043
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,5,Bibliothèques et documentation,T2,73109689
Recherche et enseignement supérieur,187,Recherche dans le domaine de la gestion des milieux et des ressources,8,Moyens généraux et d'appui à la recherche,T3,239883601
"Solidarité, insertion et égalité des chances",106,Actions en faveur des familles vulnérables,2,Soutien en faveur des familles monoparentales,T6,1674572
Culture,175,Patrimoines,9,Patrimoine archéologique,T3,66672870
Justice,107,Administration pénitentiaire,2,Accueil et accompagnement des personnes placées sous main de justice,T2,295527680
Action extérieure de l'État,151,Français à l'étranger et affaires consulaires,1,Offre d'un service public de qualité aux Français à l'étranger,T5,0
Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",3,Commission nationale des comptes de campagne et des financements politiques,T3,9089663
Culture,224,Transmission des savoirs et démocratisation de la culture,6,Action culturelle internationale,T2,0
"Écologie, développement et aménagement durables",113,"Urbanisme, paysages, eau et biodiversité",2,Appui technique,T6,109782
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",3,Politique et programmation de l'immobilier et des moyens de fonctionnement,T2,356258
Économie,134,Développement des entreprises et de l'emploi,14,Régulation et contrôle des marchés de l'énergie (CRE),T2,11865011
Justice,166,Justice judiciaire,6,Soutien,T4,0
"Médias, livre et industries culturelles",180,Presse,1,Abonnement de l'État à l'AFP,T3,115428168
Action extérieure de l'État,332,Présidence française du G20 et du G8,3,Activités diplomatiques préparatoires aux sommets du G20 et du G8,T6,216468
Défense,144,Environnement et prospective de la politique de défense,5,Soutien aux exportations,T3,6473814
Sécurité civile,161,Intervention des services opérationnels,3,Secours à personne par hélicoptère,T3,33164561
"Sport, jeunesse et vie associative",219,Sport,2,Développement du sport de haut niveau,T6,21425682
Travail et emploi,103,Accompagnement des mutations économiques et développement de l'emploi,2,Amélioration de l'insertion dans l'emploi par l'adaptation des qualifications et la reconnaissance des compétences,T6,3363733370
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,2,Coordination de la sécurité et de la défense,T2,30761935
Gestion des finances publiques et des ressources humaines,218,Conduite et pilotage des politiques économique et financière,1,"Etat-major, médiation et politiques transversales",T2,161591802
Défense,178,Préparation et emploi des forces,4,Préparation des forces aériennes,T4,503
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,5,Enseignement professionnel sous statut scolaire,T3,4949
Direction de l'action du Gouvernement,333,Moyens mutualisés des administrations déconcentrées,1,Fonctionnement courant des directions départementales interministérielles,T5,9114842
"Écologie, développement et aménagement durables",113,"Urbanisme, paysages, eau et biodiversité",1,"Urbanisme, aménagement et sites - planification",T7,0
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",18,Personnels relevant de programmes d'autres ministères,T2,35630511
"Immigration, asile et intégration",303,Immigration et asile,4,Soutien,T5,7097857
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,2,Lutte contre les maladies animales et protection des animaux,T6,59681238
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,2,Lutte contre les maladies animales et protection des animaux,T5,11934
"Anciens combattants, mémoire et liens avec la nation",158,Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale,1,Indemnisation des orphelins de la déportation et des victimes de spoliations du fait des législations antisémites en vigueur pendant l'Occupation,T6,52800000
"Anciens combattants, mémoire et liens avec la nation",169,Reconnaissance et réparation en faveur du monde combattant,5,Soutien,T2,12437374
Défense,178,Préparation et emploi des forces,5,Logistique et soutien interarmées,T7,0
Économie,223,Tourisme,4,Soutien du programme tourisme,T3,0
Outre-mer,123,Conditions de vie outre-mer,6,Collectivités territoriales,T5,18753
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,5,Gestion financière de l'État hors fiscalité,T2,597473874
"Solidarité, insertion et égalité des chances",106,Actions en faveur des familles vulnérables,1,Accompagnement des familles dans leur rôle de parents,T6,10603116
Ville et logement,135,Développement et amélioration de l'offre de logement,2,Soutien à l'accession à la propriété,T5,240385
Gestion des finances publiques et des ressources humaines,302,Facilitation et sécurisation des échanges,5,"Fiscalité douanière, énergétique et environnementale",T5,55096
"Médias, livre et industries culturelles",180,Presse,4,Industries culturelles,T5,0
Recherche et enseignement supérieur,190,"Recherche dans les domaines de l’énergie, du développement et de l'aménagement durables",12,"Recherche dans le domaine des transports, de la construction et de l'aménagement",T3,89830559
Relations avec les collectivités territoriales,121,Concours financiers aux régions,2,Dotation générale de décentralisation,T6,899280689
Culture,131,Création,2,"Soutien à la création, à la production et à la diffusion des arts plastiques",T2,0
Culture,131,Création,4,Économie des professions et des industries culturelles,T6,0
Gestion des finances publiques et des ressources humaines,148,Fonction publique,2,Action sociale interministérielle,T6,12841346
Gestion des finances publiques et des ressources humaines,218,Conduite et pilotage des politiques économique et financière,5,Prestations d'appui et support,T2,165273975
Justice,101,Accès au droit et à la justice,3,Aide aux victimes,T3,9000
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,15,Pilotage et support du programme,T6,25019200
Culture,175,Patrimoines,1,Patrimoine monumental,T5,143828796
Ville et logement,135,Développement et amélioration de l'offre de logement,1,Construction locative et amélioration du parc,T6,483779608
Ville et logement,147,Politique de la ville et Grand Paris,2,Revitalisation économique et emploi,T6,151732632
Ville et logement,147,Politique de la ville et Grand Paris,3,"Stratégie, ressources et évaluation",T3,1457796
Justice,182,Protection judiciaire de la jeunesse,1,Mise en oeuvre des décisions judiciaires : mineurs délinquants,T6,772075
Direction de l'action du Gouvernement,308,Protection des droits et libertés,1,Médiateur de la République,T2,8211881
"Écologie, développement et aménagement durables",203,Infrastructures et services de transports,11,"Infrastructures fluviales, portuaires et aéroportuaires",T6,168680267
Économie,223,Tourisme,3,Politiques favorisant l'accès aux vacances,T3,13798
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,6,Politique des ressources humaines,T5,0
Justice,166,Justice judiciaire,4,Conseil supérieur de la magistrature,T3,641699
Régimes sociaux et de retraite,195,"Régimes de retraite des mines, de la SEITA et divers",7,Versements liés à la liquidation de l'ORTF,T6,532000
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",8,Gestion des politiques du sport,T2,206799286
Ville et logement,177,Prévention de l'exclusion et insertion des personnes vulnérables,13,Aide alimentaire,T6,25113960
Sécurité,152,Gendarmerie nationale,4,"Commandement, ressources humaines et logistique",T5,122686527
Administration générale et territoriale de l'État,307,Administration territoriale,3,Contrôle de légalité et conseil aux collectivités territoriales,T6,-1883
"Agriculture, pêche, alimentation, forêt et affaires rurales",215,Conduite et pilotage des politiques de l'agriculture,2,Évaluation de l'impact des politiques publiques et information économique,T3,5711145
Recherche et enseignement supérieur,187,Recherche dans le domaine de la gestion des milieux et des ressources,4,"Recherches scientifiques et technologiques sur l'alimentation, ses produits et leurs effets sur le bien-être",T3,71450185
Remboursements et dégrèvements,201,Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs),2,Taxes foncières,T6,857674465
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,2,Lutte contre les maladies animales et protection des animaux,T3,81133403
"Agriculture, pêche, alimentation, forêt et affaires rurales",215,Conduite et pilotage des politiques de l'agriculture,3,"Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt; directions départementales de l'agriculture et de la forêt; directions départementales de l'équipement et de l'agriculture et directions de l'agriculture et de la forêt",T7,1243
Économie,134,Développement des entreprises et de l'emploi,18,Sécurité du consommateur,T6,132
Enseignement scolaire,141,Enseignement scolaire public du second degré,1,Enseignement en collège,T3,6833594
"Solidarité, insertion et égalité des chances",157,Handicap et dépendance,2,Incitation à l'activité professionnelle,T6,2534778025
Ville et logement,177,Prévention de l'exclusion et insertion des personnes vulnérables,3,Conduite et animation de la politique de lutte contre l'exclusion,T3,0
Recherche et enseignement supérieur,190,"Recherche dans les domaines de l’énergie, du développement et de l'aménagement durables",13,Recherche partenariale dans le développement et l'aménagement durable,T1,0
Ville et logement,135,Développement et amélioration de l'offre de logement,5,Soutien,T5,2320224
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,9,Recherche universitaire en physique nucléaire et des hautes énergies,T2,591971
Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,3,Système d'information et de communication,T6,0
Enseignement scolaire,140,Enseignement scolaire public du premier degré,2,Enseignement élémentaire,T2,9045543720
Enseignement scolaire,141,Enseignement scolaire public du second degré,8,Information et orientation,T3,1197438
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,2,Évaluation et contrôle,T3,5212001
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,3,Fiscalité des particuliers et fiscalité directe locale,T5,-2606055
"Agriculture, pêche, alimentation, forêt et affaires rurales",149,Forêt,1,Développement économique de la filière forêt – bois,T5,0
"Agriculture, pêche, alimentation, forêt et affaires rurales",215,Conduite et pilotage des politiques de l'agriculture,4,Moyens communs,T5,9442995
Économie,134,Développement des entreprises et de l'emploi,15,Mise en oeuvre du droit de la concurrence (Autorité de la concurrence),T5,178663
Sécurité,176,Police nationale,6,"Commandement, ressources humaines et logistique",T2,723695994
Enseignement scolaire,140,Enseignement scolaire public du premier degré,1,Enseignement pré-élémentaire,T6,138695
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",3,Politique et programmation de l'immobilier et des moyens de fonctionnement,T1,0
Sécurité civile,161,Intervention des services opérationnels,5,Pilotage de la politique de sécurité civile,T2,16474723
"Solidarité, insertion et égalité des chances",157,Handicap et dépendance,1,Évaluation et orientation personnalisée des personnes handicapées,T6,75716590
"Sport, jeunesse et vie associative",219,Sport,1,Promotion du sport pour le plus grand nombre,T3,4381071
Conseil et contrôle de l'État,165,Conseil d'État et autres juridictions administratives,3,Fonction juridictionnelle : Tribunaux administratifs,T5,1408000
