X,Y,OBJECTID,TYPE_PLACE,COMMUNE,IDENTIFIANT,ADRESSE,TYPE_POSITION,NB_PLACES,MEMO,DATE_CREATION,DATE_MAJ
798563.236400001,6873712.5448,9366,PMR,Châlons-en-Champagne,,Rue Robert Galley,Parking,1,,2019/10/23 15:04:33+00,2019/10/23 15:07:54+00
798580.2575,6873698.6184,9367,PMR,Châlons-en-Champagne,,Rue Robert Galley,Parking,1,,2019/10/23 15:04:41+00,2019/10/23 15:09:09+00
798561.603100002,6873708.6763,9368,PMR,Châlons-en-Champagne,,Rue Robert Galley,Parking,1,,2019/10/23 15:04:52+00,2019/10/23 15:05:32+00
799521.916000001,6873828.7457,9369,PMR,Châlons-en-Champagne,,Rue Saint Dominique N°17,Sur trottoir,1,,2019/10/23 15:10:53+00,2020/05/20 07:41:24+00
799329.507799998,6873774.6637,9370,PMR,Châlons-en-Champagne,,rue Saint Dominique - rue Parlement,Sur trottoir,1,,2019/10/23 15:11:17+00,2019/10/23 15:11:48+00
802938.298699997,6871894.8519,9371,PMR,Châlons-en-Champagne,,Chemin de Saint Thiébaut,Parking,1,,2019/10/23 15:13:19+00,2019/10/23 15:14:11+00
802956.179499999,6871905.1677,9372,PMR,Châlons-en-Champagne,,Chemin de Saint Thiébaut,Parking,1,,2019/10/23 15:13:34+00,2019/10/23 15:14:02+00
800530.362400003,6874540.4554,9740,PMR,Châlons-en-Champagne,,Avenue Sainte Menehould N°44,Sur trottoir,1,,2019/11/04 11:21:10+00,2019/11/04 11:21:27+00
798393.686999999,6873012.0094,10140,PMR,Châlons-en-Champagne,,Rue Henri Dunant N°24 - Parking Mairie Annexe,Parking,1,,2019/11/22 07:48:22+00,2019/11/22 07:48:39+00
799704.664999999,6873962.7259,10141,PMR,Châlons-en-Champagne,,Passage Delfraisse Henri,Rue,1,,2019/11/22 07:59:29+00,2019/11/22 07:59:51+00
