annee_categorie_civile_motif_depart_sexe_effectif_age_montant_pension_duree_services_retenus_duree_bonifications_retenues_duree_totassur_effectif_totassur
2013;B;VFF;F;465;27968.5;817011.19;56230.9;5370.57;79350.76;464
2014;A;VFF;M;36;2109.13;83155.91;4544.94;51.15;5155.09;36
2014;C;VFF;M;85;4908.99;114793.56;10004.09;107.66;12482.94;85
2018;A;VAS;M;8950;571607.86;26212359.16;1313058.86;20120.63;1528121.95;8899
2019;A;VAC;M;1658;100722.22;4162268.62;253735.76;2220.8;285895.06;1658
2019;B;VFF;F;465;28469.17;894391.6;60567.78;5727.55;82884.14;465
2019;C;VAA;F;515;30549.52;740476.69;72281.9;4124.73;85980.97;513
2020;A;VAA;M;2619;158405.22;7371159.33;400640.71;13854.0;446039.16;2619
2020;C;VAC;M;873;52870.73;1267528.21;121879.1;392.48;150922.13;871
2020;C;VFF;F;526;32007.11;827360.59;66486.08;6300.38;92961.49;526
2013;C;VAA;F;346;19849.38;433362.89;46097.48;2324.77;55627.37;346
2014;C;VAC;F;1735;104538.54;2377299.63;248069.75;9931.7;306590.76;1734
2015;A;VAA;M;2509;148170.06;6441108.35;375777.48;12338.79;415934.29;2509
2015;A;VFF;M;37;2137.86;86783.41;4867.14;126.79;5481.42;37
2015;B;VFF;F;483;29444.88;897890.27;60296.07;5569.02;84753.6;483
2017;A;VFF;F;2536;152921.21;6699867.06;317880.85;30848.16;429604.89;2535
2017;B;VFF;F;596;36396.06;1142432.18;76550.96;7094.15;106540.04;596
2018;B;VAA;F;214;12545.27;381352.88;27626.62;3257.46;34935.83;212
2018;C;VAC;M;975;58954.36;1372195.72;133151.27;596.99;169574.67;975
2020;A;VAS;M;9234;591102.55;27190188.87;1355435.03;19641.41;1578140.74;9181
2020;B;VAC;M;991;60193.1;1739302.9;147277.53;461.43;173610.96;990
2013;A;INV;F;809;45618.58;1490634.36;94367.69;4651.1;114294.5;809
2014;C;VAC;M;821;49408.81;1028877.07;106036.38;439.45;143764.67;820
2014;C;VAS;M;1536;95772.13;1940972.27;184429.92;4180.03;246782.51;1399
2015;B;VAS;M;2041;128109.23;3664916.47;294489.18;2893.36;349936.68;1993
2016;B;VAS;F;3154;198379.98;5488584.91;444173.25;18028.53;546948.64;3139
2017;B;VAC;F;1690;102423.53;2978580.71;254630.93;9969.3;299360.89;1690
2018;C;VAS;M;1861;117672.19;2540984.66;237718.18;4364.55;318872.11;1800
2018;C;VFF;M;84;4989.85;111974.74;9565.16;17.94;13072.04;84
2013;C;INV;F;917;51787.27;1041230.17;100645.1;4405.28;133333.88;917
2015;C;VAC;M;851;51291.32;1120424.84;113437.89;290.26;148369.88;851
2017;B;VAS;M;2591;163545.25;4870404.02;384005.59;3328.21;446873.34;2537
2019;A;VAC;F;941;57210.59;2302524.45;144324.97;5681.51;165845.83;941
2019;A;VAS;F;8185;519651.54;20681998.1;1122898.64;53795.42;1391184.99;8165
2020;B;VAC;F;1272;77253.66;2223236.63;188436.12;7780.43;225211.67;1272
2020;C;VAA;F;530;31394.23;774483.84;75124.79;4250.23;89157.51;530
2013;B;INV;F;345;19494.91;496032.84;41411.22;2008.59;50475.68;345
2014;A;VAC;F;937;56575.31;2410507.7;144523.66;5834.95;164278.61;937
2014;C;VAA;M;2632;153982.22;3799038.35;378260.92;8647.18;433468.51;2618
2016;A;VAS;M;8360;532753.42;25019178.77;1221099.74;19862.47;1423246.96;8288
2017;A;INV;M;545;31713.84;1162637.65;69718.33;1364.62;76731.59;545
2017;B;VAC;M;1412;85519.87;2546245.9;213593.0;738.51;244230.75;1412
2018;C;VAA;M;2236;132910.59;3640340.8;326591.18;13870.51;381376.5;2228
2019;B;VAA;M;2346;138007.19;4914680.85;344684.75;26321.87;403657.57;2337
2020;A;VAC;F;863;52535.39;2139382.94;131016.26;5759.99;152620.15;862
2020;C;VAC;F;1415;85822.65;2109515.41;203274.67;8547.31;250336.85;1415
2013;B;VAA;F;185;10420.87;296911.61;22020.74;2858.58;27515.29;177
2015;A;VAA;F;3271;193432.56;7809816.57;484430.21;23524.86;543783.78;3271
2015;B;INV;F;311;17602.99;443857.53;36207.58;1850.12;45687.88;311
2015;B;VAC;M;1095;66078.47;1878686.28;164412.57;482.78;189489.75;1095
2015;B;VFF;M;38;2243.71;60719.37;4754.06;26.63;5819.95;37
2016;B;INV;M;263;14780.15;429228.9;32988.42;1170.34;38113.87;263
2016;B;VAA;F;237;13671.91;426682.69;30525.85;4055.63;38795.49;235
2018;A;VAS;F;7824;496386.45;19594985.32;1078743.13;50941.29;1329766.48;7815
2019;B;VAC;F;1336;81008.55;2352356.9;199614.52;8123.92;236553.75;1336
2020;B;INV;M;214;12112.48;363504.82;26976.8;1005.97;30523.62;214
2017;B;VFF;M;46;2734.38;68469.92;5292.1;68.33;7206.77;46
2019;B;VAA;F;242;14101.11;452369.83;31240.35;4154.86;39890.07;239
2020;A;VFF;M;49;2910.22;109744.99;5897.54;243.79;7545.81;49
